#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 16:58:56,wvcp,DSJC125.1gb,local_search,15,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,9,0,133,0:0:0:0:0:1:1:1:0:2:2:1:0:2:0:1:0:3:2:3:3:2:4:4:3:4:4:4:4:0:0:4:1:4:1:1:1:2:0:2:2:4:3:5:5:1:3:5:4:2:5:2:0:3:4:2:1:1:3:4:3:2:6:5:3:6:6:6:5:7:6:7:3:6:6:0:1:3:5:7:6:6:5:5:3:5:7:1:6:8:4:8:6:8:1:4:5:5:5:7:8:7:6:4:0:7:4:7:3:5:8:1:8:8:1:8:3:8:4:3:2:1:0:2:8
1,0,9,0,132,0:0:0:0:1:1:1:1:0:2:2:1:0:2:0:1:0:3:2:3:4:2:4:4:1:3:4:4:2:1:0:3:2:1:1:1:1:2:0:2:1:4:3:5:5:1:1:3:2:3:5:3:0:3:5:2:4:1:2:0:3:2:3:5:2:3:6:5:1:7:6:7:7:7:0:0:7:3:5:7:6:0:7:5:6:6:6:6:7:8:4:8:6:6:7:2:5:5:3:8:0:4:4:6:0:7:5:3:1:1:7:7:0:8:2:8:3:5:4:6:8:4:7:1:5
2,0,9,0,131,0:0:0:0:1:1:1:1:0:2:2:1:0:2:0:1:0:3:2:3:4:2:4:4:1:3:4:4:2:1:0:3:1:1:1:1:1:2:0:2:2:4:3:5:5:1:1:3:2:3:5:3:0:3:5:2:4:1:2:0:3:2:3:5:2:3:6:5:1:6:6:7:7:7:0:0:7:3:5:7:6:0:7:4:7:6:6:6:7:2:4:4:6:6:7:2:5:5:3:8:8:4:4:6:0:7:5:3:1:1:7:7:0:8:2:3:3:5:3:6:8:4:7:1:5
3,0,9,0,130,0:0:0:0:1:1:1:1:0:2:2:1:0:2:0:1:0:3:2:3:4:2:4:4:1:3:4:4:2:1:0:3:1:1:1:1:1:2:0:2:2:4:3:5:5:1:1:3:2:3:5:3:0:3:5:2:4:1:2:0:3:2:3:5:2:3:6:5:1:6:6:7:7:7:0:0:7:3:5:7:6:0:7:4:7:6:6:6:7:2:4:4:6:6:7:2:5:5:3:7:8:4:4:6:0:7:5:3:1:1:7:7:0:8:2:3:3:5:3:6:8:4:7:1:6
4,0,9,0,127,0:0:0:0:1:1:1:1:0:2:2:1:0:2:0:1:0:3:2:3:4:2:4:4:1:3:4:4:2:1:0:3:1:1:1:1:1:2:0:2:2:4:3:5:5:1:1:3:2:3:5:3:0:3:5:2:4:1:2:0:3:2:3:5:2:3:6:5:1:6:6:7:7:7:0:0:7:3:5:7:6:0:7:4:7:6:6:6:7:2:4:4:6:6:7:2:5:5:3:7:6:4:4:6:0:7:5:3:1:1:7:7:0:8:2:3:3:5:3:6:8:4:7:1:6
5,0,9,0,126,0:0:0:0:1:1:1:1:0:2:2:1:0:2:0:1:0:3:2:3:4:2:4:4:1:3:4:4:2:1:0:3:1:1:1:1:1:2:0:2:2:4:3:5:5:1:1:3:2:4:5:3:0:3:5:2:4:1:2:0:3:2:3:5:2:3:6:5:1:6:6:2:1:0:0:0:7:3:0:4:6:0:7:4:5:6:6:5:7:2:4:4:6:6:7:2:5:5:3:7:6:4:4:6:0:7:5:3:1:1:7:7:0:8:1:3:3:4:3:6:8:4:7:1:6
6,0,9,0,125,0:0:0:0:1:1:1:1:0:2:2:1:0:2:0:1:0:3:2:3:4:2:4:4:1:3:4:4:2:1:0:3:1:1:1:1:1:2:0:2:2:4:3:5:5:1:1:3:2:4:5:3:0:3:5:2:4:1:2:0:3:2:3:5:2:3:6:5:1:6:6:2:1:0:0:0:4:3:0:4:6:0:7:4:5:6:6:5:7:2:4:4:6:6:7:2:5:5:3:7:6:4:4:6:0:7:5:3:1:1:7:7:0:8:1:3:3:4:3:6:8:4:7:1:8
7,0,9,0,124,0:0:0:0:1:1:1:1:0:2:2:1:0:2:0:1:0:3:2:3:4:2:4:4:1:3:4:4:2:1:0:3:1:1:1:1:1:2:0:2:2:4:3:5:5:1:1:3:2:4:5:3:0:3:5:2:4:1:2:0:3:2:3:5:2:3:6:5:1:6:6:2:1:0:0:0:4:3:0:4:6:0:5:4:5:6:6:5:7:2:4:4:6:6:7:2:5:5:3:7:6:4:4:6:0:7:5:3:1:1:7:7:0:8:1:3:3:4:3:6:8:4:7:1:8
8,0,9,0,123,0:0:0:0:1:1:1:1:0:2:2:1:0:2:0:1:0:3:2:3:4:2:4:4:1:3:4:4:2:1:0:3:1:1:1:1:1:2:0:2:2:4:3:5:5:1:1:3:2:4:5:3:0:3:5:2:4:1:2:0:3:2:3:5:2:3:6:5:1:6:6:3:1:0:5:0:4:4:0:6:6:0:5:4:5:6:6:5:7:2:6:4:6:6:5:2:5:4:3:7:6:4:4:6:6:7:5:3:1:1:7:4:0:7:2:3:3:7:3:6:8:4:8:1:3
9,0,9,0,122,0:0:0:0:1:1:1:1:0:2:2:1:0:2:0:1:0:3:2:3:4:2:4:4:1:3:4:4:2:1:0:3:1:1:1:1:1:2:0:2:2:4:3:5:5:1:1:3:2:4:5:3:0:3:5:2:4:1:2:0:3:2:3:5:2:3:6:5:1:6:6:3:1:0:5:0:4:4:0:6:6:0:5:4:5:6:6:5:5:2:6:4:6:6:5:2:5:4:3:7:6:4:4:6:6:7:5:3:1:1:7:4:0:7:2:3:3:7:3:6:8:4:8:1:5
11,0,8,0,118,0:0:0:0:1:1:2:1:0:0:2:1:0:2:0:1:0:3:2:3:4:2:4:1:1:3:4:4:2:1:0:3:2:1:1:1:1:2:4:2:1:4:3:5:5:1:1:0:2:4:5:3:0:3:5:2:3:1:2:0:3:2:3:5:2:3:6:5:1:6:4:3:2:0:0:0:4:6:0:6:6:0:5:4:6:4:5:5:5:2:6:4:6:6:5:3:5:4:3:4:0:4:1:5:0:5:4:3:4:4:5:4:7:0:1:7:3:4:5:7:7:1:7:2:3
