#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 17:01:27,wvcp,DSJC125.5g,local_search,4,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,25,0,88,0:1:2:3:4:0:2:1:4:5:5:1:5:3:3:3:6:6:6:2:7:4:8:7:7:7:8:1:9:10:11:3:8:11:9:5:11:12:12:12:8:0:11:7:10:12:13:0:2:12:9:5:2:1:13:14:13:10:15:14:16:16:6:15:2:5:6:14:15:0:14:14:10:16:17:17:1:9:15:4:18:19:20:14:20:13:18:19:18:11:17:18:16:10:20:21:16:21:22:18:23:23:18:19:23:24:13:17:22:8:21:17:24:24:19:17:7:0:7:21:22:9:0:20:16
3,0,24,0,83,7:1:2:3:4:13:2:7:4:5:5:1:5:3:13:6:6:8:6:2:7:7:8:4:4:3:5:1:1:10:12:0:8:11:12:11:0:12:3:11:3:7:9:10:10:10:12:7:2:9:6:8:5:4:13:11:0:13:15:11:16:4:9:15:0:5:15:6:3:0:11:8:6:10:9:17:20:17:15:16:21:0:9:19:20:21:12:17:21:13:13:13:15:10:8:10:16:17:23:24:24:21:4:14:18:14:16:24:14:21:16:24:14:6:18:24:23:20:23:20:18:18:16:20:0
4,0,23,0,81,7:1:2:3:4:13:2:7:4:5:5:1:5:3:13:6:6:8:6:2:7:7:8:4:4:3:5:1:1:10:12:0:8:11:12:9:0:12:3:11:3:7:9:10:10:10:12:7:1:9:6:8:5:4:13:11:0:13:15:11:16:4:9:15:0:5:15:6:3:0:11:8:6:10:9:17:20:17:15:16:21:0:20:11:20:21:12:17:21:13:13:13:15:10:2:10:16:23:18:24:24:21:4:14:18:14:16:24:14:21:16:24:14:6:18:24:18:18:23:20:23:12:21:20:0
5,0,23,0,79,7:1:2:3:4:13:2:7:4:5:5:1:5:3:13:6:6:8:6:2:7:7:8:2:4:3:5:1:1:10:12:0:8:11:12:9:0:12:3:11:3:1:9:3:10:10:12:7:1:9:2:8:4:4:13:11:0:13:15:8:6:4:9:15:0:5:15:6:15:0:11:8:10:10:9:17:20:8:15:4:21:0:20:11:20:21:12:17:21:17:13:13:15:10:2:17:16:17:23:24:24:21:4:14:16:14:16:24:23:21:16:24:23:14:20:24:18:20:18:20:18:5:16:20:0
7,0,24,0,78,7:10:0:3:2:13:0:7:2:5:5:5:10:3:13:9:9:8:9:0:7:5:8:0:2:3:5:4:1:4:12:13:8:7:1:9:12:12:3:12:3:9:1:11:11:11:13:10:11:10:0:8:4:2:10:6:13:1:11:6:10:2:8:9:0:8:4:6:3:1:6:6:13:11:4:21:2:17:16:2:23:2:1:6:10:23:8:17:5:21:21:12:7:17:23:16:23:17:14:22:15:20:22:17:15:7:23:22:15:8:15:20:14:6:18:22:18:18:14:19:19:19:23:20:18
9,0,23,0,77,5:10:0:11:2:13:0:5:7:5:2:4:10:5:13:9:9:9:9:4:7:5:5:2:7:7:2:4:1:4:6:13:8:16:1:8:6:6:11:16:11:9:8:1:0:16:13:10:0:10:7:8:4:2:0:12:7:1:16:8:10:10:9:6:0:8:16:12:11:13:12:12:12:16:11:5:2:11:3:7:17:21:1:19:10:3:17:21:17:13:19:6:6:19:4:12:20:14:18:18:23:17:18:24:14:23:20:3:23:14:14:19:24:24:21:3:18:21:23:10:19:24:20:3:18
10,0,22,0,76,5:10:0:11:2:13:0:5:7:5:2:4:10:5:13:9:9:9:9:0:7:5:5:2:7:7:2:4:1:4:6:13:8:16:1:8:6:6:11:16:11:9:8:1:0:16:13:10:0:10:7:8:4:2:10:12:7:1:16:8:10:2:9:6:0:8:16:12:11:1:12:12:12:16:11:5:2:11:3:7:17:21:1:19:10:17:19:21:17:13:19:6:6:19:4:12:3:14:24:12:23:4:7:24:14:23:17:21:23:17:19:18:16:24:21:18:14:13:5:18:18:11:17:12:18
15,1,22,0,75,5:10:0:11:2:13:0:5:7:5:2:4:10:5:13:9:9:9:9:0:7:5:5:2:7:7:2:4:1:4:6:13:8:16:1:8:6:6:11:16:11:9:8:1:0:16:13:10:0:10:7:8:4:2:10:12:7:1:16:8:10:2:4:6:0:8:16:12:11:1:12:12:12:16:11:5:2:11:19:7:19:21:1:19:10:17:19:21:17:13:19:6:6:21:4:12:3:14:24:21:23:18:7:24:14:23:17:21:23:17:3:18:16:9:3:23:14:13:5:10:14:24:17:18:18
20,1,21,0,74,5:10:0:11:2:13:0:5:7:5:2:4:10:5:13:9:9:9:9:0:7:5:5:2:7:7:2:4:1:4:6:13:8:16:1:8:6:6:11:16:11:9:8:1:0:16:13:10:0:10:7:8:4:4:10:12:7:1:16:8:10:2:9:6:0:8:16:12:11:13:12:12:12:16:11:5:2:11:19:7:17:21:1:19:10:17:19:21:17:13:19:6:21:21:17:12:2:14:24:18:14:17:7:12:24:23:4:18:24:23:19:18:23:23:24:18:14:13:14:10:24:11:17:1:18
14874,1142,22,0,73,5:9:0:11:7:12:0:5:8:5:2:8:2:11:12:11:9:8:9:0:2:2:5:0:7:8:2:7:21:1:10:12:8:1:13:13:11:7:10:9:10:5:21:10:10:1:12:9:11:21:0:5:11:7:13:17:12:13:10:17:9:16:8:17:0:1:1:17:16:12:9:17:21:16:21:5:7:23:21:16:6:7:4:23:13:4:6:23:4:23:16:6:16:13:4:8:6:23:14:24:20:18:19:14:18:19:4:20:20:18:20:24:19:19:14:24:2:18:20:24:24:14:18:17:24
