#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 17:22:09,wvcp,DSJC250.9,local_search,17,934,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,100,0,1091,0:1:2:3:4:5:6:6:7:3:1:7:8:3:4:9:10:11:12:13:9:14:15:16:17:18:12:16:10:11:19:5:14:20:0:2:21:22:6:21:15:23:24:25:26:27:27:28:17:13:18:19:20:24:29:30:8:28:9:23:29:22:30:26:31:32:31:33:33:32:34:12:30:25:35:10:35:36:37:36:34:38:39:28:40:41:41:42:40:39:42:43:35:29:44:38:16:45:46:14:45:21:44:19:13:47:43:48:49:50:50:51:52:50:49:24:40:4:7:46:53:51:48:54:37:54:20:55:56:47:53:57:44:46:57:56:58:37:59:60:61:31:25:61:58:59:52:52:62:63:64:55:23:65:66:67:68:63:69:62:70:60:59:71:67:72:64:68:73:42:70:74:75:72:66:32:76:65:74:69:75:63:77:78:73:79:80:71:79:80:81:82:78:76:83:84:85:49:85:19:81:86:22:65:80:84:86:26:64:83:81:87:88:89:90:91:37:0:89:87:72:88:78:92:93:77:93:94:92:95:96:92:82:95:36:62:37:61:33:90:97:94:97:93:86:98:60:99:51:98
19,12,80,0,1020,72:4:42:3:36:49:28:17:63:3:4:6:87:3:36:51:2:93:88:94:55:23:38:81:65:40:88:31:25:65:14:49:97:97:72:0:55:60:25:51:79:28:37:0:39:74:4:26:54:57:26:14:97:93:5:40:6:79:41:29:5:31:23:31:2:39:12:19:5:31:29:88:23:41:52:7:28:12:40:87:52:0:63:60:61:19:79:16:93:74:38:17:45:70:27:81:49:61:16:23:45:98:27:14:52:29:58:41:45:32:32:67:33:32:1:41:33:54:42:39:25:26:58:24:57:42:7:38:56:67:20:6:27:20:67:18:12:55:20:92:99:74:62:99:0:89:9:33:61:63:56:54:28:45:16:65:21:51:46:62:30:87:98:57:89:19:84:56:86:37:70:75:95:89:60:81:35:40:86:24:18:63:95:11:78:9:60:75:9:58:84:85:11:32:24:98:35:93:35:14:70:18:75:62:38:98:64:80:92:33:46:30:64:80:47:37:1:72:80:21:81:55:11:75:78:95:59:86:19:43:92:50:85:43:85:17:78:89:59:47:50:47:50:59:64:1:99:46:43:68
20,13,79,0,1019,72:4:42:3:36:49:28:17:63:3:4:6:87:3:36:51:2:93:88:94:55:23:38:81:65:40:88:31:25:65:14:49:97:97:72:0:55:60:25:51:79:28:37:0:39:74:4:26:54:57:26:14:97:93:5:40:6:79:41:29:5:31:23:31:2:39:12:19:5:31:29:88:23:41:52:7:28:12:40:87:52:0:63:60:61:19:79:16:93:74:38:17:45:70:27:81:49:61:16:23:45:98:27:14:52:29:58:41:45:32:32:67:33:32:1:41:33:54:42:39:25:26:58:24:57:42:7:38:56:67:20:6:27:20:67:18:12:55:20:92:99:74:62:99:0:89:9:33:61:63:56:54:28:45:16:65:21:51:46:62:30:87:98:57:89:19:84:56:86:37:70:75:95:89:60:81:35:40:86:24:18:63:95:11:78:9:60:75:9:58:84:85:11:32:24:98:35:93:35:14:70:18:75:62:38:98:64:80:92:33:46:30:64:80:47:37:1:72:80:21:81:55:11:75:78:95:59:86:19:43:92:50:85:43:85:17:78:89:59:47:50:47:50:59:64:1:99:46:43:21
21,14,79,0,1017,72:4:42:3:36:49:28:17:63:3:4:6:87:3:36:51:2:93:88:94:55:23:38:81:65:40:88:31:25:65:14:49:97:97:72:0:55:60:25:51:79:28:37:0:39:74:4:26:54:57:26:14:97:93:5:40:6:79:41:29:5:31:23:31:2:39:12:19:5:31:29:88:23:41:52:7:28:12:40:87:52:0:63:60:61:19:79:16:93:74:38:17:45:70:27:81:49:61:16:23:45:98:27:14:52:29:58:41:45:32:32:67:33:32:1:41:33:54:42:39:25:26:58:24:57:42:7:38:56:67:20:6:27:20:67:18:12:55:20:92:99:74:62:99:0:89:9:33:61:63:56:54:28:45:16:65:21:51:46:62:30:87:98:57:89:19:84:56:86:37:70:75:95:89:60:81:35:40:86:24:18:63:95:11:78:9:60:75:9:58:84:94:11:32:24:98:35:93:35:14:70:18:75:62:38:98:64:80:92:33:46:30:64:80:47:37:1:72:80:21:81:55:11:75:78:95:59:86:19:43:92:50:85:43:85:17:78:89:59:47:50:47:50:59:64:1:99:46:43:21
22,15,80,0,1016,72:4:42:3:36:49:28:17:63:3:4:6:87:3:36:51:2:93:88:94:55:23:38:81:65:40:88:31:25:65:14:49:97:97:72:0:55:60:25:51:79:28:37:0:39:74:4:26:54:57:26:14:97:93:5:40:6:79:41:29:5:31:23:31:2:39:12:19:5:31:29:88:23:41:52:7:28:12:40:87:52:0:63:60:61:19:79:16:93:74:38:17:45:70:27:81:49:61:16:23:45:98:27:14:52:29:58:41:45:32:32:94:33:32:1:41:33:54:42:39:25:26:58:24:57:42:7:38:56:67:20:6:27:20:67:18:12:55:20:92:99:74:62:99:0:89:9:33:61:63:56:54:28:45:16:65:21:51:46:62:30:87:98:57:89:19:84:56:86:37:70:75:95:89:60:81:35:40:86:24:18:63:95:11:78:9:60:75:9:58:84:94:11:32:24:98:35:93:35:14:70:18:75:62:38:98:64:80:92:33:46:30:64:80:47:37:1:72:80:21:81:55:11:75:78:95:59:86:19:43:92:50:85:43:85:17:78:89:59:47:50:47:50:59:64:1:99:46:43:68
23,16,79,0,1015,72:4:42:3:36:49:28:17:63:3:4:6:87:3:36:51:2:93:88:94:55:23:38:81:65:40:88:31:25:65:14:49:97:97:72:0:55:60:25:51:79:28:37:0:39:74:4:26:54:57:26:14:97:93:5:40:6:79:41:29:5:31:23:31:2:39:12:19:5:31:29:88:23:41:52:7:28:12:40:87:52:0:63:60:61:19:79:16:93:74:38:17:45:70:27:81:49:61:16:23:45:98:27:14:52:29:58:41:45:32:32:94:33:32:1:41:33:54:42:39:25:26:58:24:57:42:7:38:56:67:20:6:27:20:67:18:12:55:20:92:99:74:62:99:0:89:9:33:61:63:56:54:28:45:16:65:21:51:46:62:30:87:98:57:89:19:84:56:86:37:70:75:95:89:60:81:35:40:86:24:18:63:95:11:78:9:60:75:9:58:84:94:11:32:24:98:35:93:35:14:70:18:75:62:38:98:64:80:92:33:46:30:64:80:47:37:1:72:80:21:81:55:11:75:78:95:59:86:19:43:92:50:85:43:85:17:78:89:59:47:50:47:50:59:64:1:99:46:43:21
24,17,79,0,1012,72:4:42:3:36:49:28:17:63:3:4:6:87:3:36:51:2:93:88:94:55:23:38:81:65:40:88:31:25:65:14:49:97:97:72:0:55:2:25:51:79:28:37:0:39:74:4:26:54:57:26:14:97:93:5:40:6:79:41:29:5:31:23:31:2:39:12:19:5:31:29:88:23:41:52:7:28:12:40:87:52:0:63:60:61:19:79:16:93:74:38:17:45:70:27:81:49:61:16:23:45:98:27:14:52:29:58:41:45:32:32:94:33:32:1:41:33:54:42:39:25:26:58:24:57:42:7:38:56:67:20:6:27:20:67:18:12:55:20:92:99:74:62:99:0:89:9:33:61:63:56:54:28:45:16:65:21:51:46:62:30:87:98:57:89:19:84:56:86:37:70:75:95:89:60:81:35:40:86:24:18:63:95:11:78:9:60:75:9:58:84:94:11:32:24:98:35:93:35:14:70:18:75:62:38:98:64:80:92:33:46:30:64:80:47:37:1:72:80:21:81:55:11:75:78:95:59:86:19:43:92:50:85:43:85:17:78:89:59:47:50:47:50:59:64:1:99:46:43:21
25,17,79,0,1010,72:4:42:3:36:49:28:17:63:3:4:6:87:3:36:51:2:93:88:94:55:23:38:81:65:40:88:31:25:65:14:49:97:97:72:0:55:2:25:51:79:28:37:0:39:74:4:26:54:57:26:14:97:93:5:40:6:79:41:29:5:31:23:31:2:39:12:19:5:31:29:88:23:41:52:7:28:12:40:87:52:0:63:60:61:19:79:16:93:74:38:17:45:70:27:81:49:61:16:23:45:98:27:14:52:29:58:41:45:32:32:94:33:32:1:41:33:36:42:39:25:26:58:24:57:42:7:38:56:67:20:6:27:20:67:18:12:55:20:92:99:74:62:99:0:89:9:33:61:63:56:54:28:45:16:65:21:51:46:62:30:87:98:57:89:19:84:56:86:37:70:75:95:89:60:81:35:40:86:24:18:63:95:11:78:9:60:75:9:58:84:94:11:32:24:98:35:93:35:14:70:18:75:62:38:98:64:80:92:33:46:30:64:80:54:37:1:58:80:21:81:55:11:75:78:95:59:86:19:72:92:50:85:43:85:17:78:89:59:47:50:47:50:59:64:1:99:46:43:21
26,18,80,0,999,72:4:42:3:36:49:28:17:63:3:4:6:87:3:36:51:2:93:88:94:55:23:38:24:65:40:88:31:25:65:14:49:97:97:72:0:55:60:25:51:79:28:37:0:39:74:4:26:54:94:26:14:97:93:5:40:6:17:41:29:5:31:23:31:35:39:12:18:79:31:29:88:23:41:52:2:28:12:40:87:52:0:63:60:61:19:19:27:93:74:38:17:45:2:50:5:49:61:79:23:45:98:50:14:52:29:58:41:45:32:32:61:33:32:54:41:33:7:42:39:25:26:58:24:56:42:7:38:78:67:20:6:50:20:67:18:12:55:20:18:99:74:62:99:0:54:30:33:47:63:56:7:28:45:30:89:65:51:27:62:68:87:98:92:89:59:81:56:86:37:92:75:95:89:60:81:35:40:86:24:70:63:95:11:78:9:60:75:9:58:84:92:11:32:24:98:35:93:64:14:84:70:70:62:38:98:64:80:81:9:84:30:64:80:21:37:1:72:80:21:59:55:11:75:16:95:46:86:19:43:16:1:85:43:78:67:78:99:46:47:27:47:46:57:59:57:85:36:43:57
27,19,80,0,998,72:4:42:3:36:49:28:17:63:3:4:6:87:3:36:51:2:93:88:94:55:23:38:24:65:40:88:31:25:65:14:49:97:97:72:0:55:60:25:51:79:28:37:0:39:74:4:26:54:94:26:14:97:93:5:40:6:17:41:29:5:31:23:31:35:39:12:18:79:31:29:88:23:41:52:2:28:12:40:87:52:0:63:60:61:19:19:27:93:74:38:17:45:2:50:5:49:61:79:23:45:98:50:14:94:29:58:41:45:32:32:61:33:32:54:41:33:7:42:39:25:26:58:24:56:42:7:38:78:67:20:6:50:20:67:18:12:55:20:18:99:74:62:99:0:54:62:33:47:63:56:7:28:45:30:89:65:51:27:62:68:87:98:92:89:59:81:56:86:37:92:75:95:89:60:81:35:68:86:24:70:63:95:11:78:9:60:75:9:58:84:92:11:32:24:98:35:93:64:14:84:70:70:52:38:98:64:80:81:9:84:30:64:80:21:37:1:72:80:21:59:55:11:75:16:95:46:86:19:43:16:1:85:43:78:67:78:99:46:47:27:47:46:57:59:57:85:36:43:57
