#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 17:38:19,wvcp,DSJR500.1,local_search,9,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,16,0,197,0:0:0:0:1:1:1:2:0:0:0:2:1:0:0:0:0:1:1:3:0:2:3:2:4:4:1:4:2:3:2:0:4:1:4:3:2:2:4:2:3:4:5:3:5:4:1:4:5:5:5:5:4:0:0:1:5:4:3:1:4:6:6:6:6:6:1:3:2:3:6:6:5:2:4:1:3:4:0:3:4:5:2:4:3:6:3:7:7:7:2:7:5:1:4:2:7:3:8:8:6:5:8:5:6:3:2:5:1:8:7:2:8:0:1:0:4:2:2:3:6:8:7:6:8:2:4:9:9:7:1:5:7:9:6:9:8:7:8:1:2:9:6:5:1:9:6:1:3:9:9:10:9:8:8:10:8:5:7:6:11:12:10:3:10:7:12:8:1:9:7:12:11:12:9:10:4:12:7:1:11:11:4:7:9:12:9:3:9:11:13:11:12:13:9:10:12:12:13:10:11:12:12:13:13:7:11:13:13:12:14:6:14:13:13:12:10:14:11:11:11:13:14:11:13:14:14:14:11:5:14:11:8:15:15:9:14:13:15:15:10:0:15:14
1,0,16,0,196,0:0:0:0:1:1:1:2:0:0:0:2:1:0:0:0:0:1:1:3:0:2:3:2:4:4:1:4:2:3:2:0:4:1:4:3:1:2:4:2:3:4:5:3:5:4:1:2:5:5:5:5:4:0:0:1:5:4:3:1:4:6:6:6:3:6:1:3:6:3:6:6:5:2:4:1:3:4:0:3:4:5:2:4:3:6:3:7:7:7:2:7:5:1:4:7:7:3:8:8:6:5:8:5:6:5:2:3:1:8:7:2:8:0:1:0:4:2:2:1:6:8:7:6:8:2:4:9:9:7:1:5:7:9:6:9:8:7:8:8:2:9:9:0:1:9:6:9:3:8:9:10:9:8:8:0:8:5:2:9:7:12:10:3:10:7:12:8:4:1:10:12:11:12:9:10:3:12:7:1:11:11:4:10:9:12:10:3:9:11:13:11:12:13:9:13:3:12:13:11:12:12:12:2:10:7:14:13:13:14:14:6:14:12:10:13:10:14:11:11:2:13:12:11:13:0:14:14:0:5:1:2:10:15:15:15:14:12:15:15:10:10:15:14
2,0,16,0,195,0:0:0:0:1:1:1:2:0:0:0:2:1:0:0:0:0:1:1:3:0:2:3:2:4:4:1:4:2:3:2:0:4:1:4:3:1:2:4:2:3:4:5:3:5:4:1:2:5:5:5:5:4:0:0:1:5:4:3:1:4:6:6:6:3:6:1:3:6:3:6:6:5:2:4:1:3:4:0:3:4:5:2:4:3:6:3:7:7:7:2:7:5:1:4:7:7:3:8:8:6:5:8:5:6:5:2:3:1:8:7:2:8:0:1:0:4:2:2:1:6:8:7:6:8:2:4:9:9:7:1:5:7:9:6:9:8:7:8:8:2:9:9:0:1:9:6:9:3:8:9:10:9:8:8:0:8:5:2:9:7:12:10:3:10:7:12:8:4:1:10:12:12:12:9:10:3:12:7:1:11:11:4:10:9:12:10:3:9:11:13:11:12:13:9:13:3:12:13:11:12:12:12:2:10:7:14:13:13:14:14:6:14:12:10:13:10:14:11:11:2:13:12:11:13:0:14:14:0:5:1:2:10:15:15:15:14:12:15:15:10:10:15:14
3,0,16,0,194,0:0:0:0:1:1:1:2:0:0:2:2:1:2:0:0:2:1:1:3:0:2:3:2:4:4:1:4:2:3:2:0:4:3:3:3:1:2:4:2:3:4:5:3:5:4:1:2:5:5:5:5:4:0:0:1:5:4:3:1:4:6:4:6:3:6:1:3:6:3:6:6:5:2:4:1:3:4:0:3:4:5:6:6:5:6:3:7:7:7:4:7:5:3:1:2:1:3:8:7:6:5:6:5:6:5:8:7:1:8:7:8:8:0:1:2:4:2:2:1:8:8:5:6:8:2:1:9:9:4:1:5:7:8:6:9:8:7:8:8:2:9:9:0:1:9:6:9:4:1:9:10:4:4:8:0:2:5:9:10:7:12:8:3:10:7:12:7:5:1:10:12:10:12:9:10:3:12:7:1:11:11:8:10:9:12:9:3:9:6:11:11:12:8:10:9:9:12:13:11:12:7:13:2:10:11:14:13:14:10:5:6:14:14:14:12:10:11:14:13:11:14:12:11:11:0:14:14:14:12:1:11:10:15:8:15:0:15:15:15:15:14:11:12
22,4,14,0,183,0:0:0:0:1:1:1:2:1:2:2:2:1:2:0:0:2:0:1:3:0:2:0:2:11:3:1:1:2:3:2:0:0:0:0:3:1:1:4:2:4:4:3:2:4:4:3:3:3:5:1:2:4:5:1:4:5:1:5:0:4:4:1:3:0:5:3:4:0:2:5:4:0:2:1:4:3:1:0:3:3:4:2:0:4:3:3:6:5:5:6:4:4:4:3:6:3:5:5:2:6:5:6:3:0:2:6:5:0:3:9:2:6:0:9:5:9:4:1:4:2:0:0:2:6:2:1:9:7:6:9:7:6:9:9:6:9:7:0:6:9:9:6:0:4:9:5:2:4:2:8:9:4:4:6:7:7:6:8:9:6:7:9:3:8:6:9:8:0:1:5:7:7:7:7:9:3:7:6:10:10:7:1:10:10:8:9:4:8:8:12:10:10:6:12:10:0:8:12:7:10:10:8:12:8:5:10:12:12:8:3:7:9:8:12:12:12:12:8:5:12:7:6:12:12:8:9:7:7:7:12:10:8:13:13:13:10:13:10:1:10:13:5:12
23,4,13,0,182,0:0:0:0:1:1:1:2:1:2:2:2:1:2:0:0:2:0:1:3:0:2:0:2:13:3:1:1:2:3:2:0:0:0:0:3:1:1:4:2:4:4:3:2:4:4:3:3:3:5:1:2:4:5:1:4:5:1:5:0:4:4:1:3:0:5:3:4:0:2:5:4:0:2:1:4:3:1:0:3:3:4:2:0:4:3:3:6:5:5:6:4:4:4:3:6:3:5:5:2:6:5:6:3:0:2:6:5:0:3:9:2:6:0:9:5:9:4:1:4:2:0:0:2:6:2:1:9:7:6:9:7:6:9:9:6:9:7:0:6:9:9:6:0:4:9:5:2:4:2:8:9:4:4:6:7:7:6:8:9:6:7:9:3:8:6:9:8:0:1:5:7:7:7:7:9:3:7:6:10:10:7:1:10:10:8:9:4:8:8:12:10:10:6:12:10:0:8:12:7:10:10:8:12:8:5:10:12:12:8:3:7:9:8:12:12:12:12:8:5:12:7:6:12:12:8:9:7:7:7:12:10:8:13:13:13:10:13:10:1:10:13:5:12
24,4,13,0,181,0:0:0:0:1:1:1:2:1:2:2:2:0:2:1:2:0:0:0:3:0:2:13:2:13:3:1:1:2:3:2:0:2:0:13:13:13:1:4:2:4:4:3:2:4:4:3:13:13:5:1:2:4:5:1:4:5:1:5:0:4:4:1:0:1:5:4:5:5:2:5:4:0:2:13:4:3:1:3:3:3:4:5:5:2:3:3:6:5:5:2:1:4:1:6:5:2:5:5:13:6:5:6:3:13:3:5:13:0:13:1:0:6:5:6:2:9:4:1:6:2:0:0:13:6:6:3:9:7:6:9:13:13:5:9:6:9:7:0:5:9:6:0:9:0:9:5:13:9:3:8:9:8:13:9:4:7:2:8:0:6:7:8:3:8:6:9:9:3:13:2:6:7:7:4:7:8:8:6:10:10:13:2:8:10:3:5:3:7:10:12:10:13:6:5:7:1:12:12:7:10:10:12:3:7:12:8:12:10:8:7:7:9:10:12:12:10:7:12:6:8:8:6:12:12:8:9:10:12:9:9:7:9:13:13:13:10:12:0:1:12:3:10:10
25,4,13,0,180,0:0:0:0:1:1:1:2:1:2:1:2:2:2:1:2:1:0:0:3:0:2:13:2:13:3:1:13:2:3:2:0:2:0:13:3:0:1:4:2:4:4:3:2:4:4:3:13:4:5:1:2:4:5:1:1:4:1:5:0:3:4:1:4:1:3:4:3:5:2:5:4:0:2:13:4:3:1:2:3:3:5:13:1:5:3:3:6:5:5:2:4:4:2:13:3:3:5:5:13:6:5:6:3:13:13:6:3:0:13:1:0:6:5:13:4:3:4:1:6:2:0:5:2:6:4:3:9:7:6:9:13:9:5:9:6:9:7:0:5:9:5:6:9:5:9:5:2:4:5:8:9:4:3:6:8:9:7:8:0:6:7:9:8:8:6:9:0:0:1:2:7:0:7:0:7:7:8:6:10:10:13:2:6:10:8:10:8:7:7:12:10:13:12:7:10:10:12:12:7:10:10:10:3:7:8:10:12:8:8:7:7:5:8:12:12:7:10:12:10:7:12:6:12:12:8:9:10:8:9:9:8:4:13:13:13:12:6:0:1:12:3:8:12
26,5,13,0,179,0:0:0:0:1:1:1:2:2:2:1:2:2:2:0:2:2:0:2:3:0:2:0:1:13:3:1:13:2:0:13:0:0:13:0:3:13:1:4:2:4:13:3:2:4:4:3:4:4:5:1:5:4:5:1:1:4:1:5:0:13:4:1:0:5:13:4:5:3:2:5:4:0:2:13:4:3:13:3:3:3:5:1:4:13:3:3:13:3:5:1:4:1:1:3:3:5:5:5:13:6:5:6:3:4:0:3:0:0:13:1:0:13:5:6:5:6:4:1:4:2:0:5:5:4:4:6:7:9:13:4:7:7:5:6:7:7:7:0:2:9:6:7:2:5:9:4:2:4:7:8:9:8:2:8:7:9:2:8:3:6:7:9:8:5:7:9:7:9:7:2:4:2:7:6:8:6:8:6:10:10:10:2:13:10:7:10:8:8:9:12:10:10:12:12:1:1:7:9:9:8:10:8:3:7:6:10:6:12:8:3:2:12:7:12:12:10:10:9:6:12:6:6:9:12:8:9:12:3:10:0:7:4:13:12:13:10:8:12:13:12:3:10:13
38,7,13,0,175,0:0:0:0:1:1:1:2:2:2:1:2:2:2:0:0:1:1:2:3:0:2:0:0:13:13:2:13:13:1:1:0:0:0:0:3:13:1:4:3:1:4:3:2:4:4:3:1:1:5:1:5:4:5:5:1:4:3:1:0:1:4:13:5:3:13:1:5:3:2:5:4:3:2:13:4:2:3:0:3:13:13:0:0:0:3:3:13:2:5:1:1:13:5:4:2:2:6:5:5:3:5:6:3:6:0:5:4:0:13:1:3:13:6:5:5:6:3:1:0:2:0:0:6:2:5:2:7:9:13:13:7:6:7:9:4:9:7:6:2:9:4:1:5:7:9:4:3:6:7:6:9:4:1:6:6:9:3:1:7:0:7:2:9:5:7:9:9:0:1:9:7:4:7:4:3:4:9:4:10:10:10:7:13:6:9:10:4:13:5:12:8:12:12:0:8:10:7:8:8:8:9:8:8:8:4:12:12:12:8:5:10:6:13:12:7:2:12:10:8:12:12:6:6:8:12:9:10:10:10:8:13:8:13:10:10:12:10:9:2:8:10:7:1
