#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 18:12:05,wvcp,GEOM100,local_search,19,65,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,12,0,75,0:0:0:0:1:0:0:2:1:2:1:2:2:0:2:1:2:1:2:2:1:3:3:3:2:4:1:4:1:4:5:4:3:5:5:2:3:5:5:1:6:6:6:4:7:5:6:8:7:3:8:7:3:4:8:8:1:6:8:6:9:9:7:9:8:3:7:5:9:0:5:10:11:9:4
1,0,11,0,74,0:0:0:0:1:0:0:2:1:2:1:2:2:0:2:1:2:1:2:2:1:3:3:3:2:4:1:4:1:4:5:3:3:5:5:4:3:5:5:1:6:6:4:5:7:5:6:8:5:7:8:7:3:6:8:8:1:6:8:6:9:9:7:9:8:3:7:5:9:0:9:10:7:10:4
7,0,10,0,73,2:0:0:1:1:0:0:2:0:2:1:2:2:0:2:1:1:5:5:1:1:5:3:0:1:3:2:5:5:4:5:4:3:4:5:1:4:3:5:9:6:4:4:4:6:0:5:3:5:3:1:8:3:6:8:6:3:3:8:6:8:4:6:8:2:2:5:0:5:7:7:7:9:9:8
8,0,10,0,72,2:0:0:1:1:0:0:2:0:2:1:2:2:0:2:1:1:5:5:1:1:5:3:0:1:3:2:5:5:4:5:4:3:4:5:1:4:3:5:9:6:4:4:4:6:0:5:3:5:3:1:9:3:6:8:6:3:3:8:6:8:4:6:8:2:2:5:0:5:7:7:7:9:9:8
9,0,10,0,71,2:0:0:1:1:0:0:2:0:2:1:2:2:0:2:1:1:5:5:1:1:5:3:0:1:3:2:5:5:4:5:4:3:4:5:1:4:3:5:4:6:4:2:4:6:0:5:3:5:3:1:9:3:6:8:6:3:3:8:6:8:4:6:8:2:2:5:0:5:7:7:7:9:9:8
10,0,10,0,68,2:0:0:1:1:0:0:2:0:2:1:2:2:0:2:1:1:5:5:1:1:5:3:0:1:3:2:5:5:4:5:4:3:4:5:1:4:3:5:4:6:4:2:4:6:0:5:3:5:3:1:8:3:6:8:6:3:3:8:6:8:4:6:8:2:2:5:0:5:7:7:7:9:9:8
14,0,9,0,67,2:0:0:1:1:0:0:2:2:2:1:0:2:0:2:1:1:5:5:1:1:5:3:0:1:2:2:5:5:4:5:4:3:4:4:1:3:4:5:4:8:3:8:2:4:0:5:3:5:3:1:6:3:6:8:6:3:3:8:0:8:4:6:8:8:2:5:6:5:6:7:7:6:8:7
63,0,9,0,66,2:0:0:1:1:0:0:2:2:2:1:0:2:0:2:1:1:5:5:1:1:5:3:0:1:2:2:5:5:4:5:4:3:4:3:1:3:4:5:4:1:3:2:2:4:0:5:3:5:3:8:6:3:6:8:6:3:3:8:0:8:4:6:8:4:2:5:6:5:6:7:7:6:8:7
128,0,9,0,65,0:0:5:0:2:0:0:0:5:5:2:2:0:2:2:5:5:2:5:2:5:1:1:0:5:1:2:1:1:4:5:1:1:4:8:5:4:8:2:4:8:8:5:8:1:2:4:9:4:8:9:3:1:1:0:3:9:9:3:9:3:3:8:4:9:0:1:3:3:6:6:6:8:8:6
128,0,9,0,65,0:0:5:0:2:0:0:0:5:5:2:2:0:2:2:5:5:2:5:2:5:1:1:0:5:1:2:1:1:4:5:1:1:4:8:5:4:8:2:4:8:8:5:8:1:2:4:9:4:8:9:3:1:1:0:3:9:9:3:9:3:3:8:4:9:0:1:3:3:6:6:6:8:8:6
#2022-10-12 18:12:06
