#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 18:13:56,wvcp,GEOM110a,local_search,14,97,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,18,0,115,0:0:1:1:0:2:0:2:1:0:3:3:2:2:4:3:3:2:1:4:4:5:5:3:5:5:6:3:6:1:6:5:7:8:6:8:8:4:7:8:7:0:7:9:4:9:10:10:10:10:9:7:9:6:7:11:6:6:3:9:11:11:5:11:10:1:8:10:12:12:12:8:2:12:12:10:11:13:8:14:15:13:15:15:12:7:9:0:16:16:16:17:13:15:15:16:17:14:15:15:13:6:13:16:7:8:3:11:17:14
5,0,18,0,110,1:2:0:1:2:5:0:8:0:2:1:1:2:2:8:8:1:0:8:1:0:6:5:3:8:5:3:1:6:4:6:5:3:8:7:9:8:0:6:7:6:4:7:4:1:10:6:10:9:9:9:9:3:7:5:10:5:4:3:13:4:4:7:10:13:5:9:9:14:4:6:3:13:14:7:10:7:2:4:13:14:12:9:14:4:14:14:7:17:17:17:12:14:9:3:10:16:10:11:12:13:11:12:17:13:14:11:11:16:15
6,0,17,0,109,1:2:0:1:2:5:0:8:0:2:1:1:2:2:8:8:1:0:8:1:0:6:5:3:8:5:3:1:6:4:6:5:3:8:7:9:8:0:6:7:6:4:7:4:1:10:6:10:9:9:9:9:3:7:5:10:5:4:3:13:4:4:7:10:13:5:9:9:14:4:6:3:13:14:7:10:7:2:4:13:14:12:9:14:4:14:14:7:17:17:17:12:14:9:3:10:16:10:11:12:13:11:12:17:13:14:11:11:16:16
7,0,17,0,108,1:2:0:1:2:5:0:8:0:2:1:1:2:2:8:8:1:0:8:1:0:6:5:3:8:5:3:1:6:4:6:5:3:8:7:9:8:0:6:7:6:4:7:4:2:10:6:10:9:9:9:9:3:7:5:10:5:4:3:13:4:4:7:10:13:5:9:9:14:4:6:3:13:14:7:10:7:2:3:13:14:10:9:13:4:8:14:0:17:17:17:12:14:9:3:13:16:10:11:12:13:12:12:11:14:11:16:14:8:17
8,0,17,0,107,1:2:0:1:5:2:0:8:0:5:1:1:2:2:8:8:1:0:8:1:0:6:5:3:8:5:3:1:6:4:6:5:3:8:7:9:8:0:6:7:6:4:7:4:2:10:6:10:9:9:9:9:3:7:5:10:5:4:3:13:4:3:7:10:13:5:9:13:13:4:6:13:7:13:1:10:7:2:4:13:14:10:14:13:4:14:4:14:17:17:17:11:11:3:11:17:16:10:14:12:11:12:11:17:12:7:3:12:0:13
9,0,16,0,106,1:2:0:1:5:2:0:8:0:5:1:1:2:2:8:8:1:0:8:1:0:6:5:3:8:5:3:1:6:4:6:5:3:8:7:9:8:0:6:7:6:4:7:4:2:10:6:10:9:9:9:9:3:7:5:10:5:4:3:13:4:3:7:10:13:5:9:13:13:4:6:13:7:13:1:10:7:2:4:13:14:10:14:13:4:14:4:14:17:17:17:11:11:3:11:17:14:10:12:12:11:12:11:17:12:7:3:12:0:13
10,0,16,0,105,1:2:0:1:5:2:0:5:0:5:1:1:2:2:8:8:1:0:8:1:0:6:8:3:8:5:3:1:6:4:6:5:3:8:7:9:8:0:6:7:6:4:7:4:2:10:6:10:9:9:9:9:3:7:5:10:5:4:3:13:4:3:7:10:13:5:9:13:13:4:6:13:7:13:1:10:7:2:4:13:14:10:14:13:4:14:4:14:17:17:17:11:11:3:11:17:14:10:12:12:11:12:11:17:12:7:3:12:0:13
12,0,15,0,104,1:5:1:1:2:5:0:2:0:2:1:6:2:2:0:5:1:1:2:6:0:8:8:6:8:8:6:1:0:4:6:5:3:8:9:9:4:0:6:3:5:6:4:3:8:10:0:10:7:9:9:3:13:10:5:7:4:4:13:13:7:3:7:9:8:5:13:3:13:4:9:13:7:10:1:10:14:2:3:13:14:10:3:13:4:11:11:7:7:10:11:17:9:13:17:6:4:17:11:14:17:14:11:10:3:17:7:14:0:14
15,0,15,0,100,1:5:1:1:2:5:0:2:0:2:1:6:2:2:0:5:1:1:2:6:0:8:8:6:8:8:6:6:0:4:6:5:3:8:9:9:4:0:6:3:5:5:4:3:8:10:0:10:13:9:9:3:13:1:3:10:4:4:13:9:13:3:10:10:9:5:13:3:7:4:6:13:7:7:1:7:14:2:3:13:14:8:14:13:4:7:9:7:7:10:11:11:7:9:14:7:4:11:17:14:11:17:11:17:3:17:10:0:14:11
542,10,15,0,99,1:15:1:1:8:9:15:9:15:9:1:17:17:9:15:8:1:9:8:17:0:0:8:17:15:1:17:17:0:4:14:9:5:15:14:14:5:0:17:5:8:15:4:5:9:13:0:3:3:4:13:5:1:3:8:13:0:0:3:14:15:14:3:4:14:9:13:14:3:4:17:13:5:16:1:5:16:16:5:8:3:16:13:8:16:13:4:16:11:13:10:10:11:3:5:11:16:4:18:18:10:14:18:10:18:10:11:0:15:10
