#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 14:56:56,wvcp,GEOM120b,local_search,11,35,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,21,0,44,0:1:2:3:4:1:4:4:2:0:2:3:5:5:3:5:2:0:4:5:5:1:0:3:1:0:6:7:0:7:6:6:1:7:2:7:2:7:6:8:9:9:10:8:11:12:13:2:14:13:6:1:13:12:9:11:7:12:11:8:9:10:14:10:13:14:11:10:11:7:14:10:15:14:3:16:15:16:17:16:17:17:18:19:19:20:9:15:13:8:12:20:18:19:19:20:19:8:11:15:16:6:16:14:1:5:16:20:16:14
1,0,21,0,43,0:1:2:3:4:1:4:4:2:0:2:3:5:5:3:5:2:0:4:2:5:1:3:3:1:0:6:5:0:6:12:3:6:1:6:2:3:7:6:8:13:9:10:8:9:12:13:2:11:13:8:1:10:6:5:13:8:11:13:7:4:9:10:12:13:10:12:11:13:6:11:9:15:14:7:16:17:11:17:16:18:14:18:20:19:20:12:15:15:10:12:10:18:7:20:19:15:19:15:14:18:12:20:3:8:15:14:4:13:0
2,0,20,0,42,0:1:2:3:4:1:4:4:2:12:1:3:5:3:3:5:2:0:4:2:5:1:6:3:1:0:6:5:0:4:12:5:6:1:12:4:2:7:6:8:13:9:10:8:9:12:13:2:11:0:7:10:9:4:12:13:8:12:13:7:8:11:8:10:13:10:10:11:8:9:11:11:15:9:7:17:17:11:17:14:19:19:18:20:6:20:18:15:15:17:14:5:19:7:20:14:19:8:2:15:18:11:8:7:19:3:20:18:6:13
3,0,19,0,41,0:1:2:3:4:1:4:4:2:12:1:3:5:3:3:5:2:0:4:6:5:1:6:3:1:0:6:5:0:12:12:3:6:1:6:2:5:7:6:8:13:7:10:8:9:12:13:10:11:0:10:10:9:12:9:0:7:8:13:11:7:2:10:6:13:10:12:8:8:5:3:2:5:18:7:17:19:14:17:14:18:2:18:20:19:20:2:14:14:8:9:11:19:20:13:11:14:20:9:13:17:2:9:7:12:9:11:8:11:17
4,0,19,0,40,0:1:2:3:4:1:5:4:4:2:0:3:5:3:2:5:2:0:0:4:0:1:5:3:1:2:12:3:4:4:12:3:2:1:12:4:3:7:6:8:13:7:10:8:9:12:6:10:11:2:8:12:9:12:11:11:7:9:9:11:6:13:9:10:9:8:8:10:7:8:0:8:5:20:7:13:19:14:13:6:18:17:14:20:19:17:1:20:18:20:10:17:19:18:0:18:19:18:11:10:11:19:17:5:4:14:17:19:14:14
11,0,18,0,39,12:1:4:0:3:1:5:4:4:2:0:3:5:3:2:5:4:0:0:12:0:1:2:3:1:2:12:3:4:3:12:3:2:1:5:12:5:6:18:8:13:8:10:8:9:2:13:10:7:1:10:12:9:7:2:13:8:5:7:10:2:4:10:8:7:9:6:13:13:8:0:8:5:19:6:18:11:7:9:10:14:20:14:12:20:11:20:9:19:13:9:18:11:6:0:19:11:20:13:7:5:11:14:6:19:18:18:9:18:9
18,0,18,0,38,12:1:4:0:3:1:5:12:4:2:0:4:5:3:2:3:4:0:0:12:0:1:2:3:1:2:12:3:2:2:12:5:5:1:5:4:4:8:18:5:13:8:10:5:9:2:13:10:7:1:10:13:9:7:8:1:8:5:12:13:18:4:10:3:10:7:7:9:9:9:0:8:19:14:11:18:6:7:9:10:9:20:14:12:20:11:20:19:19:13:6:18:6:11:0:14:19:13:7:14:4:20:20:7:19:11:9:2:18:8
29,1,17,0,37,12:1:4:2:0:1:5:12:4:2:0:4:5:4:2:3:4:0:0:12:0:1:5:3:1:2:12:3:2:3:12:5:5:1:5:4:3:8:18:5:13:8:10:5:14:3:13:10:9:1:10:3:9:8:2:1:8:18:9:18:0:4:9:12:10:13:13:9:4:0:8:18:19:14:11:7:6:7:9:10:14:19:11:12:6:18:13:11:7:13:14:7:11:6:13:11:6:6:19:2:9:14:19:18:9:7:18:3:6:12
36247106,1,17,0,37,12:1:4:2:0:1:5:12:4:2:0:4:5:4:2:3:4:0:0:12:0:1:5:3:1:2:12:3:2:3:12:5:5:1:5:4:3:8:18:5:13:8:10:5:14:3:13:10:9:1:10:3:9:8:2:1:8:18:9:18:0:4:9:12:10:13:13:9:4:0:8:18:19:14:11:7:6:7:9:10:14:19:11:12:6:18:13:11:7:13:14:7:11:6:13:11:6:6:19:2:9:14:19:18:9:7:18:3:6:12
#2022-10-12 15:56:57
