#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 13:05:42,wvcp,R75_5g,local_search,10,51,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,18,0,61,0:0:1:1:2:1:2:2:3:4:0:3:4:2:4:3:5:4:5:5:6:6:7:7:8:6:8:4:4:7:8:8:9:10:9:11:7:11:10:1:9:10:1:11:9:12:5:12:10:12:13:14:13:15:13:3:11:14:15:5:13:13:15:16:16:2:12:16:12:8:6:16:6:17:17
1,0,17,0,59,0:0:1:1:2:1:2:2:3:4:0:3:4:2:4:3:5:4:5:5:6:6:7:7:8:6:8:4:4:7:8:8:9:10:9:11:7:11:10:1:9:10:1:11:3:12:5:12:10:12:13:9:13:15:13:3:11:15:15:5:13:13:15:16:16:2:12:16:17:8:6:16:7:17:17
4,0,16,0,56,0:8:6:12:2:0:2:2:12:7:8:6:7:0:7:12:0:7:11:8:6:3:2:0:11:3:8:7:7:3:8:6:6:4:10:2:3:10:4:5:10:4:0:12:10:13:1:13:4:3:1:5:0:9:9:1:5:5:4:1:12:17:16:17:12:16:13:11:11:11:17:11:3:16:9
5,0,15,0,55,0:8:6:12:2:0:2:2:12:7:8:6:7:0:6:12:0:7:11:8:6:3:2:0:11:3:8:7:7:3:8:6:6:4:10:2:3:10:4:5:10:4:0:12:5:13:1:7:4:3:1:13:0:10:17:1:5:5:4:1:12:16:16:11:12:13:13:11:16:13:17:11:4:17:5
9,0,15,0,54,0:17:6:12:2:0:2:2:12:7:8:6:7:0:8:12:0:7:17:8:6:3:2:0:8:17:8:7:7:3:8:6:6:4:10:2:3:10:4:5:10:4:0:12:5:13:3:7:4:3:1:13:0:10:17:1:5:5:4:1:12:16:16:1:11:13:13:11:11:13:11:11:4:17:5
38,0,15,0,53,0:12:2:5:6:0:6:6:5:7:8:2:7:0:8:5:0:7:2:8:12:12:6:0:8:12:8:16:7:16:8:7:2:9:9:6:2:17:7:17:9:5:0:16:16:10:3:7:4:3:3:17:0:4:12:17:17:4:4:16:5:5:4:11:11:13:10:11:10:10:11:11:3:13:13
84,0,15,0,52,0:8:9:13:10:0:10:9:7:16:8:7:16:0:8:13:0:16:9:8:2:2:6:0:9:7:8:7:16:6:8:16:2:6:13:9:2:13:6:7:13:9:0:10:7:12:10:16:15:6:10:13:12:5:5:7:15:15:5:9:10:11:5:11:14:12:12:14:17:14:2:17:6:17:15
107,0,14,0,51,0:8:9:13:10:0:10:9:7:16:8:7:16:0:8:13:0:16:9:8:2:2:6:0:9:7:8:7:16:6:13:16:2:6:13:9:2:13:16:7:6:9:0:10:7:12:10:16:15:6:10:12:0:5:5:7:15:15:8:9:10:5:11:14:14:12:12:14:11:12:14:14:2:11:15
107,0,14,0,51,0:8:9:13:10:0:10:9:7:16:8:7:16:0:8:13:0:16:9:8:2:2:6:0:9:7:8:7:16:6:13:16:2:6:13:9:2:13:16:7:6:9:0:10:7:12:10:16:15:6:10:12:0:5:5:7:15:15:8:9:10:5:11:14:14:12:12:14:11:12:14:14:2:11:15
#2022-10-12 13:05:43
