#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 12:59:41,wvcp,R75_5gb,local_search,8,186,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,17,0,226,0:1:1:2:3:1:3:2:0:0:2:4:4:3:0:2:5:6:4:6:7:8:6:8:8:5:8:1:9:7:10:8:3:9:10:10:7:6:11:0:2:5:5:11:1:12:9:0:11:12:9:13:13:13:12:14:14:9:15:14:10:12:15:13:16:5:16:16:4:4:3:4:7:7:9
11,0,15,0,208,7:0:0:12:1:14:7:12:7:1:12:3:0:15:7:15:1:15:15:15:6:12:14:0:0:1:0:14:3:6:10:3:10:3:10:7:13:14:16:10:15:14:12:4:6:15:4:13:10:6:8:2:3:2:1:12:11:3:8:14:13:4:7:2:11:2:13:13:8:8:7:4:6:11:6
12,0,16,0,207,7:0:0:12:1:14:7:12:7:1:12:3:0:15:7:15:1:15:15:15:6:12:14:0:0:1:0:14:3:6:10:3:10:3:10:7:13:14:16:10:15:14:12:4:6:15:4:13:10:6:16:2:3:2:1:12:11:3:8:14:13:4:7:2:11:2:13:13:8:8:7:4:6:11:5
13,0,15,0,206,7:0:0:12:1:14:7:12:7:1:12:3:0:15:7:15:1:15:15:15:6:12:14:0:0:1:0:14:3:6:10:3:10:3:10:7:13:14:16:10:15:14:12:4:6:15:4:13:10:6:16:2:3:2:1:12:11:3:8:14:13:4:7:2:11:2:13:13:8:8:7:4:6:11:16
15,0,15,0,205,7:0:0:12:1:14:7:12:7:1:12:3:0:15:7:15:1:15:15:15:6:12:14:0:0:1:0:14:3:6:10:3:10:3:10:7:13:14:16:10:15:16:12:8:6:15:16:13:10:6:16:2:14:2:1:12:11:3:8:14:13:4:7:11:11:2:13:13:8:6:7:8:6:4:16
16,0,16,0,204,7:12:14:12:1:14:7:14:7:7:4:3:0:4:7:15:4:15:15:15:12:0:14:0:0:1:0:14:3:12:10:3:10:3:10:10:1:14:16:7:15:16:12:4:6:15:16:7:4:6:16:2:3:11:11:12:11:3:8:8:10:5:8:2:1:2:8:13:2:6:13:6:13:1:12
17,0,16,0,202,7:12:14:12:1:14:7:14:7:1:4:3:0:4:7:15:4:15:15:15:12:0:14:0:0:1:0:14:3:12:10:3:10:3:10:10:1:14:16:1:15:16:12:4:7:15:16:7:4:6:16:2:3:11:1:12:11:3:8:8:10:5:8:2:11:2:8:5:2:6:13:13:10:13:16
18,0,16,0,200,7:12:14:12:1:14:7:14:7:1:4:3:0:4:7:15:4:15:15:15:12:0:14:0:0:1:0:14:3:12:10:3:10:3:10:10:1:14:16:1:15:16:12:4:7:15:16:7:4:5:16:2:3:11:11:12:11:3:8:8:10:5:7:11:11:2:8:13:2:6:13:6:6:13:12
27,0,15,0,199,7:0:14:12:4:14:7:14:7:7:4:3:0:4:7:15:4:15:15:15:12:0:14:0:0:1:0:14:3:12:10:3:10:3:10:12:1:14:8:10:15:1:12:4:6:15:1:7:10:6:16:2:3:11:11:12:11:3:8:8:2:16:8:11:11:16:8:13:2:6:13:6:1:1:2
28,0,15,0,198,7:12:14:12:4:14:7:14:7:7:4:3:0:4:7:15:4:15:15:15:12:0:14:0:0:1:0:14:3:12:10:3:10:3:10:10:1:14:8:7:8:1:12:4:6:15:1:7:16:6:16:2:3:11:11:12:11:3:8:8:10:16:8:16:11:16:8:13:4:6:13:6:10:13:2
39,0,14,0,197,7:0:14:12:4:14:7:14:7:7:4:3:0:15:7:15:4:15:15:15:12:0:14:0:0:16:0:14:3:12:10:3:10:16:10:4:12:12:8:7:8:16:4:4:6:15:1:7:10:16:1:6:3:11:11:8:11:3:8:8:10:1:13:1:13:6:8:13:6:3:13:1:11:13:16
40,0,14,0,196,7:12:14:12:4:14:7:14:7:7:4:3:0:15:7:15:4:15:15:15:12:0:14:0:0:16:0:14:3:12:10:3:10:16:10:4:12:14:8:7:8:16:4:4:6:15:1:7:10:16:1:6:3:11:11:8:11:3:8:8:10:1:13:1:13:6:8:13:6:3:13:1:11:13:16
184,3,14,0,195,0:9:10:5:8:1:0:5:0:0:8:1:9:6:0:6:8:6:6:6:10:9:10:9:9:8:9:1:15:10:13:4:5:15:15:15:5:13:4:0:6:1:8:1:4:6:3:4:11:10:11:3:1:3:13:4:13:15:3:13:15:11:16:11:5:11:16:16:2:2:5:2:15:2:0
189,3,14,0,192,0:9:10:5:8:1:0:5:0:0:8:1:9:6:0:6:8:6:6:6:10:9:10:9:9:8:9:1:15:13:13:10:5:15:15:15:5:13:4:0:6:1:8:1:4:6:3:4:11:10:11:3:1:3:4:4:13:15:3:1:15:11:16:11:5:11:16:16:2:2:5:2:13:16:0
455,6,15,0,191,15:0:4:16:5:4:5:4:15:6:10:12:0:6:15:6:10:16:6:6:16:0:4:5:0:10:0:4:15:11:5:16:5:15:10:15:16:4:11:5:6:12:12:12:11:6:0:11:14:10:14:13:12:8:5:11:8:14:1:1:13:12:1:8:8:14:11:7:13:7:15:13:7:13:3
456,6,15,0,190,15:16:4:16:5:4:5:4:15:6:10:12:0:6:15:6:10:16:6:6:16:0:4:5:0:10:0:4:15:11:5:16:5:15:10:15:16:4:11:5:6:12:12:12:11:6:0:11:14:10:14:13:12:8:5:11:8:14:1:1:13:12:1:8:8:14:11:7:13:7:15:13:7:13:3
585,8,15,0,189,15:16:4:16:5:4:5:4:15:6:10:12:0:6:15:6:10:16:6:6:16:0:4:5:0:10:0:4:15:11:5:16:5:15:10:15:16:4:11:5:6:12:12:12:11:6:0:11:14:10:14:13:12:13:5:11:3:14:13:3:14:12:7:7:7:14:7:1:8:13:15:7:1:3:1
60702991,8,15,0,189,15:16:4:16:5:4:5:4:15:6:10:12:0:6:15:6:10:16:6:6:16:0:4:5:0:10:0:4:15:11:5:16:5:15:10:15:16:4:11:5:6:12:12:12:11:6:0:11:14:10:14:13:12:13:5:11:3:14:13:3:14:12:7:7:7:14:7:1:8:13:15:7:1:3:1
#2022-10-12 13:59:42
