#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 14:57:54,wvcp,inithx.i.3,local_search,6,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,33,0,362,0:0:1:2:3:0:0:2:0:3:2:1:2:2:1:2:1:4:2:3:2:3:2:1:2:1:2:0:2:2:3:5:5:4:1:3:3:3:2:6:0:3:3:0:6:2:3:3:3:1:2:3:0:0:6:7:7:8:9:10:10:2:9:3:1:6:3:3:3:6:3:6:1:6:0:9:8:1:2:10:6:1:6:1:11:12:12:1:6:12:2:6:6:2:0:11:1:2:8:12:12:3:2:6:0:0:3:12:13:13:14:15:1:6:12:6:15:6:12:6:8:6:15:8:15:14:16:12:15:1:6:2:1:17:18:19:15:2:12:6:0:12:19:16:18:15:20:3:20:0:12:6:2:12:12:3:20:15:15:0:1:12:0:21:22:20:22:17:6:6:15:1:23:21:23:24:20:24:15:3:1:15:25:25:26:26:27:24:27:27:6:2:27:2:28:27:29:24:20:9:24:24:2:27:1:0:12:27:2:29:30:31:29:24:31:31:30:31:6:15:27:1:30:28:31:29:30:12:32:30:29:30:6:15:29:24
16,4,31,0,359,0:0:28:2:1:1:2:1:2:1:0:1:1:1:0:2:2:11:0:2:1:0:2:1:2:2:2:1:1:1:0:5:5:11:0:2:2:1:6:6:2:6:2:2:0:6:2:6:1:2:0:2:2:1:0:4:28:4:18:7:7:1:1:2:0:2:6:0:0:6:0:1:3:6:3:3:3:1:3:7:1:6:3:0:9:18:1:3:9:2:1:6:1:3:6:15:1:1:6:15:3:3:1:18:15:1:15:15:13:13:21:23:3:6:3:6:15:2:0:2:3:1:15:2:0:22:23:15:3:15:6:15:15:32:21:8:15:0:1:15:2:6:8:14:20:15:20:15:14:1:14:0:15:0:14:2:12:0:2:12:3:20:13:27:10:20:10:22:3:6:15:6:19:24:32:24:12:3:0:9:6:6:26:26:25:31:1:14:6:6:0:3:0:12:19:30:25:12:24:20:9:9:3:2:6:2:2:20:14:12:27:29:24:12:30:24:30:24:9:6:30:14:30:29:12:10:30:20:31:14:20:24:30:23:12:12
19,5,31,0,358,0:0:28:2:1:2:2:1:2:2:1:1:2:2:0:0:2:11:0:2:1:0:1:0:0:2:1:0:2:0:1:5:5:11:0:28:2:28:1:6:2:6:0:2:6:2:1:6:1:1:2:28:2:1:0:4:28:4:18:7:7:1:1:2:0:1:1:2:6:2:0:1:3:6:3:1:3:3:2:6:2:1:1:3:9:18:0:6:6:3:2:1:1:2:3:15:1:15:2:1:3:7:3:6:6:1:6:6:13:13:21:3:3:6:3:6:15:15:6:1:9:15:2:18:1:22:23:6:3:0:2:15:0:32:21:8:15:0:1:6:15:6:8:14:20:14:20:14:1:20:1:14:15:15:14:3:12:13:14:3:15:3:1:27:10:20:10:22:12:0:14:18:19:24:32:15:12:9:15:1:3:24:26:26:25:31:12:14:6:12:24:9:14:2:19:30:25:30:12:20:9:2:14:24:2:1:3:15:24:6:27:29:12:30:15:2:14:2:6:24:30:1:15:29:20:20:30:24:31:24:20:15:14:23:15:24
20,6,31,0,356,0:0:28:2:1:2:0:2:2:2:0:2:1:1:2:0:0:11:0:2:0:1:1:0:0:28:0:2:1:2:0:5:5:11:0:28:2:1:6:6:0:6:2:2:1:2:2:2:1:6:1:28:1:6:0:4:28:4:18:7:7:1:1:1:0:2:6:1:6:7:1:1:0:6:1:6:3:2:1:3:3:3:1:6:9:18:3:2:2:3:6:3:6:0:0:15:1:3:6:6:0:0:15:28:2:2:15:7:13:13:21:3:3:6:3:2:15:15:6:0:2:2:1:18:1:22:23:15:6:1:1:1:1:32:21:8:6:1:6:2:2:28:8:14:23:14:14:14:15:15:15:2:6:15:3:2:12:13:1:12:3:0:12:27:10:20:10:22:2:14:12:18:19:24:32:12:3:9:2:9:24:12:26:26:25:31:15:24:14:20:24:20:1:24:19:30:25:30:12:20:9:9:6:30:9:6:3:6:6:30:27:29:24:12:15:20:20:3:6:15:24:10:15:29:30:3:30:12:31:12:6:0:30:23:2:20
22,7,31,0,354,0:0:28:2:1:2:0:2:2:2:0:2:1:1:2:0:0:11:0:2:0:1:1:0:0:28:0:2:1:2:0:5:5:11:0:28:2:1:6:6:6:6:2:2:1:2:2:2:1:6:1:28:1:6:0:4:28:4:18:7:7:1:1:1:1:2:6:1:6:7:6:1:0:6:1:6:3:2:1:3:3:3:1:6:9:18:3:2:2:3:6:3:1:3:0:15:1:3:6:6:0:0:15:28:2:2:15:7:13:13:21:3:3:6:3:2:15:15:6:0:2:2:1:18:1:22:23:15:6:1:1:2:1:32:21:8:6:1:6:2:2:28:8:14:23:3:14:14:15:15:15:2:6:15:3:15:12:13:1:12:12:1:12:27:10:14:10:22:2:12:12:18:19:24:32:12:3:9:2:9:24:12:26:26:25:31:15:24:14:20:24:20:1:24:19:30:25:30:12:20:9:20:3:30:9:6:3:25:6:30:27:29:24:12:15:20:20:3:6:15:30:10:15:29:30:3:30:30:31:12:6:30:30:23:2:20
23,7,31,0,353,0:0:28:2:1:2:0:2:2:2:0:2:1:1:2:0:0:11:0:2:0:1:1:0:2:28:0:2:1:2:0:5:5:11:0:28:2:1:6:6:6:6:2:2:1:2:2:2:1:6:1:28:1:6:0:4:28:4:18:7:7:1:1:1:1:2:6:1:6:7:6:1:0:6:1:6:3:2:1:3:3:3:1:6:9:18:3:2:2:3:6:3:1:3:0:15:1:3:6:6:0:0:15:28:2:2:15:7:13:13:21:3:3:6:3:2:15:15:6:0:2:2:1:18:1:22:23:15:6:1:1:6:1:32:21:8:6:1:2:2:2:28:8:14:23:3:14:14:15:15:15:2:6:15:3:15:12:13:1:12:12:1:12:27:10:14:10:22:2:12:12:18:19:24:32:12:3:9:2:9:24:12:26:26:25:31:15:24:14:24:0:1:1:24:19:30:25:30:12:20:9:2:3:30:9:6:3:25:6:30:27:29:24:12:15:20:20:3:6:15:30:14:15:29:30:3:30:30:31:12:6:30:30:23:2:20
28,9,31,0,351,0:0:28:2:1:2:2:2:2:2:0:2:0:0:2:2:0:28:0:2:0:1:2:1:1:1:2:1:1:1:0:5:5:11:0:28:2:6:6:6:2:1:1:2:1:2:0:0:2:1:0:2:1:1:0:4:11:18:4:7:7:1:1:2:0:6:1:2:6:7:2:2:0:6:1:2:3:6:2:0:3:6:1:3:27:18:1:2:2:3:1:1:6:1:3:15:1:3:6:6:15:3:2:1:0:0:3:7:13:13:21:3:3:6:3:2:15:0:2:6:6:1:15:28:3:22:23:6:15:1:15:3:1:32:21:8:1:6:1:15:2:1:8:14:23:15:14:3:14:14:15:0:1:6:3:3:12:15:1:15:15:0:6:31:10:14:10:22:6:15:3:28:9:24:32:12:2:9:12:6:2:0:26:26:25:31:3:12:3:6:12:3:2:6:19:30:25:24:12:20:9:18:6:24:9:20:28:14:6:24:27:29:29:12:20:24:20:3:20:15:10:12:1:19:24:20:24:1:30:12:24:0:24:23:29:14
31,10,31,0,350,0:0:28:2:1:1:1:1:1:2:0:2:2:0:0:0:0:28:0:2:2:1:0:1:2:2:2:2:2:2:1:11:5:11:0:28:2:6:6:6:2:2:2:2:1:6:2:0:6:6:6:2:0:6:0:4:4:5:18:7:7:0:1:6:6:2:1:6:6:1:0:2:0:6:1:28:3:2:2:7:1:1:7:3:19:18:1:3:2:2:0:6:2:1:0:15:1:3:6:15:6:15:2:2:6:2:0:6:13:13:21:3:3:6:3:3:15:3:6:6:2:2:1:1:2:22:23:15:15:3:15:1:0:32:21:8:1:0:1:3:6:2:8:14:23:15:14:14:6:14:15:2:1:14:1:3:12:12:6:2:1:15:1:31:10:12:10:22:3:6:10:1:9:24:32:14:1:9:14:9:15:1:26:26:25:31:3:0:12:24:12:14:6:24:19:30:25:24:24:20:9:18:1:12:6:0:1:13:1:0:27:29:20:29:2:24:14:29:20:24:20:14:15:27:29:15:1:3:30:14:15:0:6:23:15:29
208,73,31,0,349,0:2:28:2:1:0:1:0:0:1:0:2:1:0:2:1:1:28:0:2:2:2:2:0:1:28:1:0:2:0:1:5:5:11:0:28:2:2:1:6:2:2:2:6:2:6:2:1:2:2:1:6:6:2:6:4:11:7:4:18:7:0:1:0:6:0:6:6:0:6:2:2:0:6:1:6:3:3:1:3:6:2:0:18:16:18:3:1:2:2:3:6:6:6:3:15:1:3:6:6:6:18:1:18:2:1:0:6:13:13:21:3:6:6:3:6:15:1:6:2:6:2:1:18:3:22:23:3:15:1:1:1:15:32:21:8:15:15:15:6:2:1:8:14:23:3:14:6:2:14:15:2:15:14:15:2:12:14:1:14:0:3:6:31:10:12:10:22:3:1:3:1:9:24:32:15:3:9:15:18:0:15:26:26:25:31:14:24:12:24:12:3:0:1:16:30:25:14:14:23:9:28:15:30:2:1:28:1:2:1:27:19:24:30:3:30:12:30:20:12:20:12:3:27:30:14:24:1:19:20:0:15:15:20:24:10
209,74,31,0,348,0:2:28:2:1:0:1:0:0:1:1:1:1:0:0:0:1:28:0:2:2:2:2:0:1:28:1:0:2:0:2:5:5:11:0:28:2:2:1:6:2:2:2:6:2:6:6:1:1:6:1:2:2:2:6:4:11:7:4:18:7:0:1:0:6:0:6:1:0:6:0:6:0:6:1:6:3:6:1:1:6:2:2:18:16:18:3:1:2:2:0:6:6:2:6:15:1:3:6:6:6:18:1:18:15:1:3:3:13:13:21:3:6:6:3:18:15:1:6:2:6:2:3:18:6:22:23:3:15:1:1:3:15:32:21:8:15:15:0:6:15:1:8:14:23:3:14:6:2:14:15:2:15:6:15:2:12:15:15:14:1:3:18:31:10:12:10:22:3:1:3:1:9:24:32:15:3:9:15:14:0:6:26:26:25:31:14:24:12:24:12:6:0:1:16:30:25:14:12:23:9:28:15:15:9:15:28:12:2:0:27:19:24:24:3:30:14:24:2:12:12:14:12:27:30:20:24:2:19:30:0:20:30:20:24:10
