#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 15:05:54,wvcp,le450_15a,local_search,9,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,25,0,288,0:0:0:1:0:0:1:2:2:0:1:2:2:0:1:1:2:1:1:1:2:3:3:2:1:3:0:3:3:3:3:2:3:3:3:3:4:2:4:4:2:2:2:4:5:5:6:5:6:1:6:4:6:1:1:4:5:3:6:5:4:0:5:6:6:6:1:5:4:2:3:5:5:0:5:4:7:0:2:1:7:4:6:7:5:0:4:7:6:4:8:8:8:8:5:5:8:7:7:7:5:2:7:3:7:0:0:4:2:7:2:9:10:1:6:1:4:3:8:9:9:10:9:5:10:6:6:9:10:7:4:3:7:10:4:10:6:2:4:1:11:11:12:9:12:10:9:7:8:11:11:6:8:10:7:12:10:1:9:9:10:8:6:0:4:12:13:7:10:13:5:13:8:12:5:10:9:12:0:13:9:0:8:3:0:11:6:14:14:15:11:12:12:15:1:9:14:12:14:6:6:15:8:13:8:9:14:13:1:15:10:0:13:10:14:10:11:14:9:9:7:14:14:6:15:15:11:16:11:2:16:16:13:7:12:11:12:15:13:16:8:3:14:14:14:15:11:13:13:7:12:14:11:13:14:16:14:7:15:12:9:15:2:7:10:4:11:5:14:5:17:17:18:17:17:18:17:17:15:7:10:9:16:16:16:15:15:14:13:0:9:13:8:17:18:11:3:9:18:12:18:17:16:6:2:16:10:11:18:18:1:11:14:0:13:9:10:0:9:14:19:19:19:18:18:16:17:19:10:17:18:18:17:6:12:13:18:0:5:16:6:19:17:20:16:20:20:20:21:18:21:21:19:19:21:17:19:21:12:12:17:20:11:10:18:21:20:10:21:20:15:22:20:22:4:20:22:8:22:13:19:6:16:20:19:22:20:23:0:23:21:11:22:22:23:23:2:9:9:18:20:21:8:8:11:15:22:24:22:24:24:21:14:8:4:16:2:5:23:18
2,1,25,0,287,0:0:0:1:0:0:1:2:2:0:1:2:2:0:1:1:2:1:0:1:2:3:3:2:1:3:0:3:4:3:3:2:3:3:3:3:4:4:3:4:1:2:0:4:5:5:6:5:6:1:6:4:6:1:1:4:5:3:6:5:4:0:5:6:4:6:1:3:6:2:2:0:5:0:3:4:7:0:0:1:7:4:6:7:1:2:6:7:6:4:8:8:8:8:5:5:8:7:7:7:5:2:7:3:7:4:6:1:2:7:5:9:10:1:6:1:4:3:8:9:9:10:9:5:5:6:6:9:10:4:4:3:7:10:8:10:8:3:9:7:11:11:12:9:12:10:9:7:8:11:0:6:8:10:7:12:11:7:9:12:4:8:5:3:7:12:13:7:13:13:5:13:8:12:5:11:9:10:0:13:2:0:10:3:9:6:8:14:14:15:11:12:12:15:1:14:6:0:9:6:0:15:8:13:8:9:11:13:1:9:10:15:2:1:14:6:11:10:2:8:8:2:10:14:15:15:11:16:11:2:16:16:13:7:12:6:14:14:13:16:8:5:5:9:4:14:6:13:13:7:12:14:3:13:0:3:12:7:9:12:9:15:14:7:9:14:3:5:1:3:17:17:14:17:17:18:17:17:15:15:10:14:16:16:16:13:15:14:12:4:13:15:10:17:12:1:12:7:18:12:18:17:16:2:2:17:12:13:3:10:17:13:16:0:9:2:1:17:16:2:19:19:5:18:18:19:17:15:10:11:18:18:12:6:14:8:19:13:13:14:10:12:17:21:16:20:20:20:14:19:19:21:12:15:0:17:0:20:11:17:10:21:12:5:20:21:20:10:18:20:11:19:20:19:4:18:20:11:10:21:20:20:11:21:20:21:21:23:0:21:22:16:23:13:3:21:11:20:20:22:14:22:18:6:22:5:8:24:22:21:23:24:9:19:24:23:9:22:14:24
4,4,23,0,282,0:0:0:1:0:0:1:2:2:0:1:2:2:0:1:1:2:1:2:1:2:3:3:2:1:3:0:3:4:3:3:2:3:3:3:3:4:4:3:4:1:1:0:4:5:5:6:5:6:1:6:4:6:1:1:4:0:3:6:5:4:0:5:6:4:6:1:2:6:2:2:0:5:0:6:4:7:0:0:1:7:4:7:7:1:2:4:7:6:4:8:8:8:8:5:6:8:7:7:7:5:2:4:3:7:2:6:1:2:7:7:9:10:1:6:1:4:3:8:9:9:10:9:5:5:6:6:9:10:9:4:3:7:10:8:10:7:3:9:7:11:11:12:9:12:10:11:7:8:11:0:6:7:11:7:4:10:7:11:12:10:4:3:3:7:12:13:7:10:13:5:13:8:12:5:13:9:12:0:10:2:0:10:3:13:0:1:14:14:15:11:12:12:15:1:9:6:12:9:10:11:15:8:13:8:9:11:13:1:9:14:15:3:9:15:5:11:14:2:4:8:14:10:4:15:15:10:16:11:2:16:16:13:7:12:6:14:16:13:7:8:0:10:11:11:15:9:13:13:7:12:14:3:13:11:3:12:5:9:12:9:15:14:7:10:4:13:5:7:16:17:17:14:17:17:18:16:2:15:15:10:14:16:16:15:8:15:14:12:6:3:17:8:17:13:1:17:7:18:16:12:17:16:2:2:0:9:18:11:18:8:10:9:15:18:4:1:1:2:18:19:19:14:18:18:18:0:15:19:16:18:16:18:6:19:11:9:12:9:5:12:15:18:14:16:3:20:18:11:19:20:20:12:20:20:20:19:18:9:14:16:17:9:4:1:21:21:10:10:17:11:19:20:13:19:18:11:21:17:3:21:19:0:2:13:4:18:20:21:21:7:19:21:10:3:16:21:5:20:21:16:20:13:6:20:5:13:23:21:23:21:23:23:19:12:2:6:19:10:21
5,5,23,0,281,0:0:0:1:0:0:1:2:2:0:1:2:2:0:1:1:2:1:1:1:2:3:3:2:1:3:0:3:4:3:3:2:3:3:3:3:4:4:4:4:1:1:0:4:5:5:6:5:6:1:6:4:6:1:1:4:0:3:6:6:4:0:5:6:4:6:1:2:6:2:2:0:1:0:5:4:7:0:0:1:7:4:6:7:6:2:4:7:6:4:8:8:8:8:5:6:8:7:7:7:5:2:5:5:7:2:0:1:4:5:5:9:10:1:6:1:4:3:8:9:9:10:9:5:5:6:6:8:10:10:4:3:7:10:6:10:7:7:6:7:11:11:12:9:12:10:11:7:8:11:0:6:7:11:7:4:11:3:5:1:0:4:3:3:11:12:13:7:13:13:5:13:8:12:11:11:9:12:7:13:2:0:10:7:7:0:0:14:14:15:11:12:12:15:1:2:8:12:9:15:4:15:8:13:8:9:11:13:1:9:14:15:3:9:15:9:11:2:12:2:13:5:10:4:15:15:10:16:11:2:16:16:13:7:12:6:12:14:13:7:8:0:10:11:10:14:9:13:13:7:12:14:3:0:0:16:12:5:15:12:8:12:9:11:10:10:13:16:1:11:17:17:14:17:17:5:16:2:15:15:10:14:16:16:15:8:15:14:13:14:3:15:16:17:13:11:15:5:18:16:17:17:16:2:2:9:9:18:17:10:6:14:18:18:18:14:10:0:8:6:19:19:14:18:18:8:0:15:19:16:18:16:19:6:19:12:18:18:9:17:4:17:13:14:16:20:20:18:11:19:20:20:18:20:20:17:19:20:9:14:16:1:18:12:18:21:21:10:10:17:11:19:19:13:19:4:18:21:17:3:21:16:20:12:7:15:21:20:21:21:14:19:21:17:19:13:17:20:4:21:12:20:6:13:3:17:15:23:21:23:18:23:23:16:12:19:23:8:7:6
6,6,22,0,280,0:0:0:1:0:0:1:2:2:0:1:2:2:0:1:1:2:0:0:1:2:3:3:2:1:3:0:3:4:3:3:2:3:3:3:3:4:4:4:4:1:1:0:4:5:5:6:5:6:1:6:4:6:1:1:4:0:3:4:6:4:0:5:6:4:6:1:2:6:2:2:0:1:0:0:4:7:0:2:1:7:4:6:7:6:2:4:7:6:4:8:8:8:8:5:6:8:7:7:7:5:2:5:5:7:4:0:1:4:5:0:9:10:1:6:1:4:3:8:9:9:10:9:5:5:6:6:8:10:9:4:3:2:10:9:10:7:7:0:6:11:11:12:9:12:10:11:5:8:11:0:6:7:11:7:4:11:3:8:1:10:4:6:3:10:12:13:7:13:13:5:13:8:12:11:11:9:12:7:13:2:0:10:7:7:8:7:14:14:15:11:12:12:15:1:2:8:12:9:10:12:15:8:13:8:9:5:13:1:15:14:1:10:9:15:10:11:2:12:2:13:5:4:15:15:15:10:16:11:2:16:16:13:7:12:6:12:16:13:7:8:0:7:11:10:14:9:13:13:7:12:14:3:0:0:16:12:5:5:12:8:15:9:11:10:10:13:6:1:5:17:17:14:17:17:5:16:2:15:7:10:14:16:15:15:4:6:9:13:14:13:17:16:17:13:8:17:8:18:16:17:17:16:2:2:9:9:18:3:10:0:13:9:14:12:9:5:0:17:2:19:19:14:18:18:8:17:15:11:16:18:16:19:6:19:10:18:2:12:17:4:15:12:14:16:20:20:18:11:19:19:20:18:20:19:17:19:10:9:12:16:17:9:17:7:21:21:10:10:17:11:19:21:13:19:4:19:21:17:3:21:13:18:12:18:8:16:20:21:14:14:11:21:17:20:13:3:9:15:19:17:18:19:10:19:14:14:20:21:19:21:20:18:16:12:19:15:17:20:11
7,6,22,0,279,0:0:0:1:0:0:1:2:2:0:1:2:2:0:1:1:2:0:0:1:2:3:3:2:1:3:0:3:4:3:3:2:3:3:3:3:4:4:4:4:2:0:0:4:5:5:6:5:6:1:6:4:6:1:1:4:0:3:4:6:4:0:5:6:4:6:6:3:6:2:2:4:1:0:3:4:7:0:2:1:7:4:3:7:6:4:5:7:6:4:8:8:8:8:5:6:8:7:7:7:5:2:4:5:7:4:8:1:4:5:3:9:10:1:6:1:4:3:8:9:9:10:9:5:10:6:6:4:10:9:9:3:10:10:7:10:7:2:4:8:11:11:12:9:12:10:11:5:8:10:0:6:7:10:7:11:11:3:8:1:9:10:6:3:10:12:13:7:13:13:5:13:8:12:11:11:11:12:7:2:2:2:13:2:13:0:11:14:14:15:11:12:12:8:1:9:8:1:15:9:7:15:8:13:8:9:14:13:1:15:2:1:2:15:14:10:15:2:1:8:13:14:14:6:15:15:10:16:11:2:16:10:13:7:12:6:12:14:13:7:8:0:14:13:5:8:9:13:13:7:12:14:3:0:0:16:12:5:13:12:8:15:5:11:16:4:10:5:12:1:17:17:14:17:17:5:16:2:15:7:10:11:16:15:15:4:9:9:15:17:13:8:16:11:11:12:7:11:15:12:17:17:16:2:2:9:9:6:9:1:1:9:14:0:13:9:6:0:16:7:19:19:14:18:18:8:0:14:11:16:18:9:19:16:4:11:18:9:16:15:12:8:15:19:16:20:20:18:17:19:19:20:17:5:16:17:19:18:20:12:14:0:14:14:20:21:21:10:10:17:11:19:9:13:12:4:21:3:17:16:21:5:17:18:7:20:15:20:21:14:14:5:11:13:20:13:12:9:20:9:19:18:12:16:15:14:14:20:21:19:20:18:18:21:12:20:1:19:20:8
8,7,22,0,278,0:0:0:1:0:0:1:2:2:2:1:2:2:0:1:1:2:0:2:1:2:3:3:2:1:3:0:3:4:3:3:2:3:3:3:0:4:2:2:4:4:2:1:4:5:5:6:5:6:1:6:2:6:1:4:4:5:3:5:6:2:4:5:6:6:0:1:3:6:4:3:2:6:0:0:4:7:0:2:1:7:4:7:7:5:1:5:7:6:4:8:8:8:8:5:6:8:6:7:7:5:2:4:8:7:4:8:6:2:1:5:9:10:1:6:1:4:3:7:9:9:10:9:5:10:6:6:4:8:4:4:7:4:10:6:10:3:2:0:7:11:11:12:9:12:3:9:5:12:10:11:6:11:9:2:4:9:3:9:12:10:12:11:7:7:12:13:7:13:10:5:13:8:12:11:11:0:7:8:3:7:11:10:11:13:0:10:14:14:15:11:12:12:8:14:12:8:6:8:7:15:15:8:13:8:9:14:14:11:15:10:8:0:3:10:10:3:2:12:12:6:14:14:6:15:15:10:16:11:2:16:11:13:7:12:8:11:16:9:1:11:13:3:9:14:14:15:13:13:9:7:14:3:16:14:16:13:5:15:12:5:7:9:9:16:6:10:1:7:1:17:17:14:17:16:5:16:2:15:15:17:11:16:15:15:4:1:7:7:10:6:0:12:17:16:8:7:5:15:13:12:17:16:14:13:17:10:10:3:15:1:17:3:0:13:3:0:7:9:14:19:19:14:19:14:17:14:15:19:19:4:10:19:12:19:13:16:12:9:19:8:10:11:17:16:20:17:20:19:18:11:20:18:5:16:17:9:2:9:15:18:5:17:19:1:21:21:19:10:18:21:18:19:21:18:7:21:21:18:13:14:0:8:20:13:14:19:2:0:15:20:20:21:12:20:19:17:5:18:6:12:8:13:12:13:11:17:20:21:20:19:11:9:19:20:5:15:5:0:20
9,8,22,0,277,0:0:0:1:0:0:1:2:2:2:1:2:2:0:1:1:2:0:2:1:2:3:3:2:1:3:0:3:4:3:3:2:3:3:3:0:4:2:2:4:4:2:1:4:5:5:6:5:6:1:6:2:6:1:4:4:5:3:4:6:2:4:5:6:6:0:1:3:6:4:3:2:6:0:0:4:7:0:2:1:7:4:7:7:5:1:5:7:6:4:8:8:8:8:5:6:8:6:7:7:5:2:4:8:7:4:8:6:2:1:5:9:10:1:6:1:4:3:7:9:9:10:9:5:10:6:6:4:8:4:4:7:10:10:0:10:3:2:0:7:11:11:12:9:12:3:9:5:12:10:11:6:11:9:2:4:9:3:9:12:10:12:11:7:7:12:13:7:13:10:5:13:8:12:11:11:0:7:8:13:7:11:10:11:13:0:10:14:14:0:11:12:12:8:14:12:8:6:8:7:12:15:8:13:8:9:14:14:11:15:10:8:0:3:10:10:3:10:12:12:6:14:14:6:15:15:10:16:11:2:16:11:13:7:12:8:11:16:9:1:11:13:3:9:14:14:15:13:13:9:7:14:3:16:14:16:13:5:15:12:5:7:9:9:16:6:10:1:7:1:17:17:14:17:16:5:16:2:15:15:17:11:16:15:15:4:1:7:7:10:6:0:12:17:16:8:17:5:15:13:12:17:16:14:13:17:10:10:3:15:1:17:3:0:13:3:0:7:17:14:19:19:14:19:14:17:14:15:19:19:4:10:19:12:19:4:16:12:9:19:8:10:11:17:16:20:17:20:19:18:11:20:18:5:16:17:0:2:9:15:18:5:17:19:1:21:21:19:10:18:21:18:19:21:18:7:21:21:18:13:14:0:8:20:13:14:19:2:0:15:20:20:21:12:20:19:17:5:18:6:12:8:13:12:13:11:17:20:21:20:19:11:9:19:20:5:15:5:0:20
10,9,22,0,276,0:0:0:1:0:0:1:2:2:0:1:2:2:0:1:1:2:0:1:1:2:3:3:2:1:3:0:3:4:3:3:2:3:3:3:3:4:4:1:4:4:2:0:4:5:5:6:5:6:1:6:2:0:1:4:4:6:3:4:6:2:4:5:6:6:0:1:3:6:4:3:4:6:0:0:4:7:0:2:1:7:4:7:7:5:1:5:7:6:4:8:8:8:8:5:6:8:6:7:7:5:2:4:8:7:7:2:6:1:1:2:9:10:1:6:1:4:3:7:9:9:10:9:5:10:6:6:4:8:4:4:7:10:10:7:10:3:2:9:8:11:11:12:9:12:5:9:5:12:10:11:6:10:9:2:7:9:3:5:10:10:12:5:7:2:12:13:7:13:10:5:13:8:12:11:11:0:12:8:13:7:11:10:7:4:8:8:14:14:0:11:12:12:8:14:12:9:6:8:7:6:15:8:13:8:9:14:14:11:15:10:8:2:3:15:6:15:11:4:12:6:5:9:4:8:15:10:16:11:2:16:15:13:7:12:8:11:16:9:1:14:13:13:14:9:12:10:13:13:9:7:14:3:16:14:16:13:5:13:16:5:7:3:13:10:2:5:1:1:8:17:17:14:17:11:5:16:2:10:15:17:11:4:15:15:4:1:7:16:10:6:0:16:17:13:6:3:8:15:13:12:17:16:14:13:17:10:10:3:1:1:17:6:12:13:3:0:5:3:7:19:19:14:19:14:14:17:15:19:19:13:10:19:12:19:11:16:3:19:15:8:12:14:17:16:20:17:20:19:1:11:20:6:5:0:17:17:2:20:15:15:19:11:0:1:21:21:19:10:18:21:18:19:11:18:7:21:21:20:13:14:0:17:16:17:1:21:2:21:12:9:20:17:18:20:20:2:5:14:17:19:13:20:18:5:16:18:20:21:20:19:7:9:19:20:5:15:18:10:14
11,10,22,0,275,0:0:0:1:0:0:1:2:2:0:1:2:2:0:1:1:2:0:2:1:2:3:3:2:1:3:0:3:4:3:3:2:3:3:3:3:4:4:1:4:2:2:0:4:5:5:6:5:6:1:6:2:0:1:4:4:6:3:4:6:2:4:5:6:6:0:1:2:6:4:4:1:6:0:3:4:7:0:2:1:7:4:7:7:5:1:5:7:6:4:8:8:8:8:5:6:8:6:7:7:5:2:4:3:7:4:2:3:1:1:2:9:10:1:6:1:4:3:7:9:9:10:9:5:10:6:6:4:8:4:4:7:10:9:7:10:3:3:4:7:11:11:12:9:12:5:9:5:12:10:0:6:10:9:2:7:9:11:5:10:10:12:11:8:11:12:13:7:13:10:5:13:8:12:11:11:0:12:8:9:7:11:10:7:9:1:4:14:14:0:11:12:12:8:14:12:8:8:13:7:7:15:8:13:8:9:14:14:13:9:12:8:2:12:15:6:3:11:4:12:9:5:9:5:15:15:10:16:11:2:16:11:13:7:12:8:14:11:9:16:1:13:10:14:9:8:10:13:13:9:7:14:3:16:14:16:13:5:14:16:5:15:3:15:16:6:5:11:16:14:17:17:14:17:11:5:16:2:10:15:17:11:4:15:15:4:1:7:13:3:6:8:12:11:12:9:6:2:15:13:6:17:16:15:13:17:1:10:3:1:4:12:6:0:9:10:0:5:8:14:19:19:14:19:14:14:17:15:19:19:13:10:16:12:19:11:3:13:19:11:9:12:4:17:16:10:8:16:19:1:11:3:6:5:0:17:17:2:12:15:0:5:17:5:15:21:21:19:10:18:21:18:19:10:18:10:14:21:20:13:14:8:21:20:10:20:6:2:0:6:20:20:18:12:18:19:2:5:15:18:17:8:8:6:3:16:21:20:21:18:5:7:9:15:20:17:2:7:7:4
