#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 15:08:27,wvcp,le450_15b,local_search,5,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,24,0,279,0:0:0:1:0:1:1:0:1:1:1:2:3:1:2:2:2:3:0:3:1:2:3:3:2:0:4:4:4:1:2:3:3:2:1:4:2:2:4:2:2:4:1:3:1:0:2:3:1:4:5:5:3:5:5:3:5:0:1:4:5:4:0:5:4:1:4:3:3:5:3:3:4:3:1:5:4:5:6:6:5:6:4:7:7:2:7:6:1:6:2:2:7:2:2:2:7:3:4:5:6:7:8:0:3:8:1:3:3:7:5:6:8:1:7:4:9:8:7:3:5:6:7:10:10:8:9:10:11:11:0:10:9:8:1:7:6:0:11:4:2:11:3:11:4:8:8:7:9:5:8:9:10:11:9:1:9:10:11:5:10:0:0:10:10:6:11:12:13:11:9:13:9:11:11:0:10:8:3:7:13:8:4:9:8:13:13:13:6:8:8:13:12:12:0:9:11:2:11:4:13:12:12:10:2:11:10:13:9:14:14:12:5:3:12:11:14:13:13:14:7:2:14:14:8:6:4:13:10:11:12:5:2:9:11:6:12:9:14:12:12:13:12:13:7:14:10:4:8:5:6:9:3:6:0:10:2:10:14:4:6:8:4:7:15:15:15:10:16:16:14:16:0:15:16:1:9:13:9:16:15:16:16:16:15:17:17:17:14:10:17:11:15:8:13:15:16:0:14:9:17:13:2:17:14:17:17:18:18:18:2:18:1:10:16:18:11:15:16:16:12:0:11:3:14:18:13:12:19:17:19:19:18:19:8:15:18:3:18:8:17:0:19:20:20:20:19:15:15:20:7:20:18:20:11:20:18:7:6:0:5:6:12:7:0:1:13:12:15:10:14:19:21:15:20:21:17:17:18:20:19:5:21:14:19:17:16:15:11:11:18:6:16:20:22:22:3:16:18:10:20:22:18:15:4:18:0:9:4:23:21:23:22:22:20:17:19:16:15:4:14:23:21:23:19:20:19:22:15:16
1,0,23,0,278,0:0:0:1:0:1:1:0:1:1:1:2:3:1:2:2:2:3:0:3:1:2:2:3:2:0:4:4:4:1:2:3:3:2:1:4:2:2:4:2:2:4:1:3:4:0:2:3:1:0:5:5:3:5:5:3:5:0:1:4:5:4:0:5:4:1:4:3:3:5:3:3:4:3:3:5:4:1:6:6:5:6:4:7:7:2:7:6:6:6:2:2:7:7:2:2:7:4:1:4:6:7:8:0:3:9:1:3:3:7:5:6:8:1:7:4:9:8:7:3:5:7:7:10:10:8:9:10:11:11:0:10:9:8:1:7:7:0:11:6:2:11:3:11:10:9:8:7:9:5:8:9:10:11:8:1:9:1:11:5:10:3:4:11:3:6:11:12:13:11:9:13:6:11:11:0:10:8:3:7:13:11:4:9:8:13:6:13:6:8:10:4:13:12:0:9:11:2:11:4:9:4:12:10:10:6:10:13:9:14:14:12:5:3:12:14:14:13:13:14:7:2:14:14:8:9:4:10:1:10:12:5:2:9:11:6:12:9:14:12:12:13:12:13:7:14:10:4:8:5:6:12:6:7:12:5:13:0:7:7:6:8:1:6:15:15:15:10:16:16:14:16:12:15:16:1:9:0:16:16:13:0:16:16:15:17:17:17:14:13:17:12:14:8:16:14:16:8:10:9:7:13:2:11:14:17:17:18:3:18:2:18:17:14:11:9:13:8:10:5:14:10:12:6:14:18:13:14:19:17:19:5:18:19:8:15:18:3:12:8:8:0:3:20:20:20:19:15:15:20:16:17:18:20:5:4:18:19:4:19:5:6:18:7:11:14:6:11:13:6:14:19:21:15:20:21:17:17:11:1:19:17:12:15:20:12:2:19:20:20:5:17:11:20:22:15:3:9:21:10:21:22:18:7:14:17:0:6:15:22:16:21:22:22:20:17:21:21:15:18:14:18:22:21:10:11:18:21:15:13
2,1,23,0,277,0:0:0:1:1:1:1:0:1:1:1:2:3:1:2:2:2:3:0:3:1:2:2:3:2:0:4:4:4:1:2:3:3:2:1:4:2:2:4:2:2:4:1:3:4:0:2:3:0:3:5:5:3:5:5:3:5:0:1:4:5:4:0:5:4:1:0:3:3:5:3:3:4:3:1:5:1:1:6:6:5:6:4:7:7:2:7:6:6:6:2:2:7:2:2:2:7:4:3:3:7:7:8:0:3:9:1:3:3:7:5:6:8:1:7:5:9:8:0:3:5:7:0:10:10:8:9:10:11:11:0:10:9:8:1:7:7:0:11:6:7:11:3:9:2:4:8:7:9:5:8:9:10:11:8:1:1:5:11:5:1:3:7:1:6:6:11:12:13:11:9:13:6:11:11:0:0:8:3:7:13:8:4:9:10:13:13:13:6:8:8:4:8:12:0:9:11:2:11:4:13:4:12:10:10:6:10:13:9:14:14:12:5:2:12:11:14:13:13:14:11:6:7:14:8:9:4:10:1:11:12:5:2:9:11:6:12:9:14:12:12:13:12:13:7:14:10:4:1:5:6:12:3:10:3:5:12:14:7:13:12:8:9:14:15:14:15:10:16:16:14:16:12:15:15:16:11:0:16:13:9:14:16:16:15:17:17:17:14:10:10:6:14:8:16:14:15:8:9:11:6:15:8:10:14:17:17:18:3:18:2:18:17:9:9:18:7:8:8:16:14:12:6:17:14:18:13:7:19:17:19:5:19:19:8:15:18:3:12:8:8:16:19:20:18:20:18:15:16:18:14:17:20:20:18:4:10:12:16:10:18:6:7:2:9:15:15:8:10:20:13:19:20:19:20:15:16:17:11:1:19:17:12:14:0:9:8:19:14:7:18:12:17:20:22:15:3:17:21:10:19:22:19:21:4:4:21:20:19:22:16:22:13:22:20:17:19:20:15:4:12:18:15:20:10:18:19:12:21:20
3,2,23,0,276,0:0:0:1:0:1:1:0:1:1:1:2:3:1:2:2:2:3:0:3:1:2:2:3:2:0:4:4:4:1:2:3:3:2:1:4:2:2:4:2:2:4:1:3:4:0:2:2:0:3:5:5:3:5:5:3:5:0:1:4:5:4:0:5:4:1:0:3:3:5:3:3:4:3:3:5:5:1:6:6:5:6:4:7:7:2:7:6:6:6:2:2:7:2:2:2:7:4:1:3:2:7:8:0:3:9:1:3:3:7:5:6:8:1:7:5:9:8:0:6:5:7:7:10:10:8:9:10:11:11:0:10:9:8:1:7:7:0:11:6:7:11:9:9:10:10:8:7:9:5:8:9:10:11:8:1:1:5:10:5:3:9:7:2:6:6:11:12:13:11:9:13:6:11:11:0:0:3:3:7:13:8:4:9:8:13:4:13:3:8:8:13:3:12:9:9:12:2:11:4:13:4:10:10:8:6:10:13:9:14:14:12:5:2:12:11:14:13:13:14:6:6:14:14:14:9:4:10:13:11:3:5:2:9:11:6:12:9:14:12:12:13:12:13:7:14:10:4:1:5:6:12:6:10:3:5:12:14:13:9:12:8:13:7:15:14:15:10:16:16:14:16:12:15:13:16:11:0:16:13:9:1:16:16:15:17:17:17:14:10:10:6:14:7:13:14:16:8:10:9:6:15:1:12:14:17:17:18:18:18:2:16:17:9:9:18:11:8:8:1:14:18:6:17:14:18:13:7:19:17:19:5:19:19:8:15:18:3:12:16:17:16:12:20:18:20:18:15:16:18:14:17:19:20:18:8:10:18:16:8:20:6:17:2:9:14:6:11:13:13:13:19:20:19:20:15:16:17:11:1:19:17:12:14:19:7:19:16:18:8:3:12:19:20:21:15:3:21:21:21:19:18:19:21:4:4:21:2:19:22:16:22:13:22:20:21:20:20:15:4:12:18:15:20:21:16:20:19:12:1
4,3,23,0,275,0:0:0:1:0:1:1:0:1:1:1:2:3:1:2:2:2:3:0:3:1:0:2:0:2:0:4:4:4:1:2:3:3:2:1:4:2:2:4:2:2:4:1:3:4:0:2:3:1:3:5:5:3:5:5:3:5:0:1:4:5:0:0:5:4:1:0:3:3:5:3:0:4:0:1:5:2:3:6:6:5:6:4:7:7:2:7:6:1:6:2:4:7:2:2:2:7:4:3:4:2:7:8:7:3:9:1:3:3:7:5:6:8:1:4:4:9:8:7:3:5:4:2:10:10:8:9:10:11:3:0:10:9:8:1:4:7:0:11:6:7:2:3:9:8:5:8:7:9:5:8:9:2:8:8:1:1:4:10:3:1:8:4:11:3:6:11:12:13:9:9:13:6:11:11:0:5:3:3:11:11:13:4:9:10:13:9:12:6:0:3:8:9:12:8:5:12:2:11:11:10:13:10:4:2:13:10:13:9:14:3:12:8:8:12:11:14:4:14:14:13:6:3:14:12:10:11:8:12:4:12:5:2:9:11:6:12:9:7:12:12:5:12:11:10:14:10:6:1:5:13:4:6:10:14:5:1:0:7:3:6:0:9:9:15:14:15:10:16:16:10:13:6:10:16:13:9:0:11:16:9:8:16:16:12:17:10:17:14:15:10:6:14:17:13:7:15:17:16:9:14:17:1:8:14:17:17:18:18:7:8:16:17:14:16:16:12:18:18:15:4:10:18:0:12:18:13:7:8:17:9:18:12:16:8:9:18:18:12:14:8:16:15:20:18:20:20:15:15:18:14:18:19:20:11:3:19:16:19:20:20:18:17:2:7:3:1:17:13:9:19:19:20:19:20:15:16:17:18:1:0:17:10:6:20:15:8:17:8:11:10:19:11:20:13:15:21:21:12:19:19:18:21:1:21:0:17:16:11:22:16:15:13:22:19:17:21:14:15:11:14:21:16:7:15:5:19:1:6:19
5,4,23,0,274,0:0:0:1:0:1:1:0:1:1:1:2:3:1:2:2:2:3:0:3:1:0:2:0:2:0:4:4:4:1:2:3:3:2:1:4:2:2:4:2:2:4:1:3:4:0:2:3:1:3:5:5:3:5:5:3:5:0:1:4:5:0:0:5:4:1:0:3:3:5:3:0:4:0:1:5:1:3:6:6:5:6:4:7:7:2:7:6:6:1:2:2:7:2:2:2:7:4:3:4:2:7:8:7:3:9:1:3:3:7:5:6:8:1:4:4:9:8:0:6:5:8:4:10:10:8:9:10:11:3:7:10:9:8:1:4:7:0:11:4:7:2:3:9:8:10:8:7:9:5:8:9:2:8:8:1:1:7:10:11:1:8:5:11:0:6:11:12:13:9:9:13:6:11:11:0:5:3:3:11:11:13:4:9:10:8:9:5:6:0:5:8:9:12:8:5:6:2:11:11:10:13:10:4:2:13:10:13:9:14:3:12:8:8:12:11:14:4:14:14:11:6:3:14:12:10:13:2:12:4:13:5:2:9:11:6:12:9:7:12:12:5:12:12:10:14:10:6:1:5:13:4:6:11:14:5:11:4:7:3:6:9:14:0:15:14:15:10:16:16:10:13:10:10:16:13:9:0:11:16:2:16:16:16:12:17:10:17:10:15:15:6:14:17:13:7:15:17:16:9:14:16:16:13:14:17:17:18:18:18:8:16:17:14:16:16:12:17:18:16:4:17:10:16:12:18:13:7:8:17:9:18:12:16:8:9:18:18:12:14:8:11:14:20:15:20:20:15:15:18:14:16:19:15:11:3:19:16:0:8:20:18:17:3:12:14:15:17:0:7:19:19:20:19:20:15:16:18:18:1:0:19:10:6:20:15:3:18:18:11:9:5:11:20:13:15:19:17:12:19:8:18:20:15:4:0:18:15:3:22:16:22:13:22:22:17:21:14:15:10:14:21:16:20:22:5:19:1:10:13
6,5,23,0,273,0:0:0:1:0:1:1:0:1:1:1:2:3:1:2:2:2:3:0:3:1:0:2:0:2:0:4:4:4:1:2:3:3:2:1:4:2:2:4:2:2:4:1:3:4:0:2:3:1:3:5:5:3:5:5:3:5:0:1:4:5:0:0:5:4:1:0:3:3:5:3:0:4:0:1:5:1:3:6:6:5:6:4:7:7:2:7:6:6:1:2:2:7:2:2:2:7:4:3:4:2:7:8:7:3:9:1:3:3:7:5:6:8:1:4:4:9:8:0:6:5:8:4:10:10:8:9:10:11:3:7:10:9:8:1:4:7:0:11:4:7:2:3:9:8:10:8:7:9:5:8:9:2:8:8:1:1:7:10:11:11:8:5:6:0:6:11:12:13:9:9:13:6:11:11:0:5:3:3:11:11:13:4:9:10:8:9:5:6:0:5:8:9:12:8:5:6:2:11:4:10:13:10:4:2:13:10:13:9:14:3:12:8:8:12:11:14:4:14:14:11:6:3:14:12:10:13:2:1:4:13:5:2:9:11:6:12:9:7:12:12:5:12:12:10:14:10:6:1:5:13:4:9:11:14:5:11:4:7:3:6:9:14:0:15:14:15:10:16:16:10:13:10:10:16:13:9:0:11:16:2:16:16:16:12:17:10:17:10:15:15:6:14:17:13:7:15:17:16:9:14:16:16:13:14:17:17:18:18:18:8:16:17:14:16:16:12:17:18:16:4:17:10:16:5:18:13:7:8:17:9:18:12:16:8:6:18:18:12:14:7:11:14:20:15:20:20:15:15:18:14:16:12:15:11:3:14:16:0:8:20:18:12:3:12:14:17:17:0:7:16:19:20:19:20:15:16:18:18:1:0:19:10:6:20:15:3:18:11:11:9:5:11:20:13:15:19:17:12:19:8:18:20:15:4:0:18:15:3:22:16:22:13:22:22:17:21:14:15:10:12:21:16:20:22:5:19:1:10:21
7,6,22,0,272,0:0:0:1:0:1:1:0:1:1:1:2:3:1:2:2:2:3:0:3:1:0:2:0:2:0:4:4:4:1:2:3:3:2:1:4:2:2:4:2:2:4:1:3:4:0:2:3:3:4:5:5:3:5:5:3:5:0:1:4:5:0:0:5:4:1:0:3:4:5:3:4:4:0:1:5:1:3:6:6:5:6:4:7:7:2:7:6:6:1:2:2:7:2:2:2:7:4:5:5:4:7:8:7:3:9:1:3:3:7:5:6:8:1:4:4:9:8:1:6:2:8:7:10:10:8:9:10:11:3:7:10:9:8:1:4:7:0:11:4:7:11:3:5:8:5:8:7:9:5:8:9:2:8:8:0:1:7:10:3:11:10:7:11:0:6:11:12:13:9:9:13:6:11:11:0:5:3:3:11:7:13:4:9:10:8:9:5:3:13:5:8:9:12:8:5:6:2:11:8:10:13:10:4:2:9:10:13:14:7:3:12:8:8:12:11:14:4:14:14:11:6:3:14:12:10:9:14:1:4:12:5:2:9:11:6:12:9:7:12:12:5:12:12:10:14:10:6:1:9:13:12:9:11:4:5:4:13:7:3:6:14:9:0:15:14:15:10:16:16:10:13:10:14:13:13:9:0:11:16:2:16:16:16:12:17:10:17:10:15:15:14:14:17:13:7:15:17:10:1:14:16:16:10:14:17:17:18:18:18:8:7:17:15:13:16:18:0:18:16:4:10:15:16:2:18:13:7:8:17:9:18:12:16:8:6:18:11:18:14:17:11:14:20:15:20:20:15:15:18:14:16:12:15:11:3:14:12:17:8:20:18:18:3:9:14:6:14:18:6:6:19:20:19:20:15:16:18:18:11:12:19:19:6:17:1:3:18:20:7:1:15:0:20:13:15:19:6:12:19:19:18:20:15:17:15:18:9:19:22:16:22:13:22:19:17:19:20:15:10:12:19:6:20:22:22:19:12:12:19
8,7,22,0,271,0:0:0:1:0:1:1:0:1:1:1:2:3:1:2:2:2:3:0:3:1:0:2:0:0:0:4:4:4:1:2:3:3:2:4:4:2:2:4:2:2:4:1:4:4:0:2:2:3:4:5:5:3:5:5:3:5:4:1:4:5:0:0:5:2:1:0:3:0:5:3:0:4:2:4:5:5:1:6:6:5:6:4:7:7:4:7:6:6:1:2:4:7:5:2:2:7:4:1:5:5:7:8:7:3:9:1:3:3:7:5:6:8:2:4:6:9:6:1:3:2:7:7:10:10:8:9:10:8:3:0:10:9:5:1:4:7:0:4:10:6:6:9:0:1:10:8:7:11:5:8:9:2:8:8:1:1:4:8:3:5:10:2:2:11:6:11:12:13:9:9:13:6:11:11:10:0:13:3:7:8:11:4:13:7:13:6:8:3:0:3:13:12:9:0:2:12:5:13:8:11:0:8:4:13:7:10:13:6:7:3:12:12:8:12:10:14:13:13:14:14:9:11:8:14:9:10:10:12:5:12:5:2:9:11:6:12:9:7:12:12:3:12:11:10:14:10:6:1:11:0:2:13:12:11:2:2:5:10:14:4:0:6:6:15:14:15:8:10:16:15:14:7:14:5:1:9:16:12:16:14:15:16:1:12:17:16:17:10:17:16:6:14:3:15:14:0:17:10:5:16:16:5:17:14:17:17:18:18:7:2:7:17:9:16:16:12:11:13:14:14:10:16:10:5:18:13:7:11:17:9:9:12:16:18:6:16:8:18:18:17:14:14:20:15:14:12:16:9:18:7:17:20:11:20:10:5:18:15:6:3:8:18:15:20:1:1:16:20:14:14:19:20:19:20:15:16:17:12:11:0:19:18:20:14:9:19:19:0:0:18:11:9:20:13:17:1:17:18:17:13:15:13:13:14:16:16:2:15:22:16:22:22:6:19:22:19:16:0:10:18:15:19:15:20:22:18:12:1:13
9,8,22,0,267,0:0:0:1:0:1:1:0:1:1:1:2:3:1:2:2:2:3:0:2:1:0:0:3:0:0:4:4:4:1:2:3:3:2:1:4:2:2:4:3:2:4:3:3:1:0:4:3:2:2:5:5:3:5:5:3:5:4:1:4:5:0:0:5:2:1:0:3:3:4:3:0:4:3:3:1:2:3:6:6:5:6:4:7:7:4:7:6:2:6:2:4:7:5:1:5:7:1:0:2:1:7:8:7:3:9:1:8:9:9:5:8:8:9:6:5:9:6:3:2:5:6:8:10:10:8:9:10:8:3:7:10:9:5:2:4:7:0:2:10:2:1:2:3:6:10:9:7:9:5:8:9:2:8:3:1:6:2:0:8:5:10:10:4:6:6:11:8:13:5:9:13:6:11:11:10:0:13:7:10:13:9:4:13:7:10:8:8:8:11:9:11:7:9:0:2:0:5:13:8:13:2:2:0:13:11:10:13:11:7:3:8:8:4:14:6:11:4:14:14:14:2:7:14:14:14:10:11:7:8:13:5:2:9:11:6:14:9:7:14:11:5:11:13:10:14:10:13:10:11:4:12:9:6:11:7:1:0:14:0:14:14:12:9:15:14:16:13:16:16:16:15:6:10:16:1:11:0:16:13:15:3:16:1:12:17:17:17:10:13:15:12:12:8:8:7:16:14:13:15:14:12:7:14:14:17:17:18:15:16:6:18:1:12:4:18:16:12:16:10:13:16:15:10:7:18:12:16:17:17:9:12:12:6:18:15:3:4:16:0:5:13:3:20:15:20:20:14:15:18:14:18:3:16:14:10:1:16:12:15:12:15:11:6:7:12:1:17:15:7:10:19:20:16:12:20:19:18:18:15:19:12:19:19:14:17:19:4:19:11:19:5:18:8:17:17:12:17:20:13:19:15:16:12:4:17:3:2:15:22:22:14:13:22:19:22:20:11:20:19:6:2:19:20:19:5:8:13:22:13
