#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 15:20:02,wvcp,le450_15d,local_search,12,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,34,0,364,0:0:0:1:1:1:1:2:2:1:2:1:2:0:0:3:3:3:0:1:0:2:2:1:3:2:4:4:3:3:4:0:2:2:3:4:4:0:2:4:3:5:4:5:5:5:1:6:4:5:6:4:7:7:6:7:2:6:7:2:4:6:2:7:7:0:7:0:5:0:7:0:3:0:0:6:6:8:8:8:6:3:9:9:6:1:5:6:6:8:6:9:4:0:8:9:3:10:8:5:5:10:10:9:9:10:11:11:2:9:11:12:1:12:11:12:8:9:7:1:7:9:11:12:5:12:13:13:8:13:3:12:8:12:10:12:11:9:14:11:13:3:7:12:14:15:14:13:9:15:11:13:15:12:10:15:4:11:15:7:13:0:15:8:10:12:10:7:13:14:16:16:17:17:18:19:15:18:13:17:19:14:16:16:19:15:19:3:17:4:19:19:18:16:19:1:10:14:19:1:0:20:16:17:18:6:16:8:14:8:6:20:18:15:20:14:6:19:3:18:20:6:5:8:20:10:0:16:17:14:8:0:10:18:13:8:19:7:17:15:18:21:7:21:20:22:21:13:11:21:22:14:15:8:18:22:7:6:18:19:19:13:2:22:16:21:20:11:10:15:16:10:23:23:20:24:4:24:23:24:22:7:24:12:23:24:13:21:3:19:18:24:17:21:18:18:10:14:23:21:23:25:24:25:17:17:25:24:25:9:16:23:22:9:22:14:21:25:6:25:24:19:23:25:0:26:26:21:26:25:22:5:21:9:3:21:5:7:22:24:18:20:7:27:20:27:1:17:26:25:27:26:26:28:3:28:20:0:27:14:26:3:28:3:3:28:27:24:11:28:27:25:27:15:28:28:23:8:3:13:23:28:21:28:15:19:24:3:12:6:22:27:29:30:30:29:22:30:29:27:29:29:29:24:11:22:11:30:22:6:25:0:0:12:22:29:28:30:13:30:28:13:8:4:15:23:10:31:30:28:30:31:32:29:31:32:29:32:26:2:20:23:24:32:31:26:1:30:33:27
2,2,33,0,361,0:0:0:1:1:1:1:2:2:3:2:1:2:0:0:3:3:3:0:1:0:2:0:1:3:2:4:4:3:3:4:0:2:2:3:4:4:0:2:2:3:5:4:5:5:5:1:6:4:5:6:4:7:7:6:7:2:6:7:2:4:6:2:4:7:0:7:0:5:0:7:0:3:2:0:6:6:8:8:4:6:3:9:9:6:1:5:5:6:7:6:2:4:2:4:7:3:10:8:5:5:10:10:9:9:2:11:11:2:9:11:12:1:12:11:12:11:10:11:1:5:11:6:12:5:12:13:13:8:13:3:12:8:12:1:13:8:9:14:11:6:3:3:12:14:15:14:8:9:15:11:15:15:12:10:15:4:11:15:7:2:3:13:9:7:14:7:15:9:14:16:16:18:17:18:19:15:18:13:17:18:13:13:19:19:15:18:19:8:4:19:3:13:0:19:3:10:14:19:1:17:18:19:3:18:6:16:16:15:12:11:5:13:0:13:14:14:19:3:18:20:6:5:17:13:10:19:14:17:14:9:10:17:7:13:20:11:7:17:15:18:21:7:14:20:22:21:9:16:21:22:8:16:9:17:22:14:13:22:9:12:16:10:22:16:21:12:11:10:15:18:17:23:23:20:24:19:9:23:17:12:24:24:18:8:17:12:21:2:1:6:24:24:21:22:4:11:14:23:21:23:25:24:25:23:17:25:24:25:7:16:16:8:22:4:24:20:1:19:10:0:19:23:12:9:26:26:21:2:25:20:20:24:23:22:26:23:20:20:17:20:18:24:27:9:27:20:21:26:8:26:9:15:22:19:27:21:26:1:25:8:27:3:24:27:24:21:7:11:25:27:25:26:20:23:28:28:25:10:28:16:28:14:20:26:17:26:13:20:15:28:23:29:28:28:30:12:30:22:18:12:9:6:28:6:29:16:17:19:30:27:26:19:25:28:13:23:8:16:29:26:27:29:30:3:30:9:33:31:29:18:33:15:33:33:25:33:31:30:16:27:33:28:31:23:21:11:18:28:16
3,4,33,0,360,0:0:0:1:1:1:1:2:2:3:2:1:2:2:0:3:3:3:0:0:0:2:3:1:3:2:4:4:3:3:4:0:2:2:3:4:4:0:2:2:3:5:4:5:5:5:1:6:4:5:1:4:7:7:6:7:2:6:7:2:4:6:2:4:7:0:7:0:4:0:7:4:3:2:0:6:6:8:5:4:6:3:9:9:6:0:5:5:6:7:6:2:4:2:4:7:3:10:8:5:5:10:10:9:9:2:11:11:2:9:11:12:1:12:11:11:12:10:11:1:6:11:5:12:5:12:13:8:8:13:1:12:8:12:1:13:8:7:9:11:6:9:5:12:14:15:14:8:9:9:11:15:12:12:10:15:4:11:15:7:2:0:15:14:10:12:7:8:14:14:16:16:18:17:18:19:15:18:13:17:18:13:13:19:19:15:18:19:19:4:6:3:11:16:6:18:10:14:19:1:17:13:16:3:18:14:16:8:15:12:16:9:12:5:13:19:14:19:3:18:20:6:5:11:17:13:20:14:17:13:3:18:4:7:6:20:17:7:17:15:18:21:7:14:20:22:21:9:11:22:22:21:10:9:11:20:14:14:9:9:7:0:17:22:5:22:12:22:10:15:18:17:23:23:20:24:19:16:4:16:12:23:23:18:8:17:21:0:7:1:6:16:24:21:21:8:8:24:20:21:20:25:24:25:23:17:25:24:25:23:19:16:8:22:4:24:20:25:1:10:23:22:2:21:22:26:26:21:2:25:24:20:24:26:13:26:23:23:20:17:23:15:22:21:9:27:5:27:26:8:27:16:23:22:19:10:20:0:1:26:22:25:3:23:19:24:27:7:11:25:27:25:26:26:21:27:28:28:10:15:12:17:24:28:26:23:1:3:4:13:27:1:30:28:27:30:29:30:22:18:29:14:16:14:6:29:29:17:30:28:25:0:28:12:21:28:11:27:20:24:26:21:14:10:11:11:19:33:23:29:16:33:30:33:29:25:30:15:33:22:28:20:3:31:31:29:11:31:31:15
4,5,33,0,359,0:0:0:1:1:1:1:2:2:3:2:1:2:2:0:3:3:3:0:0:0:2:3:1:3:2:4:4:3:3:4:0:2:2:3:4:3:0:2:2:3:5:4:5:5:5:1:6:4:5:1:4:7:7:6:7:2:6:7:2:4:6:2:4:7:0:7:0:4:0:7:0:3:2:0:6:6:8:5:4:6:3:9:9:6:0:5:5:6:7:6:2:4:2:4:7:3:10:8:5:5:10:10:9:9:2:11:11:2:9:11:12:3:12:11:11:12:10:7:1:11:11:11:12:5:12:13:8:8:13:1:12:8:12:10:13:8:13:9:11:6:9:5:12:14:15:14:8:9:9:11:15:12:12:10:15:4:11:15:7:2:0:15:9:9:10:12:15:9:14:16:16:18:17:18:19:15:18:13:17:18:13:13:19:19:15:18:19:15:12:19:3:12:0:6:16:10:14:19:1:17:13:16:3:18:14:8:8:16:3:11:9:11:15:18:19:14:19:3:18:12:13:5:17:17:13:13:14:17:13:3:10:4:7:18:14:10:7:17:15:18:21:7:14:20:22:21:9:11:22:22:21:10:9:6:20:14:14:6:9:7:0:17:22:5:22:12:22:10:15:18:17:23:23:20:24:19:16:4:16:12:23:6:18:8:17:12:0:7:1:6:16:24:21:21:8:13:24:20:21:20:7:24:25:23:17:25:24:25:23:19:16:25:22:4:24:20:25:14:10:23:22:2:6:21:26:26:21:2:25:24:20:15:26:13:21:22:23:20:16:23:20:24:21:9:27:25:27:26:8:26:16:23:27:19:10:19:14:1:27:20:20:14:20:27:24:27:7:11:16:27:25:26:8:13:20:28:11:10:22:1:17:24:28:26:19:1:11:28:26:27:26:30:28:27:30:29:30:26:18:29:14:6:14:6:29:29:6:19:28:30:23:0:30:28:3:25:8:29:24:28:20:29:13:27:17:16:33:31:29:18:33:30:30:29:25:33:15:9:29:28:33:24:31:28:21:11:33:31:10
5,6,33,0,358,0:0:0:1:1:1:1:2:2:3:2:1:2:2:0:3:3:3:0:0:0:2:0:1:3:2:4:4:3:3:4:0:2:2:3:4:3:0:2:2:3:5:4:5:5:5:1:6:4:5:1:4:7:7:6:7:2:6:7:2:4:6:2:4:7:0:7:0:4:0:7:0:3:2:0:6:6:8:5:4:6:3:9:9:6:0:5:5:6:7:6:2:4:2:4:7:3:10:8:5:5:10:10:9:9:2:11:11:2:9:11:12:1:12:11:11:12:10:7:1:11:11:6:12:5:12:13:8:8:13:1:12:8:12:10:13:8:13:9:11:6:9:3:12:14:15:14:8:9:9:11:15:12:12:10:15:4:11:15:7:8:0:15:8:7:10:12:15:5:14:16:16:18:17:18:19:15:18:13:17:19:13:13:19:19:15:18:19:15:4:19:8:12:0:13:13:10:14:19:1:17:13:16:3:18:14:8:8:15:3:11:12:1:0:18:19:14:19:3:18:12:13:5:17:17:13:0:14:17:13:3:10:4:7:15:13:10:7:17:15:18:21:7:14:20:22:21:9:11:22:22:14:10:9:6:20:14:14:3:9:22:0:17:22:5:21:12:22:10:15:18:17:23:23:20:24:19:16:4:16:12:23:6:18:8:17:18:0:7:9:6:16:24:21:21:20:22:24:20:21:20:7:24:25:23:17:25:24:25:23:19:23:25:22:22:24:20:1:14:10:23:20:2:4:21:26:26:21:2:25:24:20:15:26:13:21:22:23:20:16:23:20:3:21:9:27:5:27:26:8:27:16:23:27:19:10:19:14:1:21:12:1:14:20:27:24:27:7:11:16:27:25:26:8:13:27:27:11:10:22:0:17:24:20:26:19:1:1:25:26:27:26:30:28:27:30:29:30:26:18:29:14:22:14:6:29:29:17:30:28:30:23:0:13:28:3:25:8:29:24:28:20:29:13:29:0:10:33:31:29:18:33:30:30:29:25:33:15:9:29:23:33:24:31:28:21:11:26:31:10
6,8,33,0,357,0:0:0:1:1:1:1:2:2:3:2:1:2:2:0:3:3:1:0:0:0:2:3:1:3:2:4:4:3:3:4:0:2:2:3:4:3:0:2:2:1:5:4:5:5:5:1:6:4:5:1:4:7:7:6:7:2:6:7:2:4:6:2:4:7:0:7:0:4:0:7:0:3:4:0:6:6:8:5:4:6:3:9:9:6:0:5:5:6:3:5:2:4:2:4:9:3:10:8:5:5:10:10:9:9:2:11:11:2:9:11:12:1:6:11:11:7:10:11:1:11:6:4:12:5:12:13:13:8:13:3:12:8:12:10:13:8:13:9:11:6:4:8:12:14:15:14:8:9:9:11:15:12:12:10:15:4:11:15:7:8:3:9:14:7:10:12:7:14:14:16:16:18:17:18:19:15:18:13:1:19:13:13:19:19:15:18:19:18:4:6:8:12:0:9:10:10:14:19:1:17:18:19:3:18:14:8:8:15:16:11:5:11:15:18:19:14:19:3:18:12:16:5:11:17:10:0:14:17:13:3:10:4:7:6:13:2:7:17:15:18:21:7:14:20:22:21:9:11:22:22:21:10:9:20:12:14:14:16:14:7:20:16:22:5:21:12:22:10:15:18:17:23:23:20:24:19:16:20:15:12:24:6:18:8:17:12:20:2:19:6:24:22:21:21:18:23:24:20:21:20:7:24:25:25:9:25:24:25:23:19:23:25:25:16:24:16:25:19:10:13:17:23:6:3:26:26:21:2:25:25:20:15:26:13:1:22:26:25:16:7:24:23:21:9:27:5:27:26:26:26:11:23:27:3:27:21:25:1:13:23:22:18:8:22:24:27:23:11:16:27:25:26:8:13:27:16:27:0:22:25:8:24:10:26:19:1:16:4:9:21:25:30:26:27:30:29:30:26:18:29:14:22:24:6:29:0:17:30:27:30:24:26:15:10:29:25:29:14:27:26:29:14:22:24:22:10:33:31:29:31:21:23:28:29:28:33:15:9:22:13:28:30:24:33:23:33:26:24:31
19,26,29,0,335,0:0:0:1:1:1:1:2:2:3:2:1:2:0:0:3:3:0:0:3:1:2:0:1:3:2:4:4:3:3:4:0:2:2:3:4:4:0:3:2:2:5:4:5:5:5:1:6:4:3:1:4:7:7:6:7:2:6:7:2:4:6:2:4:7:7:3:4:4:0:7:0:3:2:0:6:6:8:9:8:6:9:9:9:6:9:5:5:7:5:6:2:4:2:7:9:2:10:8:5:5:10:6:9:9:2:11:11:2:11:11:12:3:12:11:1:10:6:11:1:5:3:5:12:5:12:13:13:8:3:13:13:8:10:10:4:11:7:0:10:16:11:11:12:14:15:14:8:27:1:10:4:15:13:10:15:6:11:15:10:8:0:13:14:10:12:10:12:15:14:16:16:10:9:18:19:19:2:13:1:9:16:11:0:9:15:1:12:14:9:19:16:9:13:8:16:18:19:19:1:19:18:14:18:8:6:3:8:11:1:15:14:15:19:12:19:6:19:16:12:10:16:5:9:11:9:19:15:19:15:8:12:18:11:8:4:11:7:10:15:14:8:7:12:18:22:3:9:18:16:22:4:15:9:6:19:14:15:11:7:19:13:0:15:5:23:12:18:10:8:14:19:23:15:19:22:4:16:4:11:22:8:6:13:4:16:12:3:2:16:22:18:14:23:8:16:5:24:23:22:3:7:18:14:23:24:9:13:23:14:15:16:22:24:23:18:23:6:23:12:19:19:14:6:23:17:1:17:17:15:24:24:18:14:13:0:23:17:17:22:7:17:3:8:12:22:9:24:15:13:22:12:24:4:12:10:24:17:18:15:12:23:2:23:9:22:20:7:20:0:4:18:8:20:18:22:16:0:0:19:18:24:22:10:18:20:17:11:24:8:10:15:29:20:20:14:26:16:13:20:24:15:16:24:29:26:26:24:29:29:29:4:26:23:16:26:17:26:26:29:13:26:29:11:4:23:10:21:30:30:20:26:30:21:21:5:29:26:11:26:19:2:20:30:21:21:30:11:29:23
20,27,29,0,324,0:0:0:1:1:1:1:2:2:3:2:1:2:0:0:3:3:0:0:3:1:2:0:1:3:2:4:4:3:3:4:0:2:2:3:4:4:0:3:2:2:5:4:5:5:5:1:6:4:3:1:4:7:7:6:7:2:6:7:2:4:6:2:4:7:7:3:4:4:0:7:0:3:2:0:6:6:8:9:8:6:9:9:9:6:9:5:5:7:5:6:2:4:2:7:9:2:10:8:5:5:10:6:9:9:2:11:11:2:11:11:12:3:12:11:1:10:6:11:1:5:3:5:12:5:12:13:13:8:3:13:13:8:10:10:4:11:7:0:10:16:11:11:12:14:15:14:8:16:1:10:4:15:13:10:15:6:11:15:10:8:0:13:14:10:12:10:12:15:14:16:16:10:9:18:19:19:2:13:1:9:16:11:0:9:15:1:12:14:9:19:16:9:13:8:16:18:19:19:1:19:18:14:18:8:6:3:8:11:1:15:14:15:19:12:19:6:19:16:12:10:16:5:9:11:9:19:15:19:15:8:12:18:11:8:4:11:7:10:15:14:8:7:12:18:22:3:9:18:16:22:4:15:9:6:19:14:15:11:7:19:13:0:15:5:23:12:18:10:8:14:19:23:15:19:22:4:16:4:11:22:8:6:13:4:16:12:3:2:16:22:18:14:23:8:16:5:24:23:22:3:7:18:14:23:24:9:13:23:14:15:16:22:24:23:18:23:6:23:12:19:19:14:6:23:17:1:17:17:15:24:24:18:14:13:0:23:17:17:22:7:17:3:8:12:22:9:24:15:13:22:12:24:4:12:10:24:17:18:15:12:23:2:23:9:22:20:7:20:0:4:18:8:20:18:22:16:0:0:19:18:24:22:10:18:20:17:11:24:8:10:15:29:20:20:14:26:16:13:20:24:15:16:24:29:26:26:24:29:29:29:4:26:23:16:26:17:26:26:29:13:26:29:11:4:23:10:21:30:30:20:26:30:21:21:5:29:26:11:26:19:2:20:30:21:21:30:11:29:25
21,28,28,0,323,0:0:0:1:1:1:1:2:2:3:2:1:2:0:0:3:3:0:0:3:1:2:0:1:3:2:4:4:3:3:4:0:2:2:3:4:4:0:3:2:2:5:4:5:5:5:1:6:4:3:1:4:7:7:6:7:2:6:7:2:4:6:2:4:7:7:3:4:4:0:7:0:3:2:0:6:6:8:9:8:6:9:9:9:6:9:5:5:7:5:6:2:4:2:7:9:2:10:8:5:5:10:6:9:9:2:11:11:2:11:11:12:3:12:11:1:10:6:11:1:5:3:5:12:5:12:13:13:8:3:13:13:8:10:10:4:11:7:0:10:16:11:11:12:14:15:14:8:16:1:10:4:15:13:10:15:6:11:15:10:8:0:13:14:10:12:10:12:15:14:16:16:10:9:18:19:19:2:13:1:9:16:11:0:9:15:1:12:14:9:19:16:9:13:8:16:18:19:19:1:19:18:14:18:8:6:3:8:11:1:15:14:15:19:12:19:6:19:16:12:10:16:5:9:11:9:19:15:19:15:8:12:18:11:8:4:11:7:10:15:14:8:7:12:18:22:3:9:18:16:22:4:15:9:6:19:14:15:11:7:19:13:0:15:5:23:12:18:10:8:14:19:23:15:19:22:4:16:4:11:22:8:6:13:4:16:12:3:2:16:22:18:14:23:8:16:5:24:23:22:3:7:18:14:23:24:9:13:23:14:15:16:22:24:23:18:23:6:23:12:19:19:14:6:23:17:1:17:17:15:24:24:18:14:13:0:23:17:17:22:7:17:3:8:12:22:9:24:15:13:22:12:24:4:12:10:24:17:18:15:12:23:2:23:9:22:20:7:20:0:4:18:8:20:18:22:16:0:0:19:18:24:22:10:18:20:17:11:24:8:10:15:29:20:20:14:26:16:13:20:24:15:16:24:29:26:26:24:29:29:29:4:26:23:16:26:17:26:26:29:13:26:29:11:4:23:10:21:30:30:20:26:30:21:21:5:29:26:11:26:19:2:20:30:21:21:30:11:29:26
22,29,29,0,322,0:0:0:1:1:1:1:2:2:1:2:1:2:0:0:3:3:0:0:0:1:2:0:1:3:2:4:4:3:3:4:0:2:2:3:4:4:0:3:2:2:5:4:5:5:5:1:6:4:3:6:4:7:7:6:7:2:6:3:2:4:6:0:4:7:1:7:4:4:5:7:0:3:2:0:6:6:8:9:8:6:9:9:4:6:9:3:5:4:8:6:2:3:2:9:9:2:10:8:5:5:10:6:9:3:2:11:9:2:11:11:12:10:12:5:1:12:11:11:7:6:6:2:12:5:12:5:2:8:3:8:12:16:10:10:11:11:7:11:10:16:9:11:12:14:15:14:8:16:8:11:4:15:12:10:15:6:13:13:16:16:0:11:6:10:13:14:15:8:14:16:16:3:9:18:19:19:2:16:19:11:18:11:14:18:0:1:7:16:12:19:18:9:16:9:13:18:19:19:1:19:18:14:18:15:8:11:10:0:18:15:16:18:4:15:19:6:19:14:12:3:7:9:3:15:10:19:13:8:1:8:13:15:13:15:7:15:7:15:22:14:8:7:13:18:22:3:9:11:15:13:7:9:9:13:18:13:6:10:12:7:12:0:13:5:13:22:15:8:8:15:19:23:23:19:22:22:16:4:16:22:8:5:6:8:15:15:13:7:3:18:5:12:1:14:15:0:24:16:22:23:7:18:14:23:9:22:10:24:24:22:23:24:23:12:0:16:16:6:22:22:14:10:12:16:10:10:23:17:13:24:5:9:14:16:1:23:24:16:17:7:1:7:17:12:17:5:13:24:17:24:2:24:4:22:10:23:18:1:23:3:13:13:13:11:1:18:7:17:24:4:18:15:11:17:18:16:8:24:19:18:11:14:11:19:17:4:14:24:4:13:19:29:20:29:29:17:26:22:11:16:29:26:22:29:26:20:10:20:29:20:4:20:23:26:4:23:20:17:19:24:22:20:17:20:10:26:25:21:30:21:21:21:20:30:21:2:25:26:30:20:30:4:29:23:21:20:25:29:26
