#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 15:32:56,wvcp,miles250,local_search,15,102,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,10,0,121,0:1:0:2:0:0:1:2:2:3:3:1:1:1:2:3:4:2:5:6:6:7:4:5:7:6:6:8:8:5:9:8
17,0,9,0,118,6:5:6:1:8:1:8:1:1:9:9:5:5:6:1:3:9:1:3:6:5:8:0:8:3:5:0:7:7:8:2:7
18,0,8,0,116,6:5:6:1:8:1:8:1:1:9:9:5:5:6:1:3:9:1:3:6:5:8:0:8:3:5:0:7:7:8:0:7
19,0,8,0,114,6:5:6:1:8:1:8:1:1:9:9:5:5:6:1:8:9:1:3:6:5:8:0:8:3:5:3:7:7:0:0:7
22,0,8,0,113,1:3:3:7:0:9:9:1:0:1:9:3:3:3:7:0:9:5:0:5:7:6:1:6:9:7:0:5:8:6:7:8
23,0,8,0,111,1:3:3:7:7:1:7:1:9:1:9:0:3:3:7:6:9:0:0:5:6:6:1:7:5:6:0:5:9:8:7:8
24,0,8,0,109,1:3:3:7:7:1:7:1:9:1:9:3:3:3:7:6:9:0:0:5:6:6:1:7:5:6:0:5:8:8:7:8
25,0,8,0,108,1:3:3:7:7:1:7:1:9:1:9:3:3:3:7:6:9:9:0:5:6:6:1:7:5:6:0:5:8:8:7:8
26,0,8,0,107,1:3:3:7:7:1:7:1:9:1:9:3:3:3:7:0:9:9:0:5:6:6:1:7:5:6:0:5:8:8:7:8
27,0,8,0,106,1:3:3:7:7:1:7:1:9:1:9:3:3:3:7:0:9:9:0:5:0:6:1:7:5:6:0:5:8:8:7:8
28,0,8,0,105,1:3:3:7:7:1:7:1:9:1:9:3:3:0:7:0:9:9:0:5:0:6:1:7:5:3:0:5:6:6:7:8
33,0,8,0,102,1:3:3:7:7:1:7:1:9:1:9:3:3:0:7:0:9:9:0:7:0:5:1:7:5:3:0:6:6:5:8:6
33,0,8,0,102,1:3:3:7:7:1:7:1:9:1:9:3:3:0:7:0:9:9:0:7:0:5:1:7:5:3:0:6:6:5:8:6
#2022-10-12 15:32:56
