#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 15:36:55,wvcp,myciel6gb,local_search,0,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,10,0,134,0:0:0:0:0:0:0:1:1:1:1:0:0:0:1:2:2:1:0:0:3:3:3:1:1:2:2:4:3:3:1:3:0:4:4:3:4:1:3:5:5:0:5:5:4:6:6:5:0:4:4:5:1:2:6:5:3:4:7:5:7:1:7:6:1:1:4:0:0:5:5:8:7:3:7:3:8:8:9:7:3:8:4:9:6:6:1:9:7:6:7:9:1:6:0
17,0,7,0,121,0:0:0:0:0:0:0:1:1:1:1:0:0:1:0:9:2:1:4:0:7:0:1:4:0:2:4:3:3:0:1:1:0:3:3:2:4:1:0:4:4:4:1:1:4:3:1:1:4:4:2:2:1:2:3:1:4:4:4:1:4:1:2:0:1:1:3:0:0:1:0:3:0:0:2:0:0:3:4:4:0:3:0:1:0:9:2:0:1:1:1:3:1:3:0
18,0,8,0,120,0:0:0:0:0:0:0:1:1:1:1:0:0:1:0:9:9:1:4:0:7:0:1:4:0:2:4:3:3:0:1:1:0:3:3:2:4:1:0:4:4:4:1:1:4:3:1:1:4:4:2:2:1:2:3:1:4:4:4:1:4:1:2:0:1:1:3:0:0:1:0:3:0:0:2:0:0:3:4:4:0:3:0:1:0:9:2:0:1:1:1:3:1:3:5
19,0,7,0,119,0:0:0:0:0:0:0:1:1:1:1:0:0:1:0:9:9:1:4:0:7:0:1:4:0:2:4:3:3:0:1:1:0:3:3:2:4:1:0:4:4:4:1:1:4:3:1:1:4:4:2:2:1:2:3:1:4:4:4:1:4:1:2:0:1:1:3:0:0:1:0:3:0:0:2:0:0:3:4:4:0:3:0:1:0:9:2:0:1:1:1:3:1:3:7
20,0,7,0,118,0:0:0:0:0:0:0:1:1:1:1:0:0:1:0:9:9:1:4:0:7:0:1:4:0:7:4:3:3:0:1:1:0:3:3:2:4:1:0:4:4:4:1:1:4:3:1:1:4:4:2:2:1:2:3:1:4:4:4:1:4:1:2:0:1:1:3:0:0:1:0:3:0:0:2:0:0:3:4:4:0:3:0:1:0:9:2:0:1:1:1:3:1:3:7
21,0,7,0,116,0:0:0:0:0:0:0:1:1:1:1:0:0:1:0:9:9:1:4:0:7:0:1:4:0:7:4:3:3:0:1:1:0:3:3:7:4:1:0:4:4:4:1:1:4:3:1:1:4:4:2:2:1:2:3:1:4:4:4:1:4:1:2:0:1:1:3:0:0:1:0:3:0:0:2:0:0:3:4:4:0:3:0:1:0:9:2:0:1:1:1:3:1:3:7
22,0,7,0,115,0:0:0:0:0:0:0:7:7:7:7:7:0:0:7:9:9:9:0:7:1:1:1:0:1:3:4:0:1:3:7:1:1:3:0:7:0:7:7:4:1:4:1:1:4:9:4:7:2:3:2:2:2:4:0:7:2:2:4:9:3:7:7:7:4:1:1:7:1:2:2:2:7:3:3:7:2:9:3:4:7:0:3:2:2:7:2:4:2:4:4:9:7:7:4
23,0,7,0,114,0:0:0:0:0:0:0:7:7:7:7:7:0:0:7:9:9:9:0:7:1:1:1:0:1:3:4:0:1:3:7:1:1:3:0:7:0:7:7:4:1:4:1:1:4:9:4:7:4:3:2:2:2:4:0:7:2:2:4:9:3:7:7:7:4:1:1:7:1:2:2:2:7:3:3:7:2:9:3:4:7:0:3:2:2:7:2:4:2:4:4:9:7:7:4
24,0,7,0,113,0:0:0:0:0:0:0:7:7:7:7:7:0:0:7:9:9:9:0:7:1:7:1:1:7:3:1:3:1:3:7:1:7:3:0:7:0:4:7:4:1:4:1:7:4:9:4:0:0:3:2:3:4:4:0:4:3:3:4:1:2:9:7:7:4:1:0:2:4:4:7:2:2:1:3:1:7:9:1:4:7:0:0:1:0:7:2:0:7:7:2:9:9:0:1
25,0,7,0,112,0:0:0:0:0:0:0:7:7:7:7:7:0:0:7:9:9:9:0:7:1:7:1:0:0:3:1:3:1:3:7:1:7:3:9:7:0:7:7:1:1:0:1:0:4:9:4:0:4:3:2:2:2:2:0:7:2:2:4:9:3:1:7:0:1:1:1:1:0:7:2:1:7:3:3:7:0:9:3:4:7:0:3:2:1:7:2:4:1:2:4:1:4:0:4
