#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 14:42:56,wvcp,p08,local_search,11,4049,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,6,0,4314,0:0:0:1:2:1:2:3:2:4:1:2:1:4:1:3:4:0:4:3:4:5:5:5
504,0,5,0,4279,4:4:4:5:0:1:0:1:1:7:0:5:0:5:1:5:7:0:7:7:1:5:4:7
506,0,5,0,4270,7:0:0:7:5:0:7:4:4:1:5:7:7:1:5:5:4:1:1:4:5:1:0:0
507,0,5,0,4231,7:0:7:0:1:0:5:5:5:7:4:1:7:0:4:1:5:7:4:1:5:4:0:1
508,0,5,0,4206,4:5:5:4:7:5:7:1:5:4:0:7:7:1:0:1:1:5:0:4:1:0:4:7
510,0,5,0,4175,4:4:5:4:7:5:4:0:5:7:1:5:7:0:7:0:1:0:1:1:5:0:4:7
512,0,5,0,4080,4:5:4:5:7:5:7:1:5:4:7:0:4:0:5:1:1:4:0:1:7:0:7:1
558,0,5,0,4074,4:4:5:4:7:5:0:0:0:7:5:1:5:1:4:4:0:5:1:7:0:1:7:7
667,0,5,0,4049,4:4:7:4:5:7:4:1:5:5:7:0:7:0:5:1:1:7:0:1:5:0:4:1
667,0,5,0,4049,4:4:7:4:5:7:4:1:5:5:7:0:7:0:5:1:1:7:0:1:5:0:4:1
#2022-10-12 14:42:57
