#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 16:00:24,wvcp,queen10_10gb,local_search,4,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,16,0,192,0:0:1:1:2:3:4:3:4:4:0:2:3:1:2:5:2:5:2:5:4:0:1:5:1:2:3:6:1:6:5:6:0:0:3:7:2:7:6:7:1:3:6:8:8:8:5:9:4:6:10:1:10:2:4:8:10:9:7:7:9:8:3:11:11:9:0:12:6:7:11:5:12:13:12:10:8:9:13:12:6:11:11:3:13:6:8:14:14:14:13:12:13:9:5:1:12:15:15:4
12,0,15,0,186,6:2:1:1:0:6:9:4:1:2:4:3:4:6:1:3:0:4:2:0:3:1:4:4:0:0:4:5:2:3:2:3:6:2:5:5:3:5:2:5:8:9:1:6:3:8:1:7:1:0:6:9:9:9:7:3:7:7:8:8:9:5:2:3:5:8:8:14:8:7:7:14:14:0:6:14:6:7:17:17:17:17:6:13:14:8:2:13:16:7:14:9:14:5:13:11:11:13:13:16
13,0,15,0,185,6:2:1:1:0:6:9:4:1:2:4:3:4:6:1:3:0:4:2:0:3:1:4:4:0:0:4:5:2:3:2:3:6:2:5:5:3:5:2:5:8:9:1:6:3:8:1:7:1:0:6:9:9:9:7:3:7:7:8:8:9:5:2:3:5:8:8:14:8:7:7:14:14:0:6:14:6:7:17:17:17:17:6:13:14:8:2:13:13:7:14:9:14:5:13:11:11:13:4:10
14,0,14,0,184,6:2:1:1:0:6:9:4:1:2:4:3:4:6:1:3:0:4:2:0:3:1:4:4:0:0:4:5:2:3:2:3:6:2:5:5:3:5:2:5:8:9:1:6:3:8:1:7:1:0:6:9:9:9:7:3:7:7:8:8:9:5:2:3:5:8:8:14:8:7:14:14:14:0:6:14:6:7:17:17:17:17:6:13:14:8:2:9:13:7:14:9:14:5:13:11:11:13:4:13
15,0,14,0,183,6:2:1:1:0:6:9:4:1:2:4:3:4:6:1:3:0:4:2:0:3:1:4:4:0:0:4:5:2:3:2:3:6:2:5:5:3:5:2:5:8:9:1:6:3:8:1:7:1:0:6:9:9:9:7:3:7:7:8:8:9:5:2:3:5:8:8:14:8:7:14:14:14:0:6:14:6:7:17:17:17:17:6:8:14:8:2:9:13:7:14:9:14:5:13:11:11:13:4:13
38,1,15,0,182,0:2:4:0:2:6:4:6:4:2:4:2:6:3:1:3:0:6:2:0:4:1:4:3:0:0:4:5:2:3:2:5:1:1:1:5:3:1:7:5:1:3:0:3:11:11:11:5:7:7:6:6:8:7:7:11:9:5:8:2:9:11:13:9:9:13:17:17:5:9:9:13:17:0:6:9:11:7:8:8:17:3:9:17:8:5:11:13:16:13:17:8:15:5:15:15:15:17:17:16
39,1,15,0,181,0:2:4:0:2:6:4:6:4:2:4:2:6:3:1:3:0:6:2:0:4:1:4:3:0:0:4:5:2:3:2:5:1:1:1:5:3:1:7:5:1:3:0:3:11:11:11:5:7:7:6:6:8:7:7:11:8:5:8:2:9:11:13:9:9:13:17:17:5:9:9:13:17:0:6:9:11:7:8:8:17:3:9:17:8:5:11:13:16:13:17:8:15:5:15:15:15:17:17:16
40,1,15,0,180,0:2:4:0:2:6:4:6:4:2:4:2:6:3:1:3:0:6:2:0:4:1:4:3:0:0:4:5:2:3:2:5:1:1:1:5:3:1:7:5:1:3:0:3:11:11:11:5:7:7:6:6:8:7:7:11:8:5:8:2:9:11:13:9:9:13:17:17:5:9:9:13:17:0:6:9:11:7:8:8:17:3:9:1:8:5:11:13:16:13:16:8:7:5:17:15:15:17:17:16
47,1,15,0,176,0:2:4:0:2:6:4:6:4:2:1:2:6:3:4:3:0:6:2:0:4:2:4:3:0:0:6:5:2:3:2:5:1:1:6:5:3:1:1:5:1:3:0:11:11:11:4:5:9:1:6:5:9:7:7:11:9:9:9:7:11:5:6:8:3:11:8:7:5:8:8:7:13:0:8:13:8:11:9:9:16:3:11:16:7:4:8:15:17:16:15:17:7:13:17:17:13:15:15:16
59,1,14,0,175,0:2:4:0:2:9:4:6:4:2:6:2:9:2:4:9:0:6:2:0:4:9:4:5:0:0:5:5:2:11:5:6:9:11:9:5:11:1:1:6:11:3:3:3:11:1:4:5:9:11:6:6:17:17:15:0:5:2:1:15:6:11:3:16:11:1:15:17:1:15:15:17:3:0:16:3:9:17:16:16:17:15:16:15:3:4:1:15:2:8:13:8:13:5:17:8:8:17:8:9
