#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 16:11:54,wvcp,queen11_11,local_search,18,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,17,0,213,0:1:1:0:0:1:1:2:0:2:3:4:2:1:4:3:2:5:0:5:4:0:6:5:4:6:7:3:2:6:8:8:7:5:7:7:0:3:8:8:9:5:1:9:9:2:7:9:3:4:9:2:2:8:6:3:4:10:10:7:10:10:8:10:1:0:9:10:4:9:6:5:11:11:11:11:12:13:13:12:12:12:13:6:4:14:1:14:5:10:4:14:13:12:7:15:8:11:16:15:6:15:16:14:11:14:16:12:15:16:14:13:16:15:14:11:16:7:8:3:9
1,0,17,0,212,0:1:1:0:0:1:1:2:0:2:3:4:2:1:4:3:2:5:0:5:4:0:6:5:4:6:7:3:2:6:8:8:7:5:7:7:0:3:8:8:9:5:1:9:9:2:7:9:3:4:9:2:2:8:6:3:4:10:10:7:10:10:8:10:1:0:9:10:4:9:6:5:11:11:11:11:12:13:13:12:12:12:13:6:4:14:1:14:5:10:4:14:13:12:7:15:12:11:8:15:6:15:16:14:11:14:16:12:15:16:14:13:16:15:14:11:16:7:8:3:9
2,0,17,0,211,0:1:1:0:0:1:1:2:0:2:3:4:2:1:4:3:2:5:0:5:4:0:6:5:4:6:7:3:2:6:8:8:7:5:7:7:0:3:8:8:9:5:1:9:9:2:7:9:3:4:9:2:2:8:6:3:4:10:10:7:10:10:8:10:1:0:9:10:4:9:6:5:11:11:11:11:12:13:13:12:12:12:13:6:4:14:1:14:5:10:4:14:13:12:7:15:12:11:8:15:6:15:15:14:11:14:16:12:15:16:14:13:16:15:14:11:16:7:8:3:9
15,0,14,0,202,0:1:3:1:1:3:9:3:1:2:4:0:8:2:4:0:0:2:3:4:2:1:2:4:2:5:7:2:0:0:5:4:7:4:9:7:3:2:2:9:7:1:9:5:0:6:5:1:14:7:14:6:6:5:6:6:7:8:7:12:8:1:7:14:1:0:14:8:6:12:7:8:3:8:12:8:5:4:12:4:9:11:0:3:6:12:3:14:6:9:14:4:5:9:11:11:16:11:9:6:11:14:11:12:6:16:16:16:8:4:16:8:16:14:9:16:11:5:16:12:14
16,0,15,0,201,0:1:3:1:1:3:9:3:1:2:4:0:8:2:4:0:0:2:3:4:2:1:2:4:2:5:7:2:0:0:5:4:7:4:9:7:3:2:2:9:7:1:9:5:0:6:5:1:14:7:14:6:6:5:6:6:7:8:7:12:8:1:7:14:1:0:14:8:6:12:7:8:3:8:12:8:5:4:12:4:9:11:0:3:6:12:3:14:6:9:14:4:5:9:11:11:12:11:9:6:11:14:11:12:6:16:16:16:8:4:16:8:16:14:9:16:11:5:16:12:13
17,0,14,0,200,0:1:3:1:1:3:9:3:1:2:4:0:8:2:4:0:0:2:3:4:2:1:2:4:2:5:7:2:0:0:5:4:7:4:9:7:3:2:2:9:7:1:9:5:0:6:5:1:14:7:14:6:6:5:6:6:7:8:7:12:8:1:7:14:1:0:14:8:6:12:7:8:3:8:12:8:5:4:12:4:9:11:0:3:6:12:3:14:6:9:14:4:5:9:11:11:12:11:9:6:11:14:11:12:6:16:16:16:8:4:16:8:16:14:9:16:11:5:16:12:14
23,1,14,0,199,0:1:3:1:1:3:14:3:1:2:4:0:9:2:4:0:0:2:3:4:2:1:2:4:2:5:7:2:0:0:5:4:5:4:9:7:3:2:2:9:7:1:9:5:0:6:5:1:14:7:14:6:6:5:6:6:7:8:7:12:8:5:7:8:1:3:14:8:6:12:7:8:3:8:12:8:9:4:12:4:9:11:0:3:6:12:3:14:6:9:14:4:5:9:11:11:12:11:9:6:11:14:11:12:6:16:16:16:8:4:16:8:16:14:11:16:11:3:16:12:14
24,1,14,0,198,0:1:3:1:1:3:14:3:1:9:4:0:9:2:4:0:0:2:3:4:2:1:2:4:2:5:7:2:0:0:5:4:5:4:9:7:3:2:2:9:7:1:9:5:0:6:5:1:14:7:14:6:6:5:6:6:7:8:7:12:8:5:7:8:1:3:14:8:6:12:7:8:3:8:12:8:9:4:12:4:9:11:0:3:6:12:3:14:6:9:14:4:5:9:11:11:12:11:9:6:11:14:11:12:6:16:16:16:8:4:16:8:16:14:11:16:12:3:16:12:14
28,1,14,0,197,0:1:3:1:1:3:14:3:1:9:4:0:9:2:4:0:0:2:1:4:2:1:2:4:2:5:7:2:0:0:5:4:7:2:9:7:0:2:2:9:7:1:9:5:0:6:5:1:14:7:14:6:7:5:6:6:7:8:5:12:8:5:4:8:1:3:14:8:6:12:12:8:3:8:12:7:9:4:7:4:9:12:7:3:6:12:3:14:6:9:14:4:5:9:11:11:12:11:9:6:11:14:11:12:6:16:16:6:8:4:16:8:16:14:11:16:12:3:16:12:14
31,1,14,0,195,0:1:3:1:1:3:3:0:1:9:4:7:9:2:4:0:7:2:1:4:2:1:2:4:2:5:7:2:0:5:5:4:5:2:9:7:3:2:2:9:7:1:9:5:0:6:5:1:14:7:14:6:6:5:6:0:7:8:7:12:8:5:4:8:1:0:0:8:6:12:3:8:3:8:12:8:9:4:7:6:9:11:0:3:6:12:3:16:6:5:14:4:9:9:11:11:12:11:9:12:11:14:11:12:16:16:16:16:8:4:16:8:14:14:11:16:11:3:14:12:14
