#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 14:37:55,wvcp,zeroin.i.2,local_search,6,336,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,afisa_original,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,32,0,343,0:1:2:1:2:0:3:4:2:2:2:1:2:2:5:6:1:5:7:8:5:2:6:2:9:2:6:9:8:8:9:10:10:4:6:9:9:9:6:1:11:12:11:3:7:6:13:14:13:2:15:16:2:1:17:18:19:20:21:22:17:9:21:23:15:17:17:17:9:17:20:24:24:23:14:22:25:12:19:24:24:18:12:6:9:26:26:2:27:28:22:25:27:9:29:30:24:6:31:31
56,1,30,0,342,14:26:1:26:26:5:5:0:1:26:26:2:1:1:27:1:2:2:11:20:2:10:2:26:26:10:10:10:27:10:26:31:11:31:20:1:0:26:17:17:25:24:14:17:20:1:8:23:25:26:28:18:10:26:17:13:21:4:29:22:17:10:18:12:21:24:26:1:10:1:4:6:22:24:8:12:30:27:13:29:17:28:26:26:23:2:22:2:7:15:6:4:15:10:9:6:6:23:19:15
57,1,30,0,341,14:26:1:26:26:5:5:0:1:26:26:2:1:1:27:1:2:2:11:20:2:10:2:26:26:10:10:10:27:10:26:31:11:31:20:1:0:26:17:17:25:24:14:17:20:1:8:23:25:26:28:18:10:26:17:13:21:4:29:22:17:10:18:12:21:24:26:1:10:1:4:15:22:24:8:12:30:27:13:29:17:28:26:26:23:2:22:2:7:15:17:4:15:10:9:6:6:23:19:15
58,1,30,0,340,14:26:1:26:26:5:5:0:1:26:26:2:1:1:27:1:2:2:11:20:2:10:2:26:26:10:10:10:27:10:26:31:11:31:20:1:0:26:2:1:25:24:14:17:20:1:8:23:25:26:28:18:10:26:17:13:21:4:29:22:17:10:18:12:21:10:26:1:10:1:4:15:22:24:8:12:30:27:13:29:17:28:26:26:15:2:22:2:7:15:17:4:15:10:9:6:6:23:19:9
59,1,30,0,339,14:26:1:26:26:5:5:0:1:2:26:2:1:1:27:1:2:2:11:20:2:10:1:26:26:10:26:10:27:10:27:31:11:31:20:1:27:26:2:2:25:24:14:0:20:1:8:23:25:17:28:18:10:24:17:13:21:4:29:22:17:17:28:12:8:10:22:17:10:1:12:15:24:27:21:24:30:22:23:15:17:13:22:26:29:2:4:2:7:15:17:26:7:10:9:6:10:29:19:6
60,1,30,0,338,14:26:1:26:26:5:5:0:1:2:26:2:1:1:27:1:2:2:11:20:2:10:1:26:26:10:26:10:27:10:27:31:11:31:20:1:27:26:2:2:25:24:14:0:20:1:8:23:25:26:28:18:10:24:17:13:21:4:29:22:17:17:28:12:8:10:22:17:10:1:12:15:24:27:21:24:30:22:23:15:17:13:22:26:29:2:4:2:7:15:17:26:7:10:9:6:10:29:19:19
126,4,30,0,337,11:26:10:26:10:14:14:5:11:26:10:10:26:10:27:1:26:1:0:20:10:2:2:10:1:10:10:2:27:20:1:31:0:31:26:2:27:10:2:10:25:24:5:25:2:1:8:23:8:2:28:18:10:1:15:13:21:4:29:22:26:2:28:12:23:2:1:26:10:1:26:17:22:29:18:1:30:4:13:24:17:17:24:22:27:2:21:17:7:15:20:26:17:10:9:6:6:29:19:30
461,17,30,0,336,14:26:10:26:10:14:31:20:20:26:10:26:10:26:11:1:26:10:5:24:1:10:10:10:17:10:17:17:11:5:10:27:11:27:17:1:26:17:26:26:25:0:31:10:25:1:8:23:0:10:28:18:10:18:2:13:21:4:29:22:26:17:12:12:29:24:26:1:10:1:13:15:15:17:24:22:30:21:8:23:17:2:0:4:26:2:30:2:7:15:7:15:2:17:9:6:10:7:19:6
461,17,30,0,336,14:26:10:26:10:14:31:20:20:26:10:26:10:26:11:1:26:10:5:24:1:10:10:10:17:10:17:17:11:5:10:27:11:27:17:1:26:17:26:26:25:0:31:10:25:1:8:23:0:10:28:18:10:18:2:13:21:4:29:22:26:17:12:12:29:24:26:1:10:1:13:15:15:17:24:22:30:21:8:23:17:2:0:4:26:2:30:2:7:15:7:15:2:17:9:6:10:7:19:6
#2022-10-12 14:38:13
