#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 20:30:53,wvcp,DSJC125.9g,local_search,9,169,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,58,0,187,0:1:2:3:4:5:6:1:7:8:9:8:10:11:10:5:9:12:4:13:3:14:13:14:15:11:16:17:18:18:19:2:20:21:22:14:12:23:24:0:21:25:26:16:23:27:19:27:26:7:25:9:28:6:28:23:15:24:29:30:31:20:17:22:32:29:33:34:34:28:35:6:33:8:35:35:15:30:36:22:37:38:36:39:40:16:41:31:42:40:38:43:44:45:42:46:41:44:46:46:37:44:45:39:47:13:48:32:49:49:50:51:50:52:53:30:54:9:43:55:32:55:56:57:54
2,0,56,0,186,0:33:10:15:4:5:6:1:1:8:9:8:20:11:20:5:9:27:3:13:3:14:13:14:15:11:16:2:31:31:19:4:17:21:22:14:28:23:24:0:18:25:26:16:23:18:19:33:26:21:27:9:28:6:43:23:25:24:29:30:12:7:11:22:32:29:17:34:34:28:35:6:24:8:35:35:15:30:36:22:37:38:36:39:40:16:41:12:42:40:38:43:44:45:42:46:41:44:46:46:37:44:45:39:47:13:48:32:49:49:50:10:50:52:53:30:54:9:12:55:32:55:7:57:54
3,0,56,0,185,0:33:4:15:5:16:6:1:10:8:9:8:20:11:20:1:9:27:5:3:1:14:3:14:15:11:13:2:31:31:19:4:17:21:22:14:28:23:16:0:18:25:26:13:23:18:19:33:26:21:27:9:28:6:43:23:25:24:29:30:12:7:11:22:32:29:17:34:34:28:35:6:24:8:35:35:15:30:36:22:37:38:36:39:40:2:41:12:42:40:38:43:44:45:42:46:41:44:46:46:37:44:45:39:47:3:48:32:49:49:50:10:50:52:53:30:54:9:12:55:32:55:7:57:54
5,0,56,0,184,0:33:4:15:5:16:6:1:28:8:9:8:20:11:20:1:9:10:5:3:1:14:3:14:15:11:13:19:31:31:34:4:17:18:22:14:10:23:16:0:18:25:26:13:23:27:19:33:26:21:27:9:21:6:43:23:25:24:29:30:12:7:11:22:32:29:17:34:21:43:35:6:24:8:35:35:15:30:36:22:37:38:36:39:40:2:41:12:42:40:38:43:44:45:42:46:41:44:46:46:37:44:45:39:47:3:48:32:49:49:50:28:50:52:53:30:54:9:12:55:32:55:7:57:54
7,0,55,0,183,0:33:4:15:5:16:6:1:28:8:9:8:20:11:20:1:9:10:5:3:1:14:3:14:15:11:2:19:29:29:34:4:17:18:22:14:10:23:16:0:18:25:26:13:23:27:19:33:26:21:27:9:21:6:43:23:25:24:13:30:12:7:11:22:32:13:17:34:21:43:35:6:24:8:35:35:15:30:36:22:37:38:36:39:40:2:41:12:42:40:38:43:44:45:42:46:41:44:46:46:37:44:45:39:47:3:48:32:49:49:50:28:50:52:53:30:54:9:12:55:32:55:7:57:54
8,0,54,0,181,0:33:4:15:5:16:6:1:28:8:9:8:20:11:20:1:9:10:5:3:1:14:3:14:15:11:2:19:29:29:34:4:17:27:22:14:10:23:16:0:27:25:26:13:23:40:19:33:26:21:2:9:21:6:43:23:25:24:13:30:12:7:11:22:32:13:17:34:21:43:35:6:24:8:35:35:15:30:36:22:37:38:36:39:40:2:41:12:42:40:38:43:44:45:42:46:41:44:46:46:37:44:45:39:47:3:48:32:49:49:50:28:50:52:53:30:54:9:12:55:32:55:7:57:54
15,0,53,0,180,0:33:4:15:5:16:6:1:28:8:9:8:20:11:20:1:9:10:5:3:1:14:3:14:15:11:2:19:29:29:34:4:17:27:22:14:10:23:16:0:27:25:26:13:23:40:19:33:26:21:2:9:21:6:43:23:25:24:13:30:12:7:11:22:32:13:17:34:21:43:35:6:24:8:35:35:15:30:36:22:37:38:36:39:40:2:7:12:42:40:38:43:44:45:42:46:41:44:46:46:37:44:45:39:47:3:48:32:49:49:50:28:50:41:53:30:54:9:12:55:32:55:7:57:54
16,0,53,0,179,40:33:4:15:5:16:6:1:28:8:9:8:20:11:20:1:9:0:5:3:1:14:3:14:15:11:2:19:29:29:34:4:17:27:22:14:10:23:16:0:27:10:26:25:23:40:19:33:26:21:2:9:21:6:43:23:25:24:13:30:12:7:11:22:32:13:17:34:21:43:35:6:24:8:35:35:15:30:36:22:10:38:36:39:37:2:7:12:42:40:38:43:44:45:42:46:41:44:46:46:37:44:45:39:47:3:48:32:49:49:50:28:50:41:53:30:54:9:12:55:32:55:7:57:54
20,0,52,0,178,40:33:4:15:5:16:6:1:28:8:9:8:20:11:20:1:9:0:5:3:1:14:3:14:15:11:2:19:29:29:34:4:17:27:22:14:10:23:16:0:27:10:26:25:23:40:19:33:26:21:2:9:21:6:43:23:25:57:13:30:12:7:11:22:32:13:17:34:21:43:35:6:17:8:35:35:15:30:36:22:10:38:36:39:37:2:7:12:42:40:38:43:44:45:42:46:41:44:46:46:37:44:45:39:47:3:48:32:49:49:50:28:50:41:53:30:54:9:12:55:32:55:7:57:54
39,0,51,0,177,40:33:4:15:5:16:6:1:28:8:9:8:20:11:20:1:9:0:5:3:1:14:3:14:15:11:2:19:29:29:34:4:17:27:22:14:10:23:16:0:27:10:26:25:23:40:19:33:26:21:2:9:21:6:43:23:25:57:13:30:12:7:11:22:32:13:17:34:21:43:35:6:17:8:35:35:15:30:36:22:10:38:36:39:37:2:7:12:42:40:38:43:50:45:42:46:41:50:34:37:37:46:45:39:47:3:48:32:49:49:46:28:26:41:53:30:54:9:12:55:32:55:7:57:54
