#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 20:30:53,wvcp,DSJC125.9gb,local_search,17,604,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,56,0,662,0:1:2:3:1:4:2:5:6:7:8:4:6:9:10:7:11:5:9:2:12:13:8:10:14:15:16:17:18:17:18:19:16:20:21:19:0:22:11:3:12:21:20:23:24:25:26:24:27:28:1:12:29:25:27:30:31:29:13:10:22:26:4:30:23:15:32:33:34:14:35:35:5:36:37:38:33:34:38:31:36:39:40:41:42:43:39:37:44:44:31:45:43:46:40:8:47:28:41:46:47:45:48:21:19:33:49:50:51:11:49:48:42:50:52:52:44:53:53:54:32:55:39:30:6
3,0,56,0,656,0:1:2:3:1:4:2:20:6:7:8:4:6:9:10:7:11:5:9:2:12:5:8:10:14:15:16:17:18:17:18:19:16:20:21:19:0:22:11:3:12:21:20:23:24:25:26:24:27:28:1:12:29:25:27:30:13:29:13:10:22:26:4:30:23:15:32:33:34:14:35:35:5:36:37:38:33:34:38:31:36:39:40:41:42:43:39:37:44:44:31:45:43:46:40:8:47:28:41:46:47:45:48:21:19:33:49:50:51:11:49:48:42:50:52:52:44:53:53:54:32:55:39:30:6
4,0,56,0,654,3:1:2:28:1:11:2:20:6:7:8:4:6:4:10:7:11:5:9:2:12:5:8:10:19:15:16:17:18:17:18:9:16:20:21:26:0:26:19:28:12:21:20:23:24:25:14:24:27:0:1:12:29:25:27:30:13:29:13:10:22:22:4:30:23:15:32:33:34:14:35:35:5:36:37:38:33:34:38:31:36:39:40:41:42:43:39:37:44:44:31:45:43:46:40:8:47:23:41:46:47:45:48:21:28:33:26:50:51:49:3:48:42:50:52:52:44:53:53:54:32:55:39:30:6
6,0,55,0,652,3:1:2:28:1:11:2:20:6:7:8:4:6:4:10:7:11:5:9:2:12:5:8:10:19:15:16:17:18:17:18:9:16:20:21:26:0:26:19:28:12:21:20:23:24:25:14:24:27:0:1:12:29:25:27:30:13:29:13:10:22:22:4:30:23:15:32:33:34:14:35:35:5:36:37:38:33:34:38:31:36:39:40:41:42:43:39:37:44:44:31:45:43:46:40:8:47:23:41:46:47:45:48:21:28:33:26:50:51:49:3:48:42:50:52:52:44:49:0:54:32:55:39:30:6
7,0,54,0,650,3:1:2:28:1:4:2:20:6:7:8:4:6:42:10:7:11:5:9:2:12:5:8:10:19:15:16:17:18:17:18:9:16:20:21:26:0:26:19:28:12:21:20:23:24:25:14:24:27:0:1:12:9:25:27:30:13:11:13:10:22:22:4:30:23:15:32:33:34:14:35:35:5:36:37:38:33:34:38:31:36:39:40:41:42:43:39:37:44:44:31:45:43:46:40:8:29:23:41:46:19:45:48:21:28:33:26:50:51:49:3:48:50:50:52:52:44:49:0:54:32:55:39:30:6
9,0,53,0,646,3:1:2:28:1:4:2:20:6:7:8:4:6:42:10:7:11:5:9:2:12:5:8:10:19:15:16:17:18:17:18:9:16:20:21:26:0:26:19:28:12:21:20:23:24:25:14:24:27:0:1:12:9:25:27:30:13:11:13:10:51:42:4:30:23:15:32:33:34:14:35:35:5:36:37:22:33:34:22:31:36:39:40:41:42:43:39:37:44:44:31:45:43:46:40:8:29:23:41:46:19:45:48:21:28:33:26:50:51:49:3:48:50:50:52:52:44:49:0:54:32:55:39:30:6
11,0,52,0,640,3:1:2:28:1:4:2:20:6:7:8:4:6:42:10:7:24:5:9:2:19:5:8:10:14:25:12:17:18:17:18:9:24:20:12:26:0:26:25:28:19:21:20:23:24:27:15:16:16:0:1:19:9:12:27:30:13:11:13:10:51:42:4:30:23:15:32:33:34:14:35:35:5:36:37:22:33:34:22:31:36:39:40:41:42:43:39:37:44:44:31:45:43:46:40:8:29:23:41:46:29:45:48:21:28:33:26:50:51:49:3:41:50:50:48:11:44:49:0:54:32:55:39:30:54
19,0,51,0,638,3:1:2:17:1:4:2:20:6:7:8:4:6:42:10:7:11:5:9:2:19:5:8:10:25:15:12:37:18:37:9:18:24:20:12:26:0:26:25:28:19:21:20:23:24:27:14:24:17:0:1:19:9:12:27:30:13:11:13:10:51:42:4:30:23:15:32:33:34:14:35:35:5:36:31:22:33:34:22:28:36:39:40:41:42:43:39:28:44:44:21:45:43:46:40:8:29:23:41:46:29:45:48:21:28:33:26:50:51:49:3:41:50:50:48:31:44:49:0:54:32:55:39:30:54
22,0,51,0,636,3:1:2:17:1:4:2:20:6:7:8:4:6:42:10:7:11:5:9:2:19:5:8:10:25:15:12:37:18:37:9:18:24:20:12:26:0:26:25:28:19:21:20:23:24:27:14:24:17:0:1:19:9:12:27:30:13:11:13:10:51:42:4:30:23:15:32:33:34:14:35:35:5:36:31:22:33:34:22:28:36:39:40:41:42:43:39:28:44:44:21:45:43:46:40:8:29:23:41:46:29:45:48:21:28:33:26:50:51:39:3:41:50:50:48:31:44:49:0:54:32:55:49:30:54
32,0,51,0,635,3:1:2:17:1:4:2:20:6:7:8:4:6:42:10:7:11:5:9:2:19:5:8:10:25:15:12:37:18:37:9:18:24:20:12:26:0:26:25:28:19:21:20:23:24:27:14:24:17:0:1:19:9:12:27:30:13:11:13:10:51:42:4:30:23:15:32:33:34:14:11:45:5:36:31:22:33:34:22:28:36:39:40:41:42:43:39:28:44:44:21:35:43:46:40:8:29:23:41:46:29:35:48:21:28:33:26:50:51:39:3:41:50:50:48:31:44:49:0:54:32:55:49:30:54
34,0,50,0,633,3:1:2:17:1:4:2:20:6:7:8:4:6:42:10:7:11:5:9:2:19:5:8:10:25:15:12:37:54:37:9:54:24:20:12:26:0:26:25:28:19:21:20:23:24:27:14:24:17:0:1:19:9:12:27:30:13:11:13:10:51:42:4:30:23:15:32:33:34:14:11:45:5:36:31:22:33:34:22:28:36:39:40:41:42:43:39:28:44:44:21:35:43:46:40:8:29:23:41:46:29:35:48:21:28:33:26:50:51:39:3:41:50:50:48:31:44:49:0:45:32:55:49:30:6
40,0,50,0,629,3:1:2:17:1:4:2:20:6:7:8:4:6:42:10:7:11:5:37:2:19:5:8:10:25:15:12:23:9:37:37:54:24:20:12:26:0:26:25:28:19:21:20:23:24:27:14:24:17:0:1:19:54:12:27:30:13:11:13:10:54:42:4:30:9:15:32:33:34:14:11:45:5:36:31:22:33:34:22:28:36:39:40:41:42:43:39:28:44:44:21:35:43:46:40:8:29:3:41:46:29:35:48:21:28:33:26:50:51:39:3:41:50:50:48:31:44:49:0:45:32:55:49:30:6
42,0,49,0,627,3:1:2:32:1:4:7:20:6:7:8:4:6:42:10:2:11:5:37:7:19:5:8:10:25:23:12:15:9:37:37:54:24:20:12:26:0:26:25:28:19:21:20:15:24:27:34:24:17:0:1:19:54:12:17:30:13:11:13:10:54:42:4:14:9:32:23:33:34:27:11:45:5:36:31:22:33:14:22:28:36:39:40:41:42:30:39:28:44:44:21:35:43:46:40:8:43:3:41:46:25:35:48:21:28:33:26:50:51:39:3:41:50:50:48:31:44:49:0:45:32:55:49:30:6
45,0,49,0,626,3:1:2:32:1:4:7:20:6:7:8:4:6:42:10:2:11:5:37:7:19:5:8:10:25:23:12:15:9:37:37:54:24:20:12:26:27:26:25:28:19:21:20:15:24:27:34:24:17:0:1:19:54:12:17:30:13:11:13:10:54:42:4:14:9:32:23:33:34:27:11:45:5:36:31:22:33:14:22:28:36:39:40:41:42:30:39:28:44:44:21:35:43:46:40:8:43:3:41:46:25:35:48:21:28:33:26:50:51:39:3:41:50:50:48:31:44:49:0:45:32:55:49:30:6
46,0,48,0,625,3:1:2:32:1:4:7:20:6:7:8:4:6:42:10:2:11:5:37:7:19:5:8:10:25:23:12:15:9:37:37:54:24:20:12:26:27:26:25:28:19:21:20:15:24:27:34:24:17:0:1:19:54:12:17:30:13:11:13:10:54:42:4:14:9:32:23:33:34:27:11:45:5:55:31:22:33:14:22:28:0:39:40:41:42:30:39:28:44:44:21:35:43:46:40:8:43:3:41:46:25:35:48:21:28:33:26:50:51:39:3:41:50:50:48:31:44:49:34:45:32:55:49:30:6
64,0,47,0,624,3:1:2:32:1:4:7:20:6:7:8:4:6:42:10:2:11:5:37:14:19:5:8:10:25:23:12:15:9:37:9:37:24:20:12:26:27:26:25:28:19:21:20:15:24:27:34:24:17:0:1:19:54:12:17:30:13:11:13:10:54:42:4:14:7:32:23:33:34:27:11:45:5:55:31:22:33:14:22:28:0:39:40:41:42:30:39:28:44:44:21:35:43:46:40:8:43:3:41:46:25:35:48:21:28:33:26:50:54:39:3:41:50:50:48:31:44:49:34:45:32:55:49:30:6
90,0,47,0,622,3:1:2:32:1:4:7:20:6:7:8:4:6:42:10:2:11:5:37:14:19:5:8:10:25:23:12:15:9:37:9:37:24:20:12:26:27:26:25:28:19:21:20:15:24:27:34:24:17:0:1:19:54:12:17:30:13:11:21:10:54:42:4:14:7:32:23:33:34:27:11:45:5:55:48:22:33:14:22:28:0:39:40:41:42:30:39:28:44:44:48:35:43:46:40:8:43:3:41:46:25:35:13:21:28:33:26:50:54:39:3:41:50:50:31:31:44:49:34:45:32:55:49:30:6
103,0,47,0,620,3:1:2:32:1:4:2:20:6:7:8:4:6:42:10:7:11:5:37:2:19:5:8:10:25:23:12:55:9:37:9:37:24:20:12:26:27:26:25:28:19:21:20:15:24:27:34:24:17:0:1:19:54:12:17:30:13:11:21:10:54:42:4:14:15:32:23:33:34:27:11:45:5:55:48:22:33:14:22:28:0:39:40:41:42:30:39:28:44:44:48:35:43:46:40:8:43:3:41:46:25:35:13:21:28:33:26:50:54:39:3:41:50:50:31:31:44:49:34:45:32:55:49:30:6
134,0,47,0,619,3:1:2:32:1:4:2:20:6:7:8:4:6:42:10:7:11:5:37:2:19:5:8:10:25:23:12:55:9:37:9:37:24:20:12:26:27:26:25:28:19:21:20:15:24:27:34:24:17:46:1:19:54:12:17:14:13:11:21:10:54:42:4:14:15:32:23:33:34:27:11:45:5:55:48:0:33:22:22:28:0:39:40:41:42:30:39:28:44:44:48:35:43:30:40:8:43:3:41:46:25:35:13:21:28:33:26:50:54:39:3:41:50:50:31:31:44:49:34:45:32:55:49:14:6
334,2,47,0,618,13:1:2:32:1:4:2:20:6:7:8:4:6:42:10:7:11:5:37:2:19:5:8:10:25:23:12:55:9:37:9:37:24:20:12:26:27:26:25:28:19:21:20:15:24:27:34:24:17:46:1:19:54:12:17:14:48:11:21:10:54:42:45:14:15:32:23:33:34:27:11:45:5:55:3:22:33:28:22:48:4:51:39:41:42:30:51:3:44:44:48:35:43:30:39:8:43:15:41:46:25:35:40:21:28:33:26:50:54:51:13:41:50:50:31:31:44:49:34:40:32:55:49:14:6
