#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 20:35:51,wvcp,DSJC500.5,local_search,5,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,81,0,904,0:1:1:0:2:2:3:3:2:4:3:2:1:4:5:4:0:3:5:5:0:5:6:5:1:6:6:7:2:4:8:8:6:7:9:9:6:9:10:10:8:9:11:2:7:11:12:12:2:11:13:13:10:12:8:11:14:1:10:1:15:15:16:15:16:14:13:13:12:17:9:7:18:18:14:18:15:17:18:3:4:14:4:0:16:17:11:5:8:19:19:6:14:18:19:20:20:21:21:21:17:20:22:22:23:23:20:16:24:21:20:3:23:12:22:8:24:25:24:2:25:25:22:26:26:4:26:26:27:27:28:28:17:16:29:27:28:30:30:12:27:15:28:26:23:29:16:24:15:25:30:13:17:31:25:31:28:19:31:31:32:17:23:32:33:29:18:20:33:9:29:34:30:30:24:11:35:30:14:27:35:10:34:32:15:23:35:36:36:28:37:37:36:36:20:33:37:9:37:21:38:39:39:38:7:38:31:37:14:34:38:36:32:22:39:40:40:31:36:40:28:10:24:33:34:39:41:41:42:42:30:38:42:7:40:12:43:41:40:34:39:43:41:33:42:44:44:41:40:32:3:40:22:19:29:44:45:46:39:44:43:45:43:46:47:47:28:48:10:48:39:48:27:47:45:25:8:47:37:45:31:42:45:13:46:49:49:49:50:21:50:48:50:31:50:48:51:12:51:35:52:35:51:52:50:52:46:0:49:52:53:54:19:54:52:55:48:55:53:53:23:41:56:44:54:56:51:35:43:29:18:55:46:55:57:54:57:23:55:33:53:45:25:48:11:43:58:57:56:59:58:59:36:58:60:60:55:33:24:59:14:30:34:45:61:49:29:62:62:32:59:36:63:62:60:63:59:51:34:62:61:53:35:17:64:44:63:57:64:65:29:53:49:47:60:59:50:59:32:1:66:66:11:65:19:65:38:21:67:68:13:61:66:56:68:56:67:69:58:64:68:69:69:64:63:67:61:5:5:67:69:62:54:61:60:0:70:70:57:66:70:58:71:67:71:69:44:68:58:52:51:71:65:67:72:63:73:1:72:72:66:7:72:46:54:64:3:43:70:74:69:16:73:73:68:71:62:74:75:75:76:74:77:77:71:76:62:77:78:79:37:50:73:75:74:26:80:45:79:78
2,0,81,0,903,0:1:1:0:2:2:3:3:2:4:3:2:1:4:5:4:0:3:5:5:0:5:6:5:1:6:6:7:2:4:8:8:6:7:9:9:6:9:10:10:8:9:11:2:7:11:12:12:2:11:13:13:10:12:8:11:14:1:10:1:15:15:16:15:16:14:13:13:12:17:9:7:18:18:14:18:15:17:18:3:4:14:4:0:16:17:11:5:8:19:19:6:14:18:19:20:20:21:21:21:17:20:22:22:23:23:20:16:24:21:20:3:23:12:22:8:24:25:24:2:25:25:22:26:26:4:26:26:27:27:28:28:17:16:29:27:28:30:30:12:27:15:28:26:23:29:16:24:15:25:30:13:17:31:25:31:28:19:31:31:32:17:23:32:33:29:18:20:33:9:29:34:30:30:24:11:35:30:14:27:35:10:34:32:15:23:35:36:36:28:37:37:36:36:20:33:37:9:37:21:38:39:39:38:7:38:31:37:14:34:38:36:32:22:39:40:40:31:36:40:28:10:24:33:34:39:41:41:42:42:30:38:42:7:40:12:43:41:40:34:39:43:41:33:42:44:44:41:40:32:3:40:22:19:29:44:45:46:39:44:43:45:43:46:47:47:28:48:10:48:39:48:27:47:45:25:8:47:37:45:31:42:45:13:46:49:49:49:50:21:50:48:50:31:50:48:51:12:51:35:52:35:51:52:50:52:46:0:49:52:53:54:19:54:52:55:48:55:53:53:23:41:56:44:54:56:51:35:43:29:18:55:46:55:57:54:57:23:55:33:53:45:25:48:11:43:58:57:56:59:58:59:36:58:60:60:53:33:24:59:14:30:34:45:61:49:29:62:62:32:59:36:63:62:60:63:59:51:34:62:61:53:35:17:64:44:63:57:64:65:29:53:49:47:60:59:50:59:32:1:66:66:11:65:19:65:38:21:67:68:13:61:66:56:68:56:67:69:58:64:68:69:69:64:63:67:61:5:5:67:69:62:54:61:60:0:70:70:57:66:70:58:55:67:58:69:44:68:58:52:51:71:65:67:72:63:73:1:72:72:66:7:72:46:54:64:3:43:70:74:69:16:73:73:68:71:62:74:75:75:76:74:77:77:71:76:62:77:78:79:37:50:73:75:74:26:80:45:79:78
5,0,81,0,902,0:1:1:0:2:2:3:3:2:4:3:2:1:4:5:4:0:3:5:5:0:5:6:5:1:6:6:7:2:4:8:8:6:7:9:9:6:9:10:10:8:9:11:2:7:11:12:12:2:11:13:13:10:12:8:11:14:1:10:1:15:15:16:15:16:14:13:13:12:17:9:7:18:18:14:18:15:17:18:3:4:14:4:0:16:17:11:5:8:19:19:6:14:18:19:20:20:21:21:21:17:20:22:22:23:23:20:16:24:21:20:3:23:12:22:8:24:25:24:2:25:25:22:26:26:4:26:26:27:27:28:28:17:16:29:27:28:30:30:12:27:15:28:26:23:29:16:24:15:25:30:13:17:31:25:31:28:19:31:31:32:17:23:32:33:29:18:20:33:9:29:34:30:30:24:11:35:30:14:27:35:10:34:32:15:23:35:36:36:28:37:37:36:36:20:33:37:9:37:21:38:39:39:38:7:38:31:37:14:34:38:36:32:22:39:40:40:31:36:40:28:10:24:33:34:39:41:41:42:42:30:38:42:7:40:12:43:41:40:34:39:43:41:33:42:44:44:41:40:32:3:40:22:19:29:44:45:46:39:44:43:45:43:46:47:47:28:48:10:48:39:48:27:47:45:25:8:47:37:45:31:42:45:13:46:49:49:49:50:21:50:48:50:31:50:48:51:12:51:35:52:35:51:52:50:52:46:0:49:52:53:54:19:54:52:55:48:55:53:53:23:41:56:44:54:56:53:35:43:29:18:55:46:55:57:54:57:23:55:33:53:45:25:48:11:43:58:57:56:59:58:59:36:58:60:60:53:33:24:59:14:30:34:45:51:49:29:62:62:32:59:36:63:62:60:63:59:51:34:62:61:53:35:17:64:44:63:57:64:65:29:53:49:47:60:59:50:59:32:1:66:66:11:65:19:65:38:21:67:68:13:61:66:56:68:56:67:69:58:64:68:69:69:64:63:67:61:5:5:67:69:62:54:61:60:0:70:70:57:66:70:58:55:67:58:69:44:68:58:52:51:71:65:67:72:63:73:1:72:72:66:7:72:46:54:64:3:43:70:74:69:16:73:73:68:71:62:74:75:75:76:74:77:77:71:76:62:77:78:79:37:50:73:75:74:26:80:45:79:78
6,0,81,0,901,0:1:1:0:2:2:3:3:2:4:3:2:1:4:5:4:0:3:5:5:0:5:6:5:1:6:6:7:2:4:8:8:6:7:9:9:6:9:10:10:8:9:11:2:7:11:12:12:2:11:13:13:10:12:8:11:14:1:10:1:15:15:16:15:16:14:13:13:12:17:9:7:18:18:14:18:15:17:18:3:4:14:4:0:16:17:11:5:8:19:19:6:14:18:19:20:20:21:21:21:17:20:22:22:23:23:20:16:24:21:20:3:23:12:22:8:24:25:24:2:25:25:22:26:26:4:26:26:27:27:28:28:17:16:29:27:28:30:30:12:27:15:28:26:23:29:16:24:15:25:30:13:17:31:25:31:28:19:31:31:32:17:23:32:33:29:18:20:33:9:29:34:30:30:24:11:35:30:14:27:35:10:34:32:15:23:35:36:36:28:37:37:36:36:20:33:37:9:37:21:38:39:39:38:7:38:31:37:14:34:38:36:32:22:39:40:38:31:36:40:28:10:24:33:34:39:41:41:42:42:30:38:42:7:28:12:43:41:40:34:39:43:41:33:42:44:44:41:40:32:3:40:22:19:29:44:45:46:39:44:43:45:43:46:47:47:28:48:10:48:39:48:27:47:45:25:8:47:37:45:31:42:45:13:46:49:49:49:50:21:50:48:50:31:50:48:51:12:51:35:52:35:51:52:50:52:46:0:49:52:53:54:19:54:52:55:48:55:53:53:23:41:56:44:54:56:53:35:43:29:18:55:46:55:57:54:57:23:55:33:53:45:25:48:11:43:58:57:56:59:58:59:36:58:60:60:53:33:24:59:14:30:34:45:51:49:29:62:62:32:59:36:63:62:60:63:59:51:34:62:61:53:35:17:64:44:63:57:64:65:29:53:49:47:60:59:50:59:32:1:40:42:11:65:19:65:38:21:67:68:13:61:66:56:68:56:67:69:58:64:68:69:69:64:63:67:61:5:5:67:69:62:54:61:60:0:70:70:57:66:70:58:55:67:58:69:44:68:58:52:51:71:65:67:72:63:73:1:72:72:66:7:72:46:54:64:3:43:70:74:69:16:73:73:68:71:62:74:75:75:76:74:77:77:71:76:62:77:78:79:37:50:73:75:74:26:80:45:79:78
7,0,81,0,900,0:1:1:0:2:2:3:3:2:4:3:2:1:4:5:4:0:3:5:5:0:5:6:5:1:6:6:16:2:4:8:8:6:7:9:9:6:9:10:10:8:9:11:2:7:11:12:12:2:6:13:13:10:12:8:11:14:1:10:1:15:15:16:15:16:14:13:13:12:17:9:7:18:18:14:18:15:17:18:3:4:14:4:0:16:17:11:5:8:19:19:6:14:18:19:20:20:21:21:21:17:20:22:22:23:23:20:16:7:21:20:3:23:12:22:8:24:25:24:2:25:25:22:26:26:4:26:26:27:27:28:28:17:11:29:27:28:30:30:12:27:15:28:26:23:29:16:24:15:25:30:13:17:31:25:31:28:19:31:31:32:17:23:32:33:29:18:20:33:9:29:34:30:30:24:11:24:30:14:27:13:10:34:32:15:23:48:36:36:28:37:37:36:36:20:33:37:9:37:21:38:39:39:38:7:38:31:37:14:34:38:36:32:22:39:40:38:31:36:40:28:10:24:33:34:39:41:41:42:42:30:38:42:7:28:12:43:41:40:34:39:43:41:33:42:44:44:41:40:32:3:40:22:19:29:44:45:46:39:44:43:45:43:46:47:47:28:48:10:48:39:39:27:47:45:25:8:47:37:45:31:42:45:13:46:49:49:49:50:21:50:48:50:31:50:48:51:12:51:35:52:35:51:52:50:52:46:0:49:52:53:54:19:54:52:55:48:55:53:53:23:41:56:44:54:56:53:35:43:29:18:55:46:55:57:54:57:23:55:33:53:45:25:48:35:43:58:57:56:59:58:59:36:58:60:60:53:33:24:59:14:30:34:45:51:49:29:62:62:32:59:36:63:62:60:63:59:51:34:62:61:53:35:17:64:44:63:57:64:65:29:53:49:47:60:59:50:59:32:1:40:42:11:65:19:65:38:21:67:68:13:61:66:56:68:56:67:69:58:64:68:69:69:64:63:67:61:5:5:67:69:62:54:61:60:0:70:70:57:66:70:58:55:67:58:69:44:68:58:52:51:71:65:67:72:63:73:1:72:72:66:7:72:46:54:64:3:43:70:74:69:66:73:73:68:71:62:74:75:75:76:74:77:77:71:76:62:77:78:79:37:50:73:75:74:26:80:45:79:78
9,0,80,0,899,0:1:1:0:2:2:3:3:2:4:3:2:1:4:5:4:0:3:5:5:0:5:6:5:1:6:6:16:2:4:8:8:6:7:9:9:6:9:10:10:8:9:11:2:7:11:12:12:2:6:13:13:10:12:8:11:14:1:10:1:15:15:16:15:16:14:13:13:12:17:9:7:18:18:14:18:15:17:18:3:4:14:4:0:16:17:11:5:8:19:19:6:14:18:19:20:20:21:21:21:17:20:22:22:23:23:20:16:7:21:20:3:23:12:22:8:24:25:24:2:25:25:22:26:26:4:26:26:27:27:28:28:17:11:29:27:28:30:30:12:27:15:28:26:23:29:16:24:15:25:30:13:17:31:25:31:28:19:31:31:32:17:23:32:33:29:18:20:33:9:29:34:30:30:24:11:24:30:14:27:13:10:34:32:15:23:48:36:36:28:37:37:36:36:20:33:37:9:37:21:38:39:39:38:7:38:31:37:14:34:38:36:32:22:39:40:38:31:36:40:28:10:24:33:34:39:41:41:42:42:30:38:42:7:28:12:43:41:40:34:39:43:41:33:42:44:44:41:40:32:3:40:22:19:29:44:45:46:39:44:43:45:43:46:47:47:28:48:10:48:39:39:27:47:45:25:8:47:37:45:31:42:45:13:46:49:49:49:50:21:50:48:50:31:50:48:51:12:51:35:52:35:51:52:50:52:46:0:49:52:53:54:19:54:52:55:48:55:53:53:23:41:56:44:54:56:53:35:43:29:18:55:46:40:57:54:57:23:55:33:53:45:25:48:35:43:58:57:56:59:58:59:36:58:60:60:53:33:24:59:14:30:34:45:51:49:29:62:62:32:59:36:63:62:60:63:59:51:34:62:61:53:35:17:64:44:63:57:64:65:29:53:49:47:60:59:50:59:32:1:40:42:11:65:19:65:38:21:67:68:13:61:66:56:68:56:67:69:58:64:68:69:69:64:63:67:61:5:5:67:69:62:54:61:60:0:70:70:57:66:70:58:55:67:58:69:44:68:58:52:51:71:65:67:72:63:73:1:72:72:66:7:72:46:54:64:3:43:70:74:69:66:73:73:68:71:62:74:75:75:76:74:77:77:71:76:62:77:78:79:37:50:73:75:74:26:55:45:79:78
10,0,80,0,898,0:1:1:0:2:2:3:3:2:4:3:2:1:4:5:4:0:3:5:5:0:5:6:5:1:6:6:16:2:4:8:8:6:7:9:9:6:9:10:10:8:9:11:2:7:11:12:12:2:6:13:13:10:12:8:11:14:1:10:1:15:15:16:15:16:14:13:13:12:17:9:7:18:18:14:18:15:17:18:3:4:14:4:0:16:17:11:5:8:19:19:6:14:18:19:20:20:21:21:21:17:20:22:22:7:23:20:23:7:21:20:3:23:12:22:8:24:25:24:2:25:25:22:26:26:4:26:26:27:27:28:28:17:11:29:27:28:30:30:12:27:15:28:26:23:29:16:24:15:25:30:13:17:31:25:31:28:19:31:31:32:17:23:32:33:29:18:20:33:9:29:34:30:30:24:11:24:30:14:27:13:10:34:32:15:23:48:36:36:28:16:32:36:36:20:33:37:9:37:21:38:39:39:38:24:38:31:37:14:34:38:36:32:22:39:40:38:31:36:40:28:10:24:33:34:39:41:41:42:42:30:38:42:7:28:12:43:41:40:34:39:43:41:33:42:44:44:41:40:32:3:40:22:19:29:44:45:46:39:44:43:45:43:46:47:47:28:48:10:48:39:39:27:47:45:25:8:47:37:45:31:42:45:13:46:49:49:49:50:21:50:48:50:31:50:48:51:12:51:35:52:35:51:52:50:52:46:0:49:52:53:54:19:54:52:55:48:55:53:53:14:41:56:44:54:56:53:35:43:29:18:55:46:40:57:54:57:7:55:33:53:45:25:48:35:43:58:57:56:59:58:59:36:58:60:60:53:33:24:59:14:30:34:45:51:49:29:62:62:32:59:36:63:62:60:63:59:51:34:62:61:53:35:17:64:44:63:57:64:65:29:53:49:47:60:59:50:59:35:1:40:42:11:65:19:65:38:21:67:68:13:61:66:56:68:56:67:69:58:64:68:69:69:64:63:67:61:5:5:67:69:62:54:61:60:0:70:70:57:66:70:58:55:67:58:69:44:68:58:52:51:71:65:67:72:63:73:1:72:72:66:7:72:46:54:64:3:43:70:74:69:66:73:73:68:71:62:74:75:75:76:74:77:77:71:76:62:77:78:79:37:50:73:75:74:26:55:45:79:78
13,0,80,0,897,0:1:1:0:2:2:3:3:2:4:3:2:1:4:5:4:0:3:5:5:0:5:6:5:1:6:6:16:2:4:8:8:6:7:9:9:6:9:10:10:8:9:11:2:7:11:12:12:2:6:13:13:10:12:8:11:14:1:10:1:15:15:16:15:16:14:13:13:12:17:9:7:18:18:14:18:15:17:18:3:4:14:4:0:16:17:11:5:8:19:19:6:14:18:19:20:20:21:21:21:17:20:22:22:7:23:20:23:7:21:20:3:23:12:22:8:24:25:24:2:25:25:22:26:26:4:26:26:27:27:28:28:17:11:29:27:28:30:30:12:27:15:28:26:23:29:16:24:15:25:30:13:17:31:25:31:28:19:31:31:32:17:23:32:33:29:18:20:33:9:29:34:30:30:24:11:24:30:14:27:13:10:34:32:15:23:48:36:36:28:16:32:36:36:20:33:37:9:37:21:38:39:39:38:24:38:31:37:14:34:38:36:32:22:39:40:38:31:36:40:28:10:24:33:34:39:41:41:42:42:30:38:42:7:28:12:43:41:40:34:39:43:41:33:42:44:44:41:40:32:3:40:22:19:29:44:45:46:39:44:43:45:43:46:47:47:28:48:10:48:39:39:27:47:45:25:8:47:37:45:31:42:45:13:46:49:49:49:50:21:50:48:50:31:50:48:51:12:51:35:52:35:51:52:50:52:46:0:49:52:53:54:19:54:52:55:48:55:53:53:14:41:56:44:46:56:53:35:43:29:18:55:46:40:57:16:57:7:55:33:53:45:25:48:35:43:58:57:56:59:58:59:36:58:60:60:53:33:24:59:14:30:34:45:51:49:29:62:62:32:59:36:63:62:60:63:59:51:34:62:61:53:35:17:64:44:63:57:64:65:29:53:49:47:60:59:50:59:35:1:40:42:11:65:19:65:38:21:67:68:13:61:66:56:68:56:67:69:58:64:68:69:69:64:63:67:61:5:5:67:69:62:54:61:60:0:70:70:57:66:70:58:55:67:58:69:44:68:58:52:51:71:65:67:72:63:73:1:72:72:66:7:72:46:54:64:3:43:70:71:69:66:73:73:68:71:62:74:75:75:76:74:77:77:71:76:62:77:78:79:37:50:73:75:74:26:55:45:79:78
14,0,80,0,896,0:1:1:0:2:2:3:3:2:4:3:2:1:4:5:4:0:3:5:5:0:5:6:5:1:6:6:16:2:4:8:8:6:7:9:9:6:9:10:10:8:9:11:2:7:11:12:12:2:6:13:13:10:12:8:11:14:1:10:1:15:15:16:15:16:14:13:13:12:17:9:7:18:18:14:18:15:17:18:3:4:14:4:0:16:17:11:5:8:19:19:6:14:18:19:20:20:21:21:21:17:20:22:22:7:23:20:23:7:21:20:3:23:12:22:8:24:25:24:2:25:25:22:26:26:4:26:26:27:27:28:28:17:11:29:27:28:30:30:12:27:15:28:26:23:29:16:24:15:25:30:13:17:31:25:31:28:19:31:31:32:17:23:32:33:29:18:20:33:9:29:34:30:30:24:11:24:30:14:27:13:10:34:32:15:23:48:36:36:28:16:32:36:36:20:33:37:9:37:21:38:39:39:38:24:38:31:37:14:34:38:36:32:22:39:40:38:31:36:40:28:10:24:33:34:39:41:41:42:42:30:38:42:7:28:12:43:41:40:34:39:43:41:33:42:44:44:41:40:32:3:19:22:19:29:44:45:46:39:44:43:45:43:46:47:47:28:48:10:48:39:39:27:47:45:25:8:47:37:45:31:42:45:13:46:49:49:49:50:21:50:48:50:31:50:48:51:12:51:35:52:35:51:52:50:52:46:0:49:52:53:54:19:54:52:55:48:55:53:53:14:41:56:44:46:56:53:35:43:29:18:55:46:40:57:16:57:7:55:33:53:45:25:48:35:43:58:57:56:59:58:59:36:58:60:60:53:33:24:59:14:30:34:45:51:49:29:62:62:32:59:36:63:62:60:63:59:51:34:62:61:53:35:17:64:44:63:57:64:65:29:53:49:47:60:59:50:59:35:1:40:42:11:65:19:65:38:21:67:68:13:54:66:56:68:56:67:69:58:64:68:69:69:64:63:67:61:5:5:67:69:62:54:61:60:0:61:49:57:66:40:58:55:67:58:69:44:68:58:52:51:71:65:67:72:63:73:1:72:72:66:7:72:46:54:64:3:43:70:71:69:66:73:73:68:71:62:74:75:75:76:74:77:77:71:76:62:77:78:79:37:50:73:75:74:26:55:45:79:78
15,0,80,0,895,0:1:1:0:2:2:3:3:2:4:3:2:1:4:5:4:0:3:5:5:0:5:6:5:1:6:6:16:2:4:8:8:6:7:9:9:6:9:10:10:8:9:11:2:7:11:12:12:2:6:13:13:10:12:8:11:14:1:10:1:15:15:16:15:16:14:13:13:12:17:9:7:18:18:14:18:15:17:18:3:4:14:4:0:16:17:11:5:8:19:19:6:14:18:19:20:20:21:21:21:17:20:22:22:7:23:20:23:7:21:20:3:23:12:22:8:24:25:24:2:25:25:22:26:26:4:26:26:27:27:28:28:17:11:29:27:28:30:30:12:27:15:28:26:23:29:16:24:15:25:30:13:17:31:25:31:28:19:31:31:32:17:23:32:33:29:18:20:33:9:29:34:30:30:24:11:24:30:14:27:13:10:34:32:15:23:48:36:36:28:16:32:36:36:20:33:37:9:37:21:38:39:39:38:24:38:31:37:14:34:9:36:32:22:39:40:38:31:36:40:28:10:24:33:34:39:41:41:42:42:30:38:42:7:28:12:43:41:40:34:39:43:41:33:42:44:44:41:40:32:3:19:22:19:29:44:45:46:39:44:43:45:43:23:47:47:28:48:10:48:39:39:27:47:45:25:8:47:37:45:31:42:45:13:46:49:49:49:50:21:50:48:50:31:50:48:51:12:51:35:46:35:51:12:50:35:46:0:49:38:53:54:19:54:52:55:48:55:53:53:14:41:56:44:46:56:53:52:43:29:18:55:46:40:57:16:57:7:55:33:53:45:25:48:35:43:58:57:56:59:58:59:36:58:60:60:53:33:24:59:14:30:34:45:51:49:29:62:62:32:59:36:63:62:60:63:59:51:34:62:61:53:52:17:64:44:63:57:64:65:29:53:49:47:60:59:50:59:52:1:40:42:11:65:19:65:38:21:67:68:13:54:66:56:68:56:67:69:58:64:68:69:69:64:63:67:61:5:5:67:69:62:54:61:60:0:61:49:57:66:40:58:55:67:58:69:44:68:58:52:51:71:65:67:72:63:73:1:72:72:66:7:72:46:54:64:3:43:70:71:69:66:73:73:68:71:62:74:75:75:76:74:77:77:71:76:62:77:78:79:37:50:73:75:74:26:55:45:79:78
