#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 20:51:08,wvcp,DSJR500.1,local_search,5,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,15,0,191,0:0:0:0:1:1:1:2:1:0:1:1:2:1:1:1:0:2:0:3:0:2:3:3:4:2:1:4:4:0:1:0:3:1:0:4:2:2:4:3:4:2:5:0:2:1:3:4:2:5:2:5:3:5:1:3:5:3:0:6:0:6:3:5:5:6:5:5:0:3:5:5:2:6:4:6:6:6:1:3:3:6:5:4:6:4:6:5:0:6:3:6:4:1:2:0:6:4:7:5:7:5:7:5:2:7:0:2:1:3:8:0:8:0:7:1:8:6:7:3:7:7:8:2:5:3:8:8:8:8:4:8:2:3:9:7:7:8:9:0:7:9:2:8:5:9:5:1:7:0:9:10:10:10:8:6:9:10:10:9:8:11:6:11:11:10:8:9:0:9:9:10:10:6:11:7:6:9:7:12:12:2:1:9:9:12:12:4:10:6:13:13:13:11:4:11:11:12:13:13:13:12:13:11:11:12:1:12:11:13:12:9:1:8:10:12:13:13:12:12:10:6:11:12:7:14:11:14:12:14:13:9:14:14:10:8:14:12:1:14:12:13:13:10
1,0,15,0,190,0:0:0:0:1:1:1:2:1:0:1:1:2:1:1:1:0:2:0:3:0:2:3:3:4:2:1:4:4:0:1:0:3:1:0:4:2:2:4:3:4:2:5:0:2:4:3:4:2:5:2:5:3:5:1:3:5:3:0:6:0:6:3:5:5:6:5:5:0:3:5:5:2:6:4:6:6:6:1:3:3:6:5:4:6:4:6:5:0:6:3:6:4:1:2:0:6:4:7:5:7:5:7:5:2:7:0:2:1:3:8:0:8:0:7:1:8:6:7:3:7:7:8:2:5:3:8:8:8:8:4:8:9:3:9:7:7:8:9:0:7:9:2:8:5:9:5:8:7:0:9:10:10:10:8:6:9:10:10:9:8:1:6:8:2:10:8:9:0:9:9:10:10:6:11:7:6:9:7:12:12:2:1:9:9:12:12:4:10:6:13:13:13:11:4:11:11:12:13:13:13:12:13:11:11:12:1:12:11:13:12:9:1:8:10:12:13:13:12:12:10:6:11:12:7:14:11:14:12:14:13:9:14:14:10:8:14:12:1:14:12:13:13:10
2,0,15,0,189,0:0:0:0:1:1:1:2:1:0:1:1:2:1:1:1:0:2:0:3:0:2:3:3:4:2:1:4:4:0:1:0:3:1:0:4:2:2:4:3:4:2:5:0:2:4:3:4:2:5:2:5:3:5:1:3:5:3:0:6:0:6:3:5:5:6:5:5:0:3:5:5:2:6:4:6:6:6:1:3:3:6:5:4:6:4:6:5:0:6:3:6:4:1:2:0:6:4:7:5:7:5:7:5:2:7:0:2:1:3:8:0:8:0:7:1:8:6:7:3:7:0:8:2:5:3:8:8:8:8:4:8:9:3:9:7:7:8:9:0:7:9:2:8:5:9:5:8:7:0:9:10:10:10:8:6:9:10:10:9:8:1:6:8:2:10:8:9:0:9:9:10:10:6:11:7:6:9:7:13:7:2:1:9:9:0:7:4:10:6:11:13:13:11:4:11:11:12:13:13:13:12:13:11:11:12:1:12:11:13:12:9:1:8:10:12:13:13:12:12:10:6:11:12:7:14:11:14:12:14:13:9:14:14:10:8:14:12:1:14:12:13:13:10
3,0,15,0,188,0:0:0:0:1:1:1:2:1:0:1:1:2:1:1:1:0:2:0:3:0:2:3:3:4:2:1:4:4:0:1:0:3:1:0:4:2:2:4:3:4:2:5:0:2:4:3:4:2:5:2:5:3:5:1:3:5:3:0:6:0:6:3:5:5:6:5:5:0:3:5:5:2:6:4:6:6:6:1:3:3:6:5:4:6:4:6:5:0:6:3:6:4:1:2:0:6:4:7:5:7:5:7:5:2:7:0:2:1:3:8:0:8:0:7:1:8:6:7:3:7:0:8:2:5:3:8:8:8:8:4:8:9:3:9:7:7:8:9:0:7:9:2:8:5:9:5:8:7:0:9:10:10:10:8:6:9:10:10:9:8:1:6:8:2:10:8:9:0:9:9:10:10:6:11:7:6:9:7:11:7:2:1:9:9:0:7:4:10:6:13:13:13:11:4:11:11:12:13:13:13:12:13:11:11:12:1:12:11:13:12:9:1:8:10:12:13:13:12:12:10:6:11:12:7:14:12:14:12:14:13:9:14:14:10:8:14:12:1:14:12:13:13:10
4,0,15,0,187,0:0:0:0:1:1:1:2:1:0:1:1:2:1:1:1:0:2:0:3:0:2:3:3:4:2:1:4:4:0:1:0:3:1:0:4:2:2:4:3:4:2:5:0:2:4:3:4:2:5:2:5:3:5:1:3:5:3:0:6:0:6:3:5:5:6:5:5:0:3:5:5:2:6:4:6:6:6:1:3:3:6:5:4:6:4:6:5:0:6:3:6:4:1:2:0:6:4:7:5:7:5:7:5:2:7:0:2:1:3:8:0:8:0:7:1:8:6:7:3:7:0:8:2:5:3:8:8:8:8:4:8:9:3:9:7:7:8:9:0:7:9:2:8:5:9:5:8:7:0:9:10:10:10:8:6:9:10:10:9:8:1:6:8:2:10:8:9:0:9:9:10:10:6:10:7:6:9:7:11:7:2:1:9:9:0:7:4:10:6:13:13:13:11:4:11:11:12:13:13:13:12:13:11:11:12:1:12:11:13:12:9:1:8:10:12:13:13:12:12:10:6:11:12:7:14:12:14:12:14:13:9:14:14:10:8:14:12:1:14:12:13:13:10
6,0,15,0,186,0:0:0:0:1:1:1:2:1:0:1:1:2:1:1:1:0:2:0:3:0:2:3:3:4:2:1:4:4:0:1:0:3:1:0:4:2:2:4:3:4:2:5:0:2:4:3:4:2:5:2:5:3:5:1:3:5:3:0:6:0:6:3:5:5:6:5:5:0:3:5:5:2:6:4:6:6:6:1:3:3:6:5:4:6:4:6:5:0:6:3:6:4:1:2:0:6:4:7:5:7:5:7:5:2:7:0:2:1:3:8:0:8:0:7:1:4:6:7:3:7:0:8:7:5:3:8:8:8:8:4:8:9:3:9:7:7:8:9:0:7:2:2:8:5:9:5:8:7:0:9:10:10:10:8:6:9:10:10:9:8:1:6:8:2:10:8:9:0:9:9:10:10:6:10:7:6:9:7:11:7:2:1:9:9:0:7:4:10:6:13:13:13:11:4:11:11:9:13:13:13:8:13:11:11:7:1:12:11:13:12:9:1:8:10:12:13:13:12:12:10:6:11:12:7:14:12:14:12:14:13:9:14:14:10:8:14:12:1:14:12:13:13:10
7,0,15,0,185,0:0:0:0:1:1:1:2:1:2:1:1:2:1:1:1:0:2:0:3:0:2:3:3:4:2:1:4:4:0:1:0:3:1:0:4:2:2:4:3:4:2:5:0:2:4:3:4:2:5:2:5:3:5:1:3:5:3:0:6:0:6:3:5:5:6:5:5:0:3:5:5:2:6:4:6:6:6:1:3:3:6:5:4:6:4:6:5:0:6:3:6:4:1:2:0:6:4:7:5:7:5:7:5:2:3:0:2:1:3:8:0:8:0:7:1:4:6:7:3:7:0:8:7:5:3:8:8:8:8:4:8:9:3:9:2:7:8:9:0:7:2:2:8:5:9:5:8:7:0:9:10:10:10:8:6:9:10:10:9:8:1:6:8:2:10:8:9:0:9:9:10:10:6:10:7:6:9:7:11:7:2:1:9:9:0:7:4:10:6:13:13:13:11:4:11:11:9:13:13:13:8:13:11:11:7:1:12:11:13:12:9:1:8:10:12:13:13:12:12:10:6:11:12:7:7:12:0:12:13:13:9:13:14:10:8:14:12:1:14:12:13:13:10
8,0,15,0,184,0:0:0:0:1:1:1:2:1:2:1:1:2:1:1:1:0:2:0:3:0:2:3:3:4:2:1:4:4:0:1:0:3:1:0:4:2:2:4:3:4:2:5:0:2:4:3:2:2:5:1:5:3:5:1:3:5:3:0:6:0:6:3:5:5:6:5:5:0:3:5:5:2:6:4:6:6:6:1:3:3:6:5:4:6:4:6:5:0:6:3:6:4:1:2:0:6:4:7:5:7:5:7:5:2:3:0:2:1:3:8:0:8:0:7:1:4:6:7:3:7:0:8:7:5:3:8:8:8:8:4:8:9:3:9:2:7:8:9:0:7:2:2:8:5:9:5:8:7:0:9:2:4:6:8:6:9:6:2:9:8:10:6:8:2:10:8:9:0:9:9:10:10:6:10:7:3:9:7:11:7:2:1:9:9:0:7:4:10:6:13:13:13:11:4:11:11:9:13:13:13:8:13:11:11:7:1:12:11:13:12:9:1:8:10:12:13:13:12:12:10:6:11:12:7:7:12:0:12:13:13:9:13:14:10:8:14:12:1:14:12:13:13:10
9,0,15,0,183,0:0:0:0:1:1:1:2:1:2:1:1:2:1:1:1:0:2:0:3:0:2:3:3:4:2:1:4:4:0:1:0:3:1:0:4:2:2:4:3:4:2:5:0:2:4:1:2:2:5:5:5:3:3:1:3:5:3:0:6:0:6:3:5:5:6:5:5:0:3:5:5:2:4:4:6:6:6:1:3:3:6:5:4:6:2:6:6:0:6:3:6:4:1:2:0:6:4:7:5:7:5:7:5:2:3:0:2:1:3:8:0:8:0:7:1:4:6:7:3:7:0:8:7:5:3:8:8:8:8:4:5:9:3:9:2:7:8:9:0:7:2:2:8:5:9:5:8:7:0:8:9:4:6:8:6:9:6:9:9:6:1:6:8:2:1:8:9:0:9:9:10:10:10:10:7:3:9:7:11:7:2:1:9:9:0:7:4:10:6:13:13:13:11:4:11:11:9:13:13:13:8:13:11:11:7:1:12:11:13:12:9:10:8:10:12:13:13:12:12:10:6:11:12:7:7:12:0:12:13:13:9:13:14:10:8:14:12:1:14:12:13:13:10
12,0,15,0,180,0:0:0:0:1:1:1:2:1:2:1:1:2:1:1:1:0:2:0:3:0:2:3:3:4:2:1:4:4:0:1:0:3:1:0:4:2:2:4:3:4:2:5:0:2:4:1:2:2:5:5:5:3:3:1:3:5:3:0:6:0:6:3:5:5:6:5:5:0:3:5:5:2:4:4:6:6:6:1:3:3:6:5:4:6:2:6:6:0:6:3:6:4:1:2:0:6:4:7:5:7:5:7:5:2:3:0:2:1:3:8:0:8:0:7:1:4:6:7:3:7:0:8:7:5:3:8:8:8:8:4:5:9:3:9:2:7:8:9:0:7:2:2:8:5:9:5:8:7:0:8:9:4:6:8:6:9:6:9:9:6:1:6:8:2:1:8:9:0:9:9:11:8:11:4:7:3:9:7:11:7:2:1:9:9:0:7:4:4:6:13:13:13:11:4:11:11:9:13:13:13:8:13:11:11:7:1:12:11:13:12:9:10:8:10:12:13:13:12:12:10:6:11:12:7:7:12:0:12:13:13:9:13:14:10:8:14:12:1:14:12:13:13:10
