#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 18:26:52,wvcp,GEOM110,local_search,16,68,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,11,0,79,0:1:2:0:2:1:0:2:3:2:0:0:3:3:1:3:3:4:2:4:3:0:3:1:4:4:4:2:3:5:1:4:6:5:5:0:3:5:3:5:1:6:5:6:4:1:0:4:1:6:4:2:5:1:1:7:7:7:6:7:0:6:5:4:3:7:8:8:6:8:6:9:9:9:4:10:0:0:8:7:10:5:10:10:9:8:8
2,0,11,0,78,0:1:2:0:2:2:1:2:3:2:0:0:3:3:1:3:3:4:2:4:2:0:3:1:4:4:4:2:3:0:1:4:6:5:5:0:3:5:3:5:1:6:5:6:4:1:0:4:1:6:4:3:5:1:1:7:7:7:6:7:0:6:5:4:3:7:8:8:6:8:6:9:9:9:4:10:0:0:8:7:10:5:10:10:9:8:8
3,0,11,0,77,0:1:2:0:2:2:1:2:3:2:0:0:3:3:1:3:3:4:2:4:2:0:3:1:4:4:4:2:3:0:1:4:6:5:5:0:3:5:3:5:1:6:5:6:4:1:0:4:1:6:4:3:5:1:1:7:7:7:6:7:7:6:5:4:3:7:8:8:6:8:6:9:9:9:4:0:0:0:8:7:10:5:10:10:9:8:8
5,0,11,0,76,0:1:2:0:3:2:1:2:3:2:0:0:3:3:1:3:3:4:2:4:2:0:1:1:4:4:4:2:3:0:1:4:6:6:2:0:3:6:3:1:6:5:5:6:4:5:0:4:1:6:4:3:1:1:1:7:5:5:6:2:7:6:5:4:5:7:8:8:7:8:6:9:9:9:4:0:0:0:8:7:10:5:10:10:9:8:8
6,0,11,0,75,0:1:2:0:3:2:1:2:3:2:0:0:3:3:1:3:3:4:2:4:2:0:1:1:4:4:4:2:3:0:1:4:6:6:2:0:3:6:3:1:6:5:5:6:4:5:0:4:1:6:4:3:1:1:1:7:5:5:6:2:7:6:5:4:5:7:8:8:7:8:6:9:9:9:4:0:0:0:8:7:7:5:10:10:9:8:8
9,0,10,0,74,0:1:2:0:3:2:1:2:3:2:0:0:3:3:1:3:3:4:2:4:2:0:1:1:4:4:4:2:3:0:1:4:6:6:2:0:3:6:3:1:6:5:5:6:4:5:0:4:1:6:4:3:1:5:1:7:5:5:6:2:7:6:5:4:5:7:8:8:1:8:6:9:9:7:4:0:0:0:8:7:7:5:9:1:9:8:8
10,0,10,0,73,0:1:2:0:3:2:1:2:3:2:0:0:3:3:1:3:3:4:2:4:2:0:1:1:4:4:4:2:3:0:1:4:6:6:2:0:3:6:3:1:6:5:5:6:4:5:0:4:1:6:4:3:1:5:1:5:5:5:6:2:4:6:5:2:5:7:8:8:1:8:6:9:9:7:4:0:0:0:8:7:7:5:9:1:9:8:8
11,0,10,0,72,0:1:2:0:3:2:1:2:3:2:0:0:3:3:1:3:4:3:2:4:2:0:1:1:4:3:3:2:3:0:1:4:4:6:2:0:3:6:3:1:6:5:0:6:4:5:0:4:1:6:4:5:1:5:1:4:5:5:6:2:6:6:5:2:5:8:6:8:1:8:6:9:9:7:4:7:0:0:8:7:7:5:9:1:9:8:8
12,0,10,0,71,0:1:2:0:3:2:1:2:3:2:0:0:3:3:1:3:4:3:2:4:2:0:1:1:4:3:3:2:3:0:1:4:4:6:2:0:3:6:4:1:6:5:0:6:4:5:0:4:1:6:4:5:1:5:1:4:5:5:6:2:6:6:5:2:5:8:6:8:1:8:6:9:9:9:4:3:0:0:8:7:7:5:7:1:9:8:8
14,0,10,0,70,0:1:2:0:3:2:1:2:3:2:0:0:3:3:1:3:4:3:2:4:2:0:1:1:4:3:3:0:3:0:1:4:4:6:2:3:1:6:4:1:6:5:0:6:4:5:0:4:1:6:4:5:1:5:1:4:5:5:6:2:6:6:5:2:5:8:6:8:1:8:6:9:9:9:4:3:0:0:8:8:2:5:7:7:9:8:8
19,0,9,0,69,0:1:2:0:3:2:1:2:3:3:0:0:3:2:1:3:4:3:2:4:2:0:1:1:4:3:3:0:3:0:1:4:4:6:2:3:1:6:4:1:6:5:0:6:1:5:0:4:1:6:4:5:1:4:1:4:5:4:6:2:6:6:5:2:5:8:6:8:0:8:6:9:9:5:4:3:0:9:8:8:2:5:9:2:9:8:8
33,0,9,0,68,0:1:2:0:3:2:1:2:3:3:0:0:3:2:2:3:4:3:2:4:2:0:1:1:4:3:3:2:3:0:1:4:4:6:2:3:1:6:4:1:6:5:0:6:1:5:0:4:1:6:4:5:1:4:1:4:5:4:6:2:6:6:5:2:5:9:6:0:0:1:6:9:9:5:4:3:0:9:8:8:8:5:9:8:8:8:9
33,0,9,0,68,0:1:2:0:3:2:1:2:3:3:0:0:3:2:2:3:4:3:2:4:2:0:1:1:4:3:3:2:3:0:1:4:4:6:2:3:1:6:4:1:6:5:0:6:1:5:0:4:1:6:4:5:1:4:1:4:5:4:6:2:6:6:5:2:5:9:6:0:0:1:6:9:9:5:4:3:0:9:8:8:8:5:9:8:8:8:9
#2022-10-11 18:26:52
