#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 18:25:53,wvcp,GEOM110a,local_search,19,97,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,17,0,111,0:0:1:0:0:2:1:2:1:2:3:3:3:2:4:3:4:4:2:3:1:5:5:4:5:1:6:6:5:6:2:5:7:8:7:7:4:1:7:8:5:7:8:6:6:3:9:9:9:9:10:10:8:3:10:10:5:4:11:11:8:11:6:12:9:6:8:11:11:11:12:8:10:12:0:8:12:12:6:13:2:13:14:13:7:4:14:1:14:14:15:15:12:7:4:15:13:10:16:15:15:11:16:14:16:15:15:8:12:7
1,0,17,0,110,1:3:1:0:0:2:1:2:1:2:3:0:3:2:4:3:4:1:2:0:5:5:4:0:0:6:6:6:5:6:2:4:7:8:7:7:4:1:7:8:3:7:4:8:6:3:5:9:9:9:10:10:8:3:10:10:5:5:9:11:8:11:6:12:9:6:8:11:11:11:12:8:10:12:0:8:12:12:8:13:2:13:14:13:7:4:14:1:14:14:15:15:12:7:4:15:13:10:16:15:15:11:16:14:16:15:15:8:12:7
2,0,17,0,109,1:3:1:0:0:2:1:2:1:2:3:0:0:2:4:3:4:1:2:0:5:5:4:0:8:6:6:6:5:6:2:4:7:8:7:7:4:1:7:8:3:7:4:8:6:3:5:3:9:9:10:10:8:3:10:10:9:5:9:11:8:11:6:12:9:6:8:11:11:11:12:8:10:12:0:7:12:12:8:9:2:5:14:9:7:4:14:1:14:14:15:15:12:7:4:15:13:10:16:15:15:11:16:14:16:15:15:13:12:7
4,0,16,0,108,1:3:1:0:0:2:1:2:1:2:3:0:0:2:4:3:1:1:2:0:5:5:4:0:8:6:6:6:5:6:2:4:7:8:7:7:4:1:7:8:3:7:4:8:6:3:5:3:9:9:10:10:8:3:10:10:9:5:9:11:8:11:6:12:9:6:8:11:11:11:12:8:10:12:0:7:12:12:8:9:2:5:14:9:7:4:14:8:14:14:15:15:12:7:4:15:13:10:9:15:15:11:4:14:14:15:15:13:12:7
6,0,15,0,106,1:1:3:0:0:2:1:2:1:2:3:0:0:2:1:3:1:3:2:0:5:5:4:0:8:6:6:6:5:6:2:4:7:8:7:7:4:1:7:8:5:7:4:8:6:3:5:3:9:9:10:10:8:3:10:10:9:5:9:11:8:11:6:12:9:6:8:11:11:11:12:8:10:12:0:7:12:12:8:9:2:5:14:9:7:4:14:8:14:14:15:15:4:7:4:15:12:10:9:15:15:11:4:14:14:15:15:5:12:7
7,0,15,0,104,1:1:3:0:0:2:1:2:1:2:3:0:0:2:1:3:1:3:2:0:5:5:6:0:8:6:6:6:5:4:2:6:11:8:11:11:4:1:4:8:5:11:4:8:6:3:5:3:9:9:10:10:8:3:10:10:9:5:9:11:8:11:6:12:9:6:8:9:7:7:12:8:10:12:0:3:12:12:8:9:7:5:14:9:7:4:14:8:14:14:15:15:4:7:4:15:12:10:9:15:15:11:4:14:14:15:15:5:12:7
10,0,15,0,103,1:1:3:2:0:2:1:2:1:2:3:0:0:3:1:0:1:3:2:0:5:5:6:0:8:6:6:6:5:4:2:6:11:8:11:11:4:1:4:8:5:11:4:8:2:3:5:3:9:9:10:10:8:3:0:10:9:5:9:11:8:11:10:12:9:6:8:9:7:7:12:8:10:12:0:3:12:12:8:9:7:5:7:9:7:4:6:8:14:14:15:15:4:7:4:15:12:10:9:15:15:11:4:14:14:15:15:5:12:7
11,0,15,0,102,1:1:3:2:0:2:1:2:1:2:3:0:0:3:1:0:1:3:2:0:5:5:6:0:2:6:6:6:5:4:11:6:8:2:11:11:4:1:4:8:5:11:4:8:2:3:5:3:9:9:10:10:8:3:0:10:9:5:9:11:8:11:10:12:9:6:8:9:7:7:12:8:10:12:0:3:12:12:8:9:7:5:7:9:7:4:6:2:14:14:15:15:4:7:4:15:12:10:9:15:15:11:4:14:14:15:15:5:12:7
13,0,15,0,101,1:1:3:2:0:2:1:2:1:2:3:0:0:3:1:0:1:3:2:0:5:5:6:0:2:6:6:6:5:4:11:6:8:2:11:11:4:1:4:8:5:11:4:8:2:3:5:3:9:9:10:10:8:3:0:10:9:5:9:11:8:11:10:12:9:6:8:9:9:4:12:8:10:12:0:3:12:12:8:9:7:5:7:9:7:4:6:2:14:14:15:15:4:7:4:15:12:10:7:15:15:11:7:14:14:15:15:5:12:7
19,0,15,0,100,1:1:3:2:0:2:1:2:1:2:3:0:0:3:1:0:1:3:2:0:5:5:6:0:2:6:6:6:5:4:11:6:8:2:11:11:4:1:4:8:5:11:4:8:2:3:5:3:9:9:10:10:8:3:0:10:9:5:9:11:8:11:10:10:9:6:8:9:9:4:12:8:10:12:0:3:12:12:8:9:7:5:7:9:7:4:6:2:14:14:15:15:4:7:4:15:12:10:7:15:15:11:7:14:14:15:15:5:12:7
