#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 18:26:53,wvcp,GEOM120b,local_search,15,35,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,20,0,43,0:1:2:3:4:1:3:4:2:3:1:0:5:5:4:5:2:0:2:5:5:1:0:4:1:0:6:7:7:6:1:7:3:6:2:7:0:6:7:8:9:9:10:8:11:12:13:13:14:6:13:9:10:11:9:11:2:8:11:13:9:4:10:8:12:14:8:11:11:10:10:14:15:14:3:7:15:16:13:16:14:17:16:18:17:18:17:15:19:8:12:18:12:19:2:4:17:12:11:7:16:15:16:5:13:19:18:15:12:19
1,0,19,0,42,5:6:4:1:7:1:3:4:2:7:1:0:3:5:4:5:2:0:2:5:5:1:0:4:1:0:6:7:7:7:1:7:3:6:2:7:0:2:3:8:9:9:10:8:11:12:13:13:14:6:13:9:10:11:9:11:2:8:11:13:9:4:10:8:12:14:8:11:11:10:10:14:0:14:3:6:19:16:13:16:14:17:16:18:17:18:17:19:0:8:12:18:12:19:2:4:17:12:11:7:16:17:16:5:13:12:18:0:12:19
2,0,19,0,41,5:6:4:1:7:1:3:4:2:7:1:0:3:5:4:5:2:0:2:5:5:1:0:4:1:0:6:7:7:7:1:7:3:6:2:7:0:2:3:8:9:9:10:8:11:12:6:14:14:6:10:9:10:11:9:11:2:8:11:10:9:4:10:8:12:14:8:11:11:10:4:8:0:14:3:13:19:16:13:16:14:17:16:18:17:18:17:19:0:8:12:18:12:19:2:4:17:12:11:7:16:17:16:5:13:12:18:0:12:19
3,0,19,0,40,5:6:4:1:7:1:2:4:4:7:1:5:3:5:7:2:2:3:4:4:5:1:10:3:1:7:6:5:7:7:1:7:3:6:2:10:5:2:3:8:9:9:10:8:11:12:6:14:14:6:10:9:10:11:9:11:2:8:11:10:9:5:10:8:12:14:8:11:11:14:4:8:0:14:3:13:19:16:13:16:14:17:16:18:17:18:17:19:0:8:12:18:12:19:2:0:17:12:11:7:16:17:16:5:13:12:18:0:12:19
4,0,18,0,39,5:6:4:1:7:1:2:4:4:7:1:5:3:5:7:2:2:3:4:4:5:1:10:3:1:7:6:5:7:7:1:7:3:6:2:10:5:2:3:8:9:9:10:8:11:12:6:14:14:6:10:9:10:11:9:11:2:8:11:10:9:5:10:8:12:14:8:11:11:14:4:8:0:14:3:13:19:16:13:16:14:17:16:13:17:19:17:0:0:8:12:7:12:19:2:0:17:12:11:0:16:17:16:5:13:12:19:0:12:19
5,0,18,0,38,5:6:4:1:7:1:10:4:4:7:1:5:3:5:7:1:10:3:7:4:5:1:10:3:1:7:6:5:3:7:4:7:6:10:6:10:5:2:3:8:9:9:10:8:11:12:6:14:14:6:2:9:11:11:9:10:2:8:11:2:9:5:10:8:12:14:8:11:11:14:4:8:0:14:3:13:19:16:13:16:14:17:16:13:17:19:17:0:0:8:12:7:12:19:2:0:17:12:11:0:16:17:16:5:13:12:19:0:12:19
6,0,17,0,37,6:10:4:1:7:1:10:4:4:7:6:5:3:3:7:1:5:3:7:4:5:1:10:3:1:7:6:5:3:7:4:7:6:10:6:10:5:2:3:10:12:14:5:8:11:9:12:14:14:8:2:9:11:11:9:10:2:5:11:2:9:5:10:8:12:9:8:11:11:14:4:8:0:14:2:8:19:16:1:16:16:17:16:6:17:19:17:0:0:8:12:7:12:19:6:0:17:12:11:0:16:17:16:5:4:1:19:0:12:19
11,0,17,0,36,6:10:5:4:7:1:10:4:4:7:6:5:3:3:7:1:5:3:7:4:5:1:10:3:1:7:6:5:3:7:4:7:6:10:6:10:5:11:3:10:12:14:8:6:14:9:12:9:1:8:8:9:8:11:9:10:12:5:11:8:9:5:10:6:12:9:9:11:11:14:4:12:0:14:2:2:2:16:1:16:16:17:16:19:17:19:17:0:0:2:12:7:2:19:6:0:17:12:11:0:16:17:16:5:4:1:19:0:12:19
1011,3,16,0,35,6:10:7:1:19:1:7:19:10:7:5:1:3:3:5:5:7:19:19:7:6:1:10:5:1:19:3:6:7:19:3:10:6:10:7:3:5:14:3:10:4:14:8:6:13:5:3:11:11:13:8:8:13:14:11:10:11:14:11:8:10:5:8:6:11:4:4:13:14:11:14:8:0:6:9:4:12:16:1:16:13:8:16:9:12:9:4:0:0:4:13:7:12:9:19:0:12:8:0:6:16:12:16:5:4:1:0:0:12:1
1011,3,16,0,35,6:10:7:1:19:1:7:19:10:7:5:1:3:3:5:5:7:19:19:7:6:1:10:5:1:19:3:6:7:19:3:10:6:10:7:3:5:14:3:10:4:14:8:6:13:5:3:11:11:13:8:8:13:14:11:10:11:14:11:8:10:5:8:6:11:4:4:13:14:11:14:8:0:6:9:4:12:16:1:16:13:8:16:9:12:9:4:0:0:4:13:7:12:9:19:0:12:8:0:6:16:12:16:5:4:1:0:0:12:1
#2022-10-11 18:26:56
