#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 17:29:52,wvcp,R75_5g,local_search,8,51,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,17,0,60,0:0:1:1:2:1:2:2:3:4:0:3:4:2:4:3:5:4:5:5:6:6:7:7:8:6:8:4:4:7:0:8:9:10:10:8:6:2:7:1:3:10:4:11:3:11:5:12:12:7:9:13:1:14:14:13:11:15:15:5:9:14:14:8:13:15:12:16:16:11:6:9:7:9:15
6,0,16,0,59,0:0:5:1:2:1:2:2:1:4:0:8:4:2:4:8:3:4:5:5:6:6:7:7:5:6:8:4:4:7:0:8:3:10:3:8:6:2:7:1:3:5:4:11:3:11:9:12:12:7:9:13:15:14:14:13:11:1:15:5:9:14:14:10:13:15:12:3:11:11:6:9:7:13:1
9,0,16,0,58,9:0:8:1:2:1:2:2:1:4:0:8:4:2:4:1:9:4:9:0:6:6:7:7:5:6:5:4:4:7:0:8:3:10:3:5:6:2:7:8:3:5:4:11:3:11:9:12:12:7:15:13:15:10:15:13:11:1:10:5:9:14:14:10:13:2:12:3:11:11:6:9:7:13:1
10,0,16,0,57,9:0:8:1:2:1:2:2:1:4:0:8:4:2:8:1:9:4:9:0:6:6:7:7:5:6:5:4:4:7:0:8:3:10:3:5:6:2:7:8:3:5:8:11:3:11:9:4:10:7:15:12:15:10:15:8:11:1:10:5:9:14:14:10:13:2:12:3:11:11:6:9:7:13:1
11,0,15,0,56,9:0:8:1:2:1:2:2:1:4:0:8:4:2:8:1:9:4:9:0:6:6:7:7:5:6:5:4:4:7:0:8:3:10:3:5:6:2:7:8:3:5:8:11:3:11:9:4:10:7:15:12:15:10:15:8:11:1:10:5:9:15:5:10:14:2:12:3:11:11:6:9:7:14:1
17,0,15,0,55,9:0:8:1:2:1:2:2:1:4:0:8:4:2:0:1:9:4:9:0:6:6:7:8:5:6:5:4:4:7:0:8:3:7:3:5:6:2:7:8:3:5:8:11:3:11:9:4:10:7:15:12:15:10:15:12:12:1:10:5:9:15:5:10:14:2:11:3:11:11:6:9:7:14:1
44,0,14,0,54,8:4:6:1:2:1:2:2:1:0:4:8:0:2:6:1:8:0:8:9:6:6:7:8:5:14:4:14:0:7:4:9:6:7:0:5:8:2:7:14:3:5:14:9:9:10:9:3:5:7:15:14:15:10:15:14:5:1:10:9:15:15:10:11:11:2:3:11:3:4:11:11:7:4:1
51,0,14,0,53,8:4:6:1:2:1:2:2:1:0:4:8:0:2:0:1:8:0:8:9:6:6:7:8:5:14:4:14:0:7:4:9:6:7:0:5:6:2:7:14:1:5:14:9:9:3:9:3:5:7:15:14:8:10:10:14:5:15:10:9:15:15:10:11:11:2:3:11:3:4:11:11:7:4:1
584,1,14,0,52,0:2:4:8:9:8:9:4:8:6:2:0:6:0:2:8:0:8:4:2:0:12:14:14:4:12:2:6:1:14:2:1:7:1:7:4:14:6:1:12:8:4:0:9:6:3:9:6:5:14:9:7:10:5:10:6:12:5:5:4:10:10:5:11:11:3:3:11:3:3:11:11:12:7:12
3103,6,14,0,51,5:3:15:8:2:8:2:2:8:6:3:5:6:5:3:8:5:6:15:3:1:1:2:5:15:9:3:9:6:9:3:6:1:4:15:2:1:12:4:12:9:15:4:12:9:10:0:6:7:7:0:10:5:7:4:0:12:8:4:0:8:8:11:7:4:10:10:15:11:10:1:15:1:11:12
3103,6,14,0,51,5:3:15:8:2:8:2:2:8:6:3:5:6:5:3:8:5:6:15:3:1:1:2:5:15:9:3:9:6:9:3:6:1:4:15:2:1:12:4:12:9:15:4:12:9:10:0:6:7:7:0:10:5:7:4:0:12:8:4:0:8:8:11:7:4:10:10:15:11:10:1:15:1:11:12
#2022-10-11 17:29:58
