#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 17:29:51,wvcp,R75_5gb,local_search,6,186,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,18,0,230,0:1:1:2:3:0:0:2:4:4:3:5:5:3:4:2:1:2:5:2:6:3:6:3:7:8:7:9:9:6:8:7:10:8:8:10:11:11:12:5:2:11:13:5:13:4:13:4:12:6:12:14:9:8:15:7:15:9:10:15:14:0:12:16:16:14:16:17:14:17:11:16:17:17:6
1,0,18,0,228,0:1:1:2:3:0:0:2:4:0:3:5:5:3:4:2:1:2:5:2:6:3:6:3:7:8:7:9:9:6:8:7:4:8:8:10:11:11:12:5:2:11:13:5:13:2:13:0:12:6:12:10:9:8:15:7:15:9:10:15:14:0:12:16:16:14:16:17:14:17:11:16:17:17:6
2,0,18,0,227,0:1:1:2:3:1:0:2:0:5:3:5:5:3:5:2:3:2:6:2:6:4:1:4:7:8:7:9:9:1:8:7:4:8:8:10:11:11:12:5:2:11:13:13:13:2:13:0:12:6:12:10:9:8:15:7:15:9:10:15:14:0:12:16:16:14:16:17:14:17:11:16:17:17:13
3,0,18,0,225,0:1:1:2:3:1:0:2:0:0:3:9:6:3:9:2:3:2:6:2:13:4:1:4:7:8:7:9:9:1:8:7:4:8:8:10:11:11:12:8:2:11:13:3:13:2:13:0:12:6:12:10:9:8:15:7:15:5:10:15:14:0:12:16:16:14:16:17:14:17:11:16:17:17:13
4,0,18,0,224,0:1:1:2:3:1:0:2:0:0:3:9:6:3:9:2:3:2:6:2:13:4:1:4:7:8:7:9:9:1:8:7:4:8:8:10:11:11:12:8:2:11:13:3:13:2:13:0:12:6:12:10:9:8:15:7:15:5:10:15:14:0:12:16:16:14:16:5:14:5:11:16:11:17:13
5,0,18,0,221,0:1:1:2:3:1:0:2:0:0:3:9:6:3:9:6:3:2:6:2:13:4:1:4:7:8:7:9:9:1:8:7:4:8:8:10:11:11:2:8:2:11:13:3:13:2:13:0:12:12:0:10:9:8:15:7:15:5:10:15:14:0:12:16:16:14:16:5:14:5:11:16:11:17:13
6,0,18,0,219,0:1:1:2:3:1:0:2:0:0:3:9:6:3:9:6:3:2:6:2:13:7:1:7:7:8:7:9:9:1:8:7:4:8:8:10:11:11:2:8:2:11:13:3:13:2:13:0:12:12:0:10:9:8:15:15:15:5:10:15:14:0:12:16:16:14:16:5:14:5:11:16:11:17:13
7,0,18,0,214,0:1:1:2:3:1:0:2:0:0:3:9:6:3:9:6:3:2:6:2:13:7:1:7:7:8:7:9:9:1:8:7:4:8:8:4:11:11:2:8:2:11:13:3:13:2:13:0:12:12:0:10:9:8:15:15:15:5:10:15:14:0:12:16:16:14:16:5:14:5:11:16:11:17:13
8,0,18,0,211,0:1:1:2:3:1:0:2:0:0:3:9:6:3:9:6:3:2:6:2:13:7:1:7:7:8:7:9:9:1:8:7:4:8:8:4:11:11:2:8:2:11:13:3:13:2:13:0:12:12:0:10:9:8:15:15:15:14:10:15:14:0:12:16:16:14:16:5:10:5:11:16:11:17:13
9,0,18,0,210,0:1:1:2:3:2:0:2:0:0:3:9:1:6:9:6:3:6:6:6:13:7:1:7:7:3:7:9:9:1:8:7:4:8:8:4:11:11:2:8:2:11:13:4:13:2:13:0:12:12:0:10:9:8:15:15:15:14:10:15:14:0:12:16:16:14:16:5:10:5:11:16:11:17:13
