#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 18:27:52,wvcp,inithx.i.1,local_search,2,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,54,0,578,0:1:2:2:2:2:2:3:3:3:2:2:0:2:4:5:3:3:6:6:5:7:6:7:3:5:5:4:1:6:8:9:10:11:7:7:10:11:3:9:6:5:3:6:3:3:0:12:6:11:12:12:6:3:3:12:7:11:6:2:6:13:14:12:12:7:6:12:12:13:2:8:15:15:16:17:14:18:18:18:14:12:18:3:18:19:20:21:22:23:6:24:25:26:26:23:12:6:26:23:20:24:7:27:28:28:28:12:23:22:29:26:23:26:7:28:27:28:28:23:27:30:31:32:33:23:27:33:34:3:28:18:28:35:36:36:37:38:34:35:35:37:39:36:33:27:26:40:41:39:42:5:26:43:34:39:39:18:44:34:45:45:46:42:45:47:42:42:48:49:45:47:31:32:50:51:52:53:47:35:36
10,0,54,0,577,0:1:2:2:2:2:2:3:3:3:2:2:0:2:4:5:3:3:6:6:5:7:6:7:3:5:5:4:1:6:8:9:10:11:7:7:10:11:3:9:6:5:3:6:3:3:0:12:6:11:12:12:6:3:3:12:7:11:6:2:6:13:14:12:12:7:6:12:12:13:2:8:15:15:16:17:14:18:18:18:11:12:18:3:18:19:20:21:22:23:6:24:25:26:26:23:12:6:26:23:20:24:7:27:28:28:28:12:23:22:29:26:23:26:7:28:27:28:28:23:27:30:31:32:33:23:27:33:34:3:28:18:28:35:36:36:37:38:34:35:35:37:39:36:33:27:26:40:41:39:42:5:26:43:34:39:39:18:44:34:45:45:46:42:45:14:42:42:48:49:45:47:31:32:50:51:52:53:47:35:36
18,0,54,0,574,0:1:2:2:2:2:2:3:3:3:2:2:0:2:4:5:3:3:6:6:5:7:6:7:3:5:5:4:1:6:8:9:10:11:7:7:10:11:3:9:6:5:3:6:3:3:0:12:6:11:12:12:6:3:3:12:7:11:6:2:6:13:14:12:12:7:6:12:12:13:2:8:15:15:16:17:14:18:18:18:11:12:18:3:18:19:20:21:22:23:6:24:25:26:26:23:12:6:26:23:20:24:7:27:28:28:28:12:23:22:29:26:23:26:7:28:27:28:28:23:27:30:31:32:33:23:27:33:34:3:28:18:28:35:36:36:37:38:34:35:35:37:39:36:33:27:26:40:41:39:14:5:26:43:34:39:39:18:44:34:45:27:46:42:45:42:42:42:48:49:45:47:31:32:50:51:52:53:47:35:36
43,0,54,0,573,0:1:2:2:2:2:2:3:3:3:2:2:0:2:4:5:3:3:6:6:5:7:6:7:3:5:5:4:1:6:8:9:10:11:7:7:10:11:3:9:6:5:3:6:3:3:0:12:6:11:12:12:6:3:3:12:7:11:6:2:6:13:14:12:12:7:6:12:12:13:2:8:15:15:16:17:14:18:18:18:11:12:18:3:18:19:20:21:22:23:6:24:25:26:26:23:12:6:26:23:20:24:7:27:28:28:28:12:23:22:29:26:23:26:7:28:27:28:28:23:27:30:31:32:35:23:27:14:34:3:28:18:28:35:36:36:37:38:34:33:35:37:39:36:33:27:26:40:41:39:33:5:26:43:34:39:39:18:44:34:45:27:46:42:45:42:42:42:48:49:45:47:31:32:50:51:52:53:47:45:36
44,0,54,0,572,0:1:2:2:2:2:2:3:3:3:2:2:0:2:4:5:3:3:6:6:5:7:6:7:3:5:5:4:1:6:8:9:10:11:7:7:10:11:3:9:6:5:3:6:3:3:0:12:6:11:12:3:6:3:3:12:7:11:6:2:6:13:14:12:12:7:6:12:12:13:2:8:15:15:16:17:14:18:18:18:11:12:18:3:18:19:20:21:22:12:6:24:25:26:26:23:23:6:26:23:20:24:7:27:28:28:28:23:23:22:29:26:23:26:7:28:27:28:28:23:27:30:31:32:35:23:27:14:34:3:28:18:28:35:36:36:37:38:34:33:35:37:39:36:33:27:26:40:41:39:33:5:26:43:34:39:39:18:44:34:45:27:46:42:45:42:42:42:48:49:45:47:31:32:50:51:52:53:47:45:36
69,0,54,0,571,0:1:2:2:2:2:2:3:3:3:2:2:0:2:4:5:3:3:6:6:5:7:6:7:3:5:5:4:1:6:8:9:10:11:7:7:10:11:3:9:6:5:3:6:3:3:0:12:6:11:12:3:6:3:3:12:7:11:6:2:6:13:14:12:12:7:6:12:12:13:2:8:15:15:16:17:14:18:18:18:11:12:18:3:18:19:20:21:22:12:6:24:25:26:26:23:23:6:26:23:20:24:7:27:28:28:28:23:23:22:29:26:23:26:7:28:27:28:28:23:27:30:31:32:35:23:27:14:34:3:28:18:28:35:36:36:37:38:34:33:35:37:33:36:33:27:26:40:41:39:39:5:26:43:34:39:39:18:44:34:45:27:46:42:45:42:42:42:48:49:45:47:31:32:50:51:52:53:47:45:36
70,0,54,0,570,0:6:2:2:2:2:2:7:7:7:2:2:0:2:4:5:7:1:7:1:5:14:1:5:7:5:5:4:1:6:11:12:3:13:14:14:7:13:3:14:1:5:7:14:7:7:0:15:1:13:15:7:14:7:7:15:15:11:6:2:6:25:8:15:15:14:5:7:15:13:2:8:19:19:20:21:8:18:18:18:13:15:18:18:18:24:29:16:33:15:1:22:30:26:26:23:23:1:26:23:20:24:21:27:28:28:28:23:23:30:35:26:23:26:14:28:27:28:28:23:27:31:32:9:10:23:27:10:8:7:28:18:28:17:36:36:37:38:34:17:10:37:34:36:36:27:26:40:41:39:39:5:26:43:34:39:39:18:44:34:45:27:46:42:45:42:42:42:48:49:45:47:33:32:50:51:52:53:47:45:36
96,1,54,0,569,0:6:2:2:2:2:2:7:7:7:2:2:0:2:4:5:7:1:7:1:5:14:1:5:7:5:5:4:1:6:11:12:3:13:14:14:7:13:3:14:1:5:7:14:7:7:0:15:1:13:15:7:14:7:7:15:15:11:6:2:6:25:8:15:15:14:5:7:15:13:2:8:19:19:20:21:8:18:18:18:13:15:18:18:18:24:29:16:33:15:1:22:30:26:26:27:7:1:26:15:20:24:21:27:28:28:28:23:23:30:35:26:23:26:14:28:27:28:28:23:27:31:32:9:10:23:27:10:8:23:28:18:28:17:36:36:37:38:34:17:10:37:34:36:36:27:26:40:41:39:39:5:26:43:34:39:39:18:44:34:45:17:46:42:45:42:42:42:48:49:45:23:33:32:50:51:52:53:47:45:36
254553,1,54,0,569,20:52:46:46:46:44:44:44:44:46:44:44:52:52:23:54:44:36:46:54:36:49:44:36:46:46:36:20:54:44:39:42:14:49:19:36:14:19:19:46:54:36:44:49:46:54:54:19:49:19:29:36:54:44:46:29:46:29:44:20:44:11:31:31:29:36:44:19:23:39:49:49:1:1:17:33:29:47:47:47:29:29:47:19:11:40:8:5:50:31:36:28:43:35:2:35:44:36:35:44:8:28:2:13:10:2:10:2:10:51:51:35:2:35:19:13:31:13:13:35:47:7:26:32:6:6:13:6:31:2:35:47:10:9:30:36:53:48:34:34:10:53:34:9:13:13:30:12:21:9:25:30:13:38:30:9:35:47:15:9:3:34:4:37:25:37:30:13:22:16:3:3:21:0:45:24:41:0:18:37:25
#2022-10-11 19:27:53
