#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 18:29:52,wvcp,le450_15d,local_search,14,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,36,0,382,0:0:0:1:1:1:0:2:2:1:2:1:2:0:0:3:2:1:0:2:1:2:2:1:3:3:4:3:4:3:1:0:4:2:3:4:4:4:4:3:2:5:4:4:5:5:1:6:4:5:0:2:6:6:7:7:1:7:5:4:8:8:0:0:8:3:1:8:8:7:7:0:3:7:0:9:7:9:5:9:10:2:11:11:6:5:3:8:6:11:10:10:5:10:8:9:10:10:11:9:5:8:7:8:3:12:13:12:13:12:6:5:12:12:10:6:9:11:11:9:8:6:8:14:10:14:8:13:7:4:11:14:9:2:11:6:13:9:3:9:13:13:3:14:15:16:15:13:2:16:17:13:14:12:11:16:12:12:12:9:3:0:10:17:17:11:4:9:14:15:18:10:12:18:17:16:15:8:17:19:19:19:19:18:17:5:14:15:15:18:19:18:15:16:2:16:10:17:18:20:7:8:16:17:7:8:20:9:15:2:7:15:5:16:14:16:14:19:19:6:20:5:18:13:4:17:15:20:20:14:16:19:7:19:3:9:20:20:21:22:21:22:6:21:17:22:21:18:18:16:20:21:19:11:21:19:15:4:21:17:9:17:8:14:23:22:22:18:22:22:15:20:4:24:23:23:24:23:24:25:22:24:25:25:8:25:20:23:3:17:10:23:25:12:1:23:12:5:21:25:24:8:6:11:20:8:26:24:26:26:19:10:26:22:26:10:20:25:15:25:23:13:25:11:22:27:26:12:15:28:23:25:28:28:6:18:24:24:2:14:23:27:21:27:29:22:26:13:5:28:27:27:6:1:11:14:27:6:28:19:24:29:15:13:29:30:31:31:27:28:31:29:28:26:27:24:31:31:30:31:26:24:31:17:22:30:12:21:12:31:9:22:32:24:21:30:32:31:18:32:10:11:29:24:29:3:32:29:24:31:25:13:30:31:7:29:28:13:7:31:30:30:20:21:14:22:22:33:34:34:30:11:12:33:11:32:34:16:33:35:20:33:30:27:35:29:25:35:29:30
6,0,36,0,381,0:2:0:1:1:1:0:2:2:1:2:1:2:2:0:3:2:1:3:2:1:2:2:1:3:3:4:3:3:3:1:0:4:2:3:4:4:4:4:1:2:5:4:4:5:5:1:6:4:5:0:2:6:6:7:7:1:7:5:4:8:8:0:0:8:3:1:8:8:7:7:0:3:7:0:9:7:9:5:9:10:2:11:11:6:5:3:8:6:11:10:10:5:10:8:9:10:10:11:9:5:8:7:8:3:12:4:12:2:12:6:5:12:12:10:6:9:11:11:9:8:6:8:14:10:14:8:13:7:4:11:14:9:2:11:6:13:9:6:9:13:13:3:14:15:16:15:13:2:16:17:13:14:12:11:16:12:12:12:9:3:0:10:17:17:11:4:9:14:15:18:10:12:18:17:16:15:8:17:19:19:19:19:18:17:5:14:15:15:18:19:18:15:16:2:16:10:17:18:20:7:8:16:17:7:8:20:9:15:2:7:15:5:16:14:16:14:19:19:6:20:5:18:13:4:17:15:20:20:14:16:19:7:19:3:9:20:20:21:22:21:22:6:21:17:22:21:18:18:16:20:21:19:11:21:19:15:4:21:17:9:17:8:14:23:22:22:18:22:22:15:20:4:24:23:23:24:23:24:25:22:24:25:25:8:25:20:23:3:17:10:23:25:12:1:23:12:5:21:25:24:8:6:11:20:8:26:24:26:26:19:10:26:22:26:10:20:25:15:25:23:13:25:11:22:27:26:12:15:28:23:25:28:28:6:18:24:24:2:14:23:6:21:27:29:22:26:13:5:28:27:27:6:1:11:14:27:6:28:19:24:29:15:13:29:30:31:31:27:28:31:29:28:26:27:24:31:31:30:31:26:24:31:17:22:30:12:21:12:31:9:22:32:24:21:30:32:31:18:32:10:11:29:24:29:27:32:29:24:31:25:13:30:31:7:29:28:13:7:31:30:30:20:21:14:22:22:33:34:34:30:11:12:33:11:32:34:16:33:35:20:33:30:27:35:29:25:35:29:30
7,0,36,0,380,0:2:0:1:1:1:0:2:2:1:2:1:2:2:0:3:2:1:3:2:1:2:2:1:3:3:4:3:3:3:1:0:4:2:3:4:4:4:4:1:2:5:4:4:5:5:1:6:4:5:0:2:6:6:7:7:1:7:5:4:8:8:0:4:8:3:1:8:8:7:7:0:3:7:0:9:7:9:5:9:10:2:11:11:6:5:3:8:6:11:10:10:5:10:8:9:10:10:11:9:5:8:7:8:3:12:4:12:2:12:6:5:12:12:10:6:9:11:11:9:8:6:8:14:10:14:8:13:7:4:11:14:9:2:11:6:13:9:6:9:13:13:3:14:15:16:15:13:2:16:17:13:14:12:11:16:12:12:12:9:3:0:10:17:17:11:4:9:14:15:18:10:12:18:17:16:15:8:17:19:19:19:19:18:17:5:14:15:15:18:19:18:15:16:2:16:10:17:18:20:7:8:16:17:7:8:20:9:16:2:7:17:5:16:14:16:14:19:19:6:20:5:18:13:4:17:15:20:20:14:16:19:7:19:3:9:20:20:25:22:0:22:6:15:17:22:15:18:18:16:20:18:19:11:17:19:22:4:2:17:9:17:8:14:23:22:22:18:22:22:16:20:4:24:23:23:24:23:24:25:22:24:25:14:8:25:20:23:3:17:10:23:25:12:1:23:12:5:21:25:24:8:6:11:20:8:26:24:26:26:19:10:26:22:26:10:20:25:15:25:23:13:25:11:22:27:26:12:15:28:23:25:28:28:6:18:24:24:2:14:23:6:21:27:29:22:26:13:5:28:27:27:6:1:11:14:27:6:28:19:24:29:15:13:29:30:31:31:27:28:31:29:28:26:27:24:31:31:30:31:26:24:31:17:22:30:12:21:12:31:9:22:32:24:21:30:32:31:18:32:10:11:29:24:29:27:32:29:24:31:25:13:30:31:7:29:28:13:7:31:30:30:20:21:14:22:22:33:34:34:30:11:12:33:11:32:34:16:33:35:20:33:30:27:35:29:25:35:29:30
8,0,36,0,379,0:0:0:1:1:1:0:2:2:1:2:1:2:2:0:3:2:1:3:2:1:2:2:1:3:3:4:3:3:3:1:0:4:2:3:4:4:4:4:1:2:5:4:4:5:5:1:6:4:5:0:2:6:6:7:7:1:7:5:4:8:8:0:4:8:3:1:8:8:7:7:0:3:7:0:9:7:0:5:9:10:2:11:11:6:5:3:8:6:11:10:10:5:10:8:9:10:10:11:9:5:8:7:8:3:12:4:12:2:12:6:5:12:12:10:6:9:11:11:9:8:6:8:14:10:13:8:13:7:4:11:14:9:2:11:6:10:9:6:9:13:13:3:14:15:16:15:13:2:16:17:3:14:12:11:16:12:12:12:9:3:0:10:15:17:11:4:13:14:15:18:10:12:18:17:16:15:8:17:19:19:19:19:18:17:5:14:15:15:18:19:18:15:16:2:16:10:17:18:20:7:8:16:17:7:8:20:9:16:2:7:17:5:16:14:16:14:19:19:6:20:5:18:13:4:17:15:20:20:14:16:19:7:19:3:9:20:20:25:14:0:17:6:15:2:9:15:18:18:16:20:18:19:11:13:19:13:4:2:17:9:17:8:14:23:22:22:18:22:22:16:20:4:24:23:23:24:23:24:25:22:24:25:14:8:25:20:23:3:17:10:23:25:12:1:23:12:5:21:25:24:8:6:11:20:8:26:24:26:26:19:10:26:22:26:10:20:25:15:25:23:13:25:11:22:27:26:12:15:28:23:25:28:28:6:18:24:24:2:14:23:6:21:27:29:22:26:13:5:28:27:27:6:1:11:14:27:6:28:19:24:29:15:13:29:30:31:31:27:28:31:29:28:26:27:24:31:31:30:31:26:24:31:17:22:30:12:21:12:31:9:22:32:24:21:30:32:31:18:32:10:11:29:24:29:27:32:29:24:31:25:12:30:31:7:29:28:13:7:31:30:30:20:21:14:22:22:33:34:34:30:11:12:33:11:32:34:16:33:35:20:33:30:27:35:29:25:35:29:30
10,0,35,0,378,0:0:0:1:1:1:0:2:2:1:2:1:2:2:0:3:2:1:3:2:1:2:2:1:3:3:4:3:3:3:1:0:4:2:3:4:4:4:4:1:2:5:4:4:5:5:1:6:4:5:0:2:6:6:7:7:1:7:5:4:8:8:0:4:8:3:1:8:8:7:7:0:3:7:0:9:7:0:5:9:10:2:11:11:6:5:3:8:6:11:10:10:5:10:8:9:10:10:11:9:5:8:7:8:3:12:4:12:2:12:6:5:12:12:10:6:9:11:11:9:8:6:8:14:10:13:8:13:7:4:11:14:9:2:11:6:10:9:6:9:13:13:3:14:15:16:15:13:2:16:17:3:14:12:11:16:12:12:12:9:3:0:10:15:17:11:4:13:14:15:18:10:12:18:17:16:15:8:17:19:19:19:19:18:17:5:14:15:15:18:19:18:15:16:2:16:10:17:18:20:7:8:16:17:7:8:20:9:16:2:7:17:5:16:14:16:14:19:19:6:20:5:18:13:4:17:15:20:20:14:16:19:7:19:3:9:20:20:25:14:0:17:6:15:2:9:15:18:18:16:20:18:19:11:13:19:13:4:2:17:9:17:8:14:23:22:22:18:22:22:16:20:4:24:23:23:24:23:24:25:22:24:25:14:8:25:20:23:3:17:10:23:25:12:1:23:12:5:21:25:24:8:6:11:20:8:26:24:26:26:19:10:26:22:26:10:20:25:15:25:23:13:25:11:22:27:26:12:15:28:23:25:28:28:6:18:24:24:2:14:23:6:21:27:29:22:26:13:5:28:27:27:6:1:11:14:27:6:28:19:24:29:15:13:29:30:31:31:27:28:31:29:28:26:27:24:31:31:30:31:26:24:31:17:22:30:12:21:12:31:9:22:32:24:21:30:32:31:18:32:10:11:29:24:29:27:32:29:24:31:25:12:30:31:7:29:28:13:7:31:30:30:20:21:14:22:22:33:21:1:30:11:12:33:11:32:32:16:33:35:20:33:30:27:35:29:25:35:29:30
15,0,35,0,377,0:0:0:1:1:1:0:2:2:1:2:1:2:2:0:3:2:1:3:2:1:2:2:1:3:3:4:3:3:3:1:0:4:2:3:4:4:4:4:1:2:5:4:4:5:5:1:6:4:5:0:2:6:6:7:7:1:7:5:4:8:8:0:4:8:3:1:8:8:6:7:0:3:7:11:9:7:0:5:9:10:2:11:11:6:5:3:8:6:11:10:10:5:10:8:9:10:10:11:9:5:8:7:8:3:12:4:12:2:12:6:5:12:12:10:6:9:11:11:9:8:6:8:7:10:0:8:13:7:4:11:7:9:2:9:6:10:9:6:9:13:8:3:14:15:16:15:13:2:16:17:3:14:12:6:16:12:12:12:9:3:0:10:15:17:11:4:13:14:15:18:10:12:18:17:16:15:8:17:19:19:19:19:18:17:5:14:15:15:18:19:18:15:16:2:16:10:17:18:20:13:8:16:17:7:8:20:9:16:2:7:17:5:16:14:16:14:19:19:6:20:5:18:13:4:17:15:20:20:14:16:19:7:19:3:9:20:20:25:14:0:17:6:15:2:9:15:18:18:16:20:18:19:11:13:19:13:4:2:17:9:17:8:14:23:22:22:18:22:22:16:20:4:24:23:23:24:23:24:25:22:24:25:14:8:25:20:23:3:17:10:23:25:12:1:23:12:5:21:25:24:8:6:11:20:8:26:24:26:26:19:10:26:22:26:10:20:25:15:25:23:13:25:11:22:27:26:12:15:28:23:25:28:28:6:18:24:24:2:14:23:6:21:27:29:22:26:13:5:28:27:27:6:1:11:14:27:6:28:19:24:29:15:13:29:30:31:31:27:28:31:29:28:26:27:24:31:31:30:31:26:24:31:17:22:30:12:21:12:31:9:22:32:24:21:30:32:31:18:32:10:20:29:24:29:27:32:29:24:31:25:12:30:31:7:29:28:13:7:31:30:30:20:21:14:22:22:33:21:1:30:32:12:33:11:32:32:16:33:35:20:33:30:27:35:29:25:35:29:30
16,0,35,0,376,0:0:0:1:1:1:0:2:2:1:2:1:2:2:0:3:2:1:3:2:1:2:2:1:3:3:4:3:3:3:1:0:4:2:3:4:4:4:4:1:2:5:4:4:5:5:1:6:4:5:0:2:6:6:7:7:1:7:5:4:8:8:0:4:8:3:1:8:8:6:7:0:3:7:11:9:7:0:5:9:10:2:11:11:6:5:3:8:6:11:10:10:5:10:8:9:10:10:11:9:5:8:7:8:3:12:4:12:2:12:6:5:12:12:10:6:9:11:11:9:8:6:8:7:10:0:8:13:7:4:11:7:9:2:9:6:10:9:6:9:13:8:3:14:15:16:15:13:2:16:17:3:14:12:6:16:12:12:12:9:3:0:10:15:17:11:4:13:14:15:18:10:12:18:17:16:15:8:17:19:19:19:19:18:17:5:14:15:15:18:19:2:0:16:2:16:10:17:18:20:13:8:16:17:7:8:20:9:16:2:7:17:5:16:14:16:14:19:19:6:20:5:18:13:4:17:15:20:20:14:16:19:7:19:3:9:20:20:25:14:0:17:6:15:2:9:15:18:18:16:20:18:19:11:13:19:13:4:2:17:9:17:8:14:23:22:22:18:22:22:16:20:4:24:23:23:24:23:24:25:22:24:25:14:8:25:20:23:3:17:10:23:25:12:1:23:12:5:21:25:24:8:6:11:20:8:26:24:26:26:19:10:26:22:26:10:20:25:15:25:23:13:25:11:22:27:26:12:15:14:23:25:18:15:6:18:24:24:2:14:23:6:21:27:29:22:26:13:5:28:27:27:6:1:11:14:27:6:28:19:24:29:15:13:29:30:31:31:27:28:31:29:28:26:27:24:31:31:30:31:26:24:31:17:22:30:12:21:12:31:9:22:32:24:21:30:32:31:18:32:10:20:29:24:29:27:32:29:24:31:25:12:30:31:7:29:28:13:7:31:30:30:20:21:14:22:22:33:21:1:30:32:12:33:11:32:32:16:33:35:20:33:30:27:35:29:25:35:29:30
17,0,35,0,375,0:0:0:1:1:1:0:2:2:1:2:1:2:2:0:3:3:1:3:3:1:2:3:1:3:3:4:2:3:3:1:0:4:2:3:4:4:4:4:1:1:5:7:4:5:3:1:6:4:5:0:2:6:6:7:8:1:3:5:4:8:7:0:4:8:8:1:8:8:6:7:0:3:8:11:9:7:0:5:9:7:2:11:11:6:5:10:4:6:11:10:10:5:10:8:9:10:10:11:9:5:8:8:7:3:2:4:5:2:4:6:5:9:7:10:6:9:11:11:9:4:6:7:8:10:0:8:13:13:4:11:7:9:2:9:6:10:9:6:9:13:8:3:14:15:16:15:13:2:16:17:3:14:12:6:16:12:12:12:9:3:13:10:15:17:11:4:13:14:15:18:10:12:18:17:16:15:3:17:19:19:19:19:18:17:5:14:15:15:18:19:2:0:16:11:16:10:17:18:20:13:8:16:17:7:11:20:9:16:2:7:17:5:16:14:16:14:19:19:6:20:5:18:13:4:17:15:20:20:14:16:19:20:19:3:9:20:20:25:14:0:17:6:15:2:9:15:18:18:16:20:18:19:11:13:19:13:4:12:17:9:17:8:14:23:22:22:18:22:22:16:20:25:24:23:23:24:23:24:25:22:24:25:14:24:25:20:23:3:17:10:23:25:12:1:23:12:5:21:25:24:8:6:11:20:21:26:24:26:26:19:10:26:22:26:10:20:25:15:25:23:13:25:11:22:27:26:12:15:14:23:25:18:15:6:18:24:24:2:14:23:6:21:27:29:22:26:13:5:28:27:27:6:1:11:14:27:6:28:19:24:29:15:13:29:30:31:31:27:28:31:29:28:26:27:24:31:31:30:31:26:24:31:17:22:30:12:21:12:31:28:22:32:24:21:30:32:31:18:32:10:20:29:24:29:27:32:29:24:31:25:12:30:31:21:29:28:13:21:31:30:30:20:21:14:22:22:33:21:1:30:32:12:33:11:32:32:16:33:35:20:33:30:27:35:29:25:35:29:30
18,0,35,0,374,0:0:0:1:1:1:0:2:2:1:2:1:2:2:0:3:3:1:3:3:1:2:3:1:3:3:4:2:3:3:1:0:4:2:3:4:4:4:4:1:1:5:7:4:5:3:1:6:4:5:0:2:6:6:7:8:1:3:5:4:8:7:0:4:8:8:1:8:8:6:7:0:3:8:11:9:7:0:5:9:7:2:11:11:6:5:10:4:6:11:10:10:5:10:2:10:10:10:11:5:5:8:8:7:3:2:4:5:2:4:6:5:9:7:10:6:9:11:11:9:4:6:7:8:10:0:8:8:9:4:11:7:9:2:9:6:10:9:6:9:9:8:3:14:15:16:15:13:2:16:17:3:14:12:6:16:12:12:12:9:3:13:10:15:17:11:4:13:14:15:18:10:12:18:17:16:15:3:17:19:19:19:19:18:17:0:14:15:15:18:19:2:0:16:11:16:10:17:18:20:13:8:16:17:7:11:20:9:16:2:7:17:5:16:14:16:14:19:19:6:20:5:18:13:4:17:15:20:20:14:16:19:20:19:3:9:20:20:25:14:0:17:6:15:2:9:15:18:18:16:20:18:19:11:13:19:13:4:12:17:9:17:8:14:23:22:22:18:22:22:16:20:25:24:13:23:24:23:24:25:22:24:25:14:24:25:20:23:3:17:10:23:25:12:1:23:12:23:21:25:24:8:6:11:20:21:26:24:26:26:19:10:26:22:26:10:20:25:15:25:23:13:25:11:22:27:26:12:15:14:23:25:18:15:6:18:24:24:2:14:23:6:21:27:29:22:26:13:5:28:27:27:6:1:11:14:27:6:28:19:24:29:15:13:29:30:31:31:27:28:31:29:28:26:27:24:31:31:30:31:26:24:31:17:22:30:12:21:12:31:28:22:32:24:21:30:32:31:18:32:10:20:29:24:29:27:32:29:24:31:25:12:30:31:21:29:28:13:21:31:30:30:20:21:14:22:22:33:21:1:30:32:12:33:11:32:32:16:33:35:20:33:30:27:35:29:25:35:29:30
19,0,35,0,373,0:0:0:1:1:1:0:2:2:1:2:1:2:2:0:3:3:1:3:3:1:2:3:1:3:3:4:2:3:3:1:0:4:2:3:4:4:4:4:1:1:5:7:4:5:3:1:6:4:5:0:2:6:6:7:8:1:3:5:4:8:7:0:4:8:8:1:8:8:6:7:0:3:8:11:9:7:0:5:9:7:2:11:11:6:5:10:4:6:11:10:10:5:10:2:10:10:10:11:5:5:8:8:7:3:2:4:5:2:4:6:5:9:7:10:6:9:11:11:9:4:6:7:8:10:0:8:8:9:4:11:7:9:2:9:6:10:9:6:9:9:8:3:14:15:16:15:13:2:16:12:3:14:7:6:16:12:12:12:9:3:13:10:15:2:11:4:13:14:15:18:10:12:18:17:16:15:3:17:19:19:19:19:18:17:0:14:15:15:18:19:4:0:16:11:16:10:17:18:20:13:8:16:17:7:11:20:9:16:2:7:17:5:16:14:16:14:19:19:6:20:5:18:13:4:17:15:20:20:14:16:19:20:19:3:9:20:20:25:14:0:17:6:15:2:9:15:18:18:16:20:18:19:11:13:19:13:4:6:17:9:17:8:14:23:22:22:18:22:22:16:20:25:24:13:23:24:23:24:25:22:24:25:14:24:25:20:23:3:17:10:23:25:12:1:23:12:23:21:25:24:8:6:11:20:21:26:24:26:26:19:10:26:22:26:10:20:25:15:25:23:13:25:11:22:27:26:12:15:14:23:25:18:15:6:18:24:24:2:14:23:6:21:27:29:22:26:13:5:28:27:27:6:1:11:14:27:6:28:19:24:29:15:13:29:30:31:31:27:28:31:29:28:26:27:24:31:31:30:31:26:24:31:17:22:30:12:21:12:31:28:22:32:24:21:30:32:31:18:32:10:20:29:24:29:27:32:29:24:31:25:12:30:31:21:29:28:13:21:31:30:30:20:21:14:22:22:33:21:1:30:32:12:33:11:32:32:16:33:35:20:33:30:27:35:29:25:35:29:30
