#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 18:34:43,wvcp,le450_25c,local_search,18,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,39,0,438,0:0:1:0:1:2:1:2:1:2:2:3:1:2:3:3:1:1:0:1:0:1:3:3:3:3:1:4:2:4:0:2:5:3:5:0:5:4:6:6:2:6:3:6:6:5:5:5:3:3:3:7:0:6:5:5:3:7:7:8:7:9:10:10:8:10:10:10:8:6:2:10:8:9:9:7:11:12:11:11:6:8:9:12:9:8:3:12:1:8:1:13:12:3:6:4:9:12:7:11:6:3:13:4:12:5:13:3:13:7:0:13:11:2:12:13:8:9:4:7:9:10:14:11:5:14:14:8:14:13:15:15:15:1:13:13:15:13:14:10:12:9:12:6:14:4:9:12:16:16:16:15:10:16:4:10:17:4:17:17:11:14:9:17:17:16:11:8:1:12:18:18:18:8:6:18:19:17:17:19:19:9:4:8:6:17:4:7:3:7:8:19:18:19:20:20:20:2:15:20:11:19:17:20:14:16:15:9:13:12:7:16:20:18:4:21:12:22:21:5:21:8:22:17:21:5:10:19:21:20:4:0:9:18:23:21:19:24:23:24:7:22:24:22:3:5:23:25:24:24:22:12:12:19:22:22:25:16:26:26:23:13:25:7:25:14:20:2:12:17:24:25:22:10:11:14:22:4:21:3:24:14:9:23:1:26:20:20:27:21:27:21:26:21:16:27:19:25:20:26:27:28:26:22:28:27:29:26:26:28:28:23:15:6:7:27:2:26:30:29:31:28:17:30:25:27:29:31:32:31:32:13:32:24:32:32:31:20:26:28:26:18:31:31:15:33:29:30:29:33:33:23:23:22:30:31:32:31:33:1:30:19:26:34:28:34:24:30:35:32:35:18:32:32:33:35:34:35:34:34:10:21:9:30:18:25:34:0:18:36:29:36:27:35:34:37:33:21:37:31:25:5:30:35:31:36:35:35:23:32:35:19:36:1:32:28:38:38:38:37:23:17:28:37:28:34:29:8:37:24:13:20:3:30:14:0:7:5:37:9
1,0,38,0,436,0:0:1:0:1:2:1:2:1:2:2:3:1:2:3:3:1:1:0:1:0:1:3:3:3:3:1:4:2:4:0:2:5:3:5:0:5:4:6:6:2:6:3:6:6:5:5:5:3:3:3:7:0:6:5:5:3:7:7:8:7:9:10:10:8:10:10:10:8:6:2:10:8:9:9:7:11:12:11:11:6:8:9:12:9:8:3:12:1:8:1:13:12:3:6:4:9:12:7:11:6:3:13:4:12:5:13:3:13:7:0:13:11:2:12:13:8:9:4:7:9:10:14:11:5:14:14:8:14:13:15:15:15:1:13:13:15:13:14:10:12:9:12:6:14:4:9:12:16:16:16:15:10:16:4:10:17:4:17:17:11:14:9:17:17:16:11:8:1:12:18:18:18:8:6:18:19:17:17:19:19:9:4:8:6:17:4:7:3:7:8:19:18:19:20:20:20:2:15:20:11:19:17:20:14:16:15:9:13:12:7:16:20:18:4:21:12:22:21:5:21:8:15:17:21:5:10:19:21:20:4:0:9:18:23:21:19:24:23:24:7:22:24:22:3:5:23:25:24:24:22:12:12:19:22:22:25:16:26:26:23:13:25:7:25:14:20:2:12:17:24:25:22:10:11:14:22:4:21:3:24:14:9:23:1:26:20:20:27:21:27:21:26:21:16:27:19:25:20:26:27:28:26:22:28:27:29:26:26:28:28:23:15:6:7:27:2:26:30:29:31:28:17:30:25:27:29:31:32:31:32:13:32:24:32:32:31:20:26:28:26:18:31:31:15:33:33:30:29:33:33:23:23:22:30:31:32:31:33:1:30:19:26:34:28:34:24:30:35:32:35:18:32:32:33:35:34:35:34:34:10:21:9:30:18:25:34:0:18:29:29:22:27:35:34:37:33:21:37:31:25:5:30:35:31:2:35:35:23:32:35:19:18:1:32:28:38:38:38:37:23:17:28:37:28:34:29:8:37:24:13:20:3:30:14:0:7:5:37:9
2,0,38,0,435,0:0:1:0:1:2:1:2:1:2:2:3:1:2:3:3:1:1:0:1:0:1:3:3:3:3:1:4:2:4:0:2:5:3:5:0:5:4:6:6:2:6:3:6:6:5:5:5:3:3:3:7:0:6:5:5:3:9:7:8:7:9:10:10:8:10:10:10:8:6:2:10:8:3:9:7:11:12:11:11:6:8:1:12:9:8:3:12:1:8:1:13:12:3:6:4:9:12:7:11:6:3:13:4:7:5:13:3:13:7:0:13:11:2:12:13:8:9:4:7:7:10:14:11:5:14:14:8:14:13:15:15:15:1:13:13:15:13:14:10:15:9:12:6:14:4:0:12:16:16:16:15:10:16:4:10:12:7:4:9:11:14:9:16:9:15:11:8:1:12:18:18:18:8:6:18:19:17:17:19:19:4:4:8:6:17:4:7:3:7:8:19:18:19:20:20:20:2:15:20:11:19:17:20:14:16:15:9:13:12:7:16:20:18:4:21:12:22:21:5:21:8:15:17:21:5:10:19:21:20:4:0:9:18:23:21:19:24:23:24:7:22:24:22:3:5:23:25:24:24:22:12:12:19:22:22:25:16:26:26:23:13:25:7:25:14:20:2:12:17:24:25:22:10:11:14:22:4:21:3:24:14:9:23:1:26:20:20:27:21:27:21:26:21:16:27:19:25:20:26:27:28:26:22:28:27:29:26:26:28:28:23:15:6:7:27:2:26:30:29:31:28:17:30:25:27:29:31:32:31:32:13:32:24:32:32:31:20:26:28:26:18:31:31:15:33:33:30:29:33:33:23:23:22:30:31:32:31:33:1:30:19:26:34:28:34:24:30:35:32:35:18:32:32:33:35:34:35:34:34:10:21:30:30:18:25:34:0:18:29:29:22:27:35:34:37:33:21:37:31:25:5:30:35:31:2:35:35:23:32:35:19:18:1:32:28:38:38:38:37:23:17:28:37:28:34:29:8:37:24:13:20:3:30:14:0:7:5:37:9
5,0,38,0,434,0:0:1:0:1:2:1:2:1:2:2:3:0:2:3:3:1:1:0:1:0:1:3:3:3:3:1:4:2:4:0:2:5:3:5:0:5:4:6:6:2:6:3:6:6:5:5:5:3:3:3:11:0:6:5:5:3:11:11:8:8:9:10:10:8:10:10:10:6:6:2:10:4:3:9:6:1:12:11:8:6:8:1:12:9:8:3:9:1:8:0:13:12:3:6:4:9:12:7:7:6:3:13:4:7:5:13:3:13:7:0:13:2:2:12:13:8:9:7:7:7:10:14:11:5:14:14:11:14:13:15:15:15:9:13:13:15:13:14:10:15:9:12:6:14:4:0:12:16:16:16:15:10:16:4:10:12:7:4:9:11:14:9:16:9:15:6:8:15:12:18:18:18:8:6:18:19:17:17:19:19:9:4:8:6:17:16:7:3:7:8:19:18:19:20:20:20:2:15:20:12:19:17:20:14:16:15:9:13:12:7:16:20:18:4:21:12:22:21:5:21:8:15:17:21:5:10:19:21:20:4:0:21:18:23:21:19:24:23:24:7:22:24:22:3:5:23:25:24:24:22:12:12:19:22:22:25:16:26:26:23:13:25:5:25:14:20:2:12:17:24:25:22:10:11:14:22:4:21:3:24:14:9:23:1:26:20:20:27:21:27:21:26:21:16:27:19:25:20:26:27:28:26:22:28:27:29:26:26:28:28:23:15:6:7:27:2:26:30:29:31:28:17:30:25:27:29:31:32:31:32:13:32:24:32:32:31:20:26:28:26:18:31:31:15:33:33:30:29:33:33:23:23:22:30:31:32:31:33:17:30:19:26:34:28:34:24:30:35:32:35:18:32:32:33:35:34:35:34:34:10:21:30:30:18:25:34:0:18:29:29:22:27:35:34:37:33:21:37:31:25:5:30:35:31:2:35:35:23:32:35:19:18:1:32:28:38:38:38:37:23:17:28:37:28:34:29:8:37:24:13:20:3:30:14:37:7:5:37:9
6,0,38,0,433,0:0:1:0:1:2:1:2:1:2:2:3:0:2:3:3:1:1:0:1:0:1:3:3:3:3:1:4:2:4:0:2:5:3:5:0:5:4:6:6:2:6:3:6:6:5:5:5:3:3:3:11:0:6:5:5:3:11:11:8:8:9:10:10:8:10:10:10:6:6:2:10:4:3:8:6:1:11:11:8:6:8:1:9:9:8:3:9:1:8:0:13:12:3:6:4:9:12:7:7:6:3:13:4:7:5:13:3:13:7:0:13:2:2:12:13:8:9:7:7:7:10:14:11:5:14:14:11:14:13:15:15:15:9:13:13:15:13:14:10:15:9:12:6:14:4:0:12:16:16:16:15:10:16:4:10:12:7:4:9:11:14:9:16:9:15:6:8:15:12:18:18:18:8:6:18:19:17:17:19:19:9:4:8:6:17:16:7:3:7:8:19:18:19:20:20:20:2:15:20:12:19:17:20:14:16:15:13:13:12:7:16:20:18:4:21:12:22:21:5:21:8:15:17:21:5:10:19:21:20:4:0:21:18:23:21:19:24:23:24:7:22:24:22:3:5:23:25:24:24:22:12:12:19:22:22:25:16:26:26:23:13:25:5:25:14:20:2:12:17:24:25:22:10:11:14:22:4:21:3:24:14:9:23:1:26:20:20:27:21:27:21:26:21:16:27:19:25:20:26:27:28:26:22:28:27:29:26:26:28:28:23:15:6:7:27:2:26:30:29:31:28:17:30:25:27:29:31:32:31:32:13:32:24:32:32:31:20:26:28:26:18:31:31:15:33:33:30:29:33:33:23:23:22:30:31:32:31:33:17:30:19:26:34:28:34:24:30:35:32:35:18:32:32:33:35:34:35:34:34:10:21:30:30:18:25:34:0:18:29:29:22:27:35:34:37:33:21:37:31:25:5:30:35:31:2:35:35:23:32:35:19:18:1:32:28:38:38:38:37:23:17:28:37:28:34:29:8:37:24:13:20:3:30:14:37:7:5:37:9
7,0,38,0,432,0:0:1:0:1:2:1:2:1:2:2:3:0:2:3:3:1:1:0:1:0:1:3:3:3:3:1:4:2:4:0:2:5:3:5:0:5:4:6:6:2:6:3:6:6:5:5:5:3:3:3:11:0:6:5:5:3:11:11:8:8:9:10:10:8:10:10:10:6:6:2:10:4:3:8:6:1:11:11:8:6:8:1:9:9:8:3:9:1:8:0:13:12:3:6:4:9:12:7:7:6:3:13:4:7:5:13:3:13:7:0:13:2:2:12:13:8:9:7:7:7:10:14:11:5:14:14:11:14:13:15:15:15:9:13:13:15:13:14:10:15:9:12:6:14:4:0:12:16:16:16:15:10:16:4:10:12:7:4:9:11:14:9:16:9:15:6:8:15:12:18:18:18:8:6:18:19:17:17:19:19:9:4:8:6:17:16:7:3:7:8:19:18:19:20:20:20:2:15:20:12:19:17:20:14:16:15:13:13:12:7:16:20:18:4:21:12:22:21:5:21:8:15:17:21:5:10:19:21:20:4:0:21:18:23:11:19:24:23:24:7:22:24:22:3:5:23:25:19:24:22:12:12:19:22:22:25:16:21:24:23:13:25:5:25:14:20:2:12:17:24:25:22:10:11:14:22:4:21:3:24:14:9:23:1:26:20:20:27:21:27:26:26:27:16:27:19:25:20:26:27:28:26:22:28:27:29:26:26:28:28:23:15:6:7:27:2:26:30:29:31:28:17:30:25:27:29:31:32:31:32:13:32:24:32:32:31:20:26:28:26:18:31:31:15:33:33:30:29:33:33:23:23:22:30:31:32:31:33:17:30:19:26:34:28:34:24:30:35:32:35:18:32:32:33:35:34:35:34:34:10:21:30:30:18:25:34:0:18:29:29:22:27:35:34:37:33:21:37:31:25:5:30:35:31:2:35:35:23:32:35:19:18:1:32:28:38:38:38:37:23:17:28:37:28:34:29:8:37:24:13:20:3:30:14:37:7:5:37:9
9,0,38,0,431,0:0:1:0:1:2:1:2:1:2:1:3:0:2:3:3:1:1:0:1:0:1:3:3:3:3:1:4:2:4:0:2:5:3:5:0:5:4:6:6:2:6:3:6:6:5:5:5:3:3:3:11:0:6:5:5:3:11:11:8:8:9:10:10:8:10:10:10:6:6:2:10:4:3:8:6:1:11:11:8:6:8:1:9:9:8:3:9:1:8:0:13:12:3:6:4:9:12:7:7:6:3:13:4:7:5:13:3:13:7:0:13:2:2:12:13:8:9:7:7:11:10:14:11:5:14:14:11:14:13:15:15:15:9:13:13:15:13:14:10:15:9:12:6:14:4:0:12:16:16:16:15:10:16:4:10:12:7:4:9:11:14:9:16:9:15:6:8:15:12:18:18:18:8:6:18:19:17:17:19:19:9:4:8:6:17:16:7:3:7:8:19:18:19:20:20:20:2:15:20:12:19:17:20:14:16:15:13:13:12:7:16:20:18:4:21:12:22:21:5:21:8:15:17:21:5:10:19:21:20:4:0:21:18:23:11:19:24:23:24:7:22:24:22:3:5:23:25:19:24:22:12:12:19:22:22:25:16:21:24:23:13:25:5:25:14:20:2:12:17:24:25:22:10:11:14:22:4:21:3:24:14:9:23:1:26:20:20:27:21:27:26:26:27:16:27:19:25:2:26:27:28:26:22:28:27:29:26:26:28:28:23:15:6:7:27:2:26:30:29:31:28:17:30:25:27:29:31:32:31:32:13:32:24:32:32:31:20:26:28:26:18:31:31:15:33:33:30:29:33:33:23:23:22:30:31:32:31:33:17:30:19:26:34:28:34:24:30:7:32:20:18:32:32:33:12:34:7:34:34:10:21:30:30:18:25:34:0:18:29:29:22:27:35:34:37:33:21:37:31:25:5:30:35:31:2:35:35:23:32:35:19:18:1:32:28:38:38:38:37:23:17:28:37:28:34:29:8:37:24:13:20:3:30:14:37:7:5:37:9
13,0,38,0,430,0:0:1:0:1:2:1:2:1:2:1:3:0:2:3:3:1:1:0:1:0:1:3:3:3:3:1:4:2:4:0:2:5:3:5:0:5:4:6:6:2:6:3:6:6:5:5:5:3:3:3:11:0:6:5:5:3:11:11:8:8:9:10:10:8:10:10:10:6:6:2:10:4:3:8:6:1:11:11:8:6:8:1:9:9:8:3:9:1:8:0:13:12:3:6:4:9:12:7:7:6:3:13:4:7:5:13:3:13:7:0:13:2:2:12:13:8:9:7:7:11:10:14:11:5:14:14:11:14:13:15:15:15:9:13:13:15:13:14:10:15:9:12:6:14:4:0:12:16:16:16:15:10:16:4:10:12:7:4:9:11:14:9:16:9:15:6:8:15:12:18:18:18:8:6:18:19:17:17:19:19:9:4:8:6:17:16:7:3:7:8:19:18:19:20:20:20:2:15:20:12:19:17:20:14:16:15:13:13:12:7:16:20:18:4:21:12:17:21:5:21:8:15:16:21:5:10:19:21:20:4:0:21:18:23:11:19:24:23:24:7:22:24:22:3:5:23:25:19:24:22:12:12:19:22:22:25:16:21:24:23:13:25:5:25:14:20:2:12:17:24:25:22:10:11:14:22:4:21:3:24:14:9:23:1:26:20:20:27:21:27:26:26:27:16:27:19:25:2:26:27:28:26:22:28:27:29:26:26:28:28:23:15:6:7:27:2:26:30:29:31:28:17:30:25:27:29:31:32:31:32:13:32:24:32:32:31:20:26:28:26:18:31:31:15:33:33:30:29:33:33:23:23:22:30:31:32:31:33:17:30:19:26:34:28:34:24:30:7:32:20:18:32:32:33:12:34:7:34:34:10:21:30:30:18:25:34:0:18:29:29:22:27:35:34:37:33:21:37:31:25:5:30:35:31:2:35:35:23:32:35:19:18:1:32:28:38:38:38:37:23:17:28:37:28:34:29:8:37:24:13:20:3:30:14:37:7:5:37:9
15,0,38,0,429,0:0:1:0:1:2:1:2:1:2:1:3:0:2:3:3:1:1:0:1:0:1:3:2:3:3:1:4:2:4:0:2:5:3:5:0:5:4:6:6:2:6:3:6:6:5:5:5:3:3:3:11:0:6:5:5:3:11:11:8:8:9:10:10:8:10:10:10:6:6:2:10:4:3:8:6:1:11:11:8:6:8:1:9:9:8:3:9:1:8:0:13:12:3:6:4:9:12:7:7:6:3:13:4:7:5:13:3:13:7:0:13:2:2:2:13:8:9:7:7:11:10:14:11:5:14:14:11:14:13:15:15:15:9:13:13:15:13:14:10:15:9:12:6:14:4:0:12:16:16:16:15:10:16:4:10:12:7:4:9:11:14:9:16:9:15:6:8:15:5:18:18:18:8:6:18:19:17:17:19:19:9:4:8:6:17:16:7:3:7:8:19:18:19:20:20:20:2:15:20:12:19:17:20:14:16:15:13:13:12:7:16:20:18:4:21:12:17:21:5:21:8:15:16:21:5:10:19:21:20:4:0:21:18:23:11:19:24:23:24:7:22:24:22:3:5:23:25:19:24:22:25:12:19:22:22:25:16:21:24:23:13:25:5:25:14:20:2:12:17:24:25:22:10:11:14:22:4:21:3:24:14:9:23:1:26:20:20:27:21:27:26:26:27:16:27:19:25:2:26:27:28:26:22:28:27:29:26:26:28:28:23:15:6:7:27:2:26:30:29:31:28:17:30:25:27:29:31:32:31:32:13:32:24:32:32:31:20:26:28:26:18:31:31:15:33:33:30:29:33:33:23:23:22:30:31:32:31:33:17:30:19:26:34:28:34:24:30:7:32:20:18:32:32:33:12:34:7:34:34:10:21:30:30:18:25:34:0:18:29:29:22:27:35:34:35:33:21:12:31:25:5:30:35:31:2:23:35:23:32:35:19:18:1:32:28:38:38:38:37:23:17:28:37:28:34:29:8:37:24:13:20:3:30:14:37:7:5:37:9
19,0,38,0,428,0:2:1:0:1:2:1:2:1:2:1:3:0:2:3:3:1:1:0:1:0:1:3:2:3:3:1:4:2:4:0:0:5:3:5:0:5:4:6:6:2:6:3:6:6:5:5:5:3:3:3:11:0:6:5:5:3:11:11:8:8:9:10:10:8:10:10:10:6:6:2:10:4:3:8:6:1:11:11:8:6:8:1:9:9:8:3:9:1:8:0:13:12:3:6:4:9:12:7:7:6:3:13:4:7:5:13:0:13:7:0:13:2:2:2:13:8:9:7:7:11:10:14:11:5:14:14:11:14:13:15:15:15:9:13:13:15:13:14:10:15:9:12:6:14:4:0:12:16:16:16:15:10:16:4:10:12:7:4:9:11:14:9:16:9:15:6:8:15:5:18:18:18:8:6:18:19:17:17:19:19:9:4:8:17:17:16:7:4:7:8:19:18:19:20:20:20:2:15:20:12:19:17:20:14:16:15:13:13:14:7:16:20:18:4:21:12:17:21:5:21:8:15:16:21:5:10:19:21:20:4:14:21:18:24:11:19:3:17:14:7:22:24:22:3:5:12:25:19:19:22:25:12:19:22:22:25:16:21:24:23:13:25:5:25:20:20:2:12:17:24:25:22:10:11:14:22:4:21:3:24:14:9:23:1:26:20:20:27:21:27:26:26:27:16:27:19:25:28:26:27:28:26:22:28:27:29:26:26:28:28:23:15:6:7:27:2:26:30:29:31:28:17:30:25:27:29:31:32:31:32:13:32:24:32:32:31:20:26:28:26:18:31:31:15:33:33:30:29:33:33:23:23:22:30:31:32:31:33:17:30:19:26:34:28:34:24:30:7:32:20:18:32:32:33:12:34:7:34:34:10:21:30:30:18:25:34:0:18:29:29:22:27:35:34:35:33:21:12:31:25:5:30:35:31:2:23:35:23:32:35:19:18:1:32:28:38:38:38:37:23:17:22:37:28:34:29:8:37:24:13:20:3:30:14:37:7:5:37:9
