#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 18:38:45,wvcp,miles500,local_search,3,260,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,22,0,273,0:1:1:0:0:1:2:2:2:0:2:1:3:4:4:3:5:4:6:7:3:8:9:10:9:6:11:12:11:8:13:14:15:15:16:16:5:10:12:17:9:18:19:10:14:20:17:21
1,0,21,0,272,0:2:1:0:0:1:2:4:2:0:2:1:3:5:1:3:6:4:8:12:3:1:21:9:3:6:7:10:21:8:13:14:15:15:16:16:5:10:4:17:9:18:19:10:14:20:20:17
2,0,21,0,271,5:0:1:0:0:1:2:2:2:5:2:1:3:1:1:3:4:4:8:21:3:6:12:9:3:6:7:10:7:8:13:14:15:15:16:16:5:10:6:17:9:18:19:10:14:20:20:17
3,0,20,0,270,13:0:1:13:0:1:2:2:0:5:2:1:3:1:1:3:4:4:8:21:3:6:9:5:3:6:7:10:7:8:18:14:15:2:16:16:5:10:6:17:9:15:19:10:14:20:20:17
4,0,20,0,265,13:0:1:13:0:1:2:2:0:13:2:1:3:1:1:3:4:4:8:21:3:6:9:5:3:6:7:10:7:8:18:14:15:2:16:16:5:10:6:17:9:15:19:10:14:20:20:17
6,0,20,0,264,13:0:0:13:0:13:2:2:1:13:2:1:3:1:1:3:4:4:8:21:3:6:9:5:3:6:7:10:7:8:18:14:15:2:16:16:5:10:6:17:9:15:19:10:14:20:20:17
59,0,20,0,263,3:1:2:3:0:3:2:2:0:3:2:1:13:21:21:13:0:21:18:4:1:6:9:7:9:6:10:8:7:2:5:14:15:8:16:16:21:10:6:13:9:15:19:10:14:20:20:17
64,0,20,0,262,3:1:2:3:3:1:2:2:0:3:2:1:13:21:21:13:0:21:18:4:1:6:9:7:9:6:10:8:7:2:5:14:15:8:16:16:21:10:6:13:9:15:19:10:14:20:20:17
65,0,20,0,261,3:1:2:3:3:1:2:7:7:2:2:1:13:2:3:13:21:21:14:0:1:6:9:18:9:6:10:8:18:2:4:5:15:8:16:16:16:10:6:13:9:15:19:10:5:20:20:17
239,0,20,0,260,2:1:7:2:7:1:2:7:1:2:7:1:4:3:3:4:21:21:10:0:6:6:14:9:14:6:8:19:14:0:12:18:15:19:5:5:5:10:18:4:9:15:16:9:8:20:20:13
239,0,20,0,260,2:1:7:2:7:1:2:7:1:2:7:1:4:3:3:4:21:21:10:0:6:6:14:9:14:6:8:19:14:0:12:18:15:19:5:5:5:10:18:4:9:15:16:9:8:20:20:13
#2022-10-11 18:38:45
