#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 18:40:52,wvcp,mulsol.i.5,local_search,2,367,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,35,0,378,0:1:0:2:3:4:5:4:3:2:1:4:4:5:3:0:1:6:7:8:5:7:9:10:2:8:11:7:4:5:10:2:12:13:6:4:4:3:5:14:15:16:17:5:9:2:2:3:11:18:19:15:3:3:1:18:20:13:10:14:3:21:16:22:17:18:20:22:9:13:19:23:23:24:16:1:2:3:17:21:24:12:25:0:26:26:25:27:28:29:9:30:31:28:30:32:33:29:34:33:32:31:2:17
4,0,35,0,376,0:1:0:2:3:4:5:4:3:2:1:4:4:5:3:0:1:6:7:8:5:7:9:10:2:8:11:1:4:5:10:2:12:13:6:4:4:3:5:14:15:16:17:5:9:2:2:3:11:18:19:15:3:3:1:18:20:13:10:14:3:21:16:22:17:18:20:22:9:13:19:23:23:24:16:1:2:3:17:21:24:12:25:0:26:26:25:27:28:7:9:30:31:28:30:32:33:29:34:33:32:31:2:17
6,0,33,0,372,0:1:0:2:3:4:5:4:3:2:1:4:4:5:3:0:1:6:7:8:5:7:9:10:2:8:11:1:4:5:1:2:12:13:6:4:4:3:5:14:15:16:17:5:9:2:2:3:11:18:19:15:3:3:1:18:20:13:10:14:3:21:16:22:17:18:20:22:9:13:19:10:27:24:16:1:2:3:17:21:24:12:25:0:26:26:25:27:28:7:9:30:31:28:30:32:33:34:34:33:32:31:2:17
9,0,32,0,371,3:2:0:1:0:4:7:4:1:2:1:4:4:7:3:0:1:9:6:5:7:7:13:19:2:8:8:1:4:7:1:2:14:10:9:4:4:3:5:16:17:15:11:7:1:2:6:3:11:20:18:15:3:3:1:18:21:3:15:14:1:12:16:22:17:18:20:22:2:17:19:10:24:26:16:1:2:3:17:21:24:12:27:0:31:26:25:27:28:7:2:13:31:28:25:32:33:34:34:33:32:31:28:17
12,0,31,0,370,2:1:0:0:3:4:7:4:2:2:1:4:4:7:3:0:1:9:6:5:7:7:13:19:2:8:8:1:4:7:1:2:14:10:9:4:4:3:5:16:17:15:11:7:7:2:6:3:11:20:18:15:3:3:1:18:21:3:15:14:19:12:16:22:17:18:20:22:2:17:19:10:24:26:16:1:2:3:17:21:24:12:27:0:31:26:25:27:28:7:2:13:31:28:31:32:33:25:6:33:32:31:28:17
18,0,31,0,369,2:1:0:0:3:4:7:4:2:2:1:4:4:7:3:0:1:9:6:5:7:7:14:19:2:8:8:1:4:7:1:2:25:10:9:4:4:3:5:16:17:15:11:7:7:2:6:3:11:20:18:15:3:3:1:18:21:3:15:14:19:12:16:22:17:18:20:22:2:17:19:10:24:26:16:1:2:3:17:21:24:12:27:0:31:26:25:27:28:7:2:13:31:28:31:32:33:13:6:33:32:31:28:17
26,0,31,0,368,2:1:3:0:3:4:7:4:2:2:1:4:4:7:3:0:1:9:6:5:7:7:14:19:2:8:8:1:4:7:1:2:25:10:9:4:4:3:5:16:17:15:11:7:7:2:6:3:11:20:18:15:17:3:1:18:21:2:15:14:19:12:16:22:17:18:20:22:2:17:19:10:24:26:16:1:2:17:17:21:24:12:27:0:31:26:25:27:0:7:2:13:31:28:31:32:33:13:6:33:32:31:28:17
27,0,31,0,367,2:1:3:0:3:4:7:4:2:2:1:4:4:7:3:0:1:9:6:5:7:7:14:19:2:8:8:1:4:7:1:2:25:10:9:4:4:3:5:16:17:15:11:7:7:2:6:3:11:20:18:15:17:3:1:18:21:2:15:14:19:12:16:22:17:18:20:22:2:17:19:10:24:26:16:1:2:17:17:21:24:12:27:0:31:26:25:27:0:7:2:28:31:28:31:32:33:13:6:33:32:31:28:17
27,0,31,0,367,2:1:3:0:3:4:7:4:2:2:1:4:4:7:3:0:1:9:6:5:7:7:14:19:2:8:8:1:4:7:1:2:25:10:9:4:4:3:5:16:17:15:11:7:7:2:6:3:11:20:18:15:17:3:1:18:21:2:15:14:19:12:16:22:17:18:20:22:2:17:19:10:24:26:16:1:2:17:17:21:24:12:27:0:31:26:25:27:0:7:2:28:31:28:31:32:33:13:6:33:32:31:28:17
#2022-10-11 18:40:52
