#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 18:49:55,wvcp,myciel7g,local_search,9,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,10,0,39,0:0:0:1:1:0:1:2:0:1:1:2:2:2:3:1:2:1:1:2:1:1:3:3:3:3:0:3:3:2:2:1:3:1:3:3:3:2:3:3:2:4:4:4:4:3:0:1:3:2:4:2:5:0:5:1:5:1:5:0:3:1:3:5:5:5:2:5:0:3:5:5:5:1:5:3:3:1:2:6:6:7:4:6:0:8:6:7:8:7:3:5:4:4:8:7:8:3:3:8:8:1:6:0:3:1:1:5:1:6:1:3:8:2:1:0:9:9:7:9:9:6:7:7:6:8:7:5:7:2:1:2:2:8:5:9:3:6:6:0:4:8:5:2:1:7:2:1:2:8:7:5:4:7:5:7:7:0:8:2:9:5:8:3:2:1:9:1:2:2:5:8:3:3:3:5:3:5:1:7:3:0:2:2:2:5:3:1:5:7:1
3,0,10,0,38,0:0:0:1:1:0:3:2:0:1:1:2:2:2:3:1:1:1:1:0:1:1:3:3:3:3:0:3:3:2:1:3:3:3:3:3:1:1:3:3:1:2:2:1:0:3:0:1:3:2:1:0:5:0:5:5:5:1:5:0:3:5:3:5:5:5:1:5:0:3:5:5:5:5:5:3:3:3:3:6:6:7:4:6:0:8:6:7:8:7:3:5:4:4:8:7:8:3:3:8:8:1:6:0:3:1:1:5:1:6:1:3:8:2:1:0:9:9:7:9:9:6:7:7:6:8:7:5:7:2:1:6:4:8:5:9:3:6:6:0:4:8:5:4:1:7:2:1:3:8:7:5:4:7:5:7:7:0:8:2:9:5:8:3:2:1:9:1:2:2:5:8:5:3:3:5:3:5:1:7:3:0:3:1:1:5:3:1:5:7:1
6,0,10,0,37,0:0:0:1:1:3:3:0:0:1:1:1:1:5:3:1:1:1:1:0:1:1:5:3:0:1:0:1:1:1:1:1:1:1:3:1:1:1:5:5:1:2:2:1:0:3:0:1:3:2:1:0:5:0:5:3:3:1:5:0:3:5:3:1:5:5:1:5:0:3:5:5:5:5:5:3:3:3:3:6:6:7:2:6:0:8:6:7:8:7:3:1:1:6:8:7:8:3:3:8:8:1:6:0:3:1:1:7:1:6:1:3:8:2:1:0:9:9:7:9:9:6:7:7:6:8:7:0:7:2:1:6:4:8:5:9:3:6:6:0:4:8:5:4:1:7:2:1:3:8:7:5:4:7:4:7:7:0:8:2:9:5:8:3:2:1:9:1:2:2:5:8:5:3:3:5:3:5:1:7:3:0:3:1:1:5:3:1:5:7:1
7,0,10,0,36,0:0:0:1:1:3:3:0:0:1:1:1:1:5:3:1:1:1:1:0:1:1:5:3:0:1:0:1:1:1:1:1:1:1:3:1:1:1:5:5:1:2:2:1:0:3:0:1:3:2:1:0:5:0:5:3:3:1:5:0:3:5:3:1:5:5:1:5:0:3:5:5:5:5:5:3:3:3:3:6:6:7:2:6:0:8:6:7:8:7:3:1:1:1:8:7:8:3:3:8:8:1:0:0:3:1:1:7:1:1:1:3:8:2:1:0:4:6:7:7:4:6:7:7:6:8:7:0:7:2:1:6:4:8:5:8:3:6:6:0:8:8:5:4:1:7:2:1:3:8:7:5:4:7:4:7:7:0:8:2:9:5:8:3:2:1:9:1:2:2:5:8:5:3:3:5:3:5:1:7:3:0:3:1:1:5:3:1:5:7:1
8,0,9,0,35,0:0:0:1:1:3:3:0:0:1:1:1:1:5:3:1:1:1:1:0:1:1:5:3:0:1:0:1:1:1:1:1:1:1:3:1:1:1:5:5:1:2:2:1:0:3:0:1:3:2:1:0:5:0:5:3:3:1:5:0:3:5:3:1:5:5:1:5:0:3:5:5:5:5:5:3:3:3:3:6:6:7:2:6:0:8:6:7:8:7:3:1:1:1:8:7:8:3:3:8:8:1:0:0:3:1:1:7:1:1:1:3:8:2:1:0:4:6:7:7:4:6:7:7:6:8:7:0:7:2:1:6:4:8:5:8:3:6:6:0:8:8:5:4:1:7:2:1:3:8:7:5:4:7:4:7:7:0:8:2:3:5:8:3:2:1:3:1:2:2:5:8:5:3:3:5:3:5:1:7:3:0:3:1:1:5:3:1:5:7:1
9,0,9,0,34,0:0:0:1:1:3:3:0:0:1:1:1:1:5:3:1:1:1:1:0:1:1:5:3:0:1:0:1:1:1:1:1:1:1:3:1:1:1:3:3:1:5:0:1:0:3:0:1:3:5:1:0:5:0:5:3:3:1:5:0:3:5:3:1:5:5:1:3:0:3:3:3:1:3:1:3:3:3:3:6:6:7:2:6:0:8:6:7:8:7:3:1:1:1:8:7:8:3:3:8:8:1:0:0:3:1:1:7:1:1:1:3:8:2:1:0:4:6:7:7:4:6:7:7:6:8:7:0:7:2:1:6:4:8:5:8:3:6:6:0:8:8:5:4:1:7:2:1:3:8:7:3:4:7:4:7:7:0:8:2:3:5:8:3:2:1:3:1:2:2:5:8:2:3:3:3:3:5:1:7:3:0:3:1:1:3:3:1:1:7:1
12,0,9,0,33,0:0:0:1:1:3:3:0:0:1:1:1:1:5:3:1:1:1:1:0:1:1:5:3:0:1:0:1:1:1:1:1:1:1:3:1:1:1:3:3:1:5:0:1:0:3:0:1:3:5:1:0:5:0:5:3:3:1:5:0:3:5:3:1:5:5:1:3:0:3:3:3:1:3:1:3:3:3:3:6:8:5:2:6:0:8:6:6:8:5:3:1:1:1:2:5:8:3:3:2:8:1:0:0:3:1:1:6:1:1:1:3:3:2:1:0:4:6:7:7:4:6:0:7:6:8:7:0:8:2:1:2:4:8:8:8:3:3:6:0:8:8:5:4:1:3:2:1:3:8:3:3:4:7:4:7:7:0:8:2:3:5:8:3:2:1:3:1:2:2:8:8:2:3:3:3:3:5:1:7:3:0:3:1:1:3:3:1:1:7:1
13,0,9,0,32,0:0:0:1:1:3:3:0:0:1:1:1:1:1:3:1:1:1:5:0:1:1:5:3:0:1:0:1:1:1:1:1:1:1:3:1:1:1:3:3:1:5:0:1:0:3:0:1:3:5:1:0:5:0:5:3:3:1:5:0:3:1:3:1:5:5:1:3:0:3:3:3:1:3:1:3:3:3:3:2:8:5:2:0:0:8:2:5:8:5:3:1:1:1:1:5:8:3:3:8:8:1:0:0:3:1:1:8:1:1:1:3:3:1:1:0:4:6:7:7:4:6:0:7:6:8:7:0:8:2:1:2:4:8:8:8:3:3:6:0:8:8:5:4:3:3:1:1:3:8:3:3:4:7:4:7:7:0:8:5:3:5:8:3:5:1:3:1:1:1:8:8:4:3:3:3:3:5:1:7:3:0:3:1:1:3:3:1:1:7:1
15,0,8,0,30,0:0:0:1:1:3:3:0:0:1:1:1:1:1:3:1:1:1:5:0:1:1:5:3:0:1:0:1:1:1:1:1:1:1:3:1:1:1:3:3:1:5:0:1:0:3:0:1:3:5:1:0:5:0:5:3:3:1:5:0:3:1:3:1:5:5:1:3:0:3:3:3:1:3:1:3:3:3:3:2:8:5:2:0:0:8:2:5:8:5:3:1:1:1:1:5:8:3:3:8:8:1:0:0:3:1:1:8:1:1:1:3:3:1:1:0:4:8:7:7:4:2:0:7:8:8:7:0:8:2:1:2:2:8:8:8:3:3:3:0:5:8:5:1:3:3:1:1:3:8:3:3:4:7:4:7:7:0:8:5:3:5:4:3:5:1:3:1:1:1:8:5:4:3:3:3:3:5:1:7:3:0:3:1:1:3:3:1:1:7:1
19,0,8,0,29,0:0:0:1:1:3:3:0:0:1:1:1:1:1:3:1:1:1:5:0:1:1:5:3:0:1:0:1:1:1:1:1:1:1:3:1:1:1:3:3:1:5:0:1:0:3:0:1:3:5:1:0:5:0:5:3:3:1:5:0:3:1:3:1:5:5:1:3:0:3:3:3:1:3:1:3:3:3:3:2:8:5:2:0:0:8:8:5:8:5:3:1:1:1:1:5:8:3:3:8:8:1:0:0:3:1:1:8:1:1:1:3:3:1:1:0:2:8:7:7:7:2:0:7:8:8:7:0:8:8:1:2:2:8:8:8:3:3:3:0:5:8:5:1:3:3:1:1:3:8:3:3:4:7:4:7:5:0:8:5:3:5:4:3:5:1:3:1:1:1:8:5:4:3:3:3:3:5:1:4:3:0:3:1:1:3:3:1:1:7:1
550508,0,8,0,29,5:3:5:8:8:7:3:5:5:8:8:8:8:8:7:8:8:8:3:5:8:8:3:7:7:8:5:8:8:8:8:8:3:8:8:8:8:8:7:7:8:3:5:8:5:7:5:8:3:8:8:5:3:5:3:7:7:8:5:7:8:8:7:7:3:8:8:7:5:7:7:7:8:8:7:7:7:8:8:1:1:5:8:5:5:1:1:3:4:5:7:8:8:8:8:5:3:5:7:3:3:8:5:5:7:8:8:1:8:8:8:7:7:4:8:5:0:1:0:7:4:0:5:0:1:4:4:5:1:1:8:8:8:1:4:4:0:7:1:5:8:3:3:4:7:4:8:7:7:7:7:7:8:0:6:0:5:7:4:5:7:3:4:3:5:8:7:7:8:4:3:3:8:7:6:4:6:4:8:7:7:5:4:7:5:8:7:7:4:8:8
#2022-10-11 19:49:56
