#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 18:48:53,wvcp,myciel7gb,local_search,15,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,11,0,149,0:0:0:0:1:1:0:1:2:2:3:0:0:3:0:3:0:1:1:2:3:3:0:1:2:2:3:0:3:1:1:0:1:2:4:2:0:1:1:3:4:1:4:0:1:2:1:0:1:1:3:0:4:5:4:0:1:4:4:5:1:3:1:2:4:4:0:5:2:1:6:6:2:6:5:2:4:1:3:6:5:6:5:5:1:3:6:1:1:1:7:7:6:7:7:4:2:3:5:8:8:5:4:1:1:7:4:7:3:7:6:3:6:0:4:6:8:8:3:4:4:2:1:5:2:5:3:7:7:4:8:4:4:0:4:4:5:7:2:3:3:4:6:0:4:3:5:4:9:6:6:9:2:4:8:2:9:9:9:0:1:2:8:4:0:9:7:1:8:5:1:10:9:6:6:0:10:2:6:0:1:6:1:6:8:8:5:0:8:10:10
2,0,11,0,148,0:0:0:0:1:1:0:1:3:1:3:0:0:3:0:3:0:1:1:2:3:3:0:1:2:2:3:0:3:1:1:0:1:2:4:2:0:1:1:3:4:1:4:0:1:2:1:0:1:1:3:0:4:5:4:0:1:4:4:5:1:3:1:2:4:4:0:5:2:1:6:6:2:6:5:2:4:3:3:6:5:6:5:5:1:3:6:1:1:1:7:7:6:7:7:4:2:3:5:8:8:5:4:1:1:7:4:7:3:7:6:3:6:0:4:6:8:8:3:4:4:2:1:5:2:5:3:7:7:4:8:4:4:0:4:4:5:7:2:3:3:4:6:0:4:3:5:4:9:6:6:3:2:4:8:2:3:6:7:0:1:2:8:4:0:9:7:1:8:5:1:10:9:6:6:0:10:2:6:0:1:6:1:6:8:8:5:0:8:10:10
3,0,11,0,146,0:0:0:1:1:1:0:1:3:1:3:0:0:3:0:3:0:1:1:2:3:3:0:1:2:2:3:0:3:1:1:0:1:2:4:2:0:1:1:3:4:1:4:0:1:2:1:0:1:1:3:0:4:5:4:0:1:4:4:5:1:3:1:2:4:4:0:3:2:1:6:6:2:6:3:2:4:3:3:6:5:6:5:5:1:3:6:1:1:1:7:7:6:7:7:4:2:3:1:5:0:5:4:1:1:7:4:7:3:7:6:3:6:0:4:6:8:8:3:4:4:2:1:3:2:2:3:7:7:4:8:4:4:0:4:4:5:7:2:3:3:4:6:0:4:3:5:4:9:6:6:3:2:4:8:2:3:6:7:3:1:2:8:4:0:9:7:1:8:9:1:10:9:6:6:0:10:2:6:0:1:6:1:6:8:8:5:0:8:10:10
4,0,11,0,145,0:0:0:1:1:1:0:1:3:1:3:0:0:3:0:3:0:1:1:2:3:3:0:1:1:2:3:0:3:1:1:0:1:2:4:2:0:1:1:3:4:1:4:0:1:2:1:0:1:1:3:0:4:5:4:0:1:4:4:5:1:3:1:2:4:4:0:3:2:1:2:3:2:3:3:2:4:3:3:4:5:6:5:5:1:3:6:1:1:1:7:7:6:7:7:4:2:3:1:5:0:5:4:1:1:7:4:7:3:7:6:3:6:0:4:6:8:8:3:4:4:2:1:3:2:2:3:7:7:4:8:4:4:0:4:4:5:7:1:3:3:4:6:0:4:3:5:4:9:6:6:3:2:4:8:2:3:6:7:3:1:2:8:4:0:9:7:1:8:9:1:10:9:6:6:0:10:2:6:0:1:6:1:6:8:8:5:0:8:10:10
5,0,11,0,144,0:0:0:1:1:1:0:1:3:1:3:0:0:3:0:3:0:1:1:2:3:3:0:1:1:2:3:0:3:1:1:0:1:2:4:2:0:1:1:3:4:1:4:0:1:2:1:0:1:1:3:0:4:5:4:0:1:4:4:5:1:3:1:2:4:4:0:3:2:1:2:3:2:3:3:2:4:3:3:4:5:6:5:5:1:3:6:1:1:1:7:7:6:7:7:4:2:3:1:5:0:5:4:1:1:7:4:7:3:7:6:3:6:0:4:6:8:8:3:4:4:2:1:3:2:2:3:7:7:4:8:4:4:0:4:4:5:7:1:3:3:4:6:0:4:3:5:4:9:6:6:3:2:4:8:2:3:6:7:3:1:2:8:4:0:9:7:1:8:9:1:9:9:6:6:0:7:2:6:0:1:6:1:6:8:8:5:0:8:10:10
6,0,10,0,143,0:0:0:1:1:1:0:1:3:1:3:0:0:3:0:3:0:1:1:2:3:3:0:1:1:2:3:0:3:1:1:0:1:2:4:2:0:1:1:3:4:1:4:0:1:2:1:0:1:1:3:0:4:5:4:0:1:4:4:5:1:3:1:2:4:4:0:3:2:1:2:3:2:3:3:2:4:3:3:4:5:6:5:5:1:3:6:1:1:1:7:7:6:7:7:4:2:3:1:5:0:5:4:1:1:7:4:7:3:7:6:3:6:0:4:6:8:8:3:4:4:2:1:3:2:2:3:7:7:4:8:4:4:0:4:4:5:7:1:3:3:4:6:0:4:3:5:4:9:6:6:3:2:4:8:2:3:6:7:3:1:2:8:4:0:9:7:1:8:9:1:9:9:6:6:0:7:2:6:0:1:6:1:6:8:8:5:0:8:2:9
7,0,10,0,141,0:0:0:1:1:1:0:1:3:1:3:0:0:3:0:3:0:1:1:2:3:3:0:1:1:2:3:0:1:1:1:0:1:1:4:2:0:1:1:3:4:1:4:0:1:3:1:0:1:1:3:0:4:2:4:0:1:4:4:1:1:3:1:2:4:4:0:3:1:1:2:3:2:3:3:2:4:3:3:4:5:6:5:5:1:3:3:1:1:1:7:7:6:7:7:4:2:3:1:5:0:5:4:1:1:7:4:7:3:7:6:3:6:0:4:6:8:8:3:4:4:7:1:3:6:2:3:7:7:4:8:4:4:0:4:4:5:7:1:3:3:4:6:0:4:3:5:4:9:6:6:3:2:4:8:2:3:6:7:3:1:2:8:4:0:9:7:1:8:9:1:9:9:6:6:0:7:0:6:0:1:6:1:6:8:8:5:0:8:2:9
8,0,10,0,140,0:0:0:1:1:1:0:1:3:1:3:0:0:1:0:3:0:1:1:2:3:3:0:1:1:2:3:0:1:1:1:0:1:1:3:2:0:1:1:3:0:1:4:0:1:3:1:0:1:1:3:0:4:2:4:0:1:4:4:1:1:3:1:2:4:4:0:4:1:1:2:3:2:3:3:2:4:3:3:4:5:6:5:5:1:1:3:1:1:1:7:7:6:7:7:4:2:3:1:5:0:5:4:1:1:7:4:7:3:7:6:3:6:0:4:6:8:8:3:4:4:7:1:3:6:2:7:7:7:4:8:4:4:0:4:4:5:7:1:3:3:4:6:0:4:1:5:4:9:6:6:3:2:4:8:2:3:6:7:8:1:2:8:4:0:9:7:1:8:9:1:9:9:6:6:0:7:0:6:0:1:6:1:6:8:8:5:0:8:2:9
10,0,10,0,139,0:0:0:1:1:1:0:1:3:1:3:0:0:1:0:3:0:1:1:2:3:3:0:1:1:2:3:0:1:1:1:0:1:1:3:2:0:1:1:3:0:1:2:0:1:3:1:0:1:1:3:0:4:2:4:0:1:4:4:1:1:3:1:1:4:4:0:4:1:1:2:3:1:3:3:3:4:3:3:4:5:6:5:5:1:1:3:1:1:1:7:7:6:7:7:4:2:3:1:5:0:5:4:1:1:7:4:7:3:7:6:3:6:0:4:6:8:8:3:4:4:7:1:3:6:2:7:7:7:4:8:4:4:0:4:4:5:7:1:3:3:4:6:0:4:1:5:4:9:6:6:3:8:4:8:2:3:6:7:8:1:2:8:4:0:9:7:1:8:9:1:9:9:6:6:0:7:0:6:0:1:6:1:6:8:8:5:0:8:2:9
12,0,10,0,138,0:0:0:1:1:1:0:1:3:1:3:0:0:1:0:3:0:1:1:2:3:3:0:1:1:2:3:0:1:1:1:0:1:1:3:2:0:1:1:3:0:1:2:0:1:3:1:0:1:1:3:0:4:2:4:0:1:4:4:1:1:3:1:1:4:4:0:4:1:1:2:3:1:3:3:3:4:3:3:4:5:6:5:5:1:1:3:1:6:1:7:7:6:4:7:4:2:3:1:5:0:5:4:1:1:7:4:7:3:7:6:3:6:0:4:6:7:5:3:4:4:7:1:3:6:2:7:7:7:4:8:4:4:0:4:4:5:3:1:3:3:4:6:0:4:1:5:4:9:6:6:3:8:4:8:2:3:6:7:8:1:2:8:4:0:9:7:1:8:9:1:9:9:6:6:0:7:0:6:0:1:6:1:6:8:8:5:0:8:2:9
