#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 14:36:19,wvcp,p40,local_search,15,4984,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,11,0,5078,0:1:0:2:0:0:3:3:0:3:2:0:1:2:1:3:1:1:2:2:2:0:1:4:4:1:3:4:4:2:0:4:4:4:1:3:0:0:2:1:4:4:5:5:4:2:5:5:5:6:1:5:1:5:3:3:6:7:6:7:8:7:6:2:8:7:8:8:7:6:3:9:8:7:6:8:4:9:6:9:10:10:9:10
2,0,11,0,5055,0:1:0:3:0:0:2:3:0:3:2:0:1:2:1:3:1:1:2:2:2:0:1:4:4:1:3:4:4:2:0:4:4:4:1:3:0:0:2:1:4:4:5:5:4:2:5:5:5:6:1:5:1:5:3:3:6:7:6:7:8:7:6:2:8:7:8:8:7:6:3:9:8:7:6:8:4:9:6:9:2:10:9:10
7,0,11,0,5041,0:1:0:3:0:0:2:3:0:3:2:0:1:2:1:3:1:1:2:2:2:0:1:4:4:1:3:4:4:2:0:4:4:4:1:3:0:0:2:1:4:4:5:5:4:2:5:5:5:6:1:5:1:5:3:3:6:7:6:7:8:7:6:2:8:7:8:8:7:6:3:9:8:7:6:8:4:9:6:9:2:9:9:10
10,0,11,0,5037,0:1:0:3:0:0:2:3:0:3:2:0:1:2:1:3:1:1:2:2:2:0:1:4:4:1:3:4:4:2:0:4:4:4:1:3:0:0:2:1:4:4:5:5:4:2:5:5:5:6:1:5:1:5:3:3:6:7:6:6:7:7:6:2:8:5:8:8:7:6:3:9:8:7:6:8:4:9:6:9:2:9:9:10
12,0,11,0,5036,0:1:0:3:0:0:2:3:0:3:2:0:1:2:1:3:1:1:2:2:2:0:1:4:4:1:3:4:4:2:0:4:4:4:1:3:0:0:2:1:4:4:5:5:4:2:5:5:5:6:1:5:1:5:3:3:6:7:6:6:7:7:6:2:7:5:8:8:7:6:3:9:8:7:6:8:4:9:6:9:2:9:9:10
16,0,11,0,5034,0:1:0:3:0:0:2:3:0:3:2:0:1:2:1:3:1:1:2:2:2:0:1:4:4:1:3:4:4:2:0:4:4:4:1:3:0:0:2:1:4:4:5:5:4:2:5:5:5:6:1:5:1:5:3:3:6:7:6:6:7:7:6:2:7:5:7:8:7:6:3:9:8:7:6:8:4:9:6:9:2:9:9:10
17,0,11,0,5033,0:1:0:3:0:0:2:3:0:3:2:0:1:2:1:3:1:1:2:2:2:3:1:4:4:1:3:4:4:2:0:4:4:4:1:3:0:0:2:1:4:4:0:5:4:2:5:5:5:6:1:5:1:5:3:3:6:7:6:6:7:7:6:2:7:5:7:8:7:6:3:9:8:7:6:8:4:9:6:9:2:9:9:10
20,0,11,0,5024,0:1:0:3:0:0:2:3:0:3:2:0:1:2:1:3:1:1:2:2:2:3:1:4:4:1:3:4:4:2:0:4:4:4:1:3:0:0:2:1:4:4:0:5:4:2:5:5:5:6:1:5:1:5:3:3:6:7:6:6:7:7:6:2:7:5:7:3:7:6:3:9:8:7:6:8:4:9:6:9:2:9:9:10
23,0,11,0,5003,0:1:0:3:0:0:2:3:0:3:2:0:1:2:1:3:1:1:2:2:2:3:1:4:4:1:3:4:4:2:0:4:4:4:1:3:0:0:2:1:4:4:0:5:4:2:5:5:5:6:1:5:1:5:3:3:6:7:6:6:7:7:6:2:7:5:7:3:7:6:3:8:0:7:6:8:4:9:6:9:2:9:9:10
28,0,10,0,4997,0:1:0:3:0:0:2:3:0:3:2:0:1:2:1:3:1:1:2:2:2:3:1:4:4:1:3:4:4:2:0:4:4:4:1:3:0:0:2:1:4:4:0:5:4:2:5:5:5:6:1:5:1:5:3:3:6:7:6:6:7:7:6:2:7:5:7:3:7:6:3:8:0:7:6:8:4:9:6:9:2:9:9:6
686,0,10,0,4986,0:1:0:3:0:0:2:1:3:2:2:0:1:0:1:3:2:1:2:3:0:3:1:4:2:3:1:4:4:2:3:4:4:4:1:3:0:0:2:3:1:4:0:5:2:4:5:5:5:8:5:4:5:5:3:8:6:8:8:8:6:8:3:2:1:0:6:5:6:6:8:6:6:0:8:7:4:9:7:9:2:9:9:7
1125,1,10,0,4984,0:1:0:3:0:0:2:3:0:3:2:0:2:1:1:3:2:1:2:1:2:3:1:4:2:3:1:4:3:2:0:4:4:4:1:3:4:0:2:3:1:4:0:5:2:4:5:5:5:9:5:9:5:5:1:3:9:8:9:4:8:8:3:2:1:3:8:5:5:8:8:9:9:0:8:7:4:6:4:7:2:6:7:7
1125,1,10,0,4984,0:1:0:3:0:0:2:3:0:3:2:0:2:1:1:3:2:1:2:1:2:3:1:4:2:3:1:4:3:2:0:4:4:4:1:3:4:0:2:3:1:4:0:5:2:4:5:5:5:9:5:9:5:5:1:3:9:8:9:4:8:8:3:2:1:3:8:5:5:8:8:9:9:0:8:7:4:6:4:7:2:6:7:7
#2022-10-11 14:36:20
