#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 16:23:21,wvcp,queen11_11g,local_search,2,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,17,0,58,0:0:1:2:0:3:1:1:0:2:0:4:1:4:3:1:3:5:2:4:5:4:5:6:2:6:4:5:7:7:4:1:6:7:1:4:7:3:2:6:7:3:6:0:2:3:7:2:5:6:6:8:9:5:9:10:2:8:9:8:10:1:5:8:10:9:8:11:10:11:12:10:8:12:12:11:4:9:12:12:7:11:5:11:0:5:10:10:13:3:9:9:11:0:13:6:10:3:13:13:11:14:14:14:8:13:0:15:16:12:15:15:12:16:9:16:16:16:7:15:2
1,0,17,0,57,0:0:1:2:0:3:1:1:0:2:0:4:1:4:3:1:3:5:2:4:5:4:5:6:2:6:4:5:7:7:4:1:6:7:1:4:7:3:2:6:7:3:6:0:2:3:7:2:5:6:6:8:9:12:9:10:2:8:9:8:10:1:5:8:10:9:8:5:10:12:12:10:8:11:12:11:13:9:12:12:7:11:13:11:0:5:10:10:13:3:9:9:11:0:13:6:10:3:13:13:11:14:14:14:8:13:0:15:16:12:15:15:12:16:9:16:16:16:7:15:2
3,0,16,0,56,0:0:1:2:0:3:1:1:0:2:0:4:1:4:3:1:3:5:2:4:5:4:5:6:2:6:4:5:7:7:4:1:6:7:1:4:7:3:2:6:7:3:6:0:2:3:7:2:5:6:6:8:9:12:9:10:2:8:9:8:10:1:5:8:10:9:8:5:10:12:12:10:8:11:12:11:13:9:12:12:7:11:13:11:0:5:10:10:13:3:9:9:11:0:13:6:10:16:13:13:11:14:14:14:8:13:0:3:16:12:16:14:12:16:9:16:14:16:7:14:2
5,0,16,0,55,1:0:1:2:0:3:1:1:0:2:0:4:1:4:3:1:3:5:2:4:5:4:5:6:2:6:4:5:7:7:4:5:6:7:1:4:7:3:2:6:7:3:6:0:2:3:7:2:5:6:6:1:9:12:9:10:2:3:9:9:10:12:5:10:10:9:7:5:10:12:1:12:8:11:12:11:13:9:12:8:4:11:13:11:0:5:10:10:13:3:9:8:11:9:13:6:10:16:13:13:11:14:14:14:8:13:0:3:16:14:16:14:12:16:9:16:14:16:8:14:2
12,0,15,0,54,1:0:1:2:0:3:1:1:0:2:0:4:1:4:3:1:3:5:2:4:5:4:5:6:2:6:4:5:7:7:4:5:6:7:1:4:7:3:2:6:7:3:6:0:2:3:7:2:5:6:6:1:9:12:9:10:2:3:9:9:10:12:5:10:10:9:7:5:10:12:1:12:8:11:12:11:13:9:12:8:4:11:13:8:0:5:10:10:13:3:9:8:8:9:13:6:10:3:13:13:11:16:10:11:8:13:0:8:16:16:16:11:12:0:9:16:11:11:8:0:2
46,0,15,0,53,1:0:1:2:0:3:1:1:0:2:0:4:1:4:3:1:3:5:2:4:5:4:5:6:2:6:4:5:7:7:4:5:6:7:1:4:7:3:2:6:7:3:6:0:2:3:7:2:5:6:6:1:9:7:9:10:2:3:9:9:10:12:5:10:10:9:7:5:10:12:1:12:8:12:12:12:13:9:12:8:4:8:13:8:0:5:10:10:13:3:9:8:8:9:13:6:10:3:13:13:11:16:10:11:4:13:0:8:16:16:16:11:12:0:9:16:11:11:8:0:2
111,0,15,0,52,0:1:0:5:1:2:4:1:1:2:5:4:0:3:4:2:3:3:1:5:5:2:6:7:7:6:2:4:7:2:0:1:4:3:0:4:7:3:2:6:7:3:6:0:4:3:7:0:5:1:1:5:3:7:10:6:5:10:12:10:7:12:6:6:12:12:10:5:12:6:2:4:8:12:9:12:13:9:12:8:0:8:13:8:0:5:10:9:13:1:9:8:8:9:10:4:10:3:13:13:11:16:16:11:11:13:13:8:16:16:16:16:12:11:9:16:11:11:8:0:12
247,0,14,0,51,0:1:0:5:1:2:4:1:1:2:5:4:0:3:4:2:3:3:1:5:5:2:6:7:7:6:2:4:7:2:0:1:4:3:0:4:7:3:2:6:7:3:6:0:4:3:7:0:5:1:1:5:3:7:10:6:5:10:12:10:7:12:6:6:12:12:10:5:12:6:2:4:8:12:11:12:13:11:12:8:0:8:13:8:0:5:10:11:13:1:11:8:8:10:10:4:10:3:2:13:9:13:11:11:9:2:13:8:13:13:9:11:12:9:9:9:8:9:8:0:12
250,0,14,0,50,2:0:2:0:5:4:2:4:1:3:5:1:0:3:4:2:2:3:1:5:1:3:6:7:0:4:1:6:7:3:1:5:7:3:2:6:4:7:7:7:1:6:4:6:4:7:7:0:5:0:0:2:10:7:10:3:5:6:12:10:0:12:0:4:12:12:10:5:12:6:2:10:11:12:11:12:6:11:12:11:13:0:13:10:11:5:3:0:13:6:11:3:5:11:10:4:5:9:8:13:9:13:8:6:9:10:5:8:13:13:9:8:12:9:9:9:8:9:11:1:12
1442,5,13,0,49,16:16:8:0:3:16:0:8:5:0:8:5:3:11:5:8:11:11:16:3:16:5:11:9:9:1:5:0:2:5:3:2:1:11:0:1:5:16:16:3:8:2:2:1:0:9:9:3:3:9:3:8:1:9:9:13:3:3:11:9:8:16:1:13:2:2:13:8:8:16:2:0:13:10:10:1:2:1:0:13:5:13:0:13:10:10:11:13:10:1:2:5:11:1:0:13:3:12:5:6:11:6:2:6:12:8:12:9:10:6:12:6:10:12:12:10:6:10:8:6:16
