#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 19:29:52,wvcp,queen11_11gb,local_search,11,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,18,0,215,0:0:1:1:0:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:4:5:5:6:4:5:3:4:6:5:3:5:2:5:7:6:2:7:7:8:7:2:1:6:1:4:5:8:8:0:8:7:7:9:10:10:3:6:8:9:10:0:10:9:11:9:10:9:11:8:11:7:6:6:5:12:12:10:8:1:13:3:12:12:11:13:6:3:9:13:13:13:14:14:14:1:15:14:12:16:7:16:0:11:13:16:15:16:9:10:7:14:14:16:4:17:16:17:17
1,0,18,0,214,0:0:1:1:0:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:4:5:1:5:4:5:3:4:6:5:3:7:2:5:7:6:2:7:7:8:7:2:1:6:1:4:5:8:8:0:8:7:7:9:10:10:3:6:8:9:10:0:10:9:11:9:10:9:11:8:11:7:6:6:12:12:12:10:8:1:13:3:12:12:11:13:6:3:9:13:13:13:14:14:14:6:15:14:12:16:7:16:0:11:13:16:15:16:9:10:7:14:14:16:4:17:16:17:17
2,0,18,0,213,0:0:1:1:0:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:4:5:1:5:4:3:3:4:6:0:3:7:2:5:7:6:2:7:7:8:7:2:1:6:1:4:5:8:8:4:8:7:7:9:10:10:3:6:8:9:10:0:10:9:5:9:10:9:0:8:11:7:6:6:12:12:12:10:8:1:13:3:12:12:11:13:6:5:9:13:13:13:14:14:14:6:15:14:12:16:7:16:15:11:13:16:15:16:9:10:7:14:14:16:4:17:16:17:17
5,0,17,0,212,0:0:1:1:0:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:4:5:1:5:4:3:3:4:6:0:3:7:2:5:7:6:2:7:7:8:7:2:1:6:1:4:5:8:8:4:8:7:7:9:10:4:3:6:8:9:10:0:10:9:5:9:10:9:0:8:11:7:6:6:12:12:12:10:8:1:13:3:12:12:8:13:6:5:9:13:13:13:14:14:14:6:15:14:12:16:7:16:15:11:13:16:15:16:9:10:7:14:14:16:4:11:16:13:5
6,0,17,0,211,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:4:5:1:0:4:3:3:4:6:0:3:5:2:5:7:6:6:7:7:8:7:2:1:6:1:4:5:8:8:4:8:7:7:9:10:4:3:6:8:9:10:0:10:9:5:9:10:9:0:8:11:7:2:6:12:12:12:10:8:1:13:3:12:12:8:13:6:5:9:13:13:13:14:14:14:6:15:14:12:16:7:16:15:11:13:16:15:16:9:10:7:14:14:16:4:11:16:13:5
7,0,17,0,210,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:4:5:1:0:4:3:3:4:6:0:3:5:2:5:7:6:6:7:7:8:7:2:1:6:1:4:5:8:8:4:8:7:7:9:10:4:3:6:8:9:10:0:10:9:5:9:10:9:0:8:11:7:2:6:12:12:12:10:8:1:13:3:12:12:8:13:6:5:9:13:13:13:14:14:14:6:11:14:12:16:7:16:15:15:13:16:15:16:9:10:7:14:14:16:4:11:16:13:5
8,0,17,0,209,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:5:5:1:0:4:3:3:4:4:0:3:5:2:5:7:6:6:7:7:8:7:2:1:6:1:4:5:8:8:4:8:7:7:9:10:10:3:6:8:9:10:0:10:9:5:9:10:9:0:8:11:7:2:6:12:12:12:10:8:1:13:3:12:12:8:13:6:11:9:13:13:13:14:14:14:6:11:14:12:16:7:16:15:15:13:16:15:16:9:10:7:14:14:16:4:11:16:13:5
10,0,17,0,208,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:5:5:1:0:4:3:3:4:4:0:3:5:2:5:7:0:6:7:7:8:7:2:1:6:1:4:5:8:8:4:8:7:7:9:10:10:3:6:8:9:10:0:10:9:5:9:10:9:0:8:11:7:2:6:12:12:12:10:8:1:13:3:12:12:8:13:6:11:9:13:13:13:14:11:14:6:11:14:12:14:7:0:15:15:13:16:15:16:9:10:7:14:14:16:4:11:16:13:5
11,0,17,0,207,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:5:5:1:0:4:3:3:4:4:0:3:5:2:5:7:0:6:7:7:8:7:2:1:6:1:4:5:8:8:4:8:7:7:6:10:10:3:6:8:1:10:0:10:9:5:9:10:9:0:8:11:7:2:6:12:12:12:10:8:9:13:3:12:12:8:13:6:11:9:13:13:13:14:11:14:6:11:14:12:14:7:0:15:15:13:16:15:16:9:10:7:14:14:16:4:11:16:13:5
12,0,17,0,206,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:5:5:1:0:4:3:3:4:4:0:3:7:2:5:7:0:5:7:7:8:7:2:1:6:1:4:5:8:8:4:8:7:7:6:10:10:3:6:8:1:10:0:10:9:5:9:10:9:0:8:11:7:2:6:12:12:12:10:8:9:13:3:12:12:8:13:6:11:9:13:13:13:14:11:14:6:11:14:12:14:7:0:15:15:13:16:15:16:9:10:7:14:14:16:4:11:16:13:15
15,0,17,0,205,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:5:5:1:0:4:3:3:4:4:0:3:7:2:5:7:0:5:7:7:8:7:2:1:6:1:4:5:8:8:4:8:7:7:6:10:10:3:6:8:1:10:0:10:9:5:9:10:9:0:8:11:7:2:6:12:12:12:10:8:9:13:3:12:12:8:13:6:11:9:13:13:13:14:11:14:6:11:14:12:14:7:0:15:15:13:12:15:16:9:10:7:14:14:16:4:11:16:13:15
16,0,17,0,204,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:5:5:1:0:4:3:3:4:4:0:4:7:2:5:7:0:5:7:7:8:7:2:1:6:1:4:5:8:8:4:8:7:7:6:10:10:3:6:8:1:10:0:10:9:5:9:10:9:0:8:11:7:2:6:12:12:12:10:8:9:13:3:12:12:8:13:6:11:9:13:13:13:3:11:13:6:11:10:12:14:7:0:15:15:13:12:15:16:9:10:7:14:14:16:16:11:16:13:15
17,0,17,0,203,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:5:5:1:5:4:3:3:4:4:0:4:7:2:5:7:0:0:7:7:5:7:2:1:6:1:4:5:8:8:4:8:7:7:6:10:8:3:10:8:1:10:0:10:9:5:9:10:9:6:8:11:7:2:6:12:12:12:5:11:9:13:3:12:12:8:13:6:11:9:13:13:13:3:11:13:6:11:10:12:14:7:0:15:15:13:12:15:16:9:14:7:14:14:16:16:11:16:13:15
18,0,17,0,202,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:5:5:1:5:4:3:3:4:4:0:4:7:2:5:7:0:0:7:7:5:7:2:1:6:1:4:5:8:8:4:8:7:7:6:10:8:3:10:8:1:10:0:10:9:5:9:10:9:6:8:11:7:2:6:11:12:12:5:11:9:13:3:12:10:8:13:6:11:9:13:13:13:3:11:13:6:11:10:12:14:7:0:15:15:13:12:15:12:9:14:7:14:14:16:16:11:16:13:15
20,0,17,0,201,0:0:1:1:0:2:1:0:2:2:1:0:2:1:2:2:4:4:4:0:4:3:5:5:3:5:0:3:3:3:4:7:4:7:2:5:7:1:2:7:0:5:7:2:3:6:1:4:5:8:8:3:8:7:7:6:10:8:6:10:8:1:10:6:10:9:5:9:10:9:6:8:11:7:4:6:11:12:12:5:11:9:13:4:12:10:8:13:6:11:9:13:13:13:3:11:13:6:11:10:12:14:7:14:15:15:13:12:15:12:9:14:14:14:14:16:16:11:16:13:15
23,0,16,0,198,0:0:1:1:0:2:1:0:2:2:1:0:2:1:2:2:4:4:4:0:4:3:5:5:3:5:0:3:3:3:4:7:4:7:2:5:7:1:2:7:0:5:7:2:3:6:1:4:5:5:8:3:8:7:7:6:10:8:6:10:8:1:10:6:10:9:5:9:10:9:6:8:9:7:4:6:11:12:12:5:11:9:13:4:12:10:8:13:6:11:9:13:13:13:3:11:13:6:11:10:12:14:7:14:15:15:13:12:15:12:9:14:14:14:14:14:13:11:11:13:15
31,0,16,0,197,0:0:1:1:0:2:1:0:2:2:1:0:2:1:2:2:4:4:4:0:4:3:5:5:3:5:0:3:3:3:4:7:4:7:2:5:7:1:2:7:0:5:7:2:3:6:1:4:5:5:8:3:8:7:7:6:10:8:6:10:8:1:10:6:10:9:5:9:10:9:6:8:9:7:4:6:11:12:3:5:11:9:13:4:13:10:8:13:6:11:9:13:13:13:3:11:13:6:11:10:12:14:7:14:12:15:13:15:15:12:9:14:14:14:14:14:13:11:11:13:15
36,0,16,0,196,0:0:1:1:0:2:1:0:2:2:1:0:2:1:2:2:4:4:4:0:4:3:5:5:3:5:0:3:3:3:4:7:4:7:2:5:7:1:2:7:0:5:7:2:3:6:1:4:5:5:8:3:8:7:7:6:10:8:6:10:8:1:10:6:10:9:5:9:10:9:6:8:9:7:4:6:11:12:3:5:11:9:12:4:13:10:8:13:6:11:9:13:13:13:3:11:13:6:11:10:12:14:7:14:12:15:13:14:15:12:9:14:14:14:14:14:13:11:11:13:15
58,0,16,0,195,0:0:1:1:0:2:1:0:2:2:1:0:2:1:2:2:4:4:4:0:4:3:5:5:3:5:0:3:3:3:4:7:4:7:2:5:7:1:2:7:0:5:7:2:3:6:1:4:5:5:8:3:8:7:7:6:10:8:6:10:8:1:10:6:10:9:5:9:10:9:6:8:9:7:4:6:8:12:3:5:12:9:12:4:13:10:8:13:6:11:9:13:13:13:3:11:13:6:11:10:12:14:7:14:12:15:13:14:15:12:9:14:14:14:14:14:13:11:11:13:15
65,0,16,0,194,0:0:1:1:0:2:1:0:2:2:1:0:2:1:2:2:4:4:4:0:4:3:5:5:3:5:0:3:3:3:4:7:4:7:2:5:7:1:2:7:0:5:7:2:3:6:1:4:5:5:8:3:8:7:7:6:10:8:6:10:8:1:10:6:10:9:5:10:10:9:6:8:9:7:4:6:8:12:3:5:12:9:12:4:13:10:8:13:6:11:9:13:13:13:3:11:13:6:11:10:12:14:7:14:12:9:13:14:15:12:9:14:14:14:14:14:13:11:11:13:15
