#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 17:22:37,wvcp,queen13_13,local_search,13,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,21,0,237,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:5:5:3:3:4:6:5:5:4:6:2:7:6:4:7:5:2:6:8:8:8:7:1:4:4:7:4:8:8:0:4:7:7:6:8:3:6:9:9:10:9:0:9:6:10:10:10:1:6:11:11:12:6:8:11:11:12:11:13:9:1:7:11:13:0:13:12:10:9:14:14:6:3:3:14:13:13:12:9:5:10:12:10:12:2:11:4:15:14:15:3:15:13:12:14:14:8:14:16:15:11:13:0:8:10:15:17:16:15:17:16:2:17:16:10:13:7:1:13:5:17:14:15:18:5:16:19:13:11:7:19:18:19:20:19:18:15:19:16:17:20:19:9
1,0,21,0,236,0:0:0:1:1:2:2:3:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:5:5:1:1:4:6:5:5:6:6:2:7:6:4:7:5:2:6:8:8:5:7:1:4:4:7:4:8:8:0:4:1:7:6:8:3:6:8:12:10:4:0:12:6:10:10:10:8:6:11:11:3:7:4:11:11:12:11:13:9:9:7:11:13:0:13:12:10:9:14:14:14:3:3:14:13:13:12:9:5:10:12:10:12:2:11:4:15:14:15:3:15:13:12:14:14:14:14:16:15:11:13:0:8:10:15:17:16:15:17:16:2:17:16:10:13:7:1:13:5:17:14:15:18:8:16:19:13:11:6:19:18:19:20:19:18:15:19:16:17:20:19:9
3,0,21,0,235,0:0:0:1:1:2:2:3:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:5:5:1:1:4:6:5:5:6:6:2:7:6:4:7:5:2:6:8:8:5:7:1:4:4:7:4:8:8:0:4:1:7:6:8:3:6:8:12:10:4:0:12:6:10:10:10:8:6:11:11:3:7:4:11:11:12:11:13:9:9:7:11:13:0:13:12:10:9:14:14:14:3:3:14:13:13:12:9:5:10:12:10:12:2:11:4:15:14:15:3:15:13:12:14:14:14:14:16:9:11:13:0:8:10:15:17:16:15:17:16:2:17:16:10:13:7:1:13:5:17:14:15:18:8:16:15:13:11:6:9:18:19:20:19:18:15:19:16:17:20:19:9
4,0,21,0,234,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:5:5:6:3:4:6:5:5:4:6:2:7:6:4:7:5:3:6:8:8:5:7:1:4:4:7:4:8:8:0:4:1:7:1:6:3:6:8:12:10:1:0:12:1:10:10:10:8:6:8:11:3:7:4:11:11:12:11:13:9:9:7:11:13:8:13:12:10:9:14:14:14:3:3:14:13:13:12:9:5:10:12:10:12:2:11:4:15:14:15:3:15:13:12:14:14:14:14:16:9:11:13:7:8:10:15:17:16:15:17:16:2:17:16:10:13:7:9:13:5:17:14:15:18:8:16:15:13:11:6:9:18:19:20:19:18:15:19:16:17:20:19:9
7,0,20,0,233,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:5:5:6:3:4:6:5:5:4:6:2:7:6:4:7:5:3:6:8:8:5:7:1:4:4:7:4:8:8:0:4:1:7:1:6:3:6:8:12:10:1:0:12:1:10:10:10:8:6:8:11:3:7:4:11:11:12:11:13:9:9:7:11:13:8:13:12:10:5:14:14:14:3:3:14:13:13:12:9:5:10:12:10:12:2:11:4:15:14:15:3:15:13:12:14:14:14:14:16:2:11:13:7:8:10:15:17:16:15:17:16:2:17:16:10:13:7:9:13:5:17:14:15:18:8:16:15:13:11:6:9:18:9:20:18:20:15:18:16:17:20:16:9
8,0,19,0,232,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:5:5:6:3:4:6:5:5:4:6:2:7:6:4:7:5:3:6:8:8:5:7:1:4:4:7:4:8:8:2:4:1:7:1:6:3:6:8:12:10:1:0:12:1:10:10:10:8:6:8:11:3:7:4:11:11:12:11:13:9:9:7:11:13:8:13:12:10:5:14:14:14:3:3:14:13:13:12:9:5:10:12:10:12:2:11:4:15:14:15:3:15:13:12:14:14:14:14:16:2:11:13:7:8:10:15:17:16:15:17:16:2:17:16:10:13:7:17:13:5:17:14:15:18:8:16:15:13:11:6:9:18:9:0:18:9:15:18:16:17:11:16:9
15,0,19,0,231,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:5:5:6:3:4:6:5:5:4:6:2:7:6:4:7:5:3:6:8:8:5:7:1:4:4:7:4:8:8:2:4:1:7:1:6:3:6:8:12:10:1:0:12:1:10:10:10:8:6:8:11:3:7:4:11:11:12:11:13:9:9:7:11:13:8:13:12:10:5:14:14:14:3:3:14:13:13:12:9:5:10:12:10:12:2:11:4:15:14:15:3:15:13:12:14:14:14:14:9:2:11:13:7:8:10:15:17:16:15:17:16:2:17:16:10:13:7:17:13:5:17:14:15:18:8:16:15:13:11:6:9:18:9:0:18:16:15:18:16:17:11:16:9
21,0,19,0,230,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:5:5:6:3:4:6:5:5:4:6:2:7:6:4:7:5:3:6:8:8:5:7:1:4:4:7:4:8:8:2:4:1:7:1:6:3:6:8:12:10:1:0:12:1:10:10:10:8:6:8:11:3:7:4:11:11:12:11:13:9:9:7:11:13:8:13:12:10:5:14:10:14:3:3:14:13:13:12:9:5:10:12:10:12:2:11:4:15:14:15:3:15:13:12:14:14:14:14:9:2:11:13:7:8:10:15:17:16:15:17:16:2:17:16:10:13:7:17:13:5:17:14:15:9:8:16:15:13:11:6:16:17:18:0:18:16:15:18:16:17:11:16:9
23,0,19,0,229,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:0:5:6:3:4:6:5:5:4:6:2:7:6:4:7:5:3:6:8:8:5:7:1:4:4:7:4:8:8:2:4:1:7:1:6:3:6:8:12:10:1:0:12:1:10:10:10:8:6:8:11:3:7:4:11:11:12:11:13:14:7:7:11:13:8:13:12:10:5:14:10:14:3:3:14:13:13:12:9:5:10:12:10:12:2:11:4:15:0:15:3:15:13:12:14:14:14:14:9:2:11:13:7:8:10:15:17:16:15:17:16:2:17:16:10:13:7:17:13:5:17:14:15:9:8:16:15:13:11:6:16:17:18:0:18:16:15:18:16:17:11:16:9
25,0,19,0,228,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:0:5:6:3:4:6:5:5:4:6:2:7:6:4:7:5:3:6:8:8:5:7:1:4:4:7:4:8:8:2:4:1:7:1:6:3:6:8:12:10:1:0:12:1:10:10:10:8:6:8:11:3:7:4:11:11:12:11:13:14:7:7:11:13:8:13:12:10:5:14:10:14:3:3:14:13:13:6:9:5:10:12:10:12:2:11:4:15:0:15:3:15:13:12:14:14:14:14:9:2:11:13:7:8:10:15:17:12:15:17:16:2:17:9:10:13:7:17:13:5:17:14:15:9:8:16:15:13:11:7:16:17:18:0:18:16:15:18:16:17:11:16:9
31,0,18,0,227,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:0:5:6:3:4:6:5:5:4:6:2:7:6:4:7:5:3:6:8:8:5:7:1:4:4:7:4:8:8:2:4:1:7:1:6:3:6:8:12:10:1:0:12:1:10:10:10:8:6:8:11:3:7:4:11:11:12:11:13:14:7:7:11:13:8:13:12:10:5:14:10:14:3:3:14:13:13:6:9:5:10:12:10:13:2:11:4:15:0:15:3:15:13:12:14:14:14:14:9:2:11:9:7:8:10:15:17:12:15:17:16:2:17:9:10:13:7:17:13:5:17:14:15:9:8:16:15:15:11:7:16:17:12:0:13:16:15:16:16:17:11:16:9
32,0,18,0,226,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:0:5:6:3:4:6:5:5:4:6:2:7:6:4:7:5:3:6:8:8:5:7:1:4:4:7:4:8:8:2:4:1:7:1:6:3:6:8:12:10:1:0:12:1:10:10:10:8:6:8:11:3:7:4:11:11:12:11:13:14:7:7:11:13:8:13:12:10:5:14:10:14:3:3:14:13:13:6:15:5:10:12:10:13:2:11:4:15:0:15:3:15:13:12:14:14:14:14:9:2:11:9:7:8:10:9:17:12:15:17:16:2:17:9:10:13:7:17:13:5:17:14:15:9:8:16:15:15:11:7:16:17:12:0:13:16:15:16:16:17:11:16:9
36,0,18,0,225,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:0:5:6:3:4:6:5:5:4:6:2:7:6:4:0:5:3:6:8:8:5:7:1:4:4:7:4:8:8:2:4:1:7:1:6:3:6:8:12:10:1:0:12:1:5:10:10:8:6:8:11:3:7:4:11:11:12:11:13:14:7:7:11:13:8:13:12:10:5:14:10:14:3:3:14:13:13:6:15:5:10:12:10:13:2:11:4:15:0:15:3:15:13:12:14:14:14:14:7:2:11:10:7:8:10:9:17:12:15:12:16:2:17:9:10:13:7:17:13:5:17:14:15:9:8:16:15:15:11:7:16:17:12:17:13:16:15:16:16:9:11:16:9
45,0,18,0,224,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:0:5:6:3:4:6:5:5:4:6:2:7:6:4:0:5:3:6:8:8:5:7:1:4:4:7:4:8:8:2:4:1:7:1:6:3:6:8:12:10:1:0:8:1:5:10:10:8:6:8:11:3:7:4:11:11:3:11:13:12:7:7:11:13:8:13:12:10:5:14:10:14:12:3:14:13:13:6:15:5:10:12:10:13:2:11:4:14:0:4:3:15:13:12:14:14:14:14:7:2:11:10:7:2:10:9:17:12:9:12:16:2:17:9:10:13:7:17:13:5:17:14:15:9:15:16:15:15:11:7:16:17:12:17:13:16:15:16:16:9:11:16:9
49,0,18,0,223,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:0:5:6:3:4:6:5:5:4:6:2:7:6:4:0:5:3:6:8:8:5:7:1:4:4:7:4:8:8:2:4:7:7:1:6:3:6:8:12:10:1:0:8:1:5:10:10:8:6:8:11:3:6:4:11:11:3:11:13:12:1:7:11:13:8:13:12:10:5:14:10:14:12:3:14:13:13:6:15:5:10:12:10:13:2:11:4:14:14:4:3:15:13:12:14:14:14:14:7:2:11:10:0:2:10:11:17:12:7:12:16:2:17:9:10:13:7:17:13:5:17:14:15:9:15:16:15:15:9:7:16:17:12:17:13:16:15:16:16:9:11:16:9
50,0,18,0,222,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:1:5:0:5:6:3:4:6:5:5:4:6:2:7:6:4:0:5:3:6:8:8:5:7:1:4:4:7:4:8:8:2:4:7:7:1:6:3:6:8:12:10:1:0:8:1:5:10:10:8:6:8:11:3:6:4:11:11:3:11:13:12:1:7:11:13:8:13:12:10:5:14:10:14:12:3:14:13:13:6:15:5:10:12:10:13:2:11:4:14:14:4:3:15:13:12:14:14:14:14:7:2:11:10:0:2:10:11:17:12:7:12:9:2:17:9:10:13:7:17:13:5:17:14:15:9:15:16:15:15:0:7:16:17:12:17:13:16:15:16:16:9:11:16:17
58,0,18,0,221,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:3:5:0:5:6:3:4:6:5:5:4:6:2:7:6:4:0:5:3:6:8:8:5:7:1:4:4:7:4:8:8:2:4:7:7:1:6:3:6:8:12:10:1:0:8:1:5:10:10:8:6:8:11:3:6:4:12:11:3:11:13:12:1:7:11:13:0:13:12:10:5:14:10:14:12:3:14:13:13:6:15:5:10:12:10:13:2:11:4:14:14:4:12:15:11:1:14:14:14:14:7:2:11:10:0:2:10:11:17:12:7:8:9:2:17:9:10:13:7:17:13:5:17:14:15:9:15:13:15:15:8:7:13:17:12:17:13:16:15:16:16:9:11:16:17
61,0,17,0,220,0:0:0:1:1:2:2:1:2:0:2:2:1:3:3:3:0:1:3:4:2:4:0:5:3:5:0:5:6:3:4:6:5:5:4:6:2:7:6:4:0:5:3:6:8:8:5:7:1:4:4:7:4:8:8:2:4:7:7:1:6:3:6:8:12:10:1:0:8:1:5:10:10:8:6:8:11:3:6:4:12:11:3:11:13:12:1:7:11:13:0:13:12:10:5:14:10:14:12:3:14:13:13:6:15:5:10:12:10:13:2:11:4:14:14:4:12:15:11:1:14:14:14:14:7:2:11:10:0:2:10:11:17:12:7:8:9:2:17:9:10:13:7:17:13:5:17:14:15:9:15:13:15:11:8:7:13:17:12:17:13:9:15:9:15:8:11:15:17
388,1,17,0,219,0:0:0:1:1:2:2:1:2:0:2:1:1:3:2:3:0:6:3:7:2:7:0:6:3:6:3:5:7:3:4:4:5:5:5:6:2:4:6:4:0:1:3:6:16:5:5:8:1:1:16:4:8:16:6:2:4:7:2:7:1:8:8:12:12:16:8:0:12:6:5:5:8:4:6:5:8:3:1:1:12:7:3:15:8:12:1:5:7:16:0:10:16:12:5:12:10:12:10:16:14:16:4:6:10:15:0:15:10:16:2:15:8:14:14:10:11:11:7:14:4:14:14:14:16:2:7:11:0:2:10:11:12:12:3:3:12:11:15:16:10:13:11:14:13:11:13:14:13:9:7:9:10:9:6:4:13:13:7:10:13:9:15:13:13:4:15:16:9
396,1,17,0,217,0:0:0:1:1:2:2:1:2:0:2:1:1:3:2:3:0:6:3:7:2:7:0:6:3:6:3:5:7:3:4:4:5:5:5:6:2:4:6:4:0:1:3:6:16:5:5:7:1:1:16:4:7:16:6:2:4:7:2:1:8:8:8:12:12:16:8:0:12:6:5:5:8:4:8:5:8:3:1:7:12:7:3:15:8:12:1:5:15:16:0:10:16:10:5:12:10:12:10:16:14:16:4:6:10:15:0:15:10:16:2:15:8:14:14:10:11:11:7:14:4:14:14:14:16:2:15:11:0:2:10:11:12:12:3:3:12:11:8:16:10:13:11:14:13:11:13:14:13:9:7:9:10:9:6:4:13:13:7:10:13:9:15:13:13:4:15:16:9
411,1,17,0,216,0:0:0:1:1:2:2:1:2:0:2:1:1:3:2:3:0:6:3:7:2:7:0:6:3:6:3:5:7:3:4:4:5:5:5:6:2:4:6:4:0:1:3:6:16:5:5:7:1:1:16:4:7:16:6:2:4:7:2:1:8:8:8:12:12:16:8:0:12:6:5:5:8:4:8:5:8:3:1:7:12:7:3:15:8:12:1:5:15:16:0:10:16:10:5:12:10:8:10:16:14:16:4:6:10:15:0:15:10:16:2:15:8:14:14:10:11:11:7:14:4:14:14:14:16:2:15:11:0:2:10:11:11:12:3:3:12:11:8:16:10:13:11:14:13:11:13:14:13:15:7:12:10:1:6:4:13:13:7:10:13:9:15:13:13:4:15:16:9
434,1,17,0,215,0:0:0:1:1:2:2:1:2:0:2:1:1:3:2:3:0:6:3:7:2:7:0:6:3:6:0:5:7:3:4:4:5:5:5:6:2:4:6:4:0:1:3:6:16:5:5:7:1:1:16:4:7:16:6:2:4:7:2:1:8:3:8:12:12:16:8:0:12:6:5:5:8:4:8:5:8:3:1:7:12:12:3:15:8:12:1:5:15:16:0:10:16:10:5:12:10:12:10:16:14:16:4:6:10:15:0:15:10:16:2:15:8:14:14:10:11:11:7:14:4:14:14:14:16:2:15:11:0:2:10:11:11:12:3:8:12:11:8:16:10:8:11:14:7:11:12:14:13:15:7:13:10:1:6:4:13:13:9:10:13:9:15:13:13:4:15:16:9
3773,17,17,0,214,2:2:1:16:1:16:1:13:16:2:16:16:13:5:1:2:5:6:5:13:16:1:1:6:5:6:1:0:5:1:12:2:0:6:0:2:13:12:6:12:2:12:5:6:16:13:0:0:6:16:12:4:0:4:6:4:12:9:13:16:17:5:0:9:2:4:17:1:13:6:5:4:17:9:9:9:17:0:2:4:12:17:0:5:17:12:8:8:17:7:9:4:0:7:13:8:6:13:4:2:5:17:7:6:7:9:9:2:7:8:16:8:8:8:7:5:12:3:8:3:7:7:4:1:0:3:3:16:5:2:10:3:3:13:10:4:9:13:9:9:7:11:3:8:11:9:1:12:11:5:17:11:10:7:1:10:11:11:4:12:3:14:10:6:14:16:11:14:8
3775,17,16,0,213,2:2:1:16:1:16:1:13:16:2:16:16:13:5:1:2:5:6:5:13:16:1:1:6:5:6:1:0:5:1:12:12:0:6:0:2:13:12:6:12:2:12:5:6:16:13:0:0:6:16:12:4:0:4:6:4:12:9:13:16:17:5:0:9:2:4:17:1:13:6:5:4:17:9:9:9:17:0:2:4:12:17:0:5:17:7:8:8:17:7:9:4:0:2:13:8:6:13:4:2:5:17:12:6:7:9:9:2:7:7:16:8:8:8:3:5:12:3:7:8:3:8:4:1:0:3:3:16:5:2:7:3:3:13:10:4:9:13:9:9:7:11:11:8:11:9:1:7:10:5:17:11:10:10:1:10:11:11:4:11:3:11:10:6:3:16:11:10:8
3776,17,16,0,212,2:2:1:16:1:16:1:13:16:2:16:16:13:5:1:2:5:6:5:13:16:1:1:6:5:6:1:0:5:1:12:12:0:6:0:2:13:12:6:12:2:12:5:6:16:13:0:0:6:16:12:4:0:4:6:12:12:9:13:16:4:5:0:9:2:4:17:1:13:6:5:4:17:9:9:9:17:0:2:4:12:4:0:5:17:7:8:8:17:7:9:17:0:2:13:8:6:13:4:2:5:17:12:6:7:9:9:2:7:7:7:8:8:8:3:5:12:3:7:8:3:8:4:17:0:3:3:16:5:2:7:3:3:13:10:4:9:13:9:9:7:11:11:8:11:9:1:7:10:5:17:11:10:10:1:10:11:11:4:11:3:11:10:6:3:16:11:10:8
4538,21,16,0,211,2:2:1:16:1:16:1:13:16:2:16:16:13:5:1:2:5:12:5:13:16:1:1:12:5:12:1:15:5:1:12:6:6:15:0:2:13:12:15:4:2:12:5:0:16:13:15:0:6:16:6:4:0:4:12:0:12:15:13:16:15:5:0:0:4:6:15:1:13:15:5:4:6:6:15:1:6:0:2:12:6:4:0:5:2:4:8:0:15:8:2:8:8:2:13:7:7:13:9:2:5:17:12:15:7:9:9:2:7:8:16:9:6:8:17:5:17:9:7:8:9:17:4:17:6:17:6:16:5:2:7:8:8:13:9:4:9:13:9:9:11:10:11:8:17:11:7:10:10:5:11:10:10:10:1:0:10:8:4:11:17:11:8:7:9:16:10:7:11
7260,33,17,0,210,17:1:17:4:0:17:17:0:4:17:1:4:1:0:1:4:17:0:17:5:4:5:0:4:4:1:5:13:12:5:1:12:13:13:5:12:5:1:12:5:7:0:4:4:12:7:5:7:0:4:12:7:5:7:0:1:4:7:0:6:13:6:12:6:2:17:2:1:6:2:2:5:2:12:12:16:5:13:16:7:13:7:6:1:16:0:6:16:6:12:6:8:17:13:13:8:9:13:9:1:13:16:16:2:6:9:17:8:8:8:16:8:15:3:2:9:15:3:16:3:9:13:2:8:12:9:0:16:6:8:14:7:14:12:15:7:9:4:16:9:9:17:7:8:14:2:0:15:3:9:13:3:15:3:15:3:14:14:6:15:2:11:8:11:11:14:14:11:16
7271,33,17,0,209,17:1:17:4:0:17:17:0:4:17:1:4:1:0:1:4:17:0:17:5:4:5:0:4:4:1:5:13:12:5:1:12:13:13:5:12:5:1:12:5:7:0:4:4:12:7:5:7:0:4:12:7:5:7:0:1:4:7:0:6:13:6:12:6:2:17:2:1:6:2:2:5:2:12:12:16:5:13:16:7:13:7:6:1:16:0:6:16:6:12:6:8:17:13:13:8:9:13:9:1:13:16:16:2:6:9:17:8:8:8:16:8:15:15:2:9:15:14:16:8:9:13:2:8:12:9:0:16:6:8:14:7:14:12:15:7:9:4:16:9:9:17:7:8:3:2:0:15:3:9:13:3:15:3:15:3:14:3:6:15:2:11:8:11:11:14:14:11:16
