#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 18:18:54,wvcp,zeroin.i.3,local_search,7,298,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,ilsts,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,31,0,306,0:1:2:3:3:3:3:3:3:4:4:4:3:3:4:5:6:0:3:4:7:7:6:2:3:3:1:3:8:8:4:3:9:4:5:10:10:4:3:11:12:9:10:9:2:4:10:13:13:14:4:15:16:17:17:12:14:10:10:3:11:18:9:16:3:19:20:4:14:16:20:21:21:14:15:10:19:22:23:24:18:18:17:14:25:26:23:27:28:29:30:26:22:30:29
1,0,30,0,304,6:0:1:3:3:3:3:3:3:4:4:4:3:3:4:7:8:0:3:4:11:7:6:3:4:3:1:3:5:8:4:3:9:4:5:10:10:4:3:18:2:9:10:9:2:4:10:12:13:14:4:13:19:21:14:12:14:10:10:3:18:17:9:9:3:15:16:4:14:16:20:23:11:14:15:10:19:3:20:22:21:1:10:14:25:26:23:27:28:29:30:26:26:30:29
2,0,30,0,303,0:1:7:3:3:3:3:3:3:4:4:4:3:3:4:5:6:0:3:4:8:7:6:3:4:3:1:3:11:8:4:3:9:4:5:10:10:4:3:18:2:9:10:9:2:4:10:13:13:14:4:17:12:21:14:12:14:10:10:3:18:19:9:9:3:15:16:4:14:16:20:23:11:14:15:10:19:3:20:22:21:1:10:14:27:26:23:28:29:30:25:26:26:25:29
3,0,30,0,302,0:1:7:3:3:3:3:3:3:4:4:4:3:3:4:5:6:0:3:4:8:7:6:3:4:3:1:3:11:8:4:3:9:4:5:10:10:4:3:18:2:9:10:9:2:4:10:13:13:14:4:17:12:21:14:12:14:10:10:3:18:19:9:9:3:20:16:4:14:16:20:23:11:14:15:10:19:3:15:22:21:1:10:14:27:26:23:28:29:30:25:26:26:25:29
15,0,30,0,301,0:5:18:3:3:3:3:3:3:4:4:4:3:3:4:8:7:0:3:4:6:7:6:3:4:3:18:3:13:8:4:3:9:4:5:10:10:4:3:1:2:9:10:9:2:4:10:12:13:14:4:17:20:16:14:12:14:10:10:3:1:19:9:9:3:23:15:4:14:16:20:11:11:14:15:10:19:3:22:21:21:22:10:14:27:26:23:28:29:30:25:26:26:25:29
16,0,30,0,300,0:5:18:3:3:3:3:3:3:4:4:4:3:3:4:8:7:0:3:4:6:7:6:3:4:3:18:3:13:8:4:3:9:4:5:10:10:9:3:1:2:9:10:3:2:4:10:14:13:4:4:17:20:16:14:12:14:10:10:3:1:19:9:9:12:23:15:4:12:16:20:11:11:12:15:10:19:3:22:21:21:22:10:14:27:26:23:28:29:30:25:26:26:25:29
17,0,30,0,299,0:5:18:3:3:3:3:3:3:4:4:4:3:3:4:8:7:0:3:4:6:7:6:3:4:3:18:3:13:8:4:3:9:4:5:10:10:9:3:1:2:9:10:3:2:4:10:14:13:4:4:17:20:12:14:12:14:10:10:3:1:19:9:9:16:23:15:4:16:16:20:11:11:16:15:10:19:3:22:21:21:22:10:14:27:26:23:28:29:30:25:26:26:25:29
1203,3,30,0,298,0:8:30:3:3:3:3:3:3:4:3:4:3:3:4:25:14:0:30:3:17:25:14:3:4:3:4:3:5:8:3:9:9:4:5:17:9:4:9:29:13:9:9:3:13:4:4:19:2:2:4:7:16:6:6:7:4:16:4:3:29:18:23:2:23:11:15:4:23:16:23:10:11:2:15:4:19:3:21:22:22:22:6:18:26:28:28:12:20:24:27:26:28:12:18
1203,3,30,0,298,0:8:30:3:3:3:3:3:3:4:3:4:3:3:4:25:14:0:30:3:17:25:14:3:4:3:4:3:5:8:3:9:9:4:5:17:9:4:9:29:13:9:9:3:13:4:4:19:2:2:4:7:16:6:6:7:4:16:4:3:29:18:23:2:23:11:15:4:23:16:23:10:11:2:15:4:19:3:21:22:22:22:6:18:26:28:28:12:20:24:27:26:28:12:18
#2022-10-11 18:18:58
