#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 03:57:51,wvcp,DSJC125.1g,local_search,16,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,10,0,32,0:1:0:0:1:0:0:1:0:1:1:2:2:2:1:2:2:2:1:0:2:0:2:1:2:2:1:2:1:2:0:0:1:3:2:4:1:2:0:4:3:3:4:0:3:0:2:4:1:4:0:1:4:4:3:4:4:4:3:3:5:3:5:3:1:3:5:5:1:3:4:3:5:5:3:5:1:0:2:2:1:5:6:6:4:6:4:6:7:7:5:5:6:2:0:7:7:4:3:2:4:6:8:9:8:8:6:7:7:8:8:8:5:7:7:9:6:9:9:9:2:7:9:7:0
6,0,9,0,31,0:1:0:0:1:0:0:1:0:1:1:2:2:2:1:2:2:2:1:0:2:0:2:1:2:2:1:2:1:2:0:3:1:3:2:4:1:2:0:4:3:3:4:0:3:0:2:4:1:4:0:1:4:4:3:4:4:4:1:3:5:3:5:3:1:3:5:5:5:3:4:3:5:5:3:5:1:0:2:2:1:5:6:6:4:6:4:6:7:7:5:5:6:2:0:7:7:4:3:2:4:6:0:9:9:9:6:7:7:9:9:9:5:7:7:4:6:9:9:9:2:7:9:7:0
19,0,9,0,30,0:1:0:0:1:1:0:1:0:1:1:2:2:2:0:1:2:2:1:0:2:2:2:1:2:2:1:2:1:2:0:0:1:3:2:4:1:2:0:4:3:0:4:0:3:0:2:4:1:4:0:1:4:4:3:4:4:4:3:3:5:3:5:3:1:3:5:5:5:3:4:3:5:5:3:5:1:0:2:2:1:5:6:6:4:6:4:6:0:5:5:5:6:2:0:6:2:4:3:2:4:6:3:9:9:9:6:7:7:9:9:9:5:7:7:4:6:9:9:9:2:7:9:7:0
20,0,8,0,29,0:1:0:0:1:1:0:1:0:1:1:2:2:2:0:1:2:2:1:0:2:2:2:1:2:2:1:2:1:2:0:0:1:3:2:4:1:2:0:4:3:0:4:0:3:0:2:4:1:4:0:1:4:4:3:4:4:4:3:3:5:3:5:3:1:3:5:5:5:3:4:3:5:5:3:5:1:0:2:2:1:5:6:6:4:6:4:6:0:5:5:5:6:2:0:6:2:4:3:2:4:6:3:9:9:9:6:4:4:9:9:9:5:4:4:9:6:9:9:9:2:4:9:4:0
75,0,8,0,28,0:1:0:0:2:1:2:2:0:1:2:1:2:2:0:1:2:0:1:2:0:2:2:1:2:1:1:2:1:1:0:4:1:1:4:4:1:0:2:0:4:0:4:0:2:4:4:2:1:2:0:1:4:4:0:4:2:0:3:3:5:3:5:3:1:3:5:5:5:3:4:3:5:5:3:5:1:4:5:2:1:5:6:6:4:6:4:6:0:5:2:5:6:1:0:6:5:0:3:6:4:6:3:9:9:9:6:4:4:9:9:9:5:4:0:9:6:9:9:9:2:4:9:6:0
214,0,8,0,27,2:1:2:0:0:1:2:1:2:1:0:1:0:0:0:1:2:0:1:2:0:2:0:1:2:1:1:2:0:0:2:4:1:1:4:4:1:2:0:0:4:0:4:0:0:4:2:4:0:2:0:1:1:4:0:4:2:0:5:1:5:5:4:3:0:0:5:5:2:3:5:3:5:5:1:5:5:4:5:4:3:5:3:4:4:1:4:3:1:5:3:5:4:3:2:3:5:1:2:3:4:3:3:9:9:9:6:6:5:9:9:9:5:4:6:9:6:9:9:9:1:4:9:6:0
279,0,8,0,26,2:1:2:0:0:1:2:1:2:1:0:1:0:0:0:1:2:0:1:2:0:0:0:1:0:1:1:2:0:0:2:4:1:1:4:4:1:2:0:2:4:2:4:0:4:4:2:4:0:2:2:1:1:4:0:4:2:0:5:2:5:2:4:5:0:0:5:5:2:5:4:0:0:2:1:2:1:4:5:4:3:5:3:5:4:5:4:3:1:5:3:5:4:3:2:3:5:1:5:3:4:3:3:9:9:9:6:6:5:9:9:9:6:4:6:9:6:9:9:9:1:4:9:6:3
283,0,7,0,25,2:1:2:0:0:1:2:1:2:1:0:1:0:0:0:1:2:0:1:2:0:0:0:1:0:1:1:2:0:0:2:4:1:1:4:4:1:2:0:2:4:2:4:0:4:4:2:4:0:2:2:1:1:4:0:4:2:0:5:2:5:2:4:5:0:0:5:5:2:5:4:0:0:2:1:2:1:4:5:4:3:5:0:5:4:5:4:3:1:5:3:5:4:3:2:3:5:1:5:3:4:3:3:9:9:9:9:1:5:9:9:9:3:4:4:9:3:9:9:9:1:4:9:3:3
2652,0,7,0,24,0:1:0:0:1:2:1:1:0:2:2:1:2:1:0:1:1:0:1:2:0:0:2:0:2:1:2:2:1:0:2:4:1:2:4:4:1:0:2:1:4:0:1:0:4:2:4:0:4:0:1:1:2:4:0:1:2:0:5:1:5:1:4:5:4:4:2:5:0:5:2:2:2:1:1:0:2:2:5:1:1:5:2:5:4:5:4:2:5:5:0:5:5:2:0:5:5:0:5:5:0:2:9:3:3:3:3:4:5:9:3:9:9:3:3:1:9:9:9:3:0:9:9:3:9
14738,0,6,0,23,2:1:2:0:1:2:2:1:2:1:0:1:0:1:0:1:1:0:1:2:0:2:0:0:1:1:0:1:1:0:4:2:4:4:2:0:1:1:2:0:4:4:2:4:0:2:2:0:0:4:0:0:4:2:1:1:0:0:5:1:5:1:0:5:1:4:0:1:0:5:0:0:4:5:4:0:0:2:5:5:5:5:5:5:4:4:5:2:0:4:2:5:5:2:0:2:0:4:4:1:0:1:9:2:9:9:1:4:4:9:9:9:4:4:2:1:5:9:9:9:9:9:9:5:2
383446297,0,6,0,23,2:1:2:0:1:2:2:1:2:1:0:1:0:1:0:1:1:0:1:2:0:2:0:0:1:1:0:1:1:0:4:2:4:4:2:0:1:1:2:0:4:4:2:4:0:2:2:0:0:4:0:0:4:2:1:1:0:0:5:1:5:1:0:5:1:4:0:1:0:5:0:0:4:5:4:0:0:2:5:5:5:5:5:5:4:4:5:2:0:4:2:5:5:2:0:2:0:4:4:1:0:1:9:2:9:9:1:4:4:9:9:9:4:4:2:1:5:9:9:9:9:9:9:5:2
#2022-10-12 04:57:52
