#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 04:08:20,wvcp,DSJC125.5gb,local_search,13,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,28,0,317,0:1:1:2:3:3:2:4:3:4:5:4:5:2:1:6:6:0:7:1:0:6:5:0:3:2:7:1:8:4:9:8:9:8:5:9:2:10:6:9:10:6:7:10:11:12:13:3:8:13:11:14:12:14:15:11:8:14:15:0:15:4:7:16:17:10:17:7:13:17:16:12:18:18:13:19:18:19:12:20:21:17:21:18:22:22:23:18:20:20:20:14:16:24:24:11:21:22:4:12:25:25:20:24:15:23:10:13:2:20:1:26:26:26:27:23:19:27:27:7:16:26:10:15:27
3,0,28,0,315,0:1:1:2:3:5:2:4:3:4:5:4:5:2:1:6:6:0:7:1:0:6:5:0:3:2:7:1:8:4:9:8:9:8:0:9:2:10:6:9:10:6:7:10:11:12:13:3:8:13:11:14:12:14:15:11:8:14:15:0:15:4:7:16:17:10:17:7:13:17:16:12:18:18:13:19:18:19:12:20:21:17:21:18:22:22:3:18:20:20:20:14:16:24:24:11:21:22:4:12:25:25:20:24:15:23:10:13:2:20:1:26:26:26:27:23:19:27:27:7:16:26:10:15:27
16,0,27,0,313,14:1:1:2:0:5:2:4:3:4:5:4:5:2:1:6:6:0:3:1:3:6:8:0:3:2:5:1:5:4:9:8:9:8:0:9:2:10:6:9:10:6:7:10:0:12:13:3:8:13:11:14:12:14:15:11:8:7:15:0:15:4:7:16:17:10:17:7:13:17:16:12:18:18:13:19:18:19:12:20:21:17:21:18:11:22:3:18:20:20:20:14:16:24:24:11:21:22:4:12:25:25:20:24:15:3:10:13:2:20:1:26:26:26:27:21:19:27:27:7:16:26:10:15:27
18,0,26,0,306,14:1:1:2:0:5:2:4:3:4:5:4:5:2:1:6:6:0:3:1:3:6:8:0:3:2:5:1:5:4:9:8:9:8:0:9:2:10:6:9:10:6:19:10:0:12:13:3:8:13:7:14:12:14:15:19:8:7:15:0:15:4:7:16:17:10:17:7:13:17:16:12:18:18:13:19:18:19:12:20:21:17:21:18:11:11:3:18:20:20:20:14:16:24:24:11:21:11:4:12:22:22:20:24:15:3:10:13:2:20:1:26:26:26:27:21:19:27:27:7:16:26:10:15:27
27,0,26,0,305,9:1:1:2:0:5:2:4:3:4:5:4:5:2:1:6:6:8:3:1:3:6:8:0:3:2:19:1:5:4:0:8:9:5:0:9:2:10:6:9:10:6:19:10:0:12:13:3:8:13:7:14:12:14:15:19:8:7:15:0:15:4:7:16:17:10:17:7:13:17:16:12:18:18:13:19:18:19:12:20:21:17:21:18:11:11:3:18:20:20:20:14:16:24:24:11:21:11:4:12:22:22:20:24:15:3:10:13:2:20:1:26:26:26:27:21:19:27:27:7:16:26:10:15:27
43,0,25,0,302,11:1:1:2:0:5:2:4:3:4:5:4:11:2:1:6:6:8:3:1:3:6:8:0:3:2:19:1:5:4:9:8:9:5:9:11:2:10:6:9:10:6:19:10:9:12:13:3:8:13:0:5:12:7:15:19:8:7:15:0:15:4:7:16:17:10:17:7:13:17:16:12:18:18:13:19:18:12:12:20:21:17:21:18:0:19:3:18:20:20:20:18:16:24:24:22:21:11:4:12:22:22:20:24:15:3:10:13:2:20:1:26:26:26:27:21:19:27:27:7:16:26:10:15:27
56,0,25,0,298,11:5:5:2:1:5:2:4:3:4:9:4:11:2:1:6:6:1:3:1:3:6:8:1:3:2:19:10:5:4:9:8:9:5:9:11:2:10:6:0:10:6:19:10:9:12:13:3:8:13:0:5:12:7:15:19:8:7:15:0:15:4:7:8:17:10:17:7:13:17:16:12:18:18:13:19:18:12:12:8:21:17:21:18:1:19:3:18:20:20:20:18:16:24:24:22:21:11:4:12:22:22:20:24:15:3:10:13:2:20:20:26:26:26:27:21:19:27:27:7:16:26:10:15:27
66,0,25,0,296,11:5:5:2:1:5:2:4:3:4:9:4:11:2:1:6:6:1:3:1:3:6:8:1:3:2:19:10:5:4:9:8:9:5:9:11:2:10:6:0:10:6:19:10:9:12:13:3:8:13:0:5:12:7:15:19:8:0:15:0:15:4:7:8:17:10:17:7:13:17:13:12:18:18:7:19:18:12:12:8:21:17:21:18:1:19:3:18:20:20:20:18:16:24:24:22:21:11:4:12:22:22:20:24:15:3:10:13:2:20:20:26:26:26:27:21:19:27:27:7:16:26:10:15:27
67,0,24,0,290,11:5:5:2:1:5:2:4:3:4:9:4:11:2:1:6:6:1:3:1:3:6:8:1:3:2:19:10:5:4:9:8:9:5:9:11:2:10:6:0:10:6:19:10:9:12:13:3:8:13:0:5:12:7:15:19:8:0:15:1:15:4:7:8:17:10:17:7:13:17:13:12:18:18:7:19:18:12:12:8:21:17:21:18:1:19:3:18:20:20:20:18:0:24:24:22:21:11:4:12:22:22:20:24:15:3:10:13:2:20:20:26:26:26:27:21:19:27:27:7:13:26:10:15:27
93,0,24,0,288,11:5:5:2:1:5:2:4:3:4:19:4:11:2:1:6:6:1:3:1:3:6:8:1:3:2:11:10:5:4:9:8:9:5:9:9:2:10:6:9:10:6:19:10:19:12:13:3:8:13:0:5:12:7:15:19:8:0:15:1:15:4:11:8:17:10:17:7:13:17:13:12:18:18:7:11:18:12:12:8:21:17:21:18:1:11:3:18:20:20:20:18:0:24:24:22:21:22:4:12:22:7:20:24:15:3:10:13:2:20:20:26:26:26:27:21:26:27:27:7:13:26:10:15:27
