#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 04:42:53,wvcp,DSJR500.1,local_search,17,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,15,0,192,0:0:0:0:1:1:1:2:2:1:1:0:2:0:1:1:0:2:0:3:3:2:0:1:4:2:4:1:1:2:3:2:3:0:3:2:2:1:2:3:0:3:4:2:4:0:4:1:2:5:1:1:2:5:0:4:5:5:5:6:0:6:6:6:4:4:0:0:3:3:4:5:6:6:1:4:5:6:5:3:5:1:0:3:6:4:6:3:5:6:6:2:5:0:3:1:5:4:5:6:7:7:8:8:6:2:4:8:4:6:9:10:0:10:10:1:7:9:9:10:8:8:10:2:3:5:2:9:9:6:3:8:8:10:10:8:10:10:10:2:6:9:8:8:4:9:7:4:0:2:10:9:7:7:9:8:10:6:7:10:3:7:7:10:7:11:0:11:5:4:8:2:11:9:0:2:8:11:11:11:7:11:3:7:9:4:11:8:7:6:12:12:12:12:10:11:11:5:12:12:12:5:9:10:11:9:9:9:12:11:13:11:13:12:13:13:7:3:13:10:10:10:12:5:12:10:13:13:13:13:7:7:11:8:7:14:12:11:14:2:13:11:12:13
7,0,15,0,191,0:0:0:0:1:1:1:2:2:1:1:0:2:0:1:1:0:2:0:3:3:2:0:1:4:2:4:1:1:2:3:2:3:0:3:2:2:1:2:3:0:3:4:2:4:0:4:1:2:5:1:1:2:5:0:4:5:5:5:6:0:6:6:4:4:4:0:0:3:3:4:5:6:6:6:4:5:6:5:3:5:1:0:3:6:4:6:3:5:6:6:2:5:0:3:1:5:4:5:6:9:1:8:8:6:2:4:8:4:6:9:10:0:10:10:1:7:9:9:10:8:8:10:2:3:5:2:9:9:6:3:8:8:10:10:8:10:10:10:2:6:9:8:8:4:9:7:4:0:2:10:9:7:7:9:8:10:6:7:10:3:7:7:10:7:11:0:11:5:4:8:2:11:9:0:2:8:11:11:11:7:11:3:7:9:4:11:8:7:6:12:12:12:12:10:11:11:5:12:12:12:5:9:10:11:9:9:9:12:11:13:11:13:12:13:13:7:3:13:10:10:10:12:5:12:10:13:13:13:13:7:7:11:8:7:14:12:11:14:2:13:11:12:13
14,0,15,0,190,0:0:0:0:1:1:1:2:2:1:1:0:2:0:1:1:0:2:0:3:3:2:4:1:4:2:4:1:2:2:3:2:3:0:3:2:2:1:2:3:0:3:0:2:4:0:4:1:2:5:1:1:2:5:1:4:5:5:5:6:0:6:6:4:4:4:0:0:3:3:4:5:6:6:6:4:5:6:5:3:5:1:0:3:6:4:6:3:5:6:6:2:5:0:3:1:5:4:5:6:9:1:8:8:6:2:4:8:4:6:9:10:0:10:10:1:0:9:9:10:8:8:10:2:3:5:2:9:9:6:3:8:8:10:10:8:10:10:10:2:6:9:8:8:4:9:7:4:0:2:10:9:7:7:9:8:10:6:7:10:3:7:7:10:7:11:0:11:5:4:8:10:11:9:0:2:8:11:11:11:7:11:3:7:9:4:11:8:7:6:12:12:12:12:10:11:11:5:12:12:12:5:9:10:11:9:9:9:12:11:13:11:13:12:13:13:7:3:13:10:10:10:12:5:12:10:13:13:13:13:7:7:11:8:7:14:12:11:14:2:13:11:12:13
16,0,15,0,189,0:0:0:0:1:1:1:2:2:1:1:1:2:0:1:1:0:2:0:3:3:2:4:1:4:2:4:3:2:2:3:2:3:0:3:2:2:1:2:3:0:3:0:2:4:0:4:1:2:5:1:1:2:5:1:4:5:5:5:6:0:6:6:4:4:4:0:0:3:3:4:5:6:6:6:4:5:6:5:3:5:1:0:3:6:4:6:3:5:6:6:2:5:0:3:1:5:4:5:6:9:1:8:8:6:2:4:8:4:6:9:10:0:10:10:1:0:9:9:10:8:8:10:2:3:5:2:9:9:6:3:8:8:10:10:8:10:10:10:2:6:9:8:8:4:9:0:4:0:2:10:9:7:7:9:8:10:6:7:10:3:7:7:10:7:11:0:11:5:4:8:10:11:9:0:2:8:11:11:11:7:11:3:7:9:4:11:8:7:6:12:12:12:12:10:11:11:5:12:12:12:5:9:10:11:9:9:9:12:11:13:11:13:12:13:13:7:3:13:10:10:10:12:5:12:10:13:13:13:13:7:7:11:8:7:14:12:11:14:2:13:11:12:13
54,0,15,0,188,0:0:0:0:1:1:2:1:2:1:1:1:2:0:1:1:0:2:0:3:3:1:4:1:4:2:4:3:2:2:3:2:3:0:3:2:2:1:2:3:0:3:0:2:4:0:4:1:2:5:1:1:2:5:1:4:5:5:5:6:0:6:6:4:4:4:0:0:3:3:4:5:6:6:6:2:5:6:1:3:5:1:0:3:6:4:6:3:5:6:6:2:5:0:3:1:5:4:5:6:9:5:4:4:6:2:4:4:0:6:9:10:8:10:10:1:0:9:9:10:8:8:10:2:3:5:2:9:9:6:3:8:8:10:10:8:10:10:10:2:6:9:8:8:4:9:0:4:0:2:10:9:7:7:9:8:10:6:7:10:3:7:7:10:7:11:0:11:5:4:8:10:11:9:0:2:8:11:11:11:7:11:3:7:9:4:11:8:7:6:12:12:12:12:10:11:11:5:12:12:12:5:9:10:11:9:9:9:12:11:13:11:13:12:13:13:7:12:13:10:10:10:12:5:12:10:13:13:13:13:7:7:11:8:7:14:12:11:14:2:13:11:12:13
68,0,15,0,187,0:0:0:0:1:1:2:1:2:1:1:1:2:0:1:1:0:2:0:3:3:1:4:1:4:2:4:3:2:2:3:2:3:0:3:2:2:1:3:3:0:3:0:2:4:0:4:1:2:5:1:1:2:5:1:4:5:5:5:6:0:6:6:4:4:4:0:0:3:6:4:5:6:6:6:2:5:6:1:3:5:1:0:3:6:4:6:3:5:4:6:2:5:0:3:1:5:4:5:6:9:5:4:9:6:2:4:4:2:6:9:10:0:10:10:1:0:9:8:10:8:8:10:2:3:5:2:9:9:6:3:8:8:10:10:8:10:10:10:2:6:9:8:8:4:9:0:4:0:2:10:9:7:7:9:8:10:6:7:10:3:7:7:10:7:11:0:11:5:4:8:10:11:9:0:2:8:11:11:11:7:11:3:7:9:4:11:8:7:6:12:12:12:12:10:11:11:5:12:12:12:5:9:10:11:9:9:9:12:11:13:11:13:12:13:13:7:12:13:10:10:10:12:5:12:10:13:13:13:13:7:7:11:8:7:14:12:11:14:2:13:11:12:13
69,0,15,0,185,0:0:0:0:1:1:2:1:2:1:1:1:2:0:1:1:0:2:0:3:3:1:4:1:4:2:4:3:2:2:3:2:3:0:3:2:2:1:3:3:0:3:0:2:4:0:4:1:2:5:1:1:2:5:1:4:5:5:5:6:0:6:6:4:4:4:0:0:3:6:4:5:6:6:6:2:5:6:1:3:5:1:0:3:6:4:6:3:5:4:6:2:5:0:3:1:5:4:5:6:9:5:4:9:6:2:4:4:2:6:9:10:0:10:10:1:0:9:8:10:8:8:10:2:3:5:2:9:9:6:3:8:8:10:10:8:10:10:10:2:6:9:8:8:4:9:0:4:0:2:10:9:7:7:9:8:10:6:7:10:3:7:7:10:7:1:0:8:5:4:8:10:7:9:0:2:8:11:11:11:7:11:3:7:9:4:11:8:7:6:12:12:12:12:10:11:11:5:12:12:12:5:9:10:11:9:9:9:12:11:13:11:13:12:13:13:7:12:13:10:10:10:12:5:12:10:13:13:13:13:7:7:11:8:7:14:12:11:14:2:13:11:12:13
70,0,14,0,184,0:0:0:0:1:1:2:1:2:1:1:1:2:0:1:1:0:2:0:3:3:1:4:1:4:2:4:3:2:2:3:2:3:0:3:2:2:1:3:3:0:3:0:2:4:0:4:1:2:5:1:1:2:5:1:4:5:5:5:6:0:6:6:4:4:4:0:0:3:6:4:5:6:6:6:2:5:6:1:3:5:1:0:3:6:4:6:3:5:4:6:2:5:0:3:1:5:4:5:6:9:5:4:9:6:2:4:4:2:6:9:10:0:10:10:1:0:9:8:10:8:8:10:2:3:5:2:9:9:6:3:8:8:10:10:8:10:10:10:2:6:9:8:8:4:9:0:4:0:2:10:9:7:7:9:8:10:6:7:10:3:7:7:10:7:1:0:8:5:4:8:10:7:9:0:2:8:11:11:11:7:11:3:7:9:4:11:8:7:6:12:12:12:12:10:11:11:5:12:12:12:5:9:10:11:9:9:9:12:11:13:11:13:12:13:13:7:12:13:10:10:10:12:5:12:10:13:13:13:13:7:7:11:8:7:11:12:11:6:2:13:11:12:13
80,0,14,0,183,0:0:0:0:1:1:2:1:2:1:1:1:2:0:1:1:0:2:0:3:3:1:4:3:4:2:4:3:2:2:3:2:3:0:3:2:2:1:3:3:0:3:0:2:4:0:4:1:2:5:1:1:2:5:1:4:5:5:5:6:0:6:6:4:4:4:0:0:3:6:1:5:5:6:6:2:5:6:1:3:5:1:3:3:6:4:6:3:5:4:6:2:5:0:3:1:5:4:5:6:9:5:4:9:6:2:4:4:2:6:9:10:0:10:10:1:0:9:8:10:8:8:10:2:3:5:2:9:9:6:6:8:8:10:10:8:10:10:10:2:6:9:8:8:4:9:0:4:0:2:10:9:3:0:9:8:10:6:10:10:3:7:7:10:7:1:0:8:5:4:8:10:7:9:0:2:8:11:11:11:7:11:3:7:9:4:11:8:7:6:12:12:12:12:10:11:11:4:12:12:12:5:9:10:11:9:9:9:12:11:13:11:13:12:13:13:7:12:13:10:10:10:12:5:12:10:13:13:13:13:7:7:11:8:7:11:12:11:6:2:13:11:12:13
90376725,0,14,0,183,0:0:0:0:1:1:2:1:2:1:1:1:2:0:1:1:0:2:0:3:3:1:4:3:4:2:4:3:2:2:3:2:3:0:3:2:2:1:3:3:0:3:0:2:4:0:4:1:2:5:1:1:2:5:1:4:5:5:5:6:0:6:6:4:4:4:0:0:3:6:1:5:5:6:6:2:5:6:1:3:5:1:3:3:6:4:6:3:5:4:6:2:5:0:3:1:5:4:5:6:9:5:4:9:6:2:4:4:2:6:9:10:0:10:10:1:0:9:8:10:8:8:10:2:3:5:2:9:9:6:6:8:8:10:10:8:10:10:10:2:6:9:8:8:4:9:0:4:0:2:10:9:3:0:9:8:10:6:10:10:3:7:7:10:7:1:0:8:5:4:8:10:7:9:0:2:8:11:11:11:7:11:3:7:9:4:11:8:7:6:12:12:12:12:10:11:11:4:12:12:12:5:9:10:11:9:9:9:12:11:13:11:13:12:13:13:7:12:13:10:10:10:12:5:12:10:13:13:13:13:7:7:11:8:7:11:12:11:6:2:13:11:12:13
#2022-10-12 05:42:54
