#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 01:40:02,wvcp,GEOM120a,local_search,10,105,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,20,0,122,0:1:1:0:2:3:3:3:2:4:0:2:4:3:4:1:0:5:1:5:4:6:6:6:0:7:5:7:7:2:4:1:6:7:8:8:8:9:9:4:5:7:7:6:3:8:7:1:3:9:2:5:10:9:9:1:10:11:10:11:11:6:11:8:11:5:10:12:0:9:8:8:2:12:12:12:13:14:10:3:13:13:12:14:13:14:12:15:11:11:15:14:13:10:15:15:12:16:16:16:15:10:6:2:14:16:0:17:18:19:19:18:18:17:16:18:18:12:13
9,0,20,0,121,0:1:5:0:2:3:1:3:3:2:0:2:4:3:4:1:0:5:3:5:4:6:6:6:0:7:5:7:7:2:4:1:6:7:8:8:8:9:9:4:5:7:7:6:2:8:7:1:3:9:2:1:10:9:9:1:10:11:10:11:11:6:11:8:11:5:10:12:0:9:8:8:2:12:12:12:13:4:10:3:13:13:12:14:13:14:12:15:11:11:15:14:13:10:15:15:12:16:16:16:15:10:6:2:14:16:0:17:18:19:19:18:18:17:16:18:18:12:13
20,0,20,0,120,0:1:5:0:2:3:1:3:3:2:0:2:4:1:4:3:0:5:3:5:4:6:6:6:4:7:5:7:7:2:4:1:6:7:8:8:8:9:9:6:5:7:7:6:2:8:7:1:3:9:2:1:10:9:9:1:10:11:10:11:11:0:11:8:11:5:10:0:0:9:8:8:2:12:12:12:13:4:10:3:13:13:12:14:13:14:12:15:11:11:15:14:13:10:15:15:12:16:16:16:15:10:6:2:14:16:0:17:18:19:19:18:18:17:16:18:18:12:13
50,0,19,0,119,3:1:5:0:2:5:1:3:3:2:0:2:0:1:4:3:0:5:3:5:4:6:6:6:4:7:7:7:7:6:4:1:6:7:8:8:8:9:9:9:4:5:3:6:2:8:7:1:3:10:2:1:10:9:9:1:10:11:10:11:11:0:11:8:11:5:2:0:0:9:8:8:2:12:12:12:13:4:10:3:13:13:12:14:13:14:7:15:11:11:15:14:13:10:15:15:12:16:16:16:15:10:6:2:14:16:0:12:18:19:19:18:18:19:16:18:18:12:13
51,0,18,0,118,3:1:5:0:2:5:1:3:3:2:0:2:0:1:4:3:0:5:3:5:4:6:6:6:4:7:7:7:7:6:4:1:6:7:8:8:8:9:9:9:4:5:3:6:2:8:7:1:3:10:2:1:10:9:9:1:10:11:10:11:11:0:11:8:11:5:2:0:0:9:8:8:2:12:12:12:13:4:10:3:13:13:12:14:13:14:7:15:11:11:15:14:13:10:15:15:12:16:16:16:15:10:6:2:14:16:0:12:18:4:14:18:18:14:16:18:18:12:13
79,0,18,0,117,3:5:5:0:2:1:1:3:3:2:0:2:0:1:5:3:0:0:3:5:1:6:5:6:4:7:7:7:7:6:4:6:6:7:8:8:8:9:9:9:4:5:9:6:2:8:7:1:3:10:2:1:10:9:9:1:10:11:10:11:11:0:11:8:11:6:2:0:0:9:8:8:2:12:12:12:13:4:10:3:13:13:12:14:13:14:7:15:11:11:15:14:13:10:15:15:12:16:16:16:15:10:6:2:14:16:0:12:18:4:14:18:18:14:16:18:18:12:13
81,0,18,0,116,3:5:5:0:2:1:1:3:3:2:0:2:0:1:5:3:0:0:3:5:1:6:5:6:4:7:7:7:7:6:4:6:6:7:8:8:8:9:9:9:4:5:9:6:2:8:7:1:3:10:2:1:10:9:9:1:10:11:10:11:11:0:11:8:11:6:2:0:0:9:8:8:4:12:12:12:2:4:10:3:2:2:12:14:13:14:7:15:11:11:15:14:13:10:15:15:12:16:16:16:15:10:6:5:14:16:0:12:18:4:14:18:18:14:16:18:18:12:13
132,0,17,0,115,3:6:6:0:2:1:1:0:3:2:3:2:0:1:5:3:3:0:3:5:1:8:5:6:4:7:7:7:7:6:4:6:6:7:5:8:8:9:9:9:4:5:8:4:2:8:7:1:3:10:4:2:10:10:9:1:10:11:10:11:11:0:11:8:11:6:2:0:0:9:5:8:4:12:12:12:2:4:10:3:2:2:12:14:9:14:7:15:11:11:15:14:15:1:15:15:12:16:16:16:15:10:6:5:14:16:0:12:18:4:14:18:18:14:16:18:18:12:15
142,0,17,0,114,3:6:6:0:2:1:1:0:3:2:3:2:0:3:5:2:3:0:3:5:1:8:5:6:1:7:7:7:7:6:1:6:6:7:5:8:8:9:9:4:4:5:8:4:2:8:7:1:3:10:4:2:10:10:9:1:10:11:10:11:11:0:11:8:11:6:9:0:0:9:5:8:4:12:12:12:2:4:10:3:9:2:12:14:9:14:7:15:11:11:15:14:15:1:15:15:12:16:16:16:15:10:6:5:14:16:0:12:18:4:14:18:18:14:16:18:18:12:15
413,0,17,0,112,0:3:2:6:6:2:3:3:0:5:0:6:5:0:5:1:0:6:0:1:2:8:3:7:2:1:7:5:8:8:7:7:3:7:4:1:5:7:2:4:1:3:8:1:4:6:6:7:3:10:4:8:10:10:4:1:10:11:10:7:11:5:11:8:8:11:9:6:6:9:11:8:4:12:5:12:12:9:10:3:9:2:12:14:9:14:11:15:14:11:1:14:15:15:15:15:12:16:16:16:15:10:16:10:14:16:0:12:18:4:14:18:18:12:16:18:18:12:15
15086,0,17,0,111,0:3:2:3:5:2:6:6:0:5:0:5:1:2:2:6:0:2:0:2:6:4:4:3:1:1:3:1:4:7:6:3:4:3:8:5:8:7:8:5:6:4:7:1:5:8:7:8:0:0:7:4:10:8:7:5:11:10:11:8:11:11:10:8:7:10:12:11:11:1:3:7:4:12:12:1:5:11:10:8:12:6:12:14:12:14:10:9:14:9:11:14:15:15:15:15:5:9:16:16:9:10:16:9:14:16:9:15:18:16:14:18:18:16:16:18:18:12:18
15108,0,17,0,109,0:3:2:3:5:2:6:6:0:5:0:5:1:2:2:6:0:2:6:2:6:4:4:3:1:1:3:1:4:7:0:3:4:3:8:5:8:7:8:5:6:4:7:1:5:8:7:8:3:0:4:7:10:8:7:5:11:10:11:8:11:11:10:8:7:10:12:11:11:1:3:7:4:12:12:1:5:11:10:8:12:6:12:14:12:14:10:9:14:12:11:14:9:9:0:0:5:9:16:16:9:10:16:9:14:16:9:15:18:16:14:18:18:16:16:18:18:2:18
16512,0,17,0,108,0:3:3:2:5:2:6:6:0:5:0:5:1:2:5:6:1:2:6:1:6:4:4:3:1:1:3:3:1:7:5:7:4:3:7:7:8:8:0:5:6:4:8:4:7:8:1:8:3:0:10:4:8:0:7:0:10:11:10:8:10:11:10:8:7:12:12:11:12:7:3:11:11:12:12:11:5:11:10:8:0:10:12:10:14:14:12:14:11:2:2:2:11:8:4:14:5:9:16:16:14:6:16:9:9:16:9:15:18:16:14:18:18:16:1:18:18:16:18
19867,0,17,0,107,5:2:2:6:6:0:0:3:5:3:5:6:3:2:6:6:5:6:0:2:0:7:5:2:1:1:3:3:7:7:1:2:7:4:8:4:8:4:5:5:1:4:7:1:4:8:4:7:5:0:10:7:8:8:8:11:10:11:10:11:10:11:10:7:7:12:12:11:6:3:2:11:8:12:3:11:12:4:10:5:10:0:2:18:14:14:12:14:18:12:0:10:11:1:1:0:5:11:16:14:16:18:16:3:18:16:14:15:9:16:9:9:9:15:15:9:18:16:16
19928,0,17,0,106,5:2:2:6:6:0:0:3:5:3:5:6:3:2:6:6:5:6:5:2:0:7:5:2:1:1:3:3:7:7:1:2:7:4:4:4:8:8:0:5:1:4:7:1:4:8:4:7:5:0:8:7:10:10:8:11:10:11:10:11:8:11:10:7:7:12:12:11:6:3:2:11:8:12:3:11:12:4:10:5:10:0:2:18:8:18:12:18:11:12:0:10:11:1:18:0:5:14:16:14:16:1:16:3:18:16:14:15:9:16:9:9:9:15:15:9:14:16:16
40681,0,16,0,105,5:3:3:6:6:0:0:0:5:2:5:6:2:3:6:6:5:6:5:3:0:1:5:3:1:7:2:0:1:7:2:3:7:4:4:4:8:8:1:5:7:4:1:7:8:8:8:0:0:0:7:10:11:11:4:1:11:10:11:3:4:11:10:5:7:12:12:11:6:11:8:10:4:12:2:2:12:10:11:5:0:7:3:10:8:8:12:18:10:12:1:10:18:18:18:18:18:9:9:16:9:16:18:2:5:16:12:18:14:16:9:9:14:14:14:0:16:9:16
40681,0,16,0,105,5:3:3:6:6:0:0:0:5:2:5:6:2:3:6:6:5:6:5:3:0:1:5:3:1:7:2:0:1:7:2:3:7:4:4:4:8:8:1:5:7:4:1:7:8:8:8:0:0:0:7:10:11:11:4:1:11:10:11:3:4:11:10:5:7:12:12:11:6:11:8:10:4:12:2:2:12:10:11:5:0:7:3:10:8:8:12:18:10:12:1:10:18:18:18:18:18:9:9:16:9:16:18:2:5:16:12:18:14:16:9:9:14:14:14:0:16:9:16
#2022-10-12 01:40:03
