#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 01:40:02,wvcp,GEOM120b,local_search,15,35,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,20,0,43,0:1:2:3:4:1:3:4:2:3:1:0:5:5:4:5:2:0:2:5:5:1:0:4:1:0:6:7:7:6:1:7:3:6:2:7:0:6:7:8:9:9:10:8:11:12:13:13:14:6:13:9:10:11:9:11:2:8:11:13:9:4:10:8:12:14:8:11:11:10:10:14:15:14:3:7:15:16:13:16:14:17:16:18:17:18:17:15:19:8:12:18:12:19:2:4:17:12:11:7:16:15:16:5:13:19:18:15:12:19
19,0,20,0,42,7:1:2:5:4:1:3:4:2:7:1:0:3:5:4:5:2:0:2:5:5:1:0:4:1:0:6:7:7:6:1:7:3:6:2:7:0:6:3:8:9:9:0:8:11:10:13:13:14:6:13:9:10:11:9:11:2:8:11:13:9:4:10:8:10:14:8:11:11:10:10:14:15:14:3:19:15:16:13:16:14:17:16:18:17:18:17:15:19:8:12:18:12:19:2:4:17:12:11:7:16:15:16:5:13:19:18:15:12:19
29,0,19,0,41,7:1:2:5:4:1:3:4:2:7:1:5:3:5:4:0:2:0:4:5:5:1:0:4:1:0:6:7:7:6:2:7:3:6:2:7:0:6:3:8:9:9:0:8:11:12:13:13:14:6:13:9:1:11:9:11:2:8:11:13:9:4:6:8:12:14:8:11:11:9:5:14:15:14:3:19:15:16:13:16:14:17:16:18:17:18:17:15:19:8:12:18:12:19:2:12:17:12:11:7:16:15:16:5:13:19:18:15:12:19
143,0,19,0,40,2:1:7:4:5:1:6:4:5:7:1:5:3:5:4:0:6:0:4:5:7:2:0:4:1:0:1:7:7:7:2:7:3:6:2:6:0:6:3:8:13:3:0:8:14:9:13:9:11:6:0:9:1:11:9:11:2:8:11:13:9:4:6:8:9:14:8:11:11:9:5:14:15:14:3:19:15:16:13:16:14:17:16:18:17:18:17:15:19:8:12:18:12:19:2:12:17:12:11:7:16:15:16:5:13:19:18:15:12:19
239,0,19,0,39,1:4:0:7:5:7:2:4:6:7:0:5:2:5:5:0:0:1:6:4:1:7:1:5:7:0:4:0:2:6:7:0:1:4:2:6:0:6:3:2:13:11:8:1:14:9:13:9:11:6:3:9:8:11:9:11:2:8:4:13:9:8:2:8:9:14:8:3:11:9:14:14:15:14:3:19:15:16:13:16:14:17:16:18:17:18:17:15:19:8:12:18:12:19:17:12:17:12:11:7:16:15:16:5:13:19:18:15:12:19
295,0,18,0,38,1:4:5:7:12:7:2:12:6:7:4:5:2:5:12:2:5:1:12:4:1:7:2:12:7:5:4:5:6:6:7:5:1:4:2:6:5:3:6:2:13:11:8:1:14:9:13:9:11:6:3:9:8:11:9:11:3:8:4:13:9:8:2:8:9:14:8:3:11:9:14:14:15:1:3:19:17:16:18:16:14:15:16:18:17:18:17:15:19:8:15:14:13:19:17:3:17:12:11:7:16:15:16:5:13:19:18:15:18:19
468,0,17,0,37,1:4:5:12:6:7:2:6:6:12:5:7:2:2:12:5:5:1:12:6:1:7:12:12:7:5:4:5:6:6:1:5:2:4:2:6:5:19:2:4:3:11:14:8:11:13:3:13:7:7:19:13:14:11:12:11:3:8:4:13:13:8:2:8:19:14:8:3:11:4:14:19:15:1:19:18:17:16:18:16:16:15:16:1:8:17:17:15:18:3:15:14:4:19:17:18:17:3:11:1:16:15:16:5:13:14:18:15:18:6
483,0,17,0,36,8:4:5:12:6:7:2:6:6:12:5:7:2:2:12:5:5:8:12:6:8:7:4:12:7:5:4:5:6:6:2:5:8:4:2:6:5:19:2:4:3:11:14:8:11:13:3:13:7:7:19:13:14:11:12:11:3:12:4:13:13:14:2:8:19:14:14:3:11:8:14:19:15:8:19:18:17:16:18:16:16:15:16:1:1:17:17:15:18:3:15:14:4:19:17:18:17:3:11:1:16:15:16:5:13:14:18:15:18:6
3807,0,16,0,35,8:5:12:6:2:6:5:6:7:2:7:12:4:4:12:7:12:8:6:7:2:6:5:8:6:12:4:2:2:7:4:5:5:8:5:7:7:14:4:5:3:11:19:8:11:7:4:13:13:3:19:8:11:2:14:3:14:19:13:19:2:11:13:8:14:3:3:13:11:11:11:3:1:13:16:3:17:15:11:12:15:19:15:16:17:16:17:1:1:3:14:15:5:16:19:1:17:8:1:13:14:17:15:12:2:15:15:1:16:6
3807,0,16,0,35,8:5:12:6:2:6:5:6:7:2:7:12:4:4:12:7:12:8:6:7:2:6:5:8:6:12:4:2:2:7:4:5:5:8:5:7:7:14:4:5:3:11:19:8:11:7:4:13:13:3:19:8:11:2:14:3:14:19:13:19:2:11:13:8:14:3:3:13:11:11:11:3:1:13:16:3:17:15:11:12:15:19:15:16:17:16:17:1:1:3:14:15:5:16:19:1:17:8:1:13:14:17:15:12:2:15:15:1:16:6
#2022-10-12 01:40:02
