#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 00:30:57,wvcp,R75_5gb,local_search,13,186,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,19,0,220,0:1:1:2:3:3:3:2:0:3:0:4:4:5:4:5:1:2:5:2:5:6:1:6:6:7:6:8:8:1:7:6:9:7:7:9:10:8:2:0:5:10:11:11:4:2:11:0:12:12:13:14:14:7:13:9:15:8:9:15:14:11:12:13:13:16:10:17:3:17:18:18:7:10:1
6,0,18,0,219,0:1:1:2:3:3:3:2:0:5:0:4:4:5:4:5:1:2:5:2:5:6:1:6:6:7:6:9:8:1:7:6:3:7:7:9:10:8:2:0:5:10:11:11:4:2:11:0:12:12:13:14:14:7:13:9:15:8:9:15:14:11:12:13:13:8:10:17:3:17:18:18:7:10:1
11,0,17,0,217,0:1:1:2:3:3:3:2:0:5:0:4:4:5:4:5:1:2:5:2:5:6:1:6:6:7:6:9:8:1:7:6:3:7:7:9:18:8:2:0:5:18:11:11:4:2:11:0:12:12:13:14:14:7:13:9:15:8:9:15:14:11:12:13:13:8:4:17:3:17:18:12:7:18:1
15,0,17,0,213,0:1:1:2:3:3:3:2:0:5:0:4:4:5:4:5:1:2:5:2:5:6:1:6:6:7:6:9:8:1:7:6:3:7:7:9:8:8:2:0:5:11:11:11:4:2:11:0:12:12:13:14:14:7:13:9:15:10:9:15:14:11:12:13:13:10:4:17:3:17:8:12:7:17:1
40,0,17,0,211,0:1:1:2:3:3:0:2:0:0:5:4:6:5:0:5:4:2:5:2:1:6:1:6:6:7:6:9:3:4:7:1:3:7:7:9:8:8:2:0:5:8:11:11:4:2:11:0:12:12:13:14:14:7:13:9:15:10:9:15:14:11:12:13:13:10:4:17:4:17:8:12:7:17:4
46,0,17,0,210,0:1:1:2:3:3:0:2:0:0:5:4:6:5:0:5:4:2:5:2:1:6:1:6:6:7:6:14:3:4:7:1:3:7:7:3:8:8:2:0:5:8:11:11:4:2:11:0:12:12:13:9:14:7:13:15:15:14:9:15:8:11:12:13:13:10:4:17:4:17:8:12:7:17:4
56,0,17,0,209,0:1:1:6:3:3:0:2:0:0:5:4:6:5:0:5:4:2:5:5:1:6:1:1:6:7:11:2:3:4:7:1:3:7:7:3:8:8:2:0:5:8:11:11:4:2:11:0:12:12:13:9:14:7:13:15:15:14:9:15:8:10:12:13:13:10:4:17:4:17:8:12:7:17:4
230,0,17,0,208,3:1:1:2:6:3:0:2:0:5:4:5:5:6:0:2:4:2:5:2:1:6:1:6:6:4:0:15:3:1:7:0:7:3:7:7:8:8:15:5:2:4:11:11:15:2:11:8:12:4:3:12:14:13:13:15:13:14:9:9:8:11:9:13:13:10:10:17:10:17:8:12:8:17:15
231,0,16,0,206,3:1:1:2:6:3:0:2:0:5:4:5:5:6:0:2:4:2:5:2:1:6:1:6:6:4:0:15:3:1:7:0:7:3:7:7:8:8:15:5:2:4:11:11:15:2:11:8:12:4:3:12:14:13:13:15:13:14:9:9:8:11:9:13:13:10:10:8:10:14:8:12:8:4:15
379,0,15,0,201,5:7:1:2:4:3:5:2:5:5:4:3:7:6:3:2:4:2:6:2:1:7:0:0:7:4:7:6:3:1:0:3:0:3:15:15:8:8:15:0:2:6:4:10:10:2:7:8:0:1:5:12:3:13:13:6:13:14:9:9:8:5:9:13:13:10:9:8:10:14:8:12:8:12:1
