#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 00:33:52,wvcp,R75_9g,local_search,10,110,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,38,0,117,0:1:2:3:4:5:4:2:6:7:1:8:7:9:10:8:10:11:12:9:3:13:5:11:14:15:12:15:13:16:17:18:18:19:20:17:21:16:6:0:20:22:8:21:23:24:24:5:25:26:27:28:22:29:30:22:23:26:31:27:30:32:19:25:32:33:33:28:34:35:7:36:29:37:37
2,0,37,0,116,0:1:2:3:4:5:4:2:6:7:1:8:7:9:10:8:10:11:12:9:3:13:5:11:20:15:12:15:13:16:17:18:18:19:31:17:21:16:6:0:20:22:8:21:23:24:24:5:25:26:27:28:22:29:30:22:23:26:31:27:30:32:19:25:32:33:33:28:34:35:7:36:29:37:37
7,0,36,0,115,0:1:35:3:4:5:4:35:6:7:1:8:7:9:10:8:10:11:12:9:3:13:5:11:20:15:12:15:13:16:17:18:18:19:31:17:21:16:22:0:20:22:8:21:23:24:24:5:25:26:27:28:22:29:30:22:23:26:31:27:30:32:19:25:32:33:33:28:34:6:7:36:29:37:37
15,0,36,0,114,0:1:35:3:4:5:4:35:31:7:1:8:7:9:10:8:10:11:12:9:3:13:5:11:30:15:12:15:20:16:17:18:18:19:13:17:21:16:22:0:20:22:8:21:23:24:24:5:25:26:27:28:22:29:13:22:23:26:31:27:36:32:19:25:32:33:33:28:34:6:7:36:29:37:37
145,0,35,0,113,18:8:1:17:4:5:4:35:31:7:8:10:7:1:35:10:11:16:3:0:17:13:5:11:9:15:3:15:37:16:34:29:18:19:13:34:21:0:22:18:9:22:16:21:23:24:24:5:25:26:27:28:22:30:13:22:23:26:31:27:36:32:19:25:32:33:33:28:12:6:7:36:30:37:6
163,0,35,0,112,18:8:11:17:4:5:4:35:0:7:1:10:7:1:35:8:11:16:3:10:17:13:5:30:9:15:3:15:37:16:34:29:18:19:13:34:21:0:22:18:9:22:16:21:23:24:24:5:25:26:27:1:22:30:13:22:23:26:31:27:36:32:19:25:32:33:33:28:12:6:7:36:29:37:6
318,0,35,0,111,18:21:1:15:4:24:4:1:0:9:7:29:9:7:11:21:35:16:26:29:15:11:5:35:5:17:26:17:37:16:30:24:18:19:13:30:20:0:22:18:37:22:16:20:23:8:8:28:25:34:11:7:22:3:28:22:23:33:13:27:36:32:19:25:32:33:31:34:31:6:9:36:3:10:6
388,0,34,0,110,18:21:22:15:37:24:37:1:6:9:7:1:9:7:11:21:22:16:26:29:15:11:35:35:0:17:26:17:5:16:30:24:18:29:13:30:20:6:10:18:5:22:16:20:23:8:8:28:25:34:11:7:3:10:28:13:23:33:13:27:36:32:35:25:32:33:31:34:31:29:9:36:3:19:19
388,0,34,0,110,18:21:22:15:37:24:37:1:6:9:7:1:9:7:11:21:22:16:26:29:15:11:35:35:0:17:26:17:5:16:30:24:18:29:13:30:20:6:10:18:5:22:16:20:23:8:8:28:25:34:11:7:3:10:28:13:23:33:13:27:36:32:35:25:32:33:31:34:31:29:9:36:3:19:19
#2022-10-12 00:33:52
