#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 01:41:00,wvcp,inithx.i.1,local_search,10,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,54,0,577,0:1:2:2:2:2:2:3:3:3:2:2:0:2:4:5:3:3:6:5:6:7:7:7:3:5:5:7:4:1:8:9:10:11:6:11:10:11:9:3:6:6:3:11:3:6:8:5:6:7:12:3:12:3:7:3:7:6:11:11:8:13:12:12:14:7:5:7:12:13:1:4:15:15:16:17:14:12:18:14:18:14:18:2:14:19:20:21:22:18:7:23:24:25:25:26:3:7:3:26:19:18:16:26:27:27:25:28:26:24:29:25:28:26:27:28:28:27:27:3:25:30:31:32:33:26:33:27:34:34:27:12:27:35:36:7:37:38:36:35:18:28:39:34:34:28:33:40:41:35:42:33:39:43:42:39:42:33:44:36:45:45:46:36:42:47:39:28:48:49:45:34:31:32:50:51:52:53:47:39:28
14116,1,54,0,576,44:50:37:20:28:28:28:2:37:20:28:2:2:2:11:20:37:49:2:37:2:37:2:2:2:49:44:20:2:11:47:39:31:45:49:45:31:6:6:50:2:6:2:6:6:6:2:49:49:6:45:28:2:2:20:2:2:39:11:11:20:25:32:49:2:6:49:49:45:49:24:24:48:25:12:19:15:32:15:32:45:37:32:2:47:24:22:46:26:6:2:51:23:33:16:33:16:16:33:6:51:33:32:27:8:8:16:28:6:0:0:27:27:8:27:16:28:27:27:8:6:10:42:14:35:32:15:35:38:28:27:38:27:9:21:6:29:5:9:38:21:28:33:35:33:28:33:52:43:35:1:1:33:3:9:21:1:33:41:8:40:9:36:1:13:13:40:40:18:17:13:21:14:26:7:53:34:30:4:4:40
14117,1,54,0,574,44:50:37:20:28:28:28:2:37:20:28:2:2:2:11:20:37:49:2:37:2:37:2:2:2:49:44:20:2:11:47:39:31:45:49:45:31:6:6:50:2:6:2:6:6:6:2:49:49:6:45:28:2:2:20:2:2:39:11:11:20:25:32:49:2:6:49:49:45:49:37:37:48:25:12:19:15:32:15:32:45:37:32:2:47:24:22:46:26:6:2:51:23:33:16:33:16:16:33:6:51:33:32:27:8:8:16:28:6:0:0:27:27:8:27:16:28:27:27:8:6:10:42:14:35:32:15:35:38:28:27:38:27:9:21:6:29:5:9:38:21:28:33:35:33:28:33:52:43:35:1:1:33:3:9:21:1:33:41:8:40:9:36:1:13:13:40:40:18:17:13:21:14:26:7:53:34:30:4:4:40
78733,7,54,0,573,12:10:32:32:32:38:38:38:2:32:38:38:10:38:29:43:38:32:24:24:43:2:38:43:24:32:12:32:38:10:37:47:27:2:22:36:36:36:47:24:43:24:2:36:32:43:27:36:22:24:22:36:43:2:32:2:24:43:27:32:27:41:38:53:53:24:24:36:2:53:37:37:28:28:44:20:16:53:16:53:22:53:36:32:16:35:46:34:49:19:36:0:7:11:11:39:38:36:39:24:35:29:34:6:39:53:39:24:11:49:40:39:11:16:22:6:6:6:6:39:32:30:50:3:18:22:6:19:18:24:11:11:6:1:25:18:17:42:25:1:1:6:33:18:18:6:36:23:14:33:5:5:25:51:25:5:39:11:21:5:31:1:13:33:48:48:5:48:8:52:31:33:5:45:15:9:45:26:4:25:48
78734,7,54,0,572,12:10:32:32:32:38:38:38:2:32:38:38:10:38:29:43:38:32:24:24:43:2:38:43:24:32:12:32:38:10:37:47:27:2:22:36:36:36:47:24:43:24:2:36:32:43:27:36:22:24:22:36:43:2:32:2:24:43:27:32:27:41:38:53:53:24:24:36:2:53:37:37:28:28:44:20:16:53:16:53:22:53:36:32:16:35:46:34:49:19:36:0:7:11:11:19:38:36:19:24:35:29:34:6:39:53:39:24:11:49:40:39:11:16:22:6:6:6:6:39:32:30:50:3:18:22:6:19:18:24:11:11:6:1:25:18:17:42:25:1:1:6:33:18:18:6:36:23:14:33:5:5:25:51:25:5:39:11:21:5:31:1:13:33:48:48:5:48:8:52:31:33:5:45:15:9:45:26:4:25:48
79843,8,54,0,571,12:10:32:32:32:38:38:38:2:32:38:38:10:38:29:43:38:32:24:24:43:2:38:43:24:32:12:32:38:10:37:15:27:2:36:36:15:36:36:24:43:24:2:36:32:43:27:36:22:24:22:24:43:2:32:2:24:43:27:32:27:45:38:22:53:24:24:32:2:53:37:37:35:45:44:20:16:53:16:53:2:53:36:32:16:31:46:34:28:22:38:0:7:6:11:19:11:11:19:24:20:7:34:19:39:22:39:24:11:28:40:19:11:16:39:6:6:6:6:11:32:30:3:52:18:39:6:19:18:24:11:11:6:1:25:18:47:42:25:1:1:19:33:18:18:6:36:23:14:33:5:53:25:51:25:33:19:11:17:49:49:1:21:48:48:48:49:48:50:13:49:33:33:13:9:41:4:26:5:25:8
148463,15,54,0,570,38:45:21:21:21:35:21:35:35:35:35:35:38:38:9:13:25:10:25:10:25:21:35:35:21:21:35:13:38:38:36:27:16:46:25:25:10:46:25:21:35:35:35:25:35:25:27:11:20:46:11:20:20:35:11:35:20:20:27:13:27:37:10:20:11:20:20:35:11:46:37:37:14:45:40:7:28:11:28:28:21:11:35:35:28:24:43:51:30:10:35:5:52:15:15:41:20:20:15:35:40:9:41:1:8:41:20:41:13:14:12:15:8:15:41:8:10:8:8:15:35:39:48:53:6:1:41:1:6:41:1:8:1:0:22:8:47:34:22:22:49:52:49:49:13:35:11:50:3:6:33:33:22:32:0:49:22:8:26:49:23:8:4:23:29:29:33:29:18:31:33:23:15:17:42:2:17:44:19:33:29
297582,30,54,0,569,25:19:44:44:44:44:44:21:21:21:21:44:19:19:14:34:51:51:35:51:34:21:35:21:51:34:25:34:44:44:24:47:50:46:51:46:35:46:51:21:34:34:51:21:21:21:19:35:28:35:28:21:21:51:35:21:35:14:28:44:34:37:3:28:51:21:21:35:3:24:19:28:11:37:4:17:6:28:6:6:28:21:21:34:6:10:33:26:40:3:21:15:30:12:29:12:35:35:29:12:12:29:17:8:16:12:3:29:3:47:9:16:8:16:16:12:29:16:16:21:35:22:27:0:2:8:2:29:12:29:16:3:16:43:5:29:23:13:5:1:1:27:1:43:28:28:29:32:18:43:38:38:29:41:43:38:12:38:49:38:7:5:31:5:7:42:42:7:45:53:7:42:18:13:48:36:52:20:39:43:42
35419737,30,54,0,569,25:19:44:44:44:44:44:21:21:21:21:44:19:19:14:34:51:51:35:51:34:21:35:21:51:34:25:34:44:44:24:47:50:46:51:46:35:46:51:21:34:34:51:21:21:21:19:35:28:35:28:21:21:51:35:21:35:14:28:44:34:37:3:28:51:21:21:35:3:24:19:28:11:37:4:17:6:28:6:6:28:21:21:34:6:10:33:26:40:3:21:15:30:12:29:12:35:35:29:12:12:29:17:8:16:12:3:29:3:47:9:16:8:16:16:12:29:16:16:21:35:22:27:0:2:8:2:29:12:29:16:3:16:43:5:29:23:13:5:1:1:27:1:43:28:28:29:32:18:43:38:38:29:41:43:38:12:38:49:38:7:5:31:5:7:42:42:7:45:53:7:42:18:13:48:36:52:20:39:43:42
#2022-10-12 02:41:01
