#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 02:12:03,wvcp,le450_15c,local_search,14,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,35,0,378,0:1:0:1:1:2:0:2:0:2:1:2:2:2:1:1:2:1:0:1:2:3:1:4:3:4:3:1:4:1:0:5:5:3:3:5:6:2:6:6:6:4:2:4:2:5:5:4:7:6:7:2:8:8:7:4:0:6:2:3:8:8:3:1:8:5:3:8:7:6:8:6:5:8:9:9:6:9:2:7:5:6:7:9:7:10:4:6:5:10:10:9:7:10:8:2:10:10:9:11:2:0:11:11:8:0:3:7:11:10:12:3:10:12:11:2:4:11:13:13:12:5:12:11:6:9:12:11:4:10:3:13:1:13:4:12:11:5:2:4:8:10:14:14:13:14:11:7:13:4:9:10:12:1:3:14:6:7:9:0:15:9:15:15:7:3:8:14:3:9:15:4:8:5:13:15:6:16:14:16:14:16:17:17:18:4:12:14:15:15:17:18:15:8:17:18:17:17:15:18:16:16:16:13:7:0:18:11:14:19:13:0:18:19:7:5:1:18:17:2:16:13:20:14:8:19:17:20:20:15:19:20:12:17:13:18:16:4:15:0:4:21:18:22:22:18:5:2:16:21:23:23:15:22:22:21:3:12:15:17:19:21:19:16:20:14:12:19:23:18:23:24:24:22:20:20:23:23:24:24:8:21:21:20:11:24:22:16:12:8:13:14:18:20:3:25:12:19:11:25:22:15:16:13:5:13:22:4:25:21:21:0:24:23:25:25:20:25:23:26:20:25:26:8:22:26:14:10:24:26:9:19:22:24:4:13:18:25:21:17:22:18:27:27:19:25:17:26:24:27:22:22:6:12:14:27:18:26:15:0:23:26:15:11:28:13:29:30:28:27:29:31:27:30:23:0:27:30:29:29:27:30:29:28:28:31:13:31:21:32:31:33:28:29:26:32:33:30:7:29:30:23:27:33:20:28:21:29:16:24:11:28:30:33:11:20:32:28:1:33:32:30:25:28:23:34:26:33:34:21:32:28:6:11:32:34:32:26:15:33:7:27:30:12:34:27:2:31:18:31
4,0,35,0,377,0:1:0:1:1:2:0:2:0:2:1:2:2:2:1:1:2:1:0:1:2:3:1:4:3:4:3:1:4:1:0:5:5:3:3:5:6:2:6:6:6:4:2:4:2:5:5:4:7:6:7:2:8:8:7:4:0:6:2:3:8:8:3:1:8:5:3:8:7:6:8:6:5:8:9:9:6:9:2:7:5:6:7:9:7:10:4:6:5:10:10:9:7:10:8:2:10:10:9:11:2:0:11:11:8:0:3:7:11:10:12:3:10:12:11:2:4:11:13:13:12:5:12:11:6:9:12:11:4:10:7:13:1:13:4:12:11:5:2:4:8:10:14:14:13:14:11:7:13:4:9:10:12:1:3:14:6:7:9:0:15:9:15:15:7:3:8:14:3:9:15:4:8:5:13:15:6:16:14:16:14:16:17:17:3:4:12:14:15:15:17:17:15:8:17:18:17:17:15:18:16:16:16:13:7:0:18:11:14:19:13:0:18:19:7:5:1:18:17:2:16:13:20:14:8:19:17:20:20:15:19:20:12:17:13:18:16:4:15:0:4:21:18:22:22:18:5:2:16:21:23:23:15:22:22:21:3:12:15:17:19:21:19:16:20:14:12:19:23:18:23:24:24:22:20:20:23:23:24:24:8:21:21:20:11:24:22:16:12:8:13:14:18:20:3:25:12:19:11:25:22:15:16:13:5:13:22:4:25:21:21:0:24:23:25:25:20:25:23:26:20:25:26:8:22:26:14:10:24:26:9:19:22:24:4:13:18:25:21:17:22:18:27:27:19:25:17:26:24:27:22:22:6:12:14:27:18:26:15:0:23:26:15:11:28:13:29:30:28:27:29:31:27:30:23:0:27:30:29:29:27:30:29:28:28:31:13:31:21:32:31:33:28:29:26:32:33:30:7:29:30:23:27:33:20:28:21:29:16:24:11:28:30:33:11:20:32:28:1:33:32:30:25:28:23:34:26:33:34:21:32:28:6:11:32:34:32:26:15:33:7:27:30:12:34:27:2:31:18:31
8,0,35,0,376,0:1:0:1:1:2:0:2:0:2:1:2:2:2:1:1:2:1:0:1:2:3:1:4:3:4:3:1:4:1:0:5:5:3:3:5:6:2:6:6:6:4:2:4:2:5:5:4:7:6:7:2:8:8:7:4:0:6:2:3:8:8:3:1:8:5:3:8:7:6:8:6:5:8:9:9:6:9:2:7:5:6:7:9:7:10:4:6:5:10:10:9:7:10:8:2:10:10:9:11:2:0:11:11:8:0:3:7:11:10:12:3:10:12:11:2:4:7:13:13:12:5:12:11:6:9:12:11:4:10:7:13:1:13:4:12:11:5:2:4:8:10:14:14:13:14:11:7:13:4:9:10:12:1:3:14:6:7:9:0:15:9:15:15:7:3:8:14:3:9:15:4:8:5:13:15:6:16:14:16:14:16:17:17:3:4:12:14:15:15:17:17:15:8:17:18:17:17:15:18:16:16:16:13:9:0:18:11:14:19:13:0:18:19:7:5:1:18:17:2:16:13:20:14:8:19:17:20:20:15:19:20:12:17:13:18:16:4:15:0:4:21:18:22:22:18:5:2:16:21:23:23:15:22:22:21:3:12:15:17:19:21:19:16:20:14:12:19:23:18:23:24:24:22:20:20:23:23:24:24:8:21:21:20:11:24:22:16:12:8:13:14:18:20:3:25:12:19:11:25:22:15:16:13:5:13:22:4:25:21:21:0:24:23:25:25:20:25:23:26:20:25:26:8:22:26:14:10:24:26:9:19:22:24:4:13:18:25:21:17:22:18:11:27:19:25:17:26:24:27:22:22:6:12:14:27:18:26:15:0:23:26:15:11:28:13:29:30:28:27:29:27:27:30:23:0:27:30:29:29:27:30:29:28:28:5:13:31:21:32:31:33:28:29:26:32:33:30:7:29:30:23:27:33:20:28:21:29:16:24:11:28:30:33:11:20:32:28:1:33:32:30:25:28:23:34:26:33:34:21:32:28:6:11:32:34:32:26:15:33:7:27:30:12:34:27:2:31:18:31
37,0,35,0,375,0:1:0:1:1:2:0:2:0:2:1:2:2:2:1:1:2:1:0:1:2:3:1:4:3:4:3:1:4:1:0:5:5:3:3:5:6:5:6:6:6:4:2:4:2:5:5:4:7:6:7:2:8:8:7:4:0:6:2:3:8:8:3:1:8:8:3:8:7:6:8:6:5:8:9:9:6:9:2:7:5:6:7:9:7:10:4:6:5:10:10:9:7:10:8:2:10:10:9:11:2:0:11:11:8:0:3:7:11:10:12:3:10:10:11:2:4:7:13:13:12:5:1:11:6:9:12:11:4:10:7:13:1:13:4:12:11:5:2:4:8:10:14:14:13:14:11:12:13:4:9:2:12:1:3:14:6:7:9:0:15:9:15:15:7:3:8:14:3:9:15:4:8:5:13:15:6:16:14:16:14:16:17:17:3:4:12:14:15:15:17:17:15:8:17:18:17:4:15:18:16:16:16:13:9:0:18:11:14:7:13:0:18:0:0:5:1:18:17:2:16:13:20:14:17:19:17:20:20:15:19:20:12:17:13:18:16:4:15:3:4:21:18:22:22:18:5:2:16:21:23:23:15:22:22:21:3:12:15:17:19:21:19:16:20:14:12:19:23:18:23:24:24:22:20:20:23:23:24:24:8:21:21:20:11:24:22:16:12:8:13:14:18:20:3:25:12:19:11:25:22:15:16:13:5:13:22:19:25:21:21:0:24:23:25:25:20:25:23:26:20:25:26:8:22:26:14:19:24:26:9:19:22:24:4:13:18:25:21:17:22:18:11:27:19:25:17:26:24:27:22:22:6:12:14:27:18:26:15:0:23:26:15:11:28:13:29:30:28:27:29:27:27:30:23:0:27:30:29:29:27:30:29:28:28:5:13:31:21:32:31:33:28:29:26:32:33:30:7:29:30:23:27:33:20:28:21:29:16:24:11:28:30:33:11:20:32:28:1:33:32:30:25:28:23:34:26:33:34:21:32:28:6:11:32:34:32:26:15:33:7:27:30:12:34:27:2:31:18:31
50,0,35,0,374,0:1:0:1:1:2:0:2:0:2:1:2:2:2:1:1:2:1:0:1:2:3:1:4:3:4:3:1:4:1:0:5:5:3:3:5:6:5:6:6:6:4:2:4:2:5:5:4:7:6:7:2:8:8:7:4:0:4:2:3:8:8:3:1:8:8:3:8:7:6:8:6:5:8:9:9:6:9:2:7:5:6:7:9:7:10:4:6:5:10:10:9:7:10:8:2:10:10:9:11:2:0:11:11:8:0:3:7:11:10:12:3:10:10:11:2:4:7:13:13:12:5:1:11:6:9:12:11:4:10:7:13:1:13:4:12:11:5:2:4:8:10:14:14:13:14:11:12:13:4:9:2:12:1:3:14:6:7:9:0:15:9:15:15:6:3:8:14:3:9:15:4:8:5:13:15:6:16:14:16:14:16:17:17:3:4:12:14:15:15:17:17:15:8:17:18:17:16:15:18:16:16:16:13:9:0:18:11:14:7:13:0:18:0:0:5:1:18:17:2:16:13:20:14:17:20:17:10:20:15:7:20:12:17:13:18:16:4:15:3:4:21:18:22:22:18:5:2:16:21:23:23:15:22:22:21:3:12:15:17:19:21:19:22:20:14:12:19:23:18:23:24:24:22:20:20:23:23:24:24:8:21:21:20:11:24:22:16:12:8:13:14:18:20:3:25:12:19:11:25:22:15:16:13:5:13:22:19:25:21:21:0:24:23:25:25:20:25:23:26:3:25:26:8:22:26:14:19:24:26:9:19:22:24:4:13:18:25:21:17:22:18:11:27:19:25:17:26:24:27:22:22:6:12:14:27:18:26:15:0:23:26:15:11:28:13:29:30:28:27:29:27:27:30:23:0:27:30:29:29:27:30:29:28:28:5:13:31:21:32:31:33:28:29:26:32:33:30:7:29:30:23:27:33:20:28:21:29:16:24:11:28:30:33:11:20:32:28:1:33:32:30:25:28:23:34:26:33:34:21:32:28:6:11:32:34:32:26:15:33:7:27:30:12:34:27:2:31:18:31
69,0,35,0,373,0:1:0:1:1:2:0:2:0:2:1:2:2:2:1:1:2:1:0:1:2:3:1:4:3:4:3:1:5:1:0:5:5:3:3:5:6:5:6:6:6:4:2:4:2:5:5:4:7:6:7:2:8:8:7:4:0:4:2:3:8:8:3:1:8:8:3:8:7:6:8:6:5:8:9:9:6:9:2:7:5:6:7:9:7:10:4:6:10:10:10:9:7:10:8:2:10:10:9:11:2:0:11:11:8:0:3:7:11:10:12:3:10:10:11:2:4:7:13:13:12:12:1:11:6:9:12:11:4:10:7:13:5:13:4:12:11:5:2:4:8:10:14:14:13:14:11:12:13:4:9:2:12:1:3:14:6:7:9:0:15:9:15:15:6:3:8:14:3:9:4:4:8:5:13:15:6:16:14:16:14:16:17:17:3:4:1:14:15:15:17:17:15:8:17:18:17:16:15:18:16:16:16:13:9:0:18:15:14:7:13:0:18:0:0:5:1:18:17:2:16:13:20:14:17:20:17:10:20:15:7:20:12:17:13:18:16:4:15:3:4:21:18:22:22:18:5:2:16:21:11:19:15:22:22:21:3:12:15:17:19:21:19:22:20:14:12:19:19:18:23:24:24:22:20:20:23:23:24:24:8:21:21:20:11:24:22:16:12:8:13:14:18:20:3:25:12:19:11:25:22:15:16:13:5:13:22:19:25:21:21:0:24:23:25:25:20:25:23:26:3:25:26:8:22:26:14:19:24:26:9:19:22:24:4:13:18:25:21:17:22:18:11:27:19:25:17:26:24:27:22:22:6:12:14:27:18:26:15:0:23:26:15:11:28:13:29:30:28:27:29:27:27:30:23:0:27:30:29:29:27:30:29:28:28:5:13:31:21:32:31:33:28:29:26:32:33:30:7:29:30:23:27:33:20:28:21:29:16:24:11:28:30:33:11:20:32:28:1:33:32:30:25:28:23:34:26:33:34:21:32:28:6:11:32:34:32:26:15:33:7:27:30:12:34:27:2:31:18:31
71,0,35,0,372,0:1:0:1:1:2:0:2:0:2:1:2:2:2:1:1:2:1:0:1:2:3:1:4:3:4:3:1:5:1:0:5:5:3:3:5:6:5:6:6:6:4:2:4:2:5:5:4:7:6:7:2:8:8:7:4:0:4:2:3:8:8:3:1:8:8:3:8:7:6:8:6:5:8:9:9:6:9:2:7:5:6:7:9:7:10:4:6:10:10:10:9:7:10:8:2:10:10:9:11:2:0:11:11:8:0:3:7:11:10:12:3:10:10:11:2:4:7:13:13:12:12:1:11:6:9:12:11:4:10:7:13:5:13:4:12:11:5:2:4:8:10:14:14:13:14:11:12:13:4:9:2:12:1:3:14:6:7:9:0:15:9:15:15:6:3:8:14:3:9:4:4:8:5:13:15:6:16:14:16:14:16:17:17:3:4:1:14:15:15:17:17:15:8:17:18:17:16:15:18:16:16:16:13:9:0:18:15:14:7:13:0:18:0:0:5:1:18:17:2:16:13:20:14:17:20:17:10:20:15:7:20:12:17:13:18:16:4:15:3:4:21:18:22:22:18:17:2:16:21:11:19:15:22:22:21:3:12:15:17:19:21:19:22:20:14:12:19:19:18:23:24:24:22:20:20:23:23:24:24:8:21:21:20:11:24:22:16:12:8:13:14:18:20:3:5:12:19:11:5:22:15:16:13:5:13:22:19:1:21:21:0:24:23:25:25:20:25:23:26:3:25:26:8:22:26:14:19:24:26:9:19:22:24:4:13:18:25:21:17:22:18:11:27:19:25:17:26:24:27:22:22:6:12:14:27:18:26:15:0:23:26:15:11:28:13:29:30:28:27:29:27:27:30:23:0:27:30:29:29:27:30:29:28:28:5:13:31:21:32:31:33:28:29:26:32:33:30:7:29:30:23:27:33:20:28:21:29:16:24:11:28:30:33:11:20:32:28:1:33:32:30:25:28:23:34:26:33:34:21:32:28:6:11:32:34:32:26:15:33:7:27:30:12:34:27:2:31:18:31
107,0,35,0,371,0:1:0:1:1:2:0:2:0:2:1:2:2:2:1:1:2:1:0:1:2:3:1:4:3:4:3:1:5:1:0:5:5:3:3:5:6:5:6:6:6:4:2:4:2:5:5:4:7:6:7:2:8:8:7:4:0:4:2:3:8:8:3:1:8:8:3:8:7:6:4:6:5:8:9:9:6:9:2:5:5:6:9:9:4:10:4:6:10:10:10:9:7:10:8:2:10:10:9:11:2:0:11:11:8:0:3:7:11:10:12:3:10:10:11:2:4:7:13:13:12:12:1:11:6:9:12:11:10:10:7:13:5:13:4:12:11:8:2:4:8:10:14:14:13:14:11:12:13:4:9:2:12:1:3:14:6:7:9:6:15:9:15:15:6:3:8:14:3:9:12:6:8:5:13:15:6:16:14:16:14:16:17:17:3:4:1:14:15:15:17:17:15:8:17:18:17:16:15:18:16:16:16:13:9:0:18:15:14:7:13:0:18:0:0:5:12:18:17:2:16:13:20:14:17:19:17:20:20:15:7:20:12:17:13:18:16:4:15:3:4:21:18:22:22:18:17:2:16:21:11:20:15:22:22:21:3:12:15:17:19:21:19:22:20:14:12:19:19:18:7:24:24:22:15:20:7:8:24:24:8:21:21:20:11:24:22:16:12:16:0:14:18:20:3:5:12:19:11:5:22:15:16:13:5:13:22:19:1:21:21:0:24:23:25:25:20:25:23:26:3:25:26:8:22:26:14:19:24:26:9:19:22:24:4:13:18:25:21:17:22:18:11:27:19:25:17:26:24:27:22:22:6:12:14:27:18:26:15:0:23:26:15:11:28:13:29:30:28:27:29:27:27:30:23:0:27:30:29:29:27:30:29:28:28:5:13:31:21:32:31:33:28:29:26:32:33:30:30:29:30:23:27:33:20:28:21:29:16:24:11:28:30:33:11:20:32:28:1:33:32:30:25:28:23:34:26:33:34:21:32:28:6:11:32:34:32:26:15:33:7:27:30:12:34:27:2:31:18:31
130,0,35,0,370,0:1:0:1:1:2:0:2:0:2:1:2:2:2:1:1:2:1:0:1:2:3:1:4:3:4:3:1:5:1:0:5:5:3:3:0:6:2:6:6:6:4:2:4:2:5:5:4:7:6:7:2:8:8:7:4:0:4:2:3:8:8:3:1:8:8:3:8:7:6:4:6:5:8:9:9:6:9:2:5:5:6:9:9:4:10:4:6:10:10:10:9:7:10:8:2:10:10:9:11:2:0:11:11:8:0:3:7:11:10:12:3:10:10:11:2:4:7:13:13:12:12:1:11:6:9:12:11:10:10:7:13:5:13:8:12:11:8:2:4:8:10:14:14:13:14:11:12:13:4:9:9:12:1:3:14:6:7:9:6:15:9:15:15:6:3:8:14:3:9:12:6:8:5:13:15:6:16:14:16:14:16:17:17:3:4:1:14:15:15:17:17:15:8:17:18:17:16:15:18:16:16:16:13:18:0:18:15:14:7:13:0:18:0:0:5:12:18:17:2:16:13:20:14:17:5:17:20:20:15:7:20:12:17:13:18:16:4:15:3:4:21:18:22:22:18:17:2:16:21:11:20:15:22:22:21:3:12:15:17:19:21:19:22:20:14:12:19:19:18:7:24:24:22:15:20:7:8:24:24:8:21:21:20:11:24:22:16:12:16:0:14:18:20:3:5:12:19:11:5:22:15:16:13:5:13:22:19:1:21:21:0:24:23:25:25:20:25:23:26:3:25:26:8:22:26:14:19:24:26:9:19:22:24:4:13:18:25:21:17:22:7:11:27:19:25:17:26:24:27:22:22:6:12:14:27:18:26:15:0:23:26:15:11:28:13:29:30:28:27:29:27:27:30:23:0:27:30:29:29:27:30:29:28:28:5:13:31:21:32:31:33:28:29:26:32:33:30:30:29:30:23:27:33:20:28:21:29:16:24:11:28:30:33:11:20:32:28:1:33:32:30:25:28:23:34:26:33:34:21:32:28:6:11:32:34:32:26:15:33:7:27:30:12:34:27:2:31:18:31
137,0,35,0,368,0:1:0:1:1:2:0:2:0:2:1:2:2:2:1:1:2:1:0:1:2:3:1:4:3:4:3:1:5:1:0:5:5:3:3:0:6:2:6:6:6:4:2:4:2:5:5:4:7:6:7:2:8:8:7:4:0:4:2:3:8:8:3:1:8:8:3:8:7:6:4:6:5:8:9:9:6:9:2:5:5:6:9:9:4:10:4:6:10:10:10:9:7:10:8:2:10:10:9:11:2:0:11:11:8:0:3:7:11:10:12:3:10:10:11:2:4:7:13:13:12:12:1:11:6:9:12:11:10:10:7:13:5:13:8:12:11:8:2:4:8:10:14:14:13:14:11:12:13:4:9:9:12:1:3:14:6:7:9:6:15:9:15:15:6:3:8:14:3:9:12:6:8:5:13:15:6:16:14:16:14:16:17:17:3:4:1:14:15:15:17:17:15:8:17:18:17:16:15:18:16:16:16:13:18:0:18:15:14:7:13:0:18:0:0:5:12:18:17:2:16:13:20:14:17:5:17:20:20:15:7:20:12:17:13:18:16:4:15:3:4:21:18:22:22:18:17:2:16:21:11:20:15:22:22:21:3:12:15:17:11:21:9:22:20:14:12:21:9:18:7:24:24:22:15:20:7:8:24:24:8:21:21:20:11:24:22:16:12:16:0:14:18:20:3:5:12:19:11:5:22:15:16:13:5:13:22:19:1:21:21:0:24:23:25:25:20:25:23:26:3:25:26:8:22:26:14:19:24:26:23:19:22:24:4:13:18:25:21:17:22:7:11:27:19:25:17:26:24:27:22:22:6:12:14:27:18:26:15:0:23:26:15:11:28:13:29:30:28:27:29:27:27:30:23:0:27:30:29:29:27:30:29:28:28:5:13:31:21:32:31:33:28:29:26:32:33:30:30:29:30:23:27:33:20:28:21:29:16:24:32:28:30:33:11:20:32:28:1:33:32:30:25:28:23:34:26:33:34:21:32:28:6:11:32:34:32:26:15:33:7:27:30:12:34:27:2:31:18:31
