#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 02:24:51,wvcp,le450_25b,local_search,2,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,30,0,335,0:0:0:0:1:2:1:1:1:0:2:1:0:2:1:0:0:1:3:2:1:3:3:2:2:0:2:2:1:3:4:3:4:2:3:2:4:0:4:4:5:6:1:3:5:1:5:6:4:1:5:3:3:1:5:6:4:4:3:0:2:3:3:4:5:6:7:6:6:7:5:7:7:7:3:2:1:0:5:7:6:1:4:2:8:8:7:1:9:7:8:9:0:8:10:4:8:2:10:9:10:11:2:10:9:12:11:13:10:5:0:12:3:9:0:12:12:13:11:13:13:9:12:11:12:11:8:11:6:2:11:8:9:12:0:12:14:15:14:15:12:15:8:15:6:15:8:12:10:8:14:0:11:14:1:6:11:8:7:7:14:13:16:9:10:10:4:16:7:14:11:14:6:12:16:16:16:9:5:5:13:12:14:13:15:16:13:16:4:9:12:16:11:17:18:16:3:16:18:18:14:10:4:17:17:11:17:9:17:3:10:18:15:19:19:19:19:19:12:19:20:20:20:20:15:19:2:19:17:0:18:21:21:19:21:21:21:14:17:9:16:9:20:5:7:21:6:22:17:22:12:17:15:5:21:0:3:18:16:9:2:20:23:18:16:23:7:20:10:13:21:23:23:16:13:10:1:19:15:16:12:10:5:13:24:25:22:24:25:17:25:23:24:11:23:24:6:23:23:0:26:20:27:27:23:28:25:28:26:28:4:4:6:17:20:5:28:27:24:26:24:26:25:22:22:26:11:26:25:28:28:21:20:16:23:27:29:25:24:29:26:28:20:20:15
12,0,30,0,334,0:0:0:0:1:2:1:1:1:0:2:1:0:2:1:0:0:1:3:2:1:3:3:2:2:0:2:2:1:4:4:3:4:2:3:2:4:0:4:4:5:6:1:3:5:1:3:6:4:1:5:3:3:1:5:6:5:4:3:0:2:3:3:4:5:5:7:6:6:7:5:7:7:7:3:2:1:0:5:7:6:1:4:2:8:8:7:1:9:7:8:9:6:8:0:4:8:2:2:9:10:11:2:10:9:12:11:13:10:10:0:12:3:9:0:12:12:13:11:13:13:9:12:11:12:11:8:11:6:2:11:8:9:12:0:12:14:15:14:15:12:15:8:15:6:15:8:12:10:8:14:0:11:14:1:6:11:8:7:7:14:13:16:9:10:10:4:16:7:14:11:14:6:12:16:16:16:9:5:5:13:12:14:13:15:16:13:16:4:9:12:16:11:17:18:16:3:16:18:18:14:10:4:17:17:11:17:9:17:3:10:18:15:19:19:19:19:19:12:19:20:20:20:20:15:19:2:19:17:0:18:21:21:19:21:21:21:14:17:9:16:9:20:5:7:21:6:22:17:22:12:17:15:5:21:0:3:18:16:9:2:20:23:18:16:23:7:20:10:13:21:23:23:16:13:10:1:19:15:16:12:10:5:13:24:25:22:24:25:17:25:23:24:11:23:24:6:23:23:0:26:20:27:27:23:28:25:28:26:28:4:4:6:17:20:5:28:27:24:26:24:26:25:22:22:26:11:26:25:28:28:21:20:16:23:27:29:25:24:29:26:28:20:20:15
19,0,30,0,333,0:0:0:0:1:2:1:1:1:0:2:1:0:2:1:0:0:1:3:2:1:3:3:2:4:0:2:2:1:4:4:3:4:2:3:2:4:0:4:4:5:6:1:3:5:1:3:2:4:1:5:3:3:1:5:6:5:4:3:0:2:3:3:4:5:5:7:6:6:7:5:7:7:7:3:2:1:0:5:7:6:1:4:2:8:8:7:1:9:7:8:9:6:8:0:4:8:2:2:9:10:11:2:10:9:12:11:13:10:10:0:12:3:9:0:12:12:13:11:13:13:9:12:11:12:11:8:11:6:2:11:8:9:12:0:12:14:15:14:15:12:15:8:15:6:15:8:12:10:8:14:0:11:14:1:6:11:8:7:7:14:13:16:9:10:10:4:16:7:14:11:14:6:12:16:16:16:9:5:5:13:12:14:13:15:16:13:16:4:9:12:16:11:17:18:16:3:16:18:18:14:10:18:17:17:11:17:9:17:3:10:18:15:19:19:19:19:19:12:19:20:20:20:20:15:19:2:21:17:0:18:21:21:19:21:21:21:14:17:9:16:9:20:5:7:21:19:6:17:6:12:17:15:5:21:0:3:18:16:9:2:20:23:18:16:23:7:20:10:13:21:23:23:16:13:10:1:19:15:16:12:10:5:13:24:25:22:24:25:17:25:23:24:11:23:24:6:23:23:0:26:20:27:27:23:28:25:28:26:28:4:4:6:17:20:5:28:27:24:26:24:26:25:22:22:26:11:26:25:28:28:21:20:16:23:27:29:25:24:29:26:28:20:20:15
41,0,30,0,332,0:0:0:4:1:2:1:1:1:0:2:1:4:2:1:0:0:1:3:2:1:1:3:2:4:0:2:2:1:4:4:3:4:2:3:2:4:0:4:4:5:6:3:3:5:1:3:2:0:1:5:3:3:1:5:6:5:4:3:0:2:3:3:4:5:5:7:6:6:7:5:7:7:7:3:2:1:0:5:7:6:1:4:2:8:8:7:1:9:7:8:9:6:8:0:4:8:2:2:9:10:11:2:10:9:12:11:13:10:10:0:12:3:9:0:12:12:13:11:13:13:9:12:11:12:11:8:11:6:2:11:8:9:12:0:12:14:15:14:15:12:15:8:15:6:15:8:12:10:8:14:0:11:14:1:6:11:8:7:7:14:13:16:9:10:10:4:16:7:14:11:14:6:12:16:16:16:9:5:5:13:12:14:13:15:16:13:16:4:9:12:4:11:17:18:16:3:16:18:18:14:10:18:17:17:11:17:9:17:3:10:18:15:19:19:19:19:19:12:19:20:20:20:20:15:19:2:21:17:0:18:21:21:19:21:21:21:14:17:9:16:9:20:5:7:21:19:6:17:6:12:17:15:5:21:0:3:18:16:9:2:20:23:18:16:23:7:20:10:16:21:23:23:16:13:10:1:19:15:16:12:10:5:13:24:25:13:24:25:17:25:23:24:11:23:24:6:23:23:0:26:20:27:27:23:28:25:28:26:28:4:4:6:17:20:5:28:27:24:26:24:26:25:22:22:26:11:26:25:28:28:21:20:16:23:27:29:25:24:29:26:28:20:20:15
42,0,29,0,330,0:0:0:4:1:2:1:1:1:0:2:1:4:2:1:0:0:1:3:2:1:1:3:2:4:0:2:2:1:4:4:3:4:2:3:2:4:0:4:4:5:6:3:3:5:1:3:2:0:1:5:3:3:1:5:6:5:4:3:0:2:3:3:4:5:5:7:6:6:7:5:7:7:7:3:2:1:0:5:7:6:1:4:2:8:8:7:1:9:7:8:9:6:8:0:4:8:2:2:9:10:11:2:10:9:12:11:13:10:10:0:12:3:9:0:12:12:13:11:13:13:9:12:11:12:11:8:11:6:2:11:8:9:12:0:12:14:15:14:15:12:15:8:15:6:15:8:12:10:8:14:0:11:14:1:6:11:8:7:7:14:13:16:9:10:10:4:16:7:14:11:14:6:12:16:16:16:9:5:5:13:12:14:13:15:16:13:16:4:9:12:4:11:17:18:16:3:16:18:18:14:10:18:17:17:11:17:9:17:3:10:18:15:19:19:19:19:19:12:19:20:20:20:20:15:19:2:21:17:0:18:21:21:19:21:21:21:14:17:9:16:9:20:5:7:21:19:6:17:6:12:17:15:5:21:0:3:18:16:9:2:20:23:18:16:23:7:20:10:16:21:23:23:16:13:10:1:19:15:16:12:10:5:13:24:25:13:24:25:17:25:23:24:11:23:24:6:23:23:0:26:20:27:27:23:28:25:28:26:28:4:4:6:17:20:5:28:27:24:26:24:26:25:25:5:26:11:26:25:28:28:21:20:16:23:27:29:25:24:29:26:28:20:20:15
43,0,29,0,329,0:0:0:4:1:2:1:1:1:0:2:1:4:2:1:0:0:1:3:2:1:1:3:2:4:0:2:2:1:4:4:3:4:2:3:2:4:0:4:4:5:6:3:3:5:1:3:2:0:1:5:3:3:1:5:6:5:4:3:0:2:3:3:4:5:5:7:6:6:7:5:7:7:7:3:2:1:0:5:7:6:1:4:2:8:8:7:1:9:7:8:9:6:8:0:4:8:2:2:9:10:11:2:10:9:12:11:6:10:10:0:12:3:9:0:12:12:13:11:13:13:9:12:11:12:11:8:11:6:2:11:8:9:12:0:12:14:15:14:15:12:15:8:15:6:15:8:12:10:8:14:0:11:14:1:6:11:8:7:7:14:13:16:9:10:10:4:16:7:14:11:14:6:12:16:16:16:9:5:5:13:12:14:13:15:16:13:16:4:9:12:4:11:17:18:16:3:16:18:18:14:10:18:17:17:11:17:9:17:3:10:18:15:19:19:19:19:19:12:19:20:20:20:20:15:19:2:21:17:0:18:21:21:19:21:21:21:14:17:9:16:9:20:5:7:21:19:6:17:6:12:17:15:5:21:0:3:18:16:9:2:20:23:18:16:23:7:20:10:16:21:23:23:16:13:10:1:19:15:16:12:10:5:13:24:25:13:24:25:17:25:23:24:11:23:24:9:23:23:0:26:20:27:27:23:28:25:28:26:28:4:4:6:17:20:5:28:27:24:26:24:26:25:25:5:26:11:26:25:28:28:21:20:16:23:27:29:25:24:29:26:28:20:20:15
83,0,29,0,328,0:0:0:4:1:2:1:1:1:0:2:1:4:2:1:4:0:1:3:2:1:1:3:2:4:0:2:2:1:4:4:3:4:2:3:2:4:0:4:4:5:6:3:3:5:1:6:2:0:1:5:3:3:3:5:6:1:4:3:0:2:3:3:4:5:5:7:6:6:7:5:7:7:7:3:2:1:0:5:7:6:1:4:2:8:8:7:1:9:7:8:9:6:5:0:4:8:2:2:9:10:11:2:10:9:12:11:6:10:10:0:12:3:9:0:12:12:13:11:13:13:9:12:11:12:11:8:11:6:2:11:8:9:12:0:12:14:15:14:15:12:15:8:15:6:15:8:12:10:8:14:0:11:14:1:6:11:8:7:7:14:13:16:9:10:10:4:16:7:14:11:14:6:12:16:16:16:9:5:5:13:12:14:13:15:16:13:16:4:9:12:4:11:17:18:6:3:16:18:18:14:10:18:17:17:11:17:9:17:3:10:18:15:19:19:19:19:19:12:19:20:20:20:20:15:19:2:8:17:0:18:21:21:19:21:21:21:14:17:9:16:9:20:5:7:21:19:16:17:6:12:17:15:5:21:0:3:18:21:9:2:20:23:18:16:23:7:20:10:16:21:23:23:16:13:10:1:19:15:16:12:10:5:13:24:25:13:24:25:17:25:23:24:11:23:24:9:23:23:0:26:20:27:27:23:28:25:28:26:28:4:4:6:17:20:5:28:27:24:26:24:26:25:25:5:26:11:26:25:28:28:21:20:16:23:27:29:25:24:29:26:28:20:20:15
84,0,28,0,327,0:0:0:4:1:2:1:1:1:0:2:1:4:2:1:4:0:1:3:2:1:1:3:2:4:0:2:2:1:4:4:3:4:2:3:2:4:0:4:4:5:6:3:3:5:1:6:2:0:1:5:3:3:3:5:6:1:4:3:0:2:3:3:4:5:5:7:6:6:7:5:7:7:7:3:2:1:0:5:7:6:1:4:2:8:8:7:1:9:7:8:9:6:5:0:4:8:2:2:9:10:11:2:10:9:12:11:6:10:10:0:12:3:9:0:12:12:13:11:13:13:9:12:11:12:11:8:11:6:2:11:8:9:12:0:12:14:15:14:15:12:15:8:15:6:15:8:12:10:8:14:0:11:14:1:6:11:8:7:7:14:13:16:9:10:10:4:16:7:14:11:14:6:12:16:16:16:9:5:5:13:12:14:13:15:16:13:16:4:9:12:4:11:17:18:6:3:16:18:18:14:10:18:17:17:11:17:9:17:3:10:18:15:19:19:19:19:19:12:19:20:20:20:20:15:19:2:8:17:0:18:21:21:19:21:21:21:14:17:9:16:9:20:5:7:21:19:16:17:6:12:17:15:5:21:0:3:18:21:9:2:20:23:18:16:23:7:20:10:16:21:23:23:16:13:10:1:19:15:16:12:10:5:13:24:25:13:24:25:17:25:23:24:11:23:24:9:23:23:0:26:20:27:27:23:28:25:28:26:8:4:4:6:17:20:5:28:27:24:26:24:26:25:25:5:26:11:26:25:28:28:21:20:16:23:27:28:25:24:28:26:28:20:20:15
189,0,28,0,326,0:0:0:1:1:2:1:1:1:0:2:1:0:2:0:0:0:1:0:2:1:0:3:2:4:0:2:2:1:4:4:3:4:2:3:2:4:0:5:4:5:6:3:3:5:1:6:2:4:1:5:1:3:3:3:6:1:4:3:6:2:3:3:4:5:4:7:6:6:7:5:7:7:7:3:2:3:0:2:7:6:1:4:2:8:8:3:1:9:7:8:8:7:5:6:5:8:2:2:8:10:11:2:10:9:12:11:6:7:10:0:12:7:9:0:12:12:13:11:13:13:9:12:11:12:11:8:11:6:2:11:8:9:12:0:12:14:15:14:15:12:15:9:15:6:15:8:12:10:8:14:10:11:14:1:6:11:8:7:7:14:13:16:9:10:10:4:16:7:14:11:14:6:12:16:16:16:9:5:5:13:12:14:13:15:16:13:16:6:9:12:4:11:17:18:6:3:16:18:18:14:10:18:17:17:11:13:9:17:3:10:18:15:19:19:19:19:19:12:19:20:20:20:20:15:19:20:8:17:19:18:21:21:19:21:21:21:14:17:17:16:9:20:1:7:21:19:16:17:6:12:17:15:4:21:0:3:18:21:9:2:20:23:18:16:23:10:20:10:16:21:23:23:16:13:10:1:19:15:16:12:10:5:13:24:25:13:24:25:17:25:23:24:11:23:24:9:23:23:13:26:20:27:27:23:28:25:28:26:8:4:4:6:17:20:5:28:27:24:26:24:26:25:25:5:26:11:26:25:28:28:21:20:16:23:27:28:25:24:28:26:28:20:20:15
6083,0,28,0,325,2:1:2:0:0:1:2:1:0:0:1:1:2:1:2:2:0:0:2:4:0:1:4:4:1:4:4:0:0:1:4:4:2:4:0:4:4:0:9:9:6:2:9:4:0:0:6:3:3:9:6:0:5:9:5:0:3:5:9:1:2:5:3:1:6:1:5:0:6:3:6:5:5:6:9:1:9:1:2:1:2:2:4:6:10:5:9:2:8:8:6:10:5:5:6:3:0:5:4:8:8:13:7:11:10:7:5:11:6:11:10:11:7:1:3:8:6:11:3:13:13:9:10:8:7:11:8:8:11:11:10:6:7:10:0:9:12:15:14:15:8:15:7:15:4:15:7:12:14:3:14:13:11:5:3:6:13:13:8:12:14:13:16:11:1:4:10:16:16:14:11:14:12:12:12:14:16:15:5:5:14:12:16:13:15:16:16:16:12:15:10:8:12:17:18:10:18:16:14:18:2:14:18:17:17:11:10:6:17:17:15:18:15:19:19:19:19:19:12:19:20:20:20:20:15:19:20:0:17:19:18:21:21:19:21:21:21:4:17:12:16:15:20:21:17:21:19:16:17:1:7:17:7:12:21:18:7:18:21:9:14:20:14:18:14:23:17:20:23:16:21:23:23:16:11:11:14:19:15:16:5:18:10:8:24:25:13:24:25:17:25:12:24:18:23:24:21:23:23:2:26:20:27:27:23:28:25:28:26:25:24:28:28:17:20:28:28:27:24:26:24:26:25:25:23:26:12:26:25:28:28:21:20:16:23:27:28:25:24:28:26:28:20:20:15
