#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 02:36:41,wvcp,le450_25d,local_search,5,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,41,0,441,0:1:2:0:2:1:3:3:2:1:3:2:3:0:1:1:2:4:2:4:1:4:3:4:2:0:5:4:5:1:2:0:0:4:6:6:5:4:2:2:5:4:7:3:3:2:7:7:6:7:0:7:0:8:8:8:9:1:5:9:1:6:0:7:7:9:8:10:1:9:5:5:3:9:10:11:8:11:11:6:10:10:9:10:11:0:10:6:12:5:8:6:12:12:10:12:12:13:13:12:13:13:12:5:8:12:14:8:3:13:6:0:14:3:7:6:12:7:11:7:10:15:16:14:16:11:16:15:14:14:14:14:10:6:7:3:13:4:16:7:7:15:0:14:16:12:4:17:17:7:9:18:17:18:9:9:15:18:17:18:18:7:17:13:18:16:5:13:6:4:13:15:13:10:18:3:19:19:20:21:21:2:15:11:20:15:20:17:20:16:16:18:21:14:19:17:20:11:9:3:21:19:21:17:0:12:22:22:22:6:19:21:5:23:20:14:23:23:23:22:13:19:23:22:6:11:8:21:13:23:24:24:24:9:24:5:21:23:19:24:24:21:22:15:6:18:23:15:7:9:1:22:25:11:25:25:4:14:26:3:20:19:19:18:26:19:16:14:8:26:0:24:1:4:24:27:8:22:28:26:27:28:27:25:28:26:28:21:1:16:28:19:21:14:29:29:27:25:30:30:31:29:26:29:28:31:29:31:25:31:21:30:20:12:16:31:10:27:14:28:16:12:14:32:20:23:27:25:32:33:32:33:24:27:22:26:30:10:25:33:34:28:34:26:32:32:23:33:31:33:5:34:18:32:31:30:26:8:13:12:8:9:35:28:31:17:30:32:35:23:24:34:27:36:30:36:29:11:22:36:34:29:33:15:32:31:25:20:37:34:38:33:39:32:35:36:2:37:15:35:35:38:29:26:28:34:11:28:11:31:27:38:32:24:26:31:30:4:4:37:39:39:38:36:40:40:13:40:36:38:17:40:37:19:36:6:35:40:29:21:3:38
84,0,41,0,440,0:4:2:3:2:1:1:1:1:4:3:3:3:2:4:3:4:0:2:4:0:0:6:4:2:2:5:4:5:2:0:0:4:1:6:2:5:3:2:2:5:3:7:3:1:2:7:7:6:7:0:7:0:8:8:8:9:1:5:9:3:6:0:7:7:9:8:6:0:9:5:5:3:9:10:11:8:11:11:6:0:10:9:10:11:5:10:6:12:5:8:6:12:12:13:12:12:13:13:12:13:13:12:5:8:12:14:8:5:13:6:0:14:3:7:6:12:7:11:7:10:15:16:14:16:11:16:15:14:14:14:14:10:6:7:1:13:4:16:7:7:15:1:14:16:12:4:17:17:7:9:18:17:18:9:9:15:18:17:18:18:7:17:13:18:16:5:13:6:15:13:15:13:10:18:12:19:19:20:21:21:2:15:11:20:15:20:17:20:16:16:18:21:14:19:17:20:11:9:3:21:19:21:17:0:12:22:22:22:6:19:21:5:23:20:14:23:23:23:22:13:19:23:22:6:11:8:21:13:23:24:24:24:9:24:18:21:23:19:24:24:21:22:15:6:18:23:15:7:9:1:22:25:11:25:25:4:14:26:10:20:19:19:18:26:19:16:14:8:26:0:24:0:21:24:27:8:22:28:26:27:28:27:25:28:26:28:21:24:16:28:19:21:14:29:29:27:25:30:30:31:29:26:29:28:31:29:31:25:31:21:30:20:12:16:31:10:27:14:28:16:12:14:32:20:23:27:25:32:33:32:33:24:27:22:26:30:10:25:33:34:28:34:26:32:32:23:33:31:33:5:34:18:32:31:30:26:8:13:12:8:9:35:28:31:17:30:32:35:23:24:34:27:36:30:36:29:11:22:36:34:29:33:15:32:31:25:20:37:34:38:33:1:32:35:36:2:37:15:35:35:38:29:26:28:34:11:28:11:31:27:38:32:24:26:31:30:4:4:37:39:39:38:36:40:40:10:40:36:38:17:40:37:19:36:21:35:40:29:21:3:38
103,0,41,0,439,0:4:2:3:2:1:1:1:2:4:3:3:3:2:4:3:4:0:2:4:0:0:6:4:2:2:5:4:5:6:0:0:4:1:6:2:5:3:2:2:5:3:7:3:1:2:1:7:6:7:4:7:0:8:8:8:9:1:5:9:3:7:0:7:7:9:8:6:0:9:5:5:3:9:10:11:8:11:11:6:0:10:1:10:11:5:10:6:12:5:8:6:12:12:13:12:12:13:13:12:13:13:12:5:8:12:9:8:5:13:6:0:9:3:7:6:12:7:11:7:10:15:16:14:16:11:16:15:14:14:14:14:10:10:7:13:13:4:16:7:7:15:14:14:16:12:4:17:17:7:9:18:17:18:9:9:15:18:17:18:18:7:17:13:18:16:5:13:6:15:13:15:13:10:18:12:19:19:20:21:21:2:15:11:20:15:20:17:20:16:16:18:21:14:19:17:20:11:9:3:21:19:21:17:0:12:22:22:22:6:19:21:5:23:20:14:23:23:23:22:13:19:23:22:6:11:8:21:13:23:24:24:24:9:24:18:21:23:19:24:24:21:22:15:6:18:23:15:7:9:1:22:25:11:25:25:4:14:26:10:20:19:19:18:26:19:16:14:8:26:0:24:0:21:24:27:8:22:28:26:27:28:27:25:28:26:28:21:24:16:28:19:21:14:29:29:27:25:30:30:31:29:26:29:28:31:29:31:25:31:21:30:20:12:16:31:10:27:14:28:16:12:14:32:20:23:27:25:32:33:32:33:24:27:22:26:30:10:25:33:34:28:34:26:32:32:23:33:31:33:5:34:18:32:31:30:26:8:13:12:8:9:35:28:31:17:30:32:35:23:24:34:27:36:30:36:29:11:22:36:34:29:33:15:32:31:25:20:37:34:38:33:1:32:35:36:2:37:15:35:35:38:29:26:28:34:11:28:11:31:27:38:32:24:26:31:30:4:4:37:39:39:38:36:40:40:10:40:36:38:17:40:37:19:36:21:35:40:29:21:3:38
104,0,41,0,438,0:4:2:3:2:1:1:1:2:4:3:3:3:2:4:3:4:0:2:4:0:0:6:4:2:2:5:4:5:6:0:0:4:1:6:2:5:3:2:2:5:3:7:3:1:2:1:7:6:7:4:7:0:8:8:8:9:1:5:9:3:7:0:7:7:9:8:6:0:9:5:5:3:9:10:11:8:11:11:6:0:10:1:10:11:5:10:6:12:5:8:6:12:12:13:12:12:13:13:12:13:13:12:5:8:12:9:8:5:13:6:0:9:3:7:6:12:7:11:7:10:15:16:14:16:11:16:15:14:14:14:14:10:10:7:13:13:4:16:7:7:15:14:14:16:12:4:17:17:7:9:18:17:18:9:9:15:18:17:18:18:7:17:13:18:16:5:13:6:15:13:15:13:10:18:12:19:19:20:21:21:2:15:11:20:15:20:17:20:16:16:18:21:14:19:17:20:11:9:3:21:19:21:17:0:12:22:22:22:6:19:21:5:23:20:14:23:23:23:22:13:19:23:22:6:11:8:21:13:23:24:24:24:9:24:18:21:23:19:24:24:21:22:15:6:18:23:15:7:9:1:22:25:11:25:25:4:14:26:10:20:19:19:18:26:19:16:14:8:26:0:24:0:21:24:27:8:22:28:26:27:28:27:25:28:26:28:21:24:16:28:19:21:14:29:29:27:25:30:30:31:29:26:29:28:31:29:31:25:31:21:30:20:12:16:31:10:27:14:28:16:12:14:32:20:23:27:25:32:33:32:33:24:27:22:26:30:10:25:33:34:28:34:26:32:32:23:33:31:33:5:34:18:32:31:30:26:8:13:12:8:9:35:28:31:17:30:32:36:23:24:34:27:36:30:36:29:11:22:36:34:29:33:15:32:31:25:20:37:34:35:33:1:32:35:36:2:37:15:35:35:35:29:26:28:34:11:28:11:31:27:35:32:24:26:31:30:4:4:37:39:39:38:36:40:40:10:40:36:38:17:40:37:19:36:21:35:40:29:21:3:38
105,0,41,0,437,0:4:2:3:2:1:1:1:2:4:3:3:3:2:4:3:4:0:2:4:0:0:6:4:2:2:5:4:5:6:0:0:4:1:6:2:5:3:2:2:5:3:7:3:1:2:1:7:6:7:4:7:0:8:8:8:9:1:5:9:3:7:0:7:7:9:8:6:0:9:5:5:3:9:10:11:8:11:11:6:0:10:1:10:11:5:10:6:12:5:8:6:12:12:13:12:12:13:13:12:13:13:12:5:8:12:9:8:5:13:6:0:9:3:7:6:12:7:11:7:10:15:16:14:16:11:16:15:14:14:14:14:10:10:7:13:13:4:16:7:7:15:14:14:16:12:4:17:17:7:9:18:17:18:9:9:15:18:17:18:18:7:17:13:18:16:5:13:6:15:13:15:13:10:18:12:19:19:20:21:21:2:15:11:20:15:20:17:20:16:16:18:21:14:19:17:20:11:9:3:21:19:21:17:0:12:22:22:22:6:19:21:5:23:20:14:23:23:23:22:13:19:23:22:6:11:8:21:13:23:24:24:24:9:24:18:21:23:19:24:24:21:22:15:6:18:23:15:7:9:1:22:25:11:25:25:4:14:26:10:20:19:19:18:26:19:16:14:8:26:0:24:0:21:24:27:8:22:28:26:27:28:27:25:28:26:28:21:24:16:7:19:21:14:29:29:27:25:30:30:31:29:26:29:28:31:29:31:25:31:21:30:20:12:16:31:10:27:14:28:16:12:14:32:20:23:27:25:32:33:32:33:24:27:22:26:30:10:25:33:34:28:34:26:32:32:23:33:31:33:5:34:18:32:31:30:26:8:13:12:8:9:28:28:31:17:30:32:36:23:24:34:27:36:30:36:29:11:22:36:34:29:33:15:32:31:25:20:37:34:35:33:1:32:35:36:2:37:15:35:35:35:29:26:28:34:11:28:11:31:27:35:32:24:26:31:30:4:4:37:39:39:38:36:40:40:10:40:36:38:17:40:37:19:36:21:35:40:29:21:3:38
106,0,40,0,436,0:4:2:3:2:1:1:1:2:4:3:3:3:2:4:3:4:0:2:4:0:0:6:4:2:2:5:4:5:6:0:0:4:1:6:2:5:3:2:2:5:3:7:3:1:2:1:7:6:7:4:7:0:8:8:8:9:1:5:9:3:7:0:7:7:9:8:6:0:9:5:5:3:9:10:11:8:11:11:6:0:10:1:10:11:5:10:6:12:5:8:6:12:12:13:12:12:13:13:12:13:13:12:5:8:12:9:8:5:13:6:0:9:3:7:6:12:7:11:7:10:15:16:14:16:11:16:15:14:14:14:14:10:10:7:13:13:4:16:7:7:15:14:14:16:12:4:17:17:7:9:18:17:18:9:9:15:18:17:18:18:7:17:13:18:16:5:13:6:15:13:15:13:10:18:12:19:19:20:21:21:2:15:11:20:15:20:17:20:16:16:18:21:14:19:17:20:11:9:3:21:19:21:17:0:12:22:22:22:6:19:21:5:23:20:14:23:23:23:22:13:19:23:22:6:11:8:21:13:23:24:24:24:9:24:18:21:23:19:24:24:21:22:15:6:18:23:15:7:9:1:22:25:11:25:25:4:14:26:10:20:19:19:18:26:19:16:14:8:26:0:24:0:21:24:27:8:22:28:26:27:28:27:25:28:26:28:21:24:16:7:19:21:14:29:29:27:25:30:30:31:29:26:29:28:31:29:31:25:31:21:30:20:12:16:31:10:27:14:28:16:12:14:32:20:23:27:25:32:33:32:33:24:27:22:26:30:10:25:33:34:28:34:26:32:32:23:33:31:33:5:34:18:32:31:30:26:8:13:12:8:9:28:28:31:17:30:32:36:23:24:34:27:36:30:36:29:11:22:36:34:29:33:15:32:31:25:20:37:34:35:33:1:32:35:36:2:37:15:35:35:35:29:26:28:34:11:28:11:31:27:35:32:24:26:31:30:4:4:37:39:34:39:36:40:40:10:40:36:39:17:40:37:19:36:21:35:40:29:21:3:39
115,0,40,0,435,0:4:2:3:2:1:1:1:2:4:3:3:3:2:4:3:4:0:2:4:0:0:4:4:2:2:5:6:5:6:0:0:4:1:6:2:5:3:2:2:5:3:7:3:1:2:1:7:6:7:4:7:0:8:8:8:9:1:5:9:3:7:0:7:7:9:8:6:0:9:5:5:3:9:10:11:8:11:11:4:0:10:1:10:11:5:10:6:12:5:8:6:12:12:13:12:12:13:13:12:13:13:12:5:8:12:9:8:5:13:6:0:9:3:7:6:12:7:11:7:10:15:16:14:16:11:16:15:14:14:14:14:10:10:7:13:13:4:16:7:7:15:14:14:16:12:4:17:17:7:9:18:17:18:9:9:15:18:17:18:18:7:17:13:18:16:5:13:4:15:13:15:13:10:18:12:19:19:20:21:21:2:15:11:20:15:20:17:20:16:16:18:21:14:19:17:20:11:9:3:21:19:21:17:0:12:22:22:22:6:19:21:5:23:20:14:23:23:23:22:13:19:23:22:6:11:8:21:13:23:24:24:24:9:24:18:21:23:19:24:24:21:4:15:6:18:23:15:7:9:3:22:25:11:25:25:22:14:26:10:20:19:19:18:26:19:16:14:8:26:0:24:0:21:24:27:8:22:28:26:27:28:27:25:28:26:28:21:24:16:7:19:21:14:29:29:27:25:30:30:31:29:26:29:28:31:29:31:25:31:21:30:20:12:16:31:10:27:14:28:16:12:14:32:20:23:27:25:32:33:32:33:24:27:22:26:30:10:25:33:34:28:34:26:32:32:23:33:31:33:5:34:18:32:31:30:26:8:13:12:8:9:28:28:31:17:30:32:36:23:24:34:27:36:30:36:29:11:22:36:34:29:33:15:32:31:25:20:37:34:35:33:1:32:35:36:2:37:15:35:35:35:29:26:28:34:11:28:11:31:27:35:32:24:26:31:30:4:4:37:39:34:39:36:40:40:10:40:36:39:17:40:37:19:36:21:35:40:29:21:3:39
120,0,40,0,434,0:4:2:3:2:1:1:1:2:4:3:3:3:2:4:3:4:0:2:4:0:0:4:4:2:2:5:6:5:6:0:0:4:1:6:2:5:3:2:2:5:3:7:3:1:2:1:7:6:7:4:7:0:8:8:0:9:1:5:9:3:7:0:7:7:9:8:6:0:9:5:5:3:9:10:11:8:11:11:4:0:10:1:10:11:5:10:6:8:5:8:6:7:12:13:12:12:13:13:12:13:13:12:5:8:12:9:8:5:13:6:0:9:3:7:6:12:7:11:7:10:15:16:14:16:11:16:15:14:14:14:14:10:10:7:13:13:4:16:7:7:15:14:14:16:12:4:17:17:7:9:18:17:18:9:9:15:18:17:18:18:7:17:13:18:16:5:13:4:15:13:15:13:10:18:12:19:19:20:21:21:2:15:11:20:15:20:17:20:16:16:18:21:14:19:17:20:11:9:3:21:19:21:17:0:12:22:22:22:6:19:21:5:23:20:14:23:23:23:22:13:19:23:22:6:11:8:21:13:23:24:24:24:9:24:18:21:23:19:24:24:21:4:15:6:18:23:15:7:9:3:22:25:11:25:25:22:14:26:10:20:19:19:18:26:19:16:14:8:26:0:24:0:21:24:27:8:22:28:26:27:28:27:25:28:26:28:21:24:16:7:19:21:14:29:29:27:25:30:30:31:29:26:29:28:31:29:31:25:31:21:30:20:12:16:31:10:27:14:28:16:12:14:32:20:23:27:25:32:33:32:33:24:27:22:26:30:10:25:33:34:28:34:26:32:32:23:33:31:33:5:34:18:32:31:30:26:8:13:12:8:9:28:28:31:17:30:32:36:23:24:34:27:36:30:36:29:11:22:36:34:29:33:15:32:31:25:20:37:34:35:33:1:32:35:36:2:37:15:35:35:35:29:26:28:34:11:28:11:31:27:35:32:24:26:31:30:4:4:37:39:34:39:36:40:40:10:40:36:39:17:40:37:19:36:21:35:40:29:21:3:39
122,0,40,0,433,0:4:2:3:2:1:1:1:2:4:3:3:3:2:4:3:4:0:2:4:0:0:4:4:2:2:5:6:5:6:0:0:4:1:6:2:5:3:2:2:5:3:7:3:1:2:1:7:6:7:4:7:0:8:8:0:9:1:5:9:3:7:0:7:7:9:8:6:0:9:5:5:3:9:10:11:8:11:11:4:0:10:1:1:11:5:10:6:8:5:8:6:7:12:13:12:12:13:13:12:13:13:12:5:8:12:9:8:5:13:6:0:9:3:7:6:12:7:11:7:10:15:16:14:16:11:16:15:14:14:14:14:10:10:7:13:13:4:16:7:7:15:14:14:16:12:4:17:17:7:9:18:17:18:9:9:15:18:17:18:18:7:17:13:18:16:5:13:4:15:13:15:13:10:18:12:19:19:20:21:21:2:15:11:20:15:20:17:20:16:16:18:21:14:19:17:20:11:9:3:21:19:21:17:0:12:22:22:22:6:19:21:5:23:20:14:23:23:23:22:13:19:23:22:6:11:8:21:13:23:24:24:24:9:24:18:21:23:19:24:24:21:4:15:6:18:23:15:7:9:3:22:25:11:25:25:22:14:26:10:20:19:19:18:26:19:16:14:8:26:0:24:0:21:24:27:8:22:28:26:27:28:27:25:28:26:28:21:24:16:7:19:21:14:29:29:27:25:30:30:31:29:26:29:28:31:29:31:25:31:21:30:20:12:16:31:10:27:14:28:16:12:14:32:20:23:27:25:32:10:32:23:24:27:22:26:30:10:25:33:34:28:34:26:32:32:23:33:31:33:5:34:18:32:31:30:26:8:13:12:8:9:28:28:31:17:30:32:36:23:24:34:27:36:30:36:29:11:22:36:34:29:33:15:32:31:25:20:37:34:35:33:1:32:35:36:2:37:15:35:35:35:29:26:28:34:11:28:11:31:27:35:32:24:26:31:30:4:4:37:39:34:39:36:40:40:10:40:36:39:17:40:37:19:36:21:35:40:29:21:3:39
144,0,40,0,432,0:4:2:3:2:1:1:1:2:4:3:3:3:2:4:3:4:0:2:4:0:0:0:4:2:2:5:6:5:6:0:4:4:1:6:2:5:3:2:2:5:3:7:3:1:2:1:7:6:7:4:7:0:8:8:0:9:1:5:9:3:7:0:7:7:9:0:6:0:9:5:5:3:9:10:11:0:11:11:4:10:10:1:1:11:5:10:6:8:5:8:6:7:12:13:12:12:13:13:12:13:13:12:5:8:12:9:8:5:13:6:8:9:3:7:8:12:7:11:7:10:15:16:14:16:11:16:15:14:14:14:14:10:10:7:13:13:4:16:7:7:15:14:14:16:12:4:17:17:7:9:18:17:18:9:9:15:18:17:18:18:7:17:13:18:16:5:13:4:15:13:15:13:10:18:12:19:19:20:21:21:2:15:11:20:15:20:17:20:16:16:18:21:14:19:17:20:11:9:3:21:19:21:17:0:12:22:22:22:6:19:21:5:23:20:14:23:23:23:22:13:19:23:22:6:11:8:21:13:23:24:24:24:9:24:18:21:23:19:24:24:21:4:15:6:18:23:15:7:9:3:22:25:11:25:25:22:14:26:10:20:19:19:18:26:19:16:14:8:26:24:24:0:21:24:27:8:22:28:26:27:28:27:25:28:26:28:21:24:16:7:19:21:14:29:29:27:25:30:30:31:29:26:29:28:31:29:31:25:31:21:30:20:12:16:31:10:27:14:28:16:12:14:32:20:23:27:25:32:10:32:23:24:27:22:26:30:10:25:8:34:28:34:26:32:32:23:33:31:33:5:34:18:32:31:30:26:8:13:12:31:9:28:28:31:17:30:32:36:23:24:34:27:36:30:36:29:11:22:36:34:29:33:15:32:31:25:20:33:34:35:33:1:32:6:36:2:33:15:35:35:35:29:26:28:34:11:28:11:31:27:35:32:24:26:31:30:4:4:37:39:34:39:36:40:40:35:40:36:39:17:40:37:19:36:21:35:40:29:21:3:39
