#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 02:37:54,wvcp,miles1000,local_search,7,431,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,46,0,462,0:1:1:0:0:2:2:1:3:4:5:6:5:7:8:9:7:10:6:11:6:9:10:3:4:12:13:14:13:11:15:16:17:14:18:17:16:19:15:19:18:7:20:21:22:8:12:22:23:23:24:11:16:25:25:26:27:0:28:29:30:26:18:31:32:26:31:33:34:10:34:35:36:37:27:31:33:20:25:38:39:40:41:19:24:42:43:44:41:37:45:36:17
176,0,45,0,458,22:5:0:5:0:25:25:0:6:12:8:1:8:22:7:11:0:10:6:35:30:40:10:35:12:43:1:13:13:11:23:16:17:30:30:17:16:19:15:19:21:7:29:21:40:17:12:22:15:23:24:5:16:11:20:26:27:13:28:9:41:26:9:31:3:26:31:32:34:10:34:18:36:37:27:31:3:20:25:38:39:44:14:19:24:42:33:4:42:37:45:36:17
240,0,44,0,457,22:5:0:41:0:25:25:0:6:12:43:5:19:22:7:11:0:10:6:35:30:20:10:35:12:44:41:40:43:11:23:16:17:30:30:17:16:19:15:19:21:7:29:21:40:17:12:22:15:23:24:5:16:11:20:26:27:35:28:9:13:26:9:31:1:26:31:32:34:10:34:18:36:37:27:31:44:20:25:38:39:3:14:41:24:42:33:4:42:37:45:36:17
318,0,43,0,455,22:5:0:24:0:25:25:0:6:12:43:5:19:22:39:11:0:10:6:35:30:20:10:35:12:44:28:40:43:11:23:16:17:30:30:17:16:19:15:19:21:21:29:21:40:17:12:22:15:23:24:5:16:11:20:26:27:35:1:38:28:26:6:31:9:26:31:41:34:10:34:32:36:37:27:31:44:20:25:7:18:3:14:41:32:42:33:4:42:37:45:36:17
319,0,44,0,454,22:24:0:24:0:25:25:0:6:12:43:5:19:22:39:11:0:10:6:35:30:5:10:35:12:44:20:40:43:11:23:16:17:30:30:17:16:19:15:19:21:21:29:21:40:17:12:22:15:23:13:5:16:11:20:26:27:35:1:38:28:26:6:31:9:26:31:41:34:10:34:32:36:37:27:31:44:20:25:7:18:3:14:41:32:42:33:4:42:37:45:36:17
497,0,43,0,446,20:29:0:20:0:25:25:0:15:35:30:22:19:7:9:23:13:0:19:4:22:23:30:35:25:17:7:11:29:20:1:16:19:6:6:17:16:7:1:19:21:21:12:21:43:17:12:22:28:11:40:13:16:43:10:11:27:4:39:38:5:26:6:31:28:26:31:13:34:27:34:32:36:37:27:31:15:29:25:44:18:3:41:30:40:42:33:14:42:37:45:36:32
511,0,43,0,444,20:29:0:20:0:25:25:0:15:35:30:22:19:7:9:23:0:27:19:4:22:23:30:35:25:17:7:11:29:20:1:16:19:6:6:17:16:7:1:19:21:21:12:21:43:17:12:22:28:11:40:20:16:43:10:11:27:4:39:38:5:26:6:31:28:26:31:13:34:27:34:32:36:37:13:31:15:29:25:44:18:3:41:30:40:42:33:14:42:37:45:36:32
743,0,43,0,443,20:9:0:20:0:25:25:0:41:21:30:9:19:7:28:23:27:0:19:4:7:23:30:0:25:10:29:11:11:20:35:16:19:31:31:10:16:7:35:19:34:21:12:40:6:4:12:41:39:29:34:20:16:21:37:11:27:4:17:22:36:6:31:43:1:26:1:39:33:5:26:32:38:5:26:38:7:29:25:15:18:3:44:30:40:42:13:14:42:37:45:36:32
765,0,43,0,438,20:9:0:20:0:25:25:0:17:21:30:9:19:7:41:23:27:0:19:4:7:23:30:0:25:10:33:11:11:20:35:16:19:31:31:10:16:7:35:19:34:21:12:40:33:4:12:41:45:45:34:20:16:21:37:11:27:4:5:22:36:43:31:43:1:26:1:39:28:39:26:32:38:6:26:38:7:27:25:15:18:3:29:30:40:42:13:14:42:37:44:36:32
1536,0,44,0,436,27:9:9:20:27:16:16:27:14:19:23:9:22:0:44:10:20:30:22:11:7:10:30:44:27:41:0:1:23:20:40:12:22:7:7:41:12:0:40:22:33:7:31:33:1:41:44:30:4:4:43:20:28:19:15:36:12:28:37:21:39:28:31:5:26:25:5:36:24:32:26:34:38:32:26:38:32:23:25:6:18:3:45:30:34:29:35:42:42:3:17:36:13
1598,0,43,0,435,27:9:9:20:27:16:16:27:14:19:23:9:22:0:44:10:20:30:22:38:7:10:30:44:27:41:0:1:23:20:40:12:22:7:7:41:12:0:40:22:33:7:31:33:1:41:44:30:4:4:17:20:28:19:43:36:12:28:29:21:39:28:31:5:26:25:5:36:24:32:26:34:42:32:26:38:32:23:25:6:18:3:45:30:17:37:35:13:35:3:15:36:34
1623,0,43,0,434,27:9:9:20:27:16:16:27:14:19:23:9:22:0:44:10:20:30:22:38:7:10:30:44:27:41:0:1:23:20:40:12:22:7:7:41:12:0:40:22:33:7:31:33:1:41:44:30:4:4:17:20:28:19:25:36:12:28:29:21:24:28:31:37:26:5:5:36:15:5:26:34:42:32:26:38:32:23:25:6:18:3:45:30:17:39:35:13:35:3:43:36:34
3921,0,44,0,432,31:23:23:31:31:4:4:16:26:15:16:23:24:10:32:27:38:17:26:21:14:27:17:21:24:1:10:30:18:32:28:18:24:14:14:1:18:10:38:24:40:17:12:40:30:1:21:4:39:39:0:21:6:15:20:6:28:17:33:9:25:6:26:11:34:36:19:19:44:36:25:42:43:5:36:19:43:42:9:22:41:7:37:19:42:45:13:29:37:22:3:34:35
4064,0,43,0,431,31:23:23:31:31:4:4:16:26:15:16:23:24:10:32:27:38:17:26:21:14:27:17:21:24:1:10:30:18:32:28:18:24:14:14:1:18:10:38:24:40:17:3:40:30:1:21:4:39:39:41:31:6:15:20:6:28:17:13:0:25:6:26:35:9:5:19:19:44:5:25:22:43:42:35:19:43:42:9:34:29:7:37:19:41:12:33:36:37:12:45:5:22
