#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 02:38:53,wvcp,mulsol.i.5,local_search,4,367,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,35,0,378,0:1:1:2:3:4:5:5:4:3:1:2:5:4:0:4:1:6:7:8:4:1:9:10:9:6:11:8:5:4:8:10:12:13:7:4:5:8:13:14:15:16:17:5:15:17:16:8:5:18:19:0:15:3:7:19:20:18:9:20:5:21:16:22:11:7:12:4:8:10:21:9:23:24:17:14:15:10:18:22:23:24:25:4:26:26:25:27:28:29:14:30:31:28:27:32:33:30:34:29:34:33:10:8
2,0,34,0,376,31:1:1:2:3:4:5:5:4:3:1:2:5:4:3:4:1:6:7:8:4:1:9:10:9:6:11:8:5:4:8:10:12:13:7:4:5:8:13:0:15:16:17:5:15:17:16:8:5:18:19:0:15:3:7:19:20:18:9:20:5:21:16:22:11:7:12:4:8:10:21:9:23:24:17:15:15:10:18:22:23:24:25:4:26:26:25:27:28:29:17:30:31:28:27:32:33:30:34:29:34:33:10:8
20,0,34,0,375,27:1:1:2:3:4:5:5:4:3:1:2:5:4:3:4:1:6:7:8:4:1:9:10:9:6:11:8:5:4:8:10:12:13:7:4:5:8:13:0:15:16:17:5:15:17:16:8:5:18:19:0:15:3:7:19:20:18:9:20:5:21:16:22:11:7:12:4:8:10:21:9:23:24:17:15:15:10:18:22:23:24:25:4:26:26:25:27:28:29:17:30:31:28:31:32:33:30:34:29:34:33:10:8
242,0,33,0,374,1:9:1:11:10:13:4:4:10:11:1:2:13:4:4:4:1:2:7:8:4:1:18:16:7:6:6:8:13:4:8:10:5:0:7:4:13:8:13:19:17:3:26:13:10:17:16:8:5:15:20:0:15:3:7:19:12:18:9:20:16:21:16:22:11:7:12:4:8:10:21:9:23:24:17:15:15:10:18:22:23:24:25:4:31:26:25:27:28:3:17:30:31:28:31:32:33:30:34:27:34:33:31:8
248,0,33,0,373,1:9:1:11:10:13:4:4:10:11:1:2:13:4:4:4:1:2:7:8:4:1:18:16:7:6:6:8:13:4:8:10:5:0:7:4:13:8:13:19:17:3:27:13:10:17:16:8:5:15:20:0:15:3:7:19:12:18:9:20:16:21:16:22:11:7:12:4:8:10:21:9:23:24:17:15:15:10:18:22:23:24:25:4:26:26:25:27:28:3:17:30:31:28:31:32:33:30:34:32:34:33:31:8
255,0,32,0,372,1:9:1:11:10:13:4:4:10:11:1:2:13:4:4:4:1:2:7:8:4:1:18:16:7:6:6:8:13:4:8:10:24:0:7:4:13:8:13:19:5:3:27:13:10:18:16:8:5:15:20:0:15:3:7:19:12:18:9:20:16:21:16:22:11:7:12:4:8:10:21:9:23:33:8:15:15:10:18:22:23:24:25:4:26:26:25:27:28:3:11:30:31:28:31:32:33:30:34:32:34:33:31:8
263,0,32,0,371,1:9:1:11:10:13:4:4:10:11:1:2:13:4:4:4:1:2:7:8:4:1:18:16:7:6:6:8:13:4:8:10:24:28:7:4:13:8:13:19:5:3:0:13:10:18:16:8:5:15:20:0:15:3:7:19:12:18:9:20:16:21:16:22:11:7:12:4:8:10:21:9:23:27:8:15:15:10:18:22:23:24:25:4:26:26:25:27:28:3:11:30:31:33:31:32:33:30:34:32:34:33:31:8
916,0,32,0,370,11:10:16:0:16:12:4:4:4:11:10:12:12:4:4:4:10:28:6:20:4:11:8:26:4:20:7:8:12:4:8:16:5:2:7:4:12:8:5:23:1:27:15:12:1:15:16:8:6:18:24:28:18:2:7:1:25:18:11:27:4:21:2:13:11:7:0:13:8:10:21:9:22:9:25:15:15:10:18:22:26:24:3:4:31:30:23:25:4:3:11:19:31:19:31:32:33:30:34:32:34:33:31:8
936,0,32,0,369,11:10:16:0:16:12:4:4:4:11:10:12:12:4:4:4:10:28:6:20:4:11:8:26:4:20:7:8:12:4:8:16:5:2:7:4:12:8:5:9:1:27:15:12:1:15:16:8:6:18:24:28:18:2:7:1:25:18:11:27:4:21:2:13:11:7:0:13:8:10:21:9:22:30:25:15:15:10:18:22:26:24:3:4:23:30:23:25:4:3:11:19:31:31:23:32:33:19:34:32:34:33:31:8
1032,0,32,0,368,11:10:16:0:16:12:4:4:4:11:10:12:12:4:4:4:10:28:6:20:4:11:8:5:4:20:7:8:12:4:8:16:30:2:7:4:12:8:5:26:1:27:15:12:16:15:28:8:6:22:24:28:10:2:7:1:21:10:11:27:4:23:2:13:11:7:0:13:8:10:21:18:18:3:15:15:15:10:3:22:26:24:25:4:9:9:23:25:4:3:11:30:31:31:9:32:33:19:34:32:34:33:31:8
1044,0,31,0,367,11:10:16:0:16:12:4:4:4:11:10:12:12:4:4:4:10:28:6:20:4:11:8:30:4:20:7:8:12:4:8:16:5:2:7:4:12:8:5:26:1:27:15:12:16:15:28:8:6:22:24:28:10:2:7:1:21:10:11:27:4:23:2:13:11:7:0:13:8:10:21:18:18:3:15:15:15:10:3:22:26:24:25:4:9:9:23:25:4:3:11:30:31:31:9:32:33:33:34:32:34:16:31:8
1044,0,31,0,367,11:10:16:0:16:12:4:4:4:11:10:12:12:4:4:4:10:28:6:20:4:11:8:30:4:20:7:8:12:4:8:16:5:2:7:4:12:8:5:26:1:27:15:12:16:15:28:8:6:22:24:28:10:2:7:1:21:10:11:27:4:23:2:13:11:7:0:13:8:10:21:18:18:3:15:15:15:10:3:22:26:24:25:4:9:9:23:25:4:3:11:30:31:31:9:32:33:33:34:32:34:16:31:8
#2022-10-12 02:38:53
