#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 23:31:32,wvcp,myciel7g,local_search,16,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,9,0,36,0:0:0:1:1:0:1:2:0:2:1:1:2:2:3:3:2:3:3:0:2:1:1:3:0:3:0:3:1:1:1:3:3:1:1:1:2:1:2:3:1:4:4:4:4:3:0:1:5:5:1:0:5:0:5:5:5:5:5:2:1:2:3:3:5:2:3:5:3:3:3:3:3:5:5:3:2:1:1:6:6:4:6:6:0:7:7:4:7:4:3:2:1:2:1:7:7:3:2:7:7:5:0:0:3:5:1:7:3:3:3:6:3:5:3:5:8:8:8:8:8:6:7:8:7:7:8:2:7:7:4:2:6:7:7:8:7:7:7:0:2:5:4:5:5:3:2:1:2:3:1:3:6:8:2:5:4:0:1:4:8:5:5:5:2:5:7:2:1:1:7:2:5:5:5:8:3:1:5:3:6:3:1:2:5:7:3:1:5:3:1
112057450,2369,9,0,35,1:4:4:1:1:2:2:4:4:0:0:1:1:1:2:1:1:2:0:1:0:0:1:2:2:0:4:2:2:1:1:1:0:1:1:0:1:1:2:4:2:0:1:1:1:5:5:0:4:1:1:5:4:5:2:5:5:0:4:5:2:0:5:2:4:1:5:5:5:5:5:5:5:5:5:5:5:5:5:6:3:6:3:5:7:3:4:6:7:7:5:0:1:1:1:7:0:5:5:7:7:6:5:5:5:0:0:6:5:5:5:5:5:7:6:5:3:8:8:8:7:5:6:8:8:7:8:5:6:0:1:3:3:4:7:8:8:2:5:5:1:7:4:1:6:8:7:5:7:5:5:5:3:5:4:6:4:5:8:1:7:6:7:8:7:6:5:5:7:1:7:4:5:5:6:8:7:7:7:6:5:5:5:5:5:7:5:5:7:5:5
112057577,2369,9,0,34,1:4:4:1:1:2:2:4:4:0:0:1:1:1:2:1:1:2:0:1:0:0:1:2:2:0:4:2:2:1:1:1:0:1:1:0:1:1:2:2:2:0:1:1:1:2:5:0:4:1:1:5:0:4:4:2:5:0:4:5:2:0:5:5:4:1:5:4:5:2:5:5:5:5:5:5:2:5:5:6:7:6:5:5:4:0:7:6:7:4:2:0:1:1:1:4:0:2:5:7:7:0:5:5:2:0:0:6:5:5:5:5:5:0:5:5:3:8:8:8:3:5:6:8:8:7:8:5:6:0:1:3:3:0:7:8:8:2:8:5:1:0:0:1:6:8:7:5:7:8:2:5:3:4:3:6:4:5:8:1:5:0:7:8:7:6:2:5:7:1:7:4:5:7:4:8:7:7:8:6:5:5:5:5:5:7:5:8:7:5:5
112057608,2369,9,0,33,1:4:4:1:1:2:2:4:4:0:0:1:1:1:2:1:1:2:0:1:0:0:1:2:2:0:4:2:2:1:1:1:0:1:1:0:1:1:2:2:2:0:1:1:1:2:5:0:4:1:1:5:0:4:4:2:5:0:4:5:2:0:5:5:4:1:5:4:5:2:5:5:5:5:5:5:2:5:5:6:7:4:5:5:4:0:6:6:7:4:2:0:1:1:1:4:0:2:5:7:7:0:5:5:2:0:0:6:5:5:5:5:5:0:5:5:8:8:8:8:7:5:6:8:6:7:8:5:6:0:1:7:5:0:7:8:8:2:6:5:1:0:0:1:6:8:0:5:5:7:2:5:3:4:3:4:4:5:8:1:5:0:7:8:3:6:2:5:1:1:0:4:5:4:4:8:7:0:0:6:5:5:5:5:5:2:5:2:2:5:5
112057609,2369,8,0,32,1:4:4:1:1:2:2:4:4:0:0:1:1:1:2:1:1:2:0:1:0:0:1:2:2:0:4:2:2:1:1:1:0:1:1:0:1:1:2:2:2:0:1:1:1:2:5:0:4:1:1:5:0:4:4:2:5:0:4:5:2:0:5:5:4:1:5:4:5:2:5:5:5:5:5:5:2:5:5:6:7:4:5:5:4:0:6:6:7:4:2:0:1:1:1:4:0:2:5:7:7:0:5:5:2:0:0:6:5:5:5:5:5:0:5:5:8:8:8:8:7:5:6:8:6:7:8:5:6:0:1:7:5:0:7:8:8:2:6:5:1:0:0:1:6:8:0:5:5:7:2:5:7:4:4:4:4:5:8:1:5:0:7:8:7:6:2:5:1:1:0:4:5:4:4:8:7:0:0:6:5:5:5:5:5:2:5:2:2:5:5
112057763,2369,8,0,31,1:4:4:1:1:2:2:4:4:0:0:1:1:1:2:1:1:1:0:1:0:0:1:2:2:0:4:2:2:1:1:1:0:1:2:0:1:1:2:2:2:0:1:1:1:2:4:0:4:1:1:1:0:4:4:2:5:0:4:2:0:0:5:5:4:1:1:4:1:2:5:2:5:2:2:2:2:2:2:5:5:4:5:1:4:0:6:6:6:4:2:5:1:1:1:4:6:2:4:6:6:0:5:4:2:0:0:6:2:5:5:2:2:0:2:6:8:8:8:8:7:2:6:8:6:7:8:5:6:6:1:7:5:6:7:8:8:2:6:4:1:7:4:1:6:8:0:5:2:2:1:4:7:4:7:4:4:2:8:1:7:4:7:8:7:0:2:5:1:1:7:4:7:4:4:8:7:0:7:6:5:4:7:2:7:2:4:2:2:2:6
112057764,2369,8,0,30,1:4:4:1:1:2:2:4:4:0:0:1:1:1:2:1:1:1:0:1:0:0:1:2:2:0:4:2:2:1:1:1:0:1:2:0:1:1:2:2:2:0:1:1:1:2:4:0:4:1:1:1:0:4:4:2:2:0:4:2:0:0:2:2:4:1:1:4:1:2:2:2:2:2:2:2:2:2:2:5:5:4:5:1:4:0:6:6:6:4:2:5:1:1:1:4:6:2:4:6:6:0:5:4:2:0:0:6:2:5:5:2:2:0:2:6:8:8:8:8:7:2:6:8:6:7:8:5:6:6:1:7:5:6:7:8:8:2:6:4:1:7:4:1:6:8:0:5:2:2:1:4:7:4:7:4:4:2:8:1:7:4:7:8:7:0:2:5:1:1:7:4:7:4:4:8:7:0:7:6:5:4:7:2:7:2:4:2:2:2:6
112063055,2369,8,0,29,4:4:4:1:1:2:0:4:4:0:1:1:1:1:0:2:2:2:0:2:1:1:1:2:2:1:4:2:2:1:2:2:1:2:2:1:2:2:2:2:0:1:4:1:4:2:2:1:0:1:1:2:0:2:0:2:0:1:4:2:1:1:2:0:0:1:2:0:4:2:2:0:2:0:2:0:0:2:2:6:6:4:6:2:5:6:6:5:5:4:2:6:1:1:1:5:5:5:2:0:5:1:2:4:2:1:1:0:2:2:2:2:0:1:2:2:8:5:5:5:8:2:5:5:5:8:8:4:5:1:8:6:6:6:0:5:5:6:5:2:1:5:0:8:2:0:1:2:2:5:5:0:6:5:7:7:7:2:8:4:8:7:7:8:7:1:5:2:1:1:7:7:7:2:2:5:2:7:0:7:7:2:7:2:7:0:7:0:7:7:7
182165737,2369,8,0,29,4:4:4:1:1:2:0:4:4:0:1:1:1:1:0:2:2:2:0:2:1:1:1:2:2:1:4:2:2:1:2:2:1:2:2:1:2:2:2:2:0:1:4:1:4:2:2:1:0:1:1:2:0:2:0:2:0:1:4:2:1:1:2:0:0:1:2:0:4:2:2:0:2:0:2:0:0:2:2:6:6:4:6:2:5:6:6:5:5:4:2:6:1:1:1:5:5:5:2:0:5:1:2:4:2:1:1:0:2:2:2:2:0:1:2:2:8:5:5:5:8:2:5:5:5:8:8:4:5:1:8:6:6:6:0:5:5:6:5:2:1:5:0:8:2:0:1:2:2:5:5:0:6:5:7:7:7:2:8:4:8:7:7:8:7:1:5:2:1:1:7:7:7:2:2:5:2:7:0:7:7:2:7:2:7:0:7:0:7:7:7
#2022-10-12 00:31:33
