#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 23:29:32,wvcp,myciel7gb,local_search,17,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,11,0,148,0:0:0:0:1:1:0:1:2:1:2:0:2:1:2:2:0:2:1:3:3:2:0:1:3:3:2:0:0:0:2:0:2:0:2:1:1:1:1:1:0:0:4:2:0:3:4:0:1:2:0:0:2:4:5:0:3:5:3:1:1:5:5:3:2:5:0:1:5:1:4:3:3:4:2:0:5:5:5:5:4:3:6:6:5:6:4:1:5:6:7:3:7:4:2:1:2:7:6:8:8:5:0:7:5:2:2:8:6:5:3:5:0:6:6:0:3:5:7:8:5:5:8:2:3:3:1:7:7:3:3:2:6:6:6:2:4:6:8:5:0:5:9:8:4:8:9:0:5:4:9:6:9:5:7:1:7:5:2:6:1:3:8:10:8:5:1:10:5:1:5:8:3:9:2:0:7:7:9:5:6:10:5:0:9:6:9:7:1:3:0
2,0,11,0,147,0:0:0:0:1:1:0:1:2:1:2:0:2:1:2:2:0:2:1:3:3:2:0:1:3:3:2:0:0:0:2:0:2:0:2:1:1:1:1:1:0:0:4:2:0:3:1:0:1:2:0:0:2:4:5:0:3:5:3:1:1:5:5:3:2:5:0:1:5:1:4:3:3:4:2:0:5:5:5:5:4:3:6:6:5:6:4:1:5:6:7:3:7:4:2:1:2:7:6:8:8:5:0:7:5:2:2:8:6:5:3:5:0:6:6:0:3:5:7:8:5:5:8:2:3:3:1:7:7:3:3:2:6:6:6:2:4:6:8:5:0:5:4:8:4:8:9:0:5:4:9:6:9:5:7:1:7:5:2:6:1:3:8:10:8:5:1:10:5:1:5:8:3:9:2:0:7:7:9:5:6:10:5:0:9:6:9:7:1:3:0
3,0,11,0,145,0:0:0:0:1:1:0:1:2:1:2:0:2:1:2:2:0:2:1:3:3:2:0:1:3:3:2:0:0:0:2:0:2:0:2:1:1:1:1:1:0:0:4:2:0:3:1:0:1:2:0:0:2:4:5:0:3:5:3:1:1:5:5:3:2:5:0:1:5:1:4:3:3:4:2:0:5:5:5:5:4:3:6:6:5:6:4:1:5:6:7:3:7:4:2:1:2:7:6:8:8:5:0:7:5:2:2:8:6:5:3:5:0:6:6:0:3:5:7:8:5:5:8:2:3:3:1:7:7:3:3:2:6:6:6:2:4:6:8:5:0:5:4:8:4:8:4:0:5:4:6:6:6:5:7:1:7:5:2:6:1:3:8:10:8:5:1:10:5:1:5:8:3:9:2:0:7:7:9:5:6:10:5:0:9:6:9:7:1:3:0
4,0,11,0,144,0:0:0:0:1:1:0:1:2:1:2:0:2:1:2:2:0:2:1:3:3:2:0:1:3:3:2:0:0:0:2:0:2:0:2:1:1:1:1:1:0:0:4:2:0:3:1:0:1:2:0:0:2:4:5:0:3:5:3:1:1:5:5:3:2:5:0:1:5:1:4:3:3:4:2:0:5:5:5:5:4:3:6:6:5:6:4:1:5:6:7:3:7:4:2:1:2:7:6:8:8:5:0:7:5:2:2:8:6:5:3:5:0:6:6:0:3:5:7:8:5:5:8:2:3:3:1:7:7:3:3:2:6:6:6:2:4:6:8:5:0:5:4:8:4:8:4:0:5:4:6:6:6:5:7:1:7:5:2:6:1:3:8:10:8:5:1:10:5:1:5:8:3:3:2:0:7:7:6:5:6:10:5:0:9:6:9:7:1:3:0
5,0,10,0,143,0:0:0:0:1:1:0:1:2:1:2:0:2:1:2:2:0:2:1:3:3:2:0:1:3:3:2:0:0:0:2:0:2:0:2:1:1:1:1:1:0:0:4:2:0:3:1:0:1:2:0:0:2:4:5:0:3:5:3:1:1:5:5:3:2:5:0:1:5:1:4:3:3:4:2:0:5:5:5:5:4:3:6:6:5:6:4:1:5:6:7:3:7:4:2:1:2:7:6:8:8:5:0:7:5:2:2:8:6:5:3:5:0:6:6:0:3:5:7:8:5:5:8:2:3:3:1:7:7:3:3:2:6:6:6:2:4:6:8:5:0:5:4:8:4:8:4:0:5:4:6:6:6:5:7:1:7:5:2:6:1:3:8:10:8:5:1:10:5:1:5:8:3:3:2:0:7:7:6:5:6:10:5:0:5:6:5:7:1:3:0
7,0,9,0,141,0:0:0:0:1:1:0:1:2:1:2:0:2:1:2:2:0:2:1:3:3:2:0:1:3:3:2:0:0:0:2:0:2:0:2:1:1:1:1:1:0:0:4:2:0:3:1:0:1:2:0:5:2:4:5:0:3:5:3:1:1:5:5:3:2:5:0:1:5:1:4:3:3:4:2:0:5:5:5:5:4:3:6:6:5:6:4:1:5:6:7:3:7:4:2:1:2:7:6:8:8:5:0:7:5:2:2:8:6:5:3:5:0:6:6:0:3:5:7:8:5:5:8:2:3:3:1:7:7:3:3:2:6:6:6:2:4:6:8:5:0:5:4:8:4:8:4:0:5:4:6:6:6:5:7:1:7:5:2:6:1:3:8:0:8:5:1:1:5:1:5:8:3:3:2:0:7:7:6:5:6:5:5:0:5:6:5:7:1:3:0
9,0,9,0,140,0:0:0:0:1:1:0:1:2:1:2:0:2:1:2:2:0:2:1:3:3:2:0:1:3:3:2:0:0:0:2:0:1:0:2:1:1:1:1:1:0:0:4:2:0:3:1:0:1:2:0:0:2:4:5:0:3:5:3:1:1:5:5:3:2:5:0:1:5:1:4:3:3:4:2:0:5:5:5:5:4:3:6:6:5:6:4:1:5:6:7:3:7:4:2:1:2:7:6:8:8:5:0:7:5:2:2:8:6:5:3:5:0:6:6:0:3:5:7:8:5:5:8:2:3:3:1:7:7:3:3:2:6:6:6:2:4:6:8:5:0:5:4:8:4:8:4:0:5:4:6:6:6:5:7:1:7:5:2:6:1:3:8:2:8:5:1:1:5:1:5:8:3:3:2:0:7:7:6:5:6:5:5:0:5:6:5:7:1:3:0
182,0,9,0,139,0:0:0:0:1:1:0:1:2:0:2:0:0:1:0:1:0:1:1:4:2:2:0:0:1:4:1:0:0:0:1:0:1:0:4:1:0:1:1:1:0:0:4:0:0:1:1:0:0:1:0:4:0:3:5:3:3:5:4:5:5:5:0:3:5:5:0:1:5:1:2:3:3:6:6:0:5:6:5:5:4:3:6:6:5:6:6:1:5:6:7:3:7:5:6:5:0:7:6:8:8:5:0:7:5:7:1:8:0:5:4:6:0:6:6:0:3:5:7:8:5:5:8:1:4:1:1:7:7:4:6:0:6:6:6:6:6:6:8:5:0:5:2:8:5:8:5:0:5:4:6:6:6:5:7:3:7:5:1:6:1:3:8:0:8:5:1:1:5:1:5:8:7:4:7:0:7:7:6:6:6:5:5:0:5:6:5:7:1:5:0
183,0,9,0,138,0:0:0:0:1:1:0:1:2:0:2:0:0:1:0:1:0:1:1:4:2:2:0:0:1:4:1:0:0:0:1:0:1:0:4:1:0:1:1:1:0:0:4:0:0:1:1:0:0:1:0:4:0:3:5:3:3:5:4:5:5:5:0:3:5:5:0:1:5:1:2:3:3:2:2:0:5:2:5:5:4:3:6:6:5:6:6:1:5:6:7:3:7:5:6:5:0:7:6:8:8:5:0:7:5:7:1:8:0:5:4:6:0:6:6:0:3:5:7:8:5:5:8:1:4:1:1:7:7:4:6:0:6:6:6:6:6:6:8:5:0:5:2:8:5:8:5:0:5:4:6:6:6:5:7:3:7:5:1:6:1:3:8:0:8:5:1:1:5:1:5:8:7:4:7:0:7:7:6:6:6:5:5:0:5:6:5:7:1:5:0
203,0,9,0,137,0:0:0:0:1:1:0:1:2:0:2:0:0:1:0:1:0:1:1:4:2:2:0:0:1:4:1:0:0:0:1:0:1:0:2:1:0:1:1:1:0:0:4:0:0:1:1:0:0:1:0:4:0:3:5:0:3:5:1:5:5:5:0:1:5:5:0:1:5:1:2:2:3:2:2:0:5:2:5:5:4:4:6:6:5:6:6:1:5:6:3:3:2:5:6:5:0:2:6:8:8:5:0:7:5:7:1:8:0:5:4:6:0:6:6:0:3:5:7:5:5:5:8:1:7:1:8:7:7:4:6:0:6:6:6:6:6:6:8:5:0:5:2:8:5:8:5:0:5:4:6:6:6:5:7:0:7:5:1:6:1:3:8:0:8:5:1:1:5:1:5:8:7:4:7:0:7:7:6:6:6:5:5:0:5:6:5:7:1:5:0
