#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 21:32:53,wvcp,p13,local_search,1,3220,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,7,0,3399,0:1:1:1:0:2:0:2:3:3:0:4:2:3:1:4:3:3:4:4:4:0:0:5:5:2:5:1:6:6:2:1:5:3
9,0,7,0,3377,0:2:1:1:0:2:1:2:0:3:0:1:2:3:4:4:3:3:4:4:4:6:0:5:5:4:5:1:6:6:2:0:5:3
86,0,7,0,3368,1:2:2:1:1:3:1:2:2:5:1:6:6:2:3:4:3:3:5:4:4:6:6:5:4:4:4:5:6:6:0:0:5:3
91,0,8,0,3317,1:2:2:1:1:3:1:2:2:5:1:4:3:2:3:4:3:3:5:4:4:6:6:5:4:7:7:5:6:6:0:0:5:0
475,0,8,0,3300,2:5:5:5:1:1:5:2:2:3:5:4:3:2:1:4:1:2:2:4:4:3:1:3:4:7:7:7:6:6:0:0:0:0
481,0,8,0,3255,2:5:5:5:2:1:5:2:2:3:5:1:3:2:4:4:1:3:4:4:4:3:1:3:7:7:7:7:6:6:0:0:0:0
954,0,7,0,3240,2:5:5:5:2:1:1:1:2:4:2:3:3:5:5:3:1:1:4:4:4:3:2:3:7:4:7:7:7:3:0:0:0:0
1276,0,7,0,3235,8:2:2:8:8:1:1:1:2:4:2:5:1:8:8:5:1:1:5:4:5:4:2:5:3:4:3:3:3:5:4:2:0:0
1346,0,7,0,3225,8:2:2:2:8:1:1:8:8:5:2:1:1:8:4:4:1:5:5:4:5:4:1:5:3:4:3:3:3:5:2:2:0:0
1576,0,6,0,3220,8:2:2:2:8:1:1:8:8:5:2:1:1:8:4:4:1:5:4:4:4:5:1:5:5:4:3:3:3:3:2:2:3:3
1576,0,6,0,3220,8:2:2:2:8:1:1:8:8:5:2:1:1:8:4:4:1:5:4:4:4:5:1:5:5:4:3:3:3:3:2:2:3:3
#2022-10-11 21:32:53
