#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 23:37:05,wvcp,queen11_11,local_search,5,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,18,0,216,0:1:1:0:0:1:1:2:0:2:3:4:2:1:4:3:2:5:0:5:3:4:6:6:2:6:7:6:7:1:8:8:5:3:2:8:4:5:7:8:7:2:0:9:7:7:6:9:3:8:9:5:0:9:5:3:8:10:6:10:8:1:4:3:10:5:9:10:4:6:6:2:11:11:11:11:10:12:12:12:13:13:13:14:14:15:12:14:5:10:8:11:15:9:16:7:13:16:14:15:16:0:15:13:5:4:12:17:6:6:9:11:17:1:13:9:17:16:17:13:17
73,0,18,0,215,0:1:1:0:0:1:1:2:0:2:4:6:2:3:3:4:2:5:0:5:3:0:6:6:2:6:7:6:7:7:8:8:5:8:2:8:4:5:7:8:7:2:0:4:7:7:6:1:4:8:9:5:2:9:5:3:8:10:6:10:8:1:4:11:10:5:9:9:11:6:10:2:11:11:11:11:10:12:12:12:13:13:13:14:14:15:12:14:5:10:13:11:15:9:16:7:13:16:14:15:16:14:15:13:5:4:12:1:15:6:0:11:3:4:13:9:17:16:17:13:17
74,0,18,0,213,0:1:1:0:0:1:1:2:0:2:4:6:2:3:3:4:2:5:0:5:3:0:6:6:2:6:7:6:7:7:8:8:5:8:2:8:4:5:7:8:7:2:0:4:7:7:6:1:4:8:9:5:2:9:5:3:8:10:6:10:8:1:4:11:10:5:9:9:11:6:10:2:11:11:11:11:10:12:12:12:13:13:13:14:14:10:12:14:5:10:13:11:9:9:16:7:13:16:14:15:16:14:15:13:5:4:12:1:15:6:0:11:3:4:13:9:17:16:17:13:17
79,0,18,0,210,0:3:7:0:0:3:3:2:0:2:4:6:2:3:3:4:2:5:0:5:5:0:6:6:2:6:7:6:3:7:8:8:5:8:2:8:4:5:7:8:7:2:0:4:7:7:6:1:4:8:9:5:2:9:5:3:8:10:6:10:8:1:4:1:10:5:9:9:11:6:10:2:11:11:11:11:10:12:12:12:13:13:13:14:14:10:12:14:6:10:13:11:9:9:16:7:13:16:14:15:16:14:15:13:5:4:12:1:15:6:0:11:15:4:13:9:17:16:17:13:17
94,0,18,0,207,0:3:7:0:0:3:3:2:0:2:4:6:2:3:3:4:2:5:0:5:5:0:6:6:2:6:7:6:3:7:8:8:5:8:2:8:4:5:7:8:7:2:4:4:7:7:6:0:4:8:9:5:2:9:5:3:8:10:6:10:8:3:1:1:10:5:9:9:1:6:10:2:11:11:11:11:10:12:12:12:13:13:13:14:14:10:12:14:6:10:13:11:9:9:16:7:13:16:14:15:16:14:15:13:5:4:12:1:15:6:0:11:15:15:13:9:17:16:17:13:17
152,0,18,0,206,0:3:3:0:0:3:3:2:0:2:4:6:2:3:5:4:8:8:0:2:5:0:6:6:3:6:7:4:7:7:8:5:5:8:2:8:4:8:7:8:7:2:0:4:7:7:6:3:4:8:9:2:2:9:6:5:8:10:6:10:8:3:1:1:10:5:9:9:1:6:10:1:11:11:11:11:10:12:12:12:13:13:13:14:14:10:12:14:6:10:13:11:9:9:16:7:13:16:14:15:16:14:15:13:5:4:12:1:15:6:1:11:15:15:13:9:17:16:17:13:17
153,0,18,0,204,0:3:3:0:0:3:3:2:0:2:4:6:2:3:5:4:8:8:0:2:5:0:6:6:3:6:7:4:7:7:8:5:5:8:2:8:4:8:7:8:7:2:0:4:7:7:6:3:4:8:9:2:2:9:6:5:8:10:6:10:8:3:1:1:10:5:9:9:1:6:10:1:11:11:11:11:10:12:12:12:13:13:13:14:14:10:12:14:6:10:13:11:9:9:16:7:13:16:14:14:16:14:16:13:5:4:12:1:1:6:1:11:15:15:13:9:17:16:17:13:17
154,0,17,0,203,0:3:3:0:0:3:3:2:0:2:4:6:2:3:5:4:8:8:0:2:5:0:6:6:3:6:7:4:7:7:8:5:5:8:2:8:4:8:7:8:7:2:0:4:7:7:6:3:4:8:9:2:2:9:6:5:8:10:6:10:8:3:1:1:10:5:9:9:1:6:10:1:11:11:11:11:10:12:12:12:13:13:13:14:14:10:12:14:6:10:13:11:9:9:16:7:13:16:14:14:16:14:16:13:5:4:12:1:1:6:1:11:17:17:13:9:17:16:17:13:17
173,0,17,0,201,0:3:3:0:0:3:3:2:0:2:4:6:2:3:5:4:6:6:0:2:5:0:6:6:3:8:7:4:7:3:8:5:5:8:2:8:4:8:7:8:7:2:0:4:7:7:6:3:4:8:9:2:2:9:6:5:8:10:8:10:8:3:1:1:10:5:9:9:1:6:10:1:11:11:11:11:10:12:12:12:13:13:13:14:14:10:12:14:7:10:13:11:9:9:16:13:13:16:14:14:16:14:16:13:5:4:12:1:1:6:1:11:17:17:13:9:17:16:17:13:17
181,0,17,0,200,0:3:3:0:0:3:3:2:0:2:4:6:2:3:5:4:6:6:0:2:5:0:6:6:3:8:7:4:7:3:8:5:5:8:2:8:4:8:7:8:7:2:0:4:4:7:6:3:4:8:2:2:7:1:6:5:8:10:8:10:8:3:1:7:10:5:9:9:1:6:10:1:11:11:11:11:10:12:12:12:13:13:13:14:14:10:12:14:7:10:13:11:9:9:16:13:13:16:14:14:16:14:16:13:5:4:12:9:1:6:1:11:17:17:13:9:17:16:17:13:17
184,0,17,0,199,0:3:3:0:0:3:3:2:0:2:4:6:2:3:5:4:6:6:0:2:5:0:6:6:3:8:7:4:7:3:8:5:5:8:2:8:4:8:7:8:7:2:0:4:4:7:6:3:4:8:2:2:7:1:6:5:8:10:8:10:8:3:4:7:10:5:1:1:11:6:10:1:11:11:11:11:10:12:12:12:13:13:13:14:14:10:12:14:7:10:13:11:9:9:16:13:13:16:14:14:16:14:16:13:5:4:12:9:1:6:0:11:17:17:13:9:17:16:17:13:17
326,0,17,0,197,0:3:3:0:0:3:3:8:0:8:4:6:8:3:2:4:2:6:5:8:8:0:6:6:3:7:5:4:2:3:7:2:5:2:8:5:0:8:2:8:5:7:0:4:4:2:6:3:4:5:0:7:5:7:6:5:2:10:1:10:10:3:1:1:10:11:4:12:1:6:10:12:11:11:11:11:10:12:12:7:13:13:5:14:14:10:12:14:6:10:13:11:7:13:16:13:13:16:14:14:16:14:16:13:14:4:12:1:1:6:9:11:17:17:13:9:17:16:17:13:17
327,0,16,0,195,0:3:3:0:0:3:3:8:0:8:4:6:8:3:2:4:2:6:5:8:8:0:6:6:3:7:5:4:2:3:7:2:5:2:8:5:0:8:2:8:5:7:0:4:4:2:6:3:4:5:0:7:5:7:6:5:2:10:1:10:10:3:1:1:10:11:4:12:1:6:10:12:11:11:11:11:10:12:12:7:13:13:5:14:14:10:12:14:6:10:13:11:7:13:16:13:13:16:14:14:16:14:16:13:14:4:12:1:1:6:0:11:17:17:13:4:17:16:17:13:17
353,0,16,0,194,0:3:3:0:0:3:3:8:0:8:4:6:8:3:2:4:2:6:4:8:8:0:6:6:3:7:5:4:7:3:7:2:5:5:8:5:0:8:2:8:2:7:0:4:2:2:6:3:5:1:0:7:4:7:6:1:5:10:1:10:10:3:1:1:10:11:4:12:1:6:10:12:11:11:11:11:10:12:12:7:13:13:5:14:14:10:12:14:6:10:13:11:7:13:16:13:13:16:14:14:16:14:16:13:14:4:12:1:1:6:0:11:17:17:13:16:17:16:17:13:17
356,0,16,0,193,0:3:3:0:0:3:3:8:0:8:4:6:8:3:2:4:2:6:4:8:8:0:6:6:3:7:5:4:7:3:7:2:5:5:8:5:0:8:2:8:2:7:0:4:2:2:6:3:5:1:0:7:4:5:6:1:5:10:1:10:10:3:1:1:10:4:4:12:1:6:10:12:11:11:11:11:10:12:12:7:13:13:5:14:14:10:12:14:6:10:13:11:7:13:16:13:13:16:14:14:16:14:16:13:14:7:12:1:1:6:0:11:17:17:13:16:17:16:17:13:17
357,0,16,0,192,0:3:3:0:0:3:3:8:0:8:4:6:8:3:2:4:2:6:4:8:8:0:6:6:3:7:5:4:7:3:7:2:5:5:8:5:0:8:2:8:2:7:0:4:2:2:6:3:5:1:0:7:4:5:6:1:5:10:1:10:10:3:1:1:10:4:4:12:1:6:10:12:11:11:11:11:10:12:12:7:13:13:5:14:14:10:12:14:6:10:13:11:7:13:8:13:13:2:14:14:16:14:16:13:14:7:12:1:1:6:0:11:17:17:13:16:17:16:17:13:17
358,0,16,0,191,0:3:3:0:0:3:3:8:0:8:4:6:8:3:2:4:2:6:4:8:8:0:6:6:3:7:5:4:7:3:7:2:5:5:8:5:0:8:2:8:2:7:0:4:2:2:6:3:5:1:0:7:4:5:6:1:5:10:1:10:10:3:1:1:10:4:4:12:1:6:10:12:11:11:11:11:10:12:12:7:13:13:5:14:14:10:12:14:6:10:13:11:7:13:8:13:13:2:14:14:10:14:16:13:14:7:12:1:1:6:0:11:16:16:13:16:17:16:17:13:17
359,0,16,0,189,0:3:3:0:0:3:3:8:0:8:4:6:8:3:2:4:2:6:4:8:8:0:6:6:3:7:5:4:7:3:7:2:5:5:8:5:8:8:2:8:2:7:0:4:2:2:6:3:5:1:0:7:4:5:6:1:5:10:1:10:10:3:1:1:10:4:4:12:1:6:10:12:11:11:11:11:10:12:12:7:13:13:5:14:14:10:12:14:6:10:13:11:7:13:8:13:13:2:14:14:10:14:0:13:14:7:12:1:1:6:0:11:16:16:13:16:17:16:17:13:17
