#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 23:37:52,wvcp,queen11_11gb,local_search,10,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,18,0,214,0:0:1:1:0:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:4:5:0:5:4:5:5:4:5:0:4:6:2:6:7:5:7:6:7:6:8:8:6:8:1:3:9:9:6:0:9:3:7:9:8:7:8:5:10:1:7:3:10:9:4:9:8:9:3:10:6:7:2:10:11:11:11:4:10:12:12:13:11:12:13:10:14:8:14:12:12:14:15:15:14:1:6:15:11:16:5:13:16:16:10:13:13:17:12:13:17:14:15:17:14:8:13:11:16
16,0,18,0,213,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:4:5:1:0:4:5:5:4:5:0:4:5:2:6:7:5:7:6:7:6:8:8:6:7:1:7:9:9:6:0:9:3:7:9:8:7:8:5:10:1:7:3:10:9:4:9:8:9:3:10:6:7:2:10:11:11:11:4:10:12:12:13:8:12:13:10:14:8:14:12:12:14:15:15:14:11:6:15:11:16:5:13:16:16:10:13:13:17:12:13:17:14:15:17:14:8:13:11:16
17,0,18,0,212,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:4:5:1:0:4:5:5:4:5:0:4:5:2:6:7:5:7:6:7:6:8:8:6:7:1:7:9:9:6:0:9:3:7:9:8:7:8:5:10:1:7:3:10:9:4:9:8:9:3:10:6:7:2:10:11:11:11:4:10:6:6:13:8:12:13:10:14:8:14:12:12:14:15:15:14:11:6:15:11:16:5:13:16:16:10:13:13:17:12:13:17:14:15:17:14:8:13:11:16
18,0,18,0,209,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:4:5:1:0:4:5:5:4:5:0:4:5:2:6:7:5:7:6:7:6:0:2:6:7:1:7:9:9:6:0:9:3:7:9:8:7:8:5:10:1:7:3:10:9:4:9:8:9:3:10:6:7:2:10:11:11:11:4:10:6:6:13:8:12:13:10:14:8:14:12:12:14:15:15:14:11:6:15:11:16:5:13:16:16:10:13:13:17:12:13:17:14:15:17:14:8:13:11:16
20,0,17,0,206,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:3:3:3:4:4:3:4:5:1:0:4:5:5:4:5:0:4:5:2:6:7:5:7:6:7:6:0:2:6:7:8:7:9:9:6:0:9:3:7:9:8:7:8:5:10:1:7:3:10:9:4:9:8:9:3:10:6:7:2:10:11:11:11:4:10:6:6:13:8:1:13:10:14:8:14:1:15:14:15:15:14:11:6:15:11:16:5:13:16:16:10:13:13:17:9:13:17:14:15:17:14:8:13:11:16
43,0,17,0,205,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:4:3:5:4:4:3:4:3:3:0:4:5:5:4:5:0:5:5:2:6:7:1:7:6:7:6:0:2:6:7:4:7:9:9:6:0:9:7:7:9:8:7:8:5:10:1:7:3:10:9:4:9:8:9:3:10:6:7:2:10:11:11:11:8:10:6:6:13:8:1:13:10:14:8:14:0:15:14:15:15:14:11:6:15:11:16:5:13:16:16:10:13:13:17:9:13:17:14:15:17:14:16:13:11:16
76,0,17,0,204,0:0:1:1:2:0:1:2:2:2:1:0:2:3:2:2:5:3:5:4:4:3:4:3:3:0:4:5:5:5:5:0:5:4:2:4:7:1:7:6:7:6:0:2:6:7:1:7:9:9:6:0:9:7:7:9:8:7:8:3:1:1:7:3:10:9:4:9:8:9:10:10:6:8:2:10:11:11:11:8:10:6:6:13:8:3:13:10:14:8:14:0:15:14:15:15:14:11:6:15:11:16:5:13:16:16:10:13:13:17:9:13:17:14:15:17:14:16:13:11:16
90,0,17,0,203,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:5:3:5:4:4:3:4:3:3:0:4:5:5:5:5:0:5:4:2:4:7:1:7:6:7:6:0:2:6:7:1:7:9:9:6:0:9:7:7:9:8:7:8:3:8:1:7:3:6:9:4:9:8:9:10:10:6:8:2:10:11:11:11:8:10:6:3:13:10:3:13:10:14:8:14:0:15:14:15:15:14:11:6:15:11:16:5:13:16:16:10:13:13:17:9:13:17:14:15:17:14:16:13:11:16
95,0,17,0,202,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:5:3:5:4:4:3:4:3:3:0:1:5:5:5:5:0:5:4:2:4:7:1:7:6:7:4:0:2:6:7:1:7:9:9:6:0:9:7:7:9:8:7:8:3:8:8:7:3:6:9:4:9:8:9:6:10:6:8:2:10:11:11:11:4:10:6:3:13:10:3:13:10:14:8:14:0:15:14:15:15:14:11:6:15:11:16:5:13:16:16:10:13:13:17:9:13:17:14:15:17:14:16:13:11:16
96,0,17,0,200,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:5:3:5:4:4:3:4:3:3:0:1:5:5:5:5:0:5:4:2:4:7:1:7:6:7:4:0:2:6:7:1:7:9:9:6:0:9:7:7:9:8:7:8:3:8:8:7:3:6:9:4:9:8:9:6:10:6:8:2:10:11:11:11:4:10:6:3:10:10:3:10:14:14:8:14:0:15:14:15:15:14:11:6:15:11:16:5:13:16:16:10:13:13:17:9:13:17:14:15:17:14:16:13:11:16
97,0,17,0,199,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:5:3:5:4:4:3:4:3:3:0:1:5:5:5:5:0:5:4:2:4:7:1:7:6:7:4:0:2:6:7:1:7:9:9:6:0:9:7:7:9:8:7:8:3:8:8:7:3:6:9:4:9:8:9:6:10:6:8:2:10:11:11:11:4:10:6:3:10:10:3:10:14:14:8:14:0:15:14:15:15:14:11:6:15:11:16:5:13:16:16:10:13:13:13:9:5:13:14:15:17:14:16:13:11:16
101,0,16,0,198,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:5:3:5:4:4:3:4:3:3:0:1:5:5:5:5:0:5:4:2:4:7:1:7:4:7:4:0:2:6:7:1:7:9:9:6:0:9:7:7:9:8:7:8:3:8:8:7:3:6:9:4:9:8:9:6:10:6:8:2:10:11:11:11:4:10:6:3:10:10:3:10:14:14:8:14:0:15:14:15:15:14:6:6:15:11:16:5:13:16:16:10:13:13:13:9:5:13:14:15:11:14:16:13:11:16
134,0,16,0,197,0:0:1:1:2:0:1:2:2:2:1:0:2:1:2:2:5:3:5:4:4:5:4:3:0:3:1:5:5:5:3:0:5:4:2:4:7:1:7:4:7:4:3:2:5:7:1:7:9:9:6:0:9:7:7:9:8:7:8:3:8:8:7:0:6:9:4:9:8:9:6:10:6:8:2:10:11:11:11:4:10:6:15:10:10:8:10:14:14:8:14:0:15:14:15:15:14:6:6:9:11:16:5:13:16:16:10:13:13:13:3:5:13:14:15:11:14:16:13:11:16
