#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 23:50:10,wvcp,queen12_12g,local_search,17,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,20,0,68,0:1:1:2:1:1:0:0:3:2:3:4:2:2:4:2:0:5:6:0:6:4:0:5:6:7:7:3:4:5:3:4:7:4:6:3:7:5:0:1:8:3:5:8:1:5:8:1:4:2:2:5:7:1:2:6:8:9:9:10:10:11:11:12:11:12:10:5:8:6:10:9:10:11:8:9:9:12:12:13:10:7:6:4:13:13:12:3:11:12:8:7:13:0:13:12:14:14:15:15:15:14:13:16:5:12:14:16:13:8:14:15:10:16:14:17:11:16:17:15:16:13:17:18:0:3:7:18:18:17:2:12:18:18:17:16:17:14:18:14:9:2:10:19
2,0,20,0,67,0:1:1:2:1:1:0:0:3:2:3:4:2:2:4:2:0:5:6:0:6:4:0:5:6:7:7:3:4:5:3:4:7:4:6:3:7:5:0:1:8:3:5:8:1:5:8:1:4:2:2:5:7:1:2:6:8:9:9:10:10:11:11:12:11:12:10:5:8:6:10:9:10:11:8:9:9:12:12:13:10:7:6:4:13:13:12:3:11:12:8:7:13:5:13:12:14:14:15:15:15:14:13:16:5:12:14:16:13:8:14:15:10:16:14:0:11:16:17:15:16:13:17:18:0:3:7:18:18:17:2:12:18:18:17:16:17:14:18:14:9:2:10:19
3,0,19,0,66,0:1:1:2:1:1:0:0:3:2:3:4:2:2:4:2:0:5:6:0:6:4:0:5:6:7:7:3:4:5:3:4:7:4:6:3:7:5:0:1:8:3:5:8:1:5:8:1:4:2:2:5:7:1:2:6:8:9:9:10:10:11:11:12:11:12:10:5:8:6:10:9:10:11:8:9:9:12:12:13:10:7:6:4:13:13:12:3:11:12:8:7:13:5:13:12:14:14:15:15:15:14:13:16:5:12:14:16:13:8:14:15:10:16:14:0:11:16:19:15:16:13:19:18:0:3:7:18:18:19:2:12:18:18:19:16:16:14:18:14:9:2:10:19
17,0,19,0,65,0:1:1:2:1:1:0:0:3:2:5:6:2:2:4:1:0:5:2:0:6:4:0:5:6:7:7:3:4:5:3:4:7:4:6:3:7:5:0:1:8:3:5:8:3:5:8:1:4:8:2:5:1:2:2:6:8:9:9:10:10:11:11:12:11:12:10:4:8:6:10:9:10:11:8:9:9:12:12:13:10:7:6:4:13:13:12:3:11:12:8:7:13:5:13:12:14:14:15:15:15:14:13:7:5:12:14:15:13:8:14:15:10:15:14:0:11:16:19:15:16:13:19:18:0:3:7:18:18:19:2:12:18:18:19:16:16:14:18:14:9:19:10:19
31,0,19,0,64,0:1:6:2:1:6:0:0:1:2:5:6:2:2:4:1:0:5:2:0:6:4:0:5:4:7:7:3:3:5:3:4:7:4:6:3:7:5:0:1:8:3:5:8:3:5:8:6:1:8:2:5:1:2:2:6:8:9:9:10:10:11:11:12:11:12:10:4:8:13:10:9:10:11:8:9:9:12:12:3:10:7:6:4:13:13:12:3:11:12:8:7:13:5:13:12:14:14:15:15:15:14:13:7:5:12:14:15:13:8:14:15:10:15:14:0:11:16:19:15:16:13:19:18:0:3:7:18:18:19:2:12:18:18:19:16:16:14:18:14:9:19:10:19
40,0,19,0,63,0:1:6:2:6:6:0:0:1:2:5:6:2:2:1:6:0:5:2:0:6:1:0:5:4:7:7:3:3:5:3:4:7:4:4:3:7:5:0:5:8:3:5:8:3:5:8:6:1:8:2:5:1:2:2:6:8:9:9:10:10:11:11:12:11:12:10:4:8:13:10:9:10:11:8:9:9:12:12:3:10:7:4:4:13:13:12:3:11:12:8:7:13:10:13:12:14:14:15:15:15:14:13:7:5:12:14:15:13:8:14:15:10:15:14:0:11:16:19:15:16:13:19:18:0:3:7:18:18:19:2:12:18:18:19:16:16:14:18:14:9:19:10:19
68,0,18,0,62,0:1:6:2:6:6:3:0:3:2:4:6:2:6:4:6:0:5:2:0:4:4:0:5:5:7:7:3:1:5:3:4:7:4:0:3:2:5:0:5:8:3:4:8:8:5:8:6:1:8:2:5:1:2:2:6:8:1:1:10:11:2:11:12:11:12:10:12:10:13:10:2:10:11:8:4:6:12:7:3:10:7:4:0:13:13:5:3:11:12:8:7:13:10:13:12:14:14:15:15:15:14:13:7:5:12:14:15:13:8:14:15:10:15:14:0:11:16:19:15:16:13:19:18:0:3:7:18:18:19:16:12:18:18:19:16:16:14:18:14:19:19:10:19
74,0,18,0,61,0:1:6:2:6:6:3:0:3:2:4:6:2:6:4:6:0:1:2:0:4:1:0:4:5:7:7:3:1:5:3:1:7:4:0:3:2:5:0:5:8:3:4:8:8:5:8:6:1:8:2:5:1:2:2:6:8:4:11:10:11:2:11:12:11:12:10:12:10:13:10:2:10:11:8:4:6:12:7:3:10:7:4:0:13:13:5:3:11:12:8:7:13:10:13:12:14:14:15:15:15:14:13:7:5:12:14:15:13:8:14:15:10:15:14:0:15:16:19:15:16:13:19:18:0:3:7:18:18:19:16:12:18:18:19:16:16:14:18:14:19:19:10:19
136,0,17,0,60,4:2:6:0:6:4:3:3:3:0:4:1:6:6:2:6:0:1:2:3:0:1:6:4:5:7:7:5:7:5:3:2:1:0:0:3:5:5:7:8:8:3:4:8:8:5:8:0:1:4:2:1:5:2:2:6:8:0:19:10:10:12:19:12:12:7:10:12:1:13:10:19:10:2:8:4:6:12:7:3:10:7:4:2:13:13:5:3:19:12:8:1:13:10:13:1:14:14:15:15:15:14:13:7:5:12:14:15:13:8:14:15:10:15:14:0:15:16:19:15:18:13:19:18:3:16:14:18:18:19:16:12:18:18:16:16:16:14:18:14:19:19:10:19
181,0,17,0,59,4:2:6:0:6:4:3:6:3:0:4:1:6:6:2:6:0:1:2:4:0:0:6:4:5:1:5:3:2:0:3:2:1:5:0:3:5:5:7:8:8:3:0:8:8:5:8:5:1:4:2:1:5:7:2:6:8:7:7:10:10:12:7:12:12:7:10:12:1:13:10:0:13:2:8:5:6:12:10:3:10:7:4:2:13:13:2:3:12:12:8:1:13:7:13:1:14:14:15:15:15:14:13:7:4:12:14:15:13:8:14:15:10:15:14:16:15:16:5:15:19:13:19:18:18:16:14:18:18:19:16:12:18:18:16:16:16:14:18:14:19:19:10:19
192,0,17,0,58,4:2:6:0:6:4:3:6:3:0:4:1:6:6:2:6:0:1:2:4:0:0:6:4:5:1:5:3:2:0:3:2:1:5:0:3:5:5:7:8:8:3:0:8:8:5:8:5:1:4:2:1:5:7:2:6:8:7:7:10:10:12:7:12:12:7:10:12:1:13:10:0:13:2:8:5:6:12:10:3:10:7:4:2:13:13:2:3:12:12:8:1:13:7:13:1:14:14:15:15:15:14:13:7:4:12:14:15:13:8:14:15:3:15:14:10:15:16:5:15:19:13:19:18:18:16:14:18:18:19:16:12:18:18:16:16:16:14:18:14:19:19:10:19
