#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-11 19:29:53,wvcp,r17,local_search,12,7979,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,17,0,8553,0:1:1:1:0:0:1:1:0:2:2:1:2:2:2:0:1:0:0:1:3:3:2:3:3:1:3:3:2:2:2:2:3:0:4:4:4:4:2:0:5:4:0:5:1:4:6:3:4:7:6:4:5:5:8:7:4:5:8:5:7:3:3:7:4:2:7:1:6:8:8:6:6:1:7:5:2:2:6:9:7:9:8:9:9:6:9:7:2:8:5:8:0:5:4:9:4:7:0:5:3:2:9:7:8:9:10:0:6:11:6:10:9:9:11:10:7:3:8:0:11:10:11:6:8:11:10:11:10:8:11:11:9:9:9:3:11:10:7:3:10:12:6:12:6:12:12:8:4:10:12:12:10:7:7:13:9:13:13:5:13:5:11:10:14:7:6:13:14:13:14:12:12:13:9:3:8:13:13:5:14:1:14:10:9:14:14:15:15:6:4:15:15:15:15:1:14:10:11:13:11:15:13:5:14:4:15:12:11:16:12:16:15
129,0,16,0,8481,1:0:1:0:0:0:1:1:1:2:2:0:2:2:2:1:1:0:0:1:3:3:2:3:2:1:3:4:4:2:2:11:3:4:5:4:6:2:5:0:5:4:0:5:1:4:3:3:4:8:6:4:5:5:11:4:4:5:8:4:6:3:3:3:4:3:7:1:6:8:5:6:6:1:7:5:2:2:6:9:7:9:8:9:9:6:9:7:2:8:5:8:7:5:4:9:4:7:6:5:3:2:9:7:8:9:10:8:6:11:6:10:9:9:11:10:7:3:8:0:11:10:11:6:8:11:10:11:10:8:11:11:9:9:9:3:11:10:7:3:10:12:6:12:0:12:12:8:11:10:12:12:10:7:7:13:9:13:13:5:13:1:11:10:14:7:6:13:14:13:14:12:12:13:9:7:8:13:13:5:14:1:14:10:9:14:14:0:0:6:12:14:5:13:13:1:14:10:11:13:7:14:13:2:14:4:12:12:11:16:12:16:12
131,0,16,0,8465,1:0:1:0:0:0:1:1:1:2:2:0:2:2:2:1:1:0:0:1:3:3:2:3:2:1:3:4:4:2:2:8:3:4:5:4:6:2:5:0:5:4:0:5:1:4:3:3:4:8:6:4:5:5:11:4:4:5:8:4:6:3:3:3:4:3:7:1:6:8:5:6:6:1:7:5:2:2:6:9:7:9:8:9:9:6:9:7:2:8:5:8:7:5:4:9:4:7:6:5:3:2:9:7:8:9:10:8:6:11:6:10:9:9:11:10:7:3:8:0:11:10:11:6:8:11:10:11:10:8:11:11:9:9:9:3:11:10:7:3:10:12:6:12:0:12:12:8:11:10:12:12:10:7:7:13:9:13:13:5:13:1:11:10:14:7:6:13:14:13:14:12:12:13:9:7:6:13:13:5:14:1:14:10:9:14:14:0:0:6:12:14:5:13:13:1:14:10:11:13:7:14:13:2:14:4:12:12:11:16:12:16:12
134,0,16,0,8374,1:0:1:0:0:0:1:1:1:2:2:0:2:2:2:1:1:0:4:1:3:3:2:3:2:1:3:4:4:2:2:8:3:4:5:4:6:2:5:0:5:4:0:5:1:4:3:3:4:8:6:4:5:5:7:4:7:5:8:4:6:3:3:3:4:3:0:1:6:8:5:6:6:1:7:5:2:2:6:9:7:9:8:9:9:6:9:7:2:8:5:8:7:5:4:9:4:7:6:5:3:2:9:7:8:9:10:8:6:11:6:10:9:9:11:10:7:3:8:0:11:10:11:6:8:11:10:11:10:8:11:11:9:9:9:3:11:10:7:3:10:12:6:12:0:12:12:8:11:10:12:12:10:7:7:13:9:13:13:5:13:1:11:10:14:7:6:13:14:13:14:12:12:13:9:7:6:13:13:5:14:1:14:10:9:14:14:0:0:6:12:14:5:13:13:1:14:10:11:13:7:14:13:2:14:4:12:12:11:16:12:16:12
144,0,16,0,8349,1:0:1:0:0:0:1:1:1:2:2:0:2:2:2:1:1:0:0:1:3:3:2:3:2:1:3:4:4:2:2:8:3:4:5:4:6:2:5:0:5:4:0:5:1:4:3:3:4:8:6:4:5:5:7:4:7:5:8:4:6:3:3:3:4:3:4:1:6:8:5:6:6:1:7:5:2:2:6:9:7:9:8:9:9:6:9:7:2:8:5:8:7:5:3:9:4:7:6:5:3:2:9:7:8:9:10:8:6:11:6:10:9:9:11:10:7:3:8:0:11:10:11:6:8:11:10:11:10:8:11:11:9:9:9:0:11:10:7:3:10:12:6:12:0:12:12:8:11:10:12:12:10:7:7:13:9:13:13:5:13:1:11:10:14:7:6:13:14:13:14:12:12:13:9:7:6:13:13:5:14:1:14:10:9:14:14:0:0:6:12:14:5:13:13:1:14:10:11:13:7:14:13:2:14:4:12:12:11:16:12:16:12
146,0,16,0,8339,1:0:1:0:0:0:1:1:1:2:2:0:2:2:2:1:1:0:0:1:3:3:2:3:2:1:3:4:4:2:2:2:3:4:5:4:6:2:5:0:5:4:0:5:1:4:3:3:4:8:6:4:5:5:7:4:7:5:8:4:6:3:3:3:4:3:4:1:6:8:5:6:6:1:7:5:2:2:6:9:7:9:8:9:9:6:9:7:2:8:5:8:7:5:3:9:4:7:6:5:3:2:9:7:8:9:10:8:6:11:6:10:9:9:11:10:7:3:8:0:11:10:11:6:8:11:10:11:10:8:11:11:9:9:9:0:11:10:7:3:10:12:6:12:0:12:12:8:11:10:12:12:10:7:7:13:9:13:13:5:13:1:11:10:14:7:6:13:14:13:14:12:12:13:9:7:6:13:13:5:14:1:14:10:9:14:14:0:0:6:12:14:5:13:13:1:14:10:11:13:7:14:13:16:14:4:12:12:11:16:12:16:12
152,0,16,0,8327,1:0:1:0:0:0:1:1:1:2:2:0:2:2:2:1:1:0:0:1:3:3:2:3:2:1:3:4:4:2:2:2:3:4:5:4:6:2:5:0:5:4:0:5:1:4:3:3:4:8:6:4:5:5:7:4:7:5:7:4:6:3:3:3:4:3:4:1:6:8:5:6:6:1:7:5:2:2:6:9:7:9:8:9:9:6:9:7:2:8:5:8:7:5:3:9:4:7:6:5:3:2:9:7:8:9:10:8:6:11:6:10:9:9:11:10:7:3:8:0:11:10:11:6:8:11:10:11:10:8:11:11:9:9:9:0:11:10:7:3:10:12:6:12:0:12:12:8:11:10:12:12:10:7:7:13:9:13:13:5:13:2:11:10:14:8:6:13:14:13:14:12:12:13:9:7:6:13:13:5:14:1:14:10:9:14:14:0:0:6:12:14:5:13:13:1:14:10:11:13:1:14:13:7:14:4:12:12:11:16:12:16:12
178,0,15,0,8317,1:0:1:0:0:0:1:1:1:2:2:0:2:2:2:1:1:0:0:1:3:3:2:3:2:1:3:4:4:2:2:2:3:4:5:4:6:2:5:0:5:4:0:5:1:4:13:3:4:7:6:4:5:5:3:4:7:5:7:4:6:3:7:3:4:3:5:1:6:5:5:6:6:1:7:5:2:2:6:9:7:9:8:9:9:6:9:7:2:8:5:8:7:5:4:9:4:7:6:5:3:2:9:7:8:9:10:8:6:11:6:10:9:9:11:10:7:3:8:0:11:10:11:6:8:11:10:11:10:8:11:11:9:9:9:0:11:10:7:3:10:12:6:12:0:12:12:8:11:10:12:12:10:7:7:13:9:13:13:14:13:2:11:10:14:8:6:13:14:13:14:12:12:13:9:7:6:13:13:7:14:1:14:10:9:14:14:0:0:6:12:14:5:13:13:1:14:10:11:13:1:14:13:7:14:4:12:12:11:3:12:14:12
180,0,15,0,8224,1:0:1:0:0:0:1:1:1:2:2:0:2:2:2:1:1:0:0:1:3:3:2:3:2:1:3:4:4:2:2:2:3:4:5:4:6:2:5:0:5:4:0:5:1:4:11:3:4:7:6:4:5:5:3:4:7:5:7:4:6:3:7:3:4:3:5:1:6:5:5:6:6:1:7:5:2:2:6:9:7:9:8:9:9:6:9:7:2:8:5:8:7:5:4:9:4:7:6:5:3:2:9:7:8:9:10:8:6:11:6:10:9:9:11:10:7:3:8:0:11:10:11:6:8:0:10:11:10:8:11:11:9:9:9:0:11:10:7:3:10:12:6:12:0:12:12:8:11:10:12:12:10:7:7:13:9:13:13:14:13:2:11:10:14:8:6:13:14:13:14:12:12:13:9:7:6:13:13:7:14:1:14:10:9:14:14:0:0:6:12:14:5:13:13:1:14:10:11:13:1:14:13:7:14:4:12:12:11:3:12:14:12
194,0,15,0,8223,1:0:1:0:0:0:1:0:1:2:2:0:2:2:2:1:1:1:0:1:3:3:2:3:2:1:3:4:4:2:2:2:5:4:5:4:6:2:5:0:5:4:0:5:1:4:11:3:4:7:6:4:5:5:3:4:7:0:7:4:6:3:7:3:4:3:5:1:6:5:11:6:6:1:7:5:2:2:6:9:7:9:8:9:9:6:9:7:2:8:5:8:7:5:4:9:4:7:6:5:3:2:9:7:8:9:10:8:6:11:6:10:9:9:11:10:7:3:8:3:11:10:11:6:8:0:10:11:10:8:11:11:9:9:9:1:11:10:7:3:10:3:6:12:0:12:12:8:11:10:12:12:10:7:7:13:9:13:13:14:13:2:11:10:14:8:6:13:14:13:14:12:12:13:9:7:6:13:13:7:14:1:14:10:9:14:14:0:0:6:12:14:5:13:13:1:14:10:11:13:1:14:13:7:14:4:12:12:11:3:12:14:12
