#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-24 16:45:52,wvcp,r29,local_search,10,8693,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,ucb,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,18,0,9099,0:0:0:1:1:2:2:1:0:2:0:0:0:2:3:1:0:1:2:1:3:2:3:4:3:1:3:3:4:2:3:1:4:4:4:3:5:4:5:4:3:3:0:4:2:5:4:5:4:5:2:2:5:0:2:0:2:0:6:5:6:0:7:6:7:5:4:7:1:2:6:3:8:2:8:8:6:6:7:1:7:6:7:3:3:7:8:7:1:0:8:9:9:9:8:9:5:2:4:9:7:7:0:1:9:9:6:7:8:8:9:2:9:4:7:6:8:6:2:1:7:7:10:9:9:8:6:3:6:7:6:5:3:9:1:2:3:9:10:5:8:10:11:10:5:9:11:10:2:11:3:6:11:11:10:4:6:10:11:11:11:11:8:0:11:11:12:3:4:12:10:5:5:8:12:1:12:12:10:11:10:12:8:10:12:8:12:9:5:1:7:11:8:6:3:10:13:13:12:7:13:5:13:13:6:12:13:10:12:14:14:14:15:14:11:15:13:12:15:15:11:13:13:12:14:14:0:12:13:14:13:14:9:14:15:11:12:11:13:9:12:10:5:10:15:10:15:6:13:15:13:15:16:16:16:16:9:16:0:8:7:16:14:15:4:14:17:17:12:1:17:5:16:10:14:15:14:13:16:15:17
7,0,18,0,9083,0:0:0:1:1:2:2:1:0:2:0:0:0:2:3:1:0:1:2:1:3:2:3:4:3:1:3:3:4:2:3:1:4:4:4:3:5:4:5:4:3:3:0:4:2:5:4:5:4:5:2:2:5:0:2:0:2:0:6:5:6:0:7:6:8:5:4:7:1:2:6:3:8:2:8:8:6:6:7:1:7:6:7:3:3:7:8:7:1:0:8:9:9:9:8:9:5:2:4:9:7:7:0:1:9:9:6:7:8:8:9:2:9:4:7:6:8:6:2:1:7:7:7:9:9:8:6:3:6:7:6:5:3:9:1:2:3:9:10:5:8:10:11:10:5:9:11:10:2:11:3:6:11:11:10:4:6:10:11:11:11:11:8:0:11:11:10:3:4:12:10:5:5:8:12:1:12:12:10:11:10:12:8:10:12:8:12:9:5:1:7:11:12:6:3:10:13:13:12:7:13:5:13:13:6:12:13:10:12:14:14:14:15:14:11:15:13:12:15:15:11:13:13:12:14:14:0:12:13:14:13:14:9:14:15:11:12:11:13:9:12:10:5:10:15:10:15:6:13:15:13:15:16:16:16:16:9:16:0:8:7:16:14:15:4:14:17:17:12:1:17:5:16:10:14:15:14:13:16:15:17
30,0,18,0,9071,0:0:0:1:1:2:1:0:2:2:1:0:0:2:3:1:0:1:2:1:3:2:3:4:3:1:3:3:4:2:3:1:4:4:4:3:5:4:5:4:3:3:0:4:2:5:4:5:4:5:2:2:5:0:2:0:1:0:6:5:6:0:7:6:0:5:4:7:1:2:6:3:8:2:8:8:6:6:7:1:7:6:7:3:3:7:8:7:1:0:8:9:9:9:8:9:5:2:4:9:7:7:0:1:9:9:6:7:8:8:9:7:9:4:7:6:8:6:0:1:7:7:7:9:9:8:6:3:6:7:6:5:3:9:2:2:3:9:10:5:8:10:11:10:5:9:11:10:0:11:3:6:11:11:10:4:6:10:11:11:11:11:8:2:11:11:10:3:4:12:10:5:5:8:12:1:12:12:10:11:10:12:8:10:12:8:12:9:5:2:7:11:12:6:3:10:13:13:12:7:13:5:13:13:6:12:13:10:12:14:14:14:15:14:11:15:13:12:15:15:11:13:13:12:14:14:0:12:13:14:13:14:9:14:15:11:12:11:13:9:12:10:5:10:15:10:15:6:13:15:13:15:16:16:16:16:9:16:0:8:7:16:14:15:4:14:17:17:12:1:17:5:16:10:14:15:14:13:16:15:17
34,0,18,0,9068,0:0:0:1:1:2:1:0:2:2:1:0:0:2:3:1:0:1:2:1:3:2:3:4:3:1:3:3:4:2:3:1:4:4:4:3:5:4:5:4:3:3:0:4:2:5:4:5:4:5:2:2:5:0:2:0:1:0:6:5:6:0:7:6:0:5:4:7:1:2:6:3:8:2:8:8:6:6:7:1:7:6:7:3:3:7:9:7:1:0:8:9:9:9:8:9:5:2:4:9:7:7:0:1:9:9:6:7:8:8:9:7:9:4:7:6:8:6:0:1:7:7:7:9:9:8:6:3:6:7:6:5:3:9:2:2:3:9:8:5:8:10:11:10:5:9:11:10:0:11:3:6:11:11:10:4:6:10:11:11:11:11:8:2:11:11:10:3:4:12:10:5:5:8:12:6:12:12:10:11:10:12:8:10:12:8:12:9:5:2:7:11:12:6:3:10:13:13:12:7:13:5:13:13:6:12:13:10:12:14:14:14:15:14:11:15:13:12:15:15:11:13:13:12:14:14:0:12:13:14:13:14:9:14:15:11:12:11:13:1:12:10:5:10:15:10:15:6:13:15:13:15:16:16:16:16:9:16:0:8:7:16:14:15:4:14:17:17:12:1:17:5:16:10:14:15:14:13:16:15:17
80,0,18,0,9061,0:0:0:1:1:2:1:0:2:2:1:0:1:2:3:1:0:1:2:1:3:2:3:4:3:1:3:3:4:2:3:0:4:4:4:3:5:4:5:4:3:3:0:4:2:5:4:5:4:5:2:2:5:0:2:0:1:0:6:5:5:0:6:6:0:5:4:7:1:2:8:3:7:2:8:8:6:6:7:1:7:6:7:3:3:7:9:7:1:0:9:9:9:9:8:9:5:0:4:9:7:7:8:1:8:9:6:1:8:8:9:7:9:4:7:6:8:6:0:2:7:7:9:9:9:8:6:3:6:7:6:5:3:9:2:2:3:9:8:7:8:11:10:10:5:9:11:10:0:11:3:6:11:11:10:4:6:10:11:11:11:11:8:2:11:7:10:3:4:6:10:5:5:8:12:6:12:12:10:11:10:12:8:10:12:8:12:10:5:2:7:11:12:6:3:10:13:13:12:7:13:5:13:13:6:12:13:10:12:14:14:14:15:14:11:15:13:12:15:15:11:13:13:12:14:14:0:12:13:14:13:14:9:14:15:11:12:11:13:1:12:10:5:10:15:10:15:6:13:15:13:15:16:16:16:16:9:16:0:8:7:16:14:15:4:14:17:17:12:1:17:5:16:10:14:15:14:13:16:15:17
82,0,18,0,9060,0:0:0:1:1:2:1:0:2:2:1:0:1:2:3:1:0:1:2:1:3:2:3:4:3:1:3:3:4:2:3:0:4:4:4:3:5:4:5:4:3:3:0:4:2:5:4:5:4:5:2:2:5:0:2:0:1:0:6:5:5:6:6:6:0:5:4:0:1:2:8:3:7:2:8:8:6:6:7:1:7:6:7:3:3:7:9:7:1:0:9:9:9:9:8:9:5:0:4:9:7:7:8:1:8:9:6:1:8:8:9:7:9:4:7:6:8:6:0:2:7:7:9:9:9:8:6:3:6:7:6:5:3:9:2:2:3:9:8:7:8:11:10:10:5:9:11:10:0:11:3:6:11:11:10:4:6:10:11:11:11:11:8:2:11:7:10:3:4:6:10:5:5:8:12:6:12:12:10:11:10:12:8:10:12:8:12:10:5:2:7:11:12:6:3:10:13:13:12:7:13:5:13:13:6:12:13:10:12:14:14:14:15:14:11:15:13:12:15:15:11:13:13:12:14:14:0:12:13:14:13:14:9:14:15:11:12:11:13:1:12:10:5:10:15:10:15:16:13:15:13:15:7:2:16:16:9:16:0:8:7:16:14:15:4:14:17:17:12:1:17:5:16:10:14:15:14:13:16:15:17
112,0,18,0,9057,0:0:0:1:1:2:1:0:2:2:1:0:1:2:3:1:0:3:2:1:3:2:3:4:3:1:3:3:4:2:4:0:4:4:3:3:5:4:5:4:3:3:0:4:2:5:4:5:4:5:2:2:5:0:2:0:1:0:6:5:5:6:6:6:0:5:4:7:5:2:8:3:7:2:8:8:6:6:7:1:7:6:7:3:3:7:9:7:1:0:9:9:9:9:8:1:5:0:1:9:7:7:8:1:8:9:6:1:8:8:9:7:9:4:7:6:8:6:0:2:7:7:9:9:9:8:6:3:6:7:6:5:3:9:2:2:3:9:8:7:8:11:10:10:5:9:11:10:0:11:5:6:11:11:10:4:6:9:11:11:11:11:8:2:11:7:10:3:4:6:10:5:5:10:12:6:12:12:10:11:10:12:8:10:12:8:12:10:5:2:7:11:12:6:4:10:13:13:12:7:13:5:13:13:6:12:13:10:12:14:14:14:15:14:11:15:8:12:15:15:11:13:13:12:14:14:0:12:13:14:13:14:9:14:15:11:12:11:13:1:12:10:3:10:15:10:15:0:13:15:13:15:13:2:16:16:9:16:0:8:7:16:14:15:4:14:17:17:12:17:17:5:16:10:14:15:14:13:16:15:17
138,0,17,0,8832,0:0:0:1:1:2:1:0:2:2:1:0:1:2:3:1:0:3:2:1:3:2:3:4:3:1:3:3:4:2:4:4:4:4:3:3:5:4:5:4:3:3:0:4:2:5:4:5:4:5:2:2:5:0:2:0:1:0:6:5:5:6:6:6:0:5:4:7:5:2:8:3:7:2:8:8:6:6:7:1:7:6:7:3:3:7:9:7:1:0:9:9:9:9:8:1:5:0:1:9:7:7:8:1:8:9:6:1:8:8:9:7:9:4:7:6:8:6:0:2:7:7:9:9:9:8:6:3:6:7:6:5:3:9:2:2:3:9:8:7:8:11:10:10:5:9:11:10:0:11:5:6:11:11:10:11:6:9:11:11:11:11:8:2:11:7:10:3:4:6:10:5:5:10:12:6:12:12:10:11:10:12:8:10:12:8:12:10:5:2:7:11:12:6:4:10:13:13:12:7:13:5:13:13:6:12:13:10:12:14:14:14:15:14:11:15:8:12:15:15:11:13:13:12:14:14:0:12:13:14:13:14:9:14:15:11:12:11:13:1:12:10:3:10:15:10:15:0:13:15:13:15:13:2:16:16:9:16:0:8:7:16:14:15:4:14:4:13:12:16:14:5:16:10:14:15:14:13:16:15:16
68054228,0,17,0,8832,0:0:0:1:1:2:1:0:2:2:1:0:1:2:3:1:0:3:2:1:3:2:3:4:3:1:3:3:4:2:4:4:4:4:3:3:5:4:5:4:3:3:0:4:2:5:4:5:4:5:2:2:5:0:2:0:1:0:6:5:5:6:6:6:0:5:4:7:5:2:8:3:7:2:8:8:6:6:7:1:7:6:7:3:3:7:9:7:1:0:9:9:9:9:8:1:5:0:1:9:7:7:8:1:8:9:6:1:8:8:9:7:9:4:7:6:8:6:0:2:7:7:9:9:9:8:6:3:6:7:6:5:3:9:2:2:3:9:8:7:8:11:10:10:5:9:11:10:0:11:5:6:11:11:10:11:6:9:11:11:11:11:8:2:11:7:10:3:4:6:10:5:5:10:12:6:12:12:10:11:10:12:8:10:12:8:12:10:5:2:7:11:12:6:4:10:13:13:12:7:13:5:13:13:6:12:13:10:12:14:14:14:15:14:11:15:8:12:15:15:11:13:13:12:14:14:0:12:13:14:13:14:9:14:15:11:12:11:13:1:12:10:3:10:15:10:15:0:13:15:13:15:13:2:16:16:9:16:0:8:7:16:14:15:4:14:4:13:12:16:14:5:16:10:14:15:14:13:16:15:16
#2022-10-24 17:45:53
