#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 00:50:05,wvcp,zeroin.i.3,local_search,10,298,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,redls,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,31,0,309,0:1:2:3:3:3:3:3:2:4:3:4:1:4:4:5:6:0:1:2:7:6:7:4:3:3:4:4:8:5:4:3:9:9:8:10:10:9:10:11:12:3:4:10:9:9:10:13:12:14:10:15:16:17:16:11:14:6:14:17:15:18:14:16:3:19:20:14:21:17:18:22:19:21:22:23:13:4:24:25:23:23:23:10:26:3:26:27:28:29:30:27:9:30:28
376,0,30,0,307,29:14:6:3:3:3:3:3:3:4:3:4:3:4:4:5:16:20:14:16:20:6:29:4:3:3:4:4:13:5:4:3:9:10:13:10:10:9:10:22:27:3:4:10:9:9:10:17:12:12:10:24:15:28:15:21:15:9:10:4:24:8:9:17:3:18:21:14:12:17:8:11:18:12:22:23:11:4:19:25:23:23:23:10:26:3:26:1:2:0:30:27:10:30:28
389,0,30,0,305,29:14:6:3:3:3:3:3:3:4:3:4:3:4:4:5:16:20:14:16:20:6:29:4:3:3:4:4:13:5:4:3:9:10:13:10:10:9:10:22:27:3:4:10:9:9:10:19:12:12:10:24:15:28:15:19:15:9:10:4:24:8:9:16:3:18:21:14:12:21:8:0:18:12:22:23:0:4:11:17:23:23:23:10:26:3:26:1:2:25:30:27:10:30:28
863,0,30,0,304,24:20:16:3:3:3:3:3:3:4:3:4:3:4:4:6:14:24:4:16:5:6:14:4:3:3:3:4:29:29:4:3:9:10:10:5:10:9:10:26:28:20:4:10:9:9:10:15:12:12:10:11:19:21:15:19:15:9:10:4:11:17:9:15:3:22:0:17:12:21:28:30:26:12:22:23:0:4:8:27:23:23:21:10:18:3:18:25:2:13:1:27:10:30:9
2444,0,30,0,303,19:24:16:3:3:3:3:3:3:4:4:4:3:4:4:22:20:24:4:16:14:20:14:4:4:4:3:4:21:21:4:25:25:4:22:19:12:4:25:11:30:12:12:3:10:4:10:28:28:10:10:13:1:15:15:11:4:25:10:4:13:27:3:12:25:8:26:3:12:26:25:29:8:10:29:12:1:25:5:23:30:16:3:10:6:18:18:2:9:17:0:27:18:5:6
5251,0,30,0,302,14:22:9:3:3:3:3:3:3:4:4:4:3:4:4:19:8:22:4:19:11:8:14:4:3:4:3:4:5:1:4:3:25:3:10:11:10:25:3:1:24:25:4:3:9:25:10:12:5:10:10:2:17:20:17:20:4:25:10:4:2:28:25:28:18:16:23:3:18:12:18:26:23:18:24:10:26:4:21:30:28:21:3:10:29:6:29:13:0:27:15:15:6:0:6
5255,0,30,0,300,14:22:9:3:3:3:3:3:3:4:4:4:3:4:4:19:8:22:4:19:11:8:14:4:3:4:11:4:5:9:4:3:25:3:10:1:10:25:3:1:24:25:4:3:3:25:10:12:5:10:10:2:17:20:17:20:4:25:10:4:2:28:25:28:18:16:23:3:18:12:18:26:23:18:24:10:26:4:21:30:28:21:3:10:29:6:29:13:0:27:15:15:6:0:6
5256,0,30,0,299,14:22:9:3:3:3:3:3:3:4:4:4:3:4:4:19:8:22:4:19:11:8:14:4:3:4:11:4:5:9:4:3:25:3:10:5:10:25:3:1:24:25:4:3:3:25:10:12:1:10:10:2:17:20:17:20:4:25:10:4:2:28:25:28:18:16:23:3:18:12:18:26:23:18:24:10:26:4:21:30:28:21:3:10:29:6:29:13:0:27:15:15:6:0:6
1897795,58,30,0,298,16:21:1:2:2:2:2:2:2:4:2:4:4:2:4:7:25:25:7:2:29:21:1:2:4:2:4:2:26:26:2:18:18:4:16:29:18:4:18:20:9:18:18:2:9:4:4:24:20:17:4:8:27:23:23:24:2:27:4:2:8:5:17:23:28:10:30:4:17:27:17:6:30:28:28:4:5:2:11:15:15:11:23:18:12:3:12:19:22:14:0:0:3:6:14
1897795,58,30,0,298,16:21:1:2:2:2:2:2:2:4:2:4:4:2:4:7:25:25:7:2:29:21:1:2:4:2:4:2:26:26:2:18:18:4:16:29:18:4:18:20:9:18:18:2:9:4:4:24:20:17:4:8:27:23:23:24:2:27:4:2:8:5:17:23:28:10:30:4:17:27:17:6:30:28:28:4:5:2:11:15:15:11:23:18:12:3:12:19:22:14:0:0:3:6:14
#2022-10-12 00:51:03
