#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 12:05:15,wvcp,DSJC125.5gb,local_search,5,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,28,0,305,0:1:1:2:3:2:3:4:1:0:5:0:5:2:4:2:6:7:4:7:8:6:7:8:8:3:4:7:5:0:9:6:9:5:9:9:3:6:10:9:10:10:11:12:1:13:11:8:12:14:10:15:13:15:11:14:15:14:16:5:13:11:7:16:4:7:17:14:1:12:16:2:17:11:12:8:17:1:15:18:17:19:18:20:19:0:20:20:20:19:18:17:18:21:21:16:17:14:20:20:22:2:18:13:4:23:22:3:3:15:24:11:24:10:25:23:25:25:21:22:26:24:19:27:27
10,0,28,0,304,0:1:1:2:3:2:3:4:1:0:5:0:5:2:4:2:6:7:4:7:8:6:7:8:8:3:4:7:5:0:9:6:9:5:9:9:3:6:10:9:10:10:11:12:12:13:11:8:12:14:10:15:13:15:11:14:15:14:16:5:13:11:7:16:4:7:17:14:6:12:16:2:17:11:12:8:17:1:13:18:17:19:18:20:7:0:20:20:20:19:18:17:18:21:21:16:17:14:20:20:22:2:18:13:4:23:22:3:8:15:19:11:24:24:25:23:25:25:19:22:26:24:12:27:19
12,0,27,0,303,0:1:1:2:3:2:3:4:1:0:5:0:5:2:4:2:6:7:4:7:8:6:7:8:8:3:4:7:5:0:9:6:9:5:9:9:3:6:10:9:10:10:11:12:12:13:11:8:12:14:10:15:13:15:11:14:15:14:16:5:13:11:7:16:4:7:17:14:6:12:16:2:17:11:12:8:17:1:13:18:17:19:18:20:7:0:20:20:20:19:18:17:18:21:21:16:17:14:20:20:22:2:18:13:4:23:23:3:8:15:19:11:24:24:25:23:25:25:19:22:26:24:12:22:19
16,0,27,0,302,0:1:1:2:3:2:3:4:1:0:5:0:5:2:4:2:6:7:4:7:8:6:7:8:8:3:4:7:5:0:9:6:9:5:9:9:3:6:11:9:10:10:11:12:12:13:11:8:12:14:10:15:1:15:11:14:15:14:16:5:13:11:7:16:4:7:17:14:6:12:16:2:17:11:12:8:17:1:13:18:17:19:18:10:7:0:20:20:20:19:18:17:18:21:21:16:17:14:20:20:22:2:18:13:4:23:23:3:8:15:19:24:24:24:25:23:25:25:19:22:26:24:12:22:19
22,0,26,0,301,0:1:1:2:3:2:3:4:1:0:5:0:5:2:4:2:6:7:4:7:8:6:7:8:8:3:4:7:5:0:9:6:9:5:9:9:3:6:11:9:10:10:11:10:12:13:11:8:12:14:10:15:1:15:11:14:14:14:16:5:13:11:7:16:4:7:17:14:6:12:16:2:17:11:12:8:17:1:13:18:17:19:18:10:7:0:20:20:20:19:18:17:18:21:21:16:17:14:20:20:22:2:18:15:4:23:23:3:8:22:19:24:21:24:25:23:25:25:19:22:13:24:12:22:19
26,0,26,0,300,0:1:1:2:3:2:3:4:1:0:5:0:5:2:4:2:6:7:4:7:8:6:7:8:8:3:4:7:5:0:9:6:9:5:9:9:2:6:11:9:10:10:11:10:12:13:11:8:12:14:10:1:1:15:11:14:14:14:16:5:13:11:7:16:4:7:17:14:6:12:16:2:17:11:12:8:17:1:13:18:17:19:18:10:7:0:20:20:20:19:18:17:18:21:21:16:17:14:20:20:15:2:18:15:4:23:23:3:8:22:19:24:21:24:25:23:24:25:19:22:13:24:12:22:19
27,0,26,0,299,0:1:1:2:3:2:3:4:1:0:5:0:5:2:4:2:6:7:4:7:8:6:7:8:8:3:4:7:5:0:9:6:9:5:9:9:2:6:11:9:10:10:11:10:12:13:11:8:12:14:10:1:1:15:11:14:14:14:16:5:13:11:7:16:4:7:17:14:6:12:16:2:17:11:12:8:17:1:13:18:17:19:18:10:7:0:20:20:20:19:18:17:18:21:21:16:17:14:20:20:15:2:18:15:4:23:23:3:8:19:19:24:21:24:25:23:24:25:19:22:13:24:12:22:19
28,0,26,0,298,0:1:1:2:3:2:3:4:1:0:5:0:5:2:4:2:6:7:4:7:8:6:7:8:8:3:4:7:5:0:9:6:9:5:9:9:2:6:11:9:10:10:11:10:12:13:11:8:12:14:10:1:1:15:11:14:14:14:16:5:13:11:7:16:4:7:17:14:6:12:16:2:17:11:12:8:17:1:13:18:17:19:18:10:7:0:20:20:20:19:18:17:18:21:21:16:17:14:20:20:15:2:18:15:4:23:23:3:8:19:19:24:21:24:25:23:24:25:19:15:13:24:12:22:19
55,0,26,0,297,0:1:1:2:3:2:3:4:1:0:5:0:5:3:3:2:6:7:4:7:8:6:7:8:8:3:4:7:5:0:9:6:9:5:9:9:2:6:11:9:10:10:11:10:12:13:11:8:12:14:10:1:1:15:12:14:14:14:16:5:3:11:7:12:13:7:17:14:6:10:16:2:16:10:3:8:17:1:16:18:17:13:3:10:16:0:20:15:19:19:18:17:18:21:21:16:12:14:20:12:15:15:18:15:4:23:23:21:8:19:19:24:24:23:25:4:24:25:1:15:13:22:16:22:25
62,0,26,0,296,0:1:1:2:3:2:3:4:1:0:5:0:5:3:3:2:6:7:4:7:8:6:7:8:8:3:4:7:5:0:9:6:9:5:9:9:2:6:11:9:10:10:11:10:12:13:11:8:12:14:10:1:1:15:12:14:14:14:16:5:3:11:7:12:13:7:1:14:6:10:16:2:16:10:11:8:17:4:16:18:17:13:3:10:16:0:20:15:19:19:18:17:18:21:21:16:12:14:20:13:15:15:18:15:4:17:23:21:8:19:19:24:24:23:25:4:24:25:25:20:13:22:16:22:25
