#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 12:26:58,wvcp,DSJC125.9g,local_search,3,169,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,58,0,185,0:1:2:3:4:5:6:1:7:8:9:8:10:11:10:5:9:12:4:13:3:14:12:14:15:11:13:16:17:17:18:2:19:20:21:14:6:22:23:0:20:24:25:26:22:27:16:21:25:7:27:9:28:23:28:22:24:29:26:30:6:19:18:15:31:26:21:32:32:28:33:27:29:31:33:33:34:30:35:36:37:38:35:39:40:39:41:36:42:40:38:43:44:45:42:46:34:44:41:40:37:46:45:47:48:49:50:51:52:52:46:53:25:34:12:30:54:9:50:43:32:54:55:56:57
8,0,57,0,184,0:1:2:3:4:5:6:1:7:8:9:8:10:11:10:5:9:12:4:13:3:14:12:14:15:11:13:16:17:17:18:2:19:20:21:14:6:22:23:0:20:24:25:26:22:27:16:21:25:7:27:9:28:23:28:22:24:29:26:30:6:19:18:15:51:26:21:32:32:28:33:27:29:8:33:33:34:30:35:36:37:38:35:39:40:39:41:36:42:40:38:43:44:45:42:46:34:44:41:40:37:44:45:47:48:49:50:51:52:52:46:53:56:34:57:30:54:9:50:43:51:54:55:56:57
13,0,56,0,183,0:1:2:3:4:5:6:1:7:8:9:8:10:11:10:5:9:12:4:13:3:14:12:14:15:11:13:16:17:17:18:2:19:20:21:14:6:22:23:0:20:24:25:26:22:27:16:21:25:7:27:9:28:23:28:22:24:29:26:30:6:19:18:15:51:26:21:32:32:28:33:27:29:8:33:33:34:30:35:36:37:38:35:39:40:39:41:36:42:40:38:43:44:55:42:46:34:44:41:40:37:44:45:47:48:49:50:51:52:52:46:53:56:34:12:30:54:9:50:43:51:48:55:56:54
16,0,55,0,181,0:1:2:3:4:5:6:1:7:8:9:8:10:11:10:5:9:12:4:13:3:14:12:14:15:11:13:16:17:17:39:2:19:20:21:14:6:22:23:0:20:24:25:26:22:27:16:21:25:7:27:9:28:23:28:22:24:29:26:30:6:19:11:15:51:26:21:32:32:28:33:27:29:8:10:33:34:30:35:36:37:38:35:39:40:39:41:36:42:40:38:43:44:55:42:46:34:44:41:40:37:44:45:47:48:49:50:51:52:52:46:53:56:34:12:30:54:9:50:43:51:48:55:56:54
19,0,54,0,180,0:1:2:3:4:5:6:1:7:8:9:8:10:11:10:5:9:12:4:13:3:14:12:14:15:11:13:16:17:17:39:2:19:20:21:14:6:22:23:0:20:24:25:26:22:27:16:21:25:7:27:9:28:23:28:22:24:29:26:30:6:19:11:15:51:26:21:32:32:28:33:27:29:8:10:33:34:30:35:36:37:38:35:39:40:39:41:36:42:40:38:43:44:55:42:46:34:44:41:40:37:44:45:47:48:49:50:51:52:52:46:53:25:34:12:53:54:9:50:43:51:48:55:30:54
31,0,54,0,179,0:1:2:3:4:5:6:1:7:8:9:8:10:11:10:5:9:12:4:13:3:14:12:14:15:11:13:16:17:17:39:2:19:20:21:14:6:22:29:0:20:24:25:26:22:27:16:21:25:7:27:9:23:23:28:22:24:29:26:30:6:19:11:15:51:26:21:32:32:28:33:27:29:8:10:33:34:30:35:36:50:38:35:39:40:39:41:36:42:43:38:28:44:55:42:43:34:44:41:40:40:44:45:47:48:49:50:51:52:52:46:53:25:34:12:53:54:56:36:56:51:48:55:30:54
3159,0,51,0,178,39:19:23:45:49:5:41:19:44:51:15:51:52:30:52:5:15:20:11:13:11:43:20:25:45:30:13:43:25:55:22:58:58:29:46:44:41:36:2:31:25:49:23:40:36:24:43:46:31:38:24:15:38:31:26:36:40:2:3:28:41:28:30:53:0:37:46:55:8:26:17:24:2:51:17:17:39:37:47:42:3:32:4:22:35:22:48:42:18:29:10:23:28:38:54:21:39:53:45:35:35:29:7:33:14:11:4:0:50:50:21:10:18:54:20:48:55:15:42:47:0:14:6:8:32
3160,0,51,0,177,39:19:23:45:49:5:41:19:44:51:15:51:52:30:52:5:15:20:11:13:11:43:20:25:45:30:13:43:25:55:22:58:58:29:46:44:41:36:2:31:25:49:23:40:36:24:43:46:31:38:24:15:38:31:26:36:40:2:3:28:41:28:30:53:0:37:46:55:8:26:17:24:2:51:17:17:39:37:47:42:3:32:4:22:35:22:48:42:18:29:10:23:28:38:26:21:39:53:45:35:35:29:7:33:14:11:4:0:50:50:21:10:18:54:20:48:55:15:42:47:0:14:6:8:32
3161,0,51,0,176,39:19:23:45:49:5:41:19:44:51:15:51:52:30:52:5:15:20:11:13:11:43:20:25:45:30:13:43:25:55:22:58:58:29:46:44:41:36:2:31:25:49:23:40:36:24:43:46:31:38:24:15:38:31:26:36:40:2:3:28:41:28:30:53:0:37:46:55:8:26:17:24:2:51:17:17:39:37:47:42:3:32:4:22:35:22:48:42:18:29:53:23:28:38:26:21:39:53:45:35:35:29:7:33:14:11:4:0:50:50:21:10:18:54:20:48:55:15:42:47:0:14:6:8:32
3163,0,50,0,175,39:19:23:45:49:5:41:19:44:51:15:51:52:30:52:5:15:20:11:13:11:43:20:25:45:30:13:43:25:55:22:58:58:29:46:44:41:36:2:31:25:49:23:40:36:24:43:46:31:38:24:15:38:31:26:36:40:2:3:28:41:28:30:53:0:37:46:55:8:26:17:24:2:51:17:17:39:37:47:42:3:32:4:22:35:22:6:42:18:29:53:23:28:38:26:21:39:53:45:35:35:29:7:33:14:11:4:0:50:50:21:10:18:54:20:10:55:15:42:47:0:14:6:8:32
24230,0,51,0,174,13:32:16:60:38:39:1:49:4:57:34:10:11:55:11:49:34:58:22:9:49:57:58:22:60:55:27:9:0:32:29:56:56:25:23:4:1:10:42:13:0:57:16:31:39:38:22:23:40:18:27:34:18:40:30:30:26:42:31:15:1:2:55:5:46:31:23:53:48:48:40:38:42:46:11:53:26:15:17:5:45:12:50:29:44:29:53:50:36:44:12:16:2:18:48:21:45:36:60:44:47:25:28:54:7:41:6:3:14:14:21:35:36:26:58:35:47:34:6:17:3:7:2:15:47
437070,15,49,0,173,53:21:42:55:33:9:39:29:50:59:8:28:26:32:26:9:8:51:33:43:29:59:51:38:55:32:52:43:29:54:40:11:11:48:54:4:39:4:7:27:38:59:49:16:56:53:49:21:27:17:42:8:17:27:31:6:60:7:16:3:39:56:32:56:52:16:4:40:17:31:42:38:7:52:26:49:55:3:37:44:25:6:37:5:30:35:34:44:58:53:45:57:48:41:31:28:50:58:40:30:30:60:41:5:23:35:25:2:12:12:28:45:58:60:51:3:18:19:44:57:2:23:34:19:18
1063195,38,51,0,172,18:60:58:40:36:5:24:12:28:53:41:53:10:52:10:12:41:3:36:8:12:45:3:32:40:52:45:8:32:44:1:4:4:37:44:48:38:48:23:18:32:38:58:56:34:21:45:60:0:37:21:41:29:0:47:47:55:23:56:54:24:34:52:34:5:56:48:1:29:29:28:0:23:53:10:21:55:54:33:44:38:35:33:50:27:49:39:13:7:37:35:58:22:14:13:11:39:22:40:27:27:22:51:50:2:49:30:19:20:20:11:6:7:55:3:6:61:31:30:31:19:2:14:54:61
18268149,659,52,0,171,8:44:6:26:7:54:56:59:4:21:37:21:31:32:31:59:37:46:7:52:59:1:46:18:26:32:52:1:18:44:5:47:47:12:30:4:56:55:22:57:18:2:6:53:55:8:1:30:57:11:40:37:11:57:42:55:2:22:53:61:56:50:32:50:54:53:30:5:11:42:40:58:22:21:31:40:26:61:15:14:0:51:15:17:45:17:38:14:36:8:51:6:12:33:42:49:0:36:5:45:45:12:33:13:19:3:38:43:39:39:49:29:36:58:25:29:10:20:14:20:43:10:34:61:25
